x,y,score
0.46,0.76,2.48835
0.54,0.86,2.9408
0.16,0.19,2.27465
0.61,0.18,2.82495
0.82,0.41,3.1359
0.72,0.66,3.39035
0.63,0.37,2.7739
0.41,0.28,2.44745
0.16,0.44,1.702
0.8,0.33,3.26005
0.84,0.23,3.2812
0.25,0.48,1.89665
0.62,0.7,2.90955
0.78,0.28,3.11055
0.03,0.68,1.12085
0.57,0.0,3.0
0.69,0.37,2.9726
0.46,0.05,2.8917
0.65,0.03,2.9942
0.56,0.8,2.92735
0.28,0.44,2.0089
0.65,0.0,3.0
0.57,0.1,2.89395
0.44,0.29,2.4533
0.63,0.49,2.7683
0.26,0.03,2.87555
0.92,0.27,3.36335
0.69,0.35,2.9756
0.79,0.78,3.8408
0.3,0.26,2.2978
0.98,0.54,3.98455
0.25,0.62,1.84065
0.55,0.43,2.69835
0.19,0.06,2.712
0.14,0.65,1.4669
0.09,0.65,1.31445
0.92,1.0,4.6172
0.51,0.43,2.5741
0.36,0.66,2.1728
0.33,0.92,2.27585
0.01,0.93,1.0077
0.25,0.81,1.84675
0.9,0.46,3.7362
0.3,0.12,2.6174
0.87,0.59,3.5762
0.8,0.75,3.6561
0.93,0.2,3.2288
0.34,0.41,2.15365
0.05,0.48,1.4176
0.9,0.12,3.1075
0.59,0.65,2.7391
0.72,0.62,3.2974
0.29,0.87,1.97735
0.02,0.72,1.0577
0.8,0.35,3.21015
0.09,0.22,2.0128
0.05,0.61,1.23415
0.49,0.38,2.5618
0.62,0.21,2.83785
0.79,0.55,3.5329
0.64,0.52,2.8829
0.17,0.15,2.35785
0.45,0.81,2.55435
0.48,0.8,2.5702
0.51,0.39,2.526
0.62,0.39,2.8519
0.58,0.64,2.87035
0.8,0.62,3.39025
0.6,0.07,2.9399
0.35,0.87,2.23425
0.85,0.83,4.0362
0.96,0.89,4.5285
0.68,0.4,2.97095
0.13,0.15,2.3357
0.14,0.31,1.8939
0.15,0.88,1.4984
0.72,0.97,3.72965
0.56,0.33,2.659
0.52,0.26,2.6697
0.99,0.97,4.8408
0.9,0.63,4.01235
0.31,0.47,2.0154
0.98,0.8,4.19735
0.31,0.34,2.13715
0.22,0.4,1.89585
0.87,0.37,3.4032
0.76,0.43,3.20955
0.79,0.76,3.7879
0.83,0.38,3.4265
0.74,0.12,3.0668
0.68,0.51,3.15165
0.56,0.43,2.64465
0.63,0.01,3.00275
0.45,0.24,2.58055
0.52,0.13,2.80595
0.64,0.47,2.83695
0.51,0.91,2.84585
0.78,0.92,3.8782
0.92,0.54,3.90745
0.75,0.83,3.6719
0.72,0.5,3.23495
0.53,0.74,2.7949
0.82,0.88,3.87625
0.63,0.35,2.8972
0.8,0.56,3.36895
0.99,0.8,4.46715
0.69,0.67,2.9906
0.44,0.43,2.37365
0.71,0.62,3.1864
0.63,0.08,2.9415
0.48,0.4,2.56745
0.93,0.51,3.76315
0.65,0.12,2.9596
0.78,0.34,3.12885
0.17,0.41,1.76075
0.59,0.93,3.2017
0.98,0.65,3.92115
0.89,0.49,3.42955
0.09,0.48,1.4775
0.98,0.94,4.7488
0.6,0.72,2.8759
0.74,0.48,3.2132
0.48,0.19,2.66
0.15,0.11,2.49235
0.86,0.55,3.63125
0.97,0.56,3.91585
1.0,0.64,3.9925
0.43,0.66,2.37075
0.85,0.2,3.1622
0.02,0.64,1.11985
0.26,0.02,2.9032
0.12,0.68,1.40265
0.66,0.15,2.9014
0.75,0.58,3.25235
0.04,0.92,1.12535
0.15,0.58,1.55135
0.4,0.84,2.4164
0.94,0.97,4.5068
0.64,0.08,2.9776
0.08,0.63,1.30765
0.81,0.9,4.04695
0.21,0.79,1.727
0.21,0.13,2.45325
0.82,0.12,3.07525
0.77,0.84,3.8035
0.76,0.89,3.6922
0.06,0.34,1.6254
0.92,0.45,3.53305
0.41,0.87,2.39165
0.11,0.48,1.52385
0.67,0.53,3.0115
0.36,0.88,2.2227
0.47,0.6,2.42675
0.34,0.03,2.88235
0.79,0.95,3.9374
0.24,0.56,1.82855
0.17,0.32,1.9044
0.59,0.26,2.78225
0.59,0.68,2.8048
1.0,0.57,3.88605
0.63,0.84,3.14875
0.72,0.58,3.2859
0.84,0.68,3.7722
0.07,0.87,1.2277
0.71,0.48,3.0308
0.27,0.76,1.84365
0.2,0.43,1.808
0.25,0.83,1.82885
0.74,0.97,3.8768
0.56,0.06,2.9322
0.77,0.18,3.06465
0.61,0.23,2.76935
0.73,0.56,3.0717
0.4,0.67,2.25415
0.93,0.15,3.33335
0.37,0.3,2.3191
0.89,0.6,3.7542
0.32,0.92,2.20065
0.97,0.95,4.6954
0.96,0.12,3.2634
0.74,0.25,3.05625
0.47,0.92,2.7728
0.13,0.43,1.6698
0.8,0.68,3.43655
0.01,0.53,1.19425
0.69,0.03,2.98875
0.73,0.82,3.614
0.97,0.94,4.65635
0.9,1.0,4.5514
0.08,0.23,1.99655
0.82,0.79,3.6686
0.42,0.46,2.29445
0.62,0.93,3.30365
0.71,0.43,3.07785
0.77,0.04,3.09185
0.97,0.53,3.75475
0.73,0.22,3.0512
0.59,0.14,2.8656
0.5,0.81,2.66165
0.4,1.0,2.5682
0.89,0.12,3.1159
0.05,0.83,1.1423
0.19,0.67,1.61205
0.97,0.93,4.60775
0.69,0.2,2.9627
0.72,0.64,3.37045
0.94,0.47,3.72565
0.81,0.73,3.64815
0.5,0.86,2.72105
0.15,0.5,1.61645
0.45,0.28,2.4949
0.48,0.93,2.7848
0.15,0.25,2.0469
0.32,0.14,2.54925
0.62,0.38,2.84555
0.48,0.51,2.53005
0.61,0.92,3.34415
0.34,0.82,2.24255
0.39,0.43,2.31495
0.89,0.11,3.0876
0.67,0.3,2.95565
0.15,0.26,1.9891
0.72,0.21,2.98085
0.57,0.41,2.7405
0.01,0.09,2.4615
0.55,0.84,2.83455
0.85,0.24,3.23955
0.53,0.07,2.91945
0.81,0.85,3.8264
0.65,0.79,3.2803
0.08,0.01,2.917
0.62,0.24,2.8307
0.28,0.85,1.9325
0.12,0.31,1.87095
0.04,0.88,1.11575
0.25,0.42,1.9436
0.29,0.34,2.1264
0.12,0.75,1.40075
0.16,0.7,1.53545
0.9,0.47,3.77875
0.65,0.01,3.00065
0.44,0.94,2.66755
0.38,0.39,2.28575
0.95,0.84,4.42945
0.31,0.48,1.99065
0.45,0.92,2.677
0.08,0.35,1.69465
0.68,0.89,3.5029
0.99,1.0,4.9188
0.61,0.37,2.83575
0.02,0.96,1.05075
0.94,0.0,3.0
0.71,0.78,3.39605
0.09,0.02,2.84995
0.46,0.16,2.6813
0.3,0.07,2.72815
0.94,0.83,4.31845
0.25,0.01,2.93235
0.78,0.53,3.22445
0.24,0.45,1.8557
