x,y,score
0.46,0.76,2.64715
0.54,0.86,2.88775
0.16,0.19,1.72315
0.61,0.18,3.2705
0.82,0.41,3.9014
0.72,0.66,3.51845
0.63,0.37,3.3083
0.41,0.28,2.5828
0.16,0.44,1.6681
0.8,0.33,3.83185
0.84,0.23,3.94135
0.25,0.48,1.9866
0.62,0.7,3.20785
0.78,0.28,3.78845
0.03,0.68,1.1293
0.57,0.0,3.0
0.69,0.37,3.51285
0.46,0.05,2.87635
0.65,0.03,3.2725
0.56,0.8,2.9655
0.28,0.44,2.1204
0.65,0.0,3.0
0.57,0.1,3.13185
0.44,0.29,2.69355
0.63,0.49,3.2749
0.26,0.03,2.32645
0.92,0.27,4.16255
0.69,0.35,3.50145
0.79,0.78,3.7474
0.3,0.26,2.21015
0.98,0.54,4.3719
0.25,0.62,1.96095
0.55,0.43,3.02185
0.19,0.06,1.95485
0.14,0.65,1.52565
0.09,0.65,1.3558
0.92,1.0,4.08875
0.51,0.43,2.91915
0.36,0.66,2.3241
0.33,0.92,2.16065
0.01,0.93,1.0328
0.25,0.81,1.91385
0.9,0.46,4.1338
0.3,0.12,2.3027
0.87,0.59,4.0361
0.8,0.75,3.7705
0.93,0.2,4.17545
0.34,0.41,2.3462
0.05,0.48,1.22645
0.9,0.12,4.00025
0.59,0.65,3.1079
0.72,0.62,3.5641
0.29,0.87,2.01695
0.02,0.72,1.0802
0.8,0.35,3.832
0.09,0.22,1.4283
0.05,0.61,1.2122
0.49,0.38,2.8473
0.62,0.21,3.3005
0.79,0.55,3.76985
0.64,0.52,3.31855
0.17,0.15,1.8006
0.45,0.81,2.6245
0.48,0.8,2.7063
0.51,0.39,2.92915
0.62,0.39,3.2701
0.58,0.64,3.10695
0.8,0.62,3.78965
0.6,0.07,3.23825
0.35,0.87,2.24015
0.85,0.83,3.9235
0.96,0.89,4.25565
0.68,0.4,3.4772
0.13,0.15,1.63635
0.14,0.31,1.6205
0.15,0.88,1.53235
0.72,0.97,3.44995
0.56,0.33,3.10455
0.52,0.26,2.99275
0.99,0.97,4.3254
