x,y,score
0.46,0.76,2.06175
0.54,0.86,2.07555
0.16,0.19,2.05885
0.61,0.18,2.81625
0.82,0.41,2.6891
0.72,0.66,2.40605
0.63,0.37,2.5855
0.41,0.28,2.46795
0.16,0.44,1.71
0.8,0.33,2.74745
0.84,0.23,2.88405
0.25,0.48,1.92165
0.62,0.7,2.27025
0.78,0.28,2.78925
0.03,0.68,1.1344
0.57,0.0,3.11695
0.69,0.37,2.6367
0.46,0.05,2.94545
0.65,0.03,3.08325
0.56,0.8,2.1463
0.28,0.44,2.0348
0.65,0.0,3.1309
0.57,0.1,2.9126
0.44,0.29,2.49735
0.63,0.49,2.473
0.26,0.03,2.7884
0.92,0.27,2.87605
0.69,0.35,2.66865
0.79,0.78,2.36135
0.3,0.26,2.3384
0.98,0.54,2.66765
0.25,0.62,1.8089
0.55,0.43,2.4506
0.19,0.06,2.51795
0.14,0.65,1.5119
0.09,0.65,1.3399
0.92,1.0,2.31525
0.51,0.43,2.41555
0.36,0.66,1.98355
0.33,0.92,1.76425
0.01,0.93,1.0334
0.25,0.81,1.65825
0.9,0.46,2.696
0.3,0.12,2.61095
0.87,0.59,2.56345
0.8,0.75,2.3926
0.93,0.2,2.9461
0.34,0.41,2.1833
0.05,0.48,1.2648
0.9,0.12,3.0204
0.59,0.65,2.2828
0.72,0.62,2.4312
0.29,0.87,1.72725
0.02,0.72,1.08705
0.8,0.35,2.72895
0.09,0.22,1.7309
0.05,0.61,1.24255
0.49,0.38,2.43385
0.62,0.21,2.77525
0.79,0.55,2.5395
0.64,0.52,2.43695
0.17,0.15,2.1929
0.45,0.81,2.01315
0.48,0.8,2.04035
0.51,0.39,2.44535
0.62,0.39,2.5574
0.58,0.64,2.2942
0.8,0.62,2.4851
0.6,0.07,2.98465
0.35,0.87,1.8279
0.85,0.83,2.37895
0.96,0.89,2.4069
0.68,0.4,2.59625
0.13,0.15,2.0614
0.14,0.31,1.82525
0.15,0.88,1.42595
0.72,0.97,2.19025
0.56,0.33,2.57805
0.52,0.26,2.63865
0.99,0.97,2.3733
0.9,0.63,2.5507
0.31,0.47,2.0691
0.98,0.8,2.47395
0.31,0.34,2.23935
0.22,0.4,1.9167
