x,y,score
0.46,0.76,1.7602
0.54,0.86,1.729
0.16,0.19,2.15795
0.61,0.18,3.0034
0.82,0.41,2.9974
0.72,0.66,2.4005
0.63,0.37,2.7032
0.41,0.28,2.43715
0.16,0.44,1.7231
0.8,0.33,3.10425
0.84,0.23,3.3308
0.25,0.48,1.8335
0.62,0.7,2.1378
0.78,0.28,3.14915
0.03,0.68,1.09835
0.57,0.0,3.22725
0.69,0.37,2.80765
0.46,0.05,2.93085
0.65,0.03,3.31735
0.56,0.8,1.84725
0.28,0.44,1.9546
0.65,0.0,3.3844
0.57,0.1,3.04155
0.44,0.29,2.4998
0.63,0.49,2.5029
0.26,0.03,2.6024
0.92,0.27,3.40915
0.69,0.35,2.8559
0.79,0.78,2.2994
0.3,0.26,2.28885
0.98,0.54,3.0884
0.25,0.62,1.60515
0.55,0.43,2.47145
0.19,0.06,2.43005
0.14,0.65,1.33645
0.09,0.65,1.2513
0.92,1.0,2.15665
0.51,0.43,2.3801
0.36,0.66,1.73455
0.33,0.92,1.23305
0.01,0.93,0.6436
0.25,0.81,1.26685
0.9,0.46,3.07155
0.3,0.12,2.5227
0.87,0.59,2.7636
0.8,0.75,2.3491
0.93,0.2,3.5529
0.34,0.41,2.13295
0.05,0.48,1.4636
0.9,0.12,3.62165
0.59,0.65,2.15395
0.72,0.62,2.4707
0.29,0.87,1.2383
0.02,0.72,0.999
0.8,0.35,3.0539
0.09,0.22,1.95685
0.05,0.61,1.23935
0.49,0.38,2.4456
0.62,0.21,2.9649
0.79,0.55,2.7143
0.64,0.52,2.4824
0.17,0.15,2.21595
0.45,0.81,1.6428
0.48,0.8,1.72635
0.51,0.39,2.47815
0.62,0.39,2.6549
0.58,0.64,2.1765
0.8,0.62,2.58925
0.6,0.07,3.1552
0.35,0.87,1.3487
0.85,0.83,2.33805
0.96,0.89,2.4564
0.68,0.4,2.72975
0.13,0.15,2.17135
0.14,0.31,1.9074
0.15,0.88,0.9919
0.72,0.97,1.8555
0.56,0.33,2.6422
0.52,0.26,2.6901
0.99,0.97,2.3844
0.9,0.63,2.7825
0.31,0.47,1.9644
0.98,0.8,2.6138
0.31,0.34,2.17565
0.22,0.4,1.88905
0.87,0.37,3.14995
0.76,0.43,2.8386
0.79,0.76,2.3512
0.83,0.38,3.07125
0.74,0.12,3.33445
0.68,0.51,2.59365
0.56,0.43,2.4823
0.63,0.01,3.31635
0.45,0.24,2.60195
0.52,0.13,2.9112
0.64,0.47,2.55575
0.51,0.91,1.6038
0.78,0.92,2.0656
0.92,0.54,2.9674
0.75,0.83,2.16555
0.72,0.5,2.6663
0.53,0.74,1.9032
0.82,0.88,2.2066
0.63,0.35,2.75195
0.8,0.56,2.7382
0.99,0.8,2.63175
0.69,0.67,2.3234
0.44,0.43,2.26685
0.71,0.62,2.44485
0.63,0.08,3.2003
0.48,0.4,2.3977
0.93,0.51,3.01455
0.65,0.12,3.1479
0.78,0.34,3.0199
0.17,0.41,1.79945
0.59,0.93,1.7018
0.98,0.65,2.8885
0.89,0.49,2.97335
0.09,0.48,1.5297
0.98,0.94,2.4032
0.6,0.72,2.056
0.74,0.48,2.73155
0.48,0.19,2.75
0.15,0.11,2.27005
0.86,0.55,2.832
0.97,0.56,2.9929
1.0,0.64,2.91405
0.43,0.66,1.85545
0.85,0.2,3.40865
0.02,0.64,1.15535
0.26,0.02,2.62805
0.12,0.68,1.255
0.66,0.15,3.13535
0.75,0.58,2.58755
0.04,0.92,0.69955
0.15,0.58,1.493
0.4,0.84,1.49085
0.94,0.97,2.2687
0.64,0.08,3.2321
0.08,0.63,1.2594
0.81,0.9,2.16485
0.21,0.79,1.2457
0.21,0.13,2.33095
0.82,0.12,3.4644
0.77,0.84,2.19695
0.76,0.89,2.0908
0.06,0.34,1.73625
0.92,0.45,3.0919
0.41,0.87,1.46305
0.11,0.48,1.57785
0.67,0.53,2.49155
0.36,0.88,1.3916
0.47,0.6,2.03055
0.34,0.03,2.74945
0.79,0.95,2.0367
0.24,0.56,1.6736
0.17,0.32,1.95875
0.59,0.26,2.8144
0.59,0.68,2.1058
1.0,0.57,3.0599
0.63,0.84,1.9211
0.72,0.58,2.5019
0.84,0.68,2.5699
0.07,0.87,0.84635
0.71,0.48,2.6731
0.27,0.76,1.4092
0.2,0.43,1.83585
0.25,0.83,1.2566
0.74,0.97,1.9077
0.56,0.06,3.0996
0.77,0.18,3.2888
0.61,0.23,2.9072
0.73,0.56,2.5581
0.4,0.67,1.78865
0.93,0.15,3.6294
0.37,0.3,2.3736
0.89,0.6,2.8131
0.32,0.92,1.244
0.97,0.95,2.3338
0.96,0.12,3.74195
0.74,0.25,3.0989
0.47,0.92,1.4922
0.13,0.43,1.7096
0.8,0.68,2.51065
0.01,0.53,1.30855
0.69,0.03,3.3927
0.73,0.82,2.13705
0.97,0.94,2.397
0.9,1.0,2.12585
0.08,0.23,1.93875
0.82,0.79,2.3268
0.42,0.46,2.16125
0.62,0.93,1.74325
0.71,0.43,2.76025
0.77,0.04,3.516
0.97,0.53,3.0402
0.73,0.22,3.1373
0.59,0.14,3.01355
