x,y,score
0.46,0.76,2.7036
0.54,0.86,2.9916
0.16,0.19,1.71315
0.61,0.18,3.3378
0.82,0.41,3.938
0.72,0.66,3.59235
0.63,0.37,3.37655
0.41,0.28,2.6391
0.16,0.44,1.67205
0.8,0.33,3.894
0.84,0.23,3.9933
0.25,0.48,2.0003
0.62,0.7,3.26635
0.78,0.28,3.8209
0.03,0.68,1.13435
0.57,0.0,3.0
0.69,0.37,3.56765
0.46,0.05,2.8831
0.65,0.03,3.32815
0.56,0.8,3.05065
0.28,0.44,2.09445
0.65,0.0,3.0
0.57,0.1,3.2061
0.44,0.29,2.7252
0.63,0.49,3.33985
0.26,0.03,2.27345
0.92,0.27,4.18955
0.69,0.35,3.57835
0.79,0.78,3.80895
0.3,0.26,2.2194
0.98,0.54,4.3841
0.25,0.62,1.96415
0.55,0.43,3.0914
0.19,0.06,1.946
0.14,0.65,1.5342
0.09,0.65,1.35095
0.92,1.0,4.12525
0.51,0.43,2.97975
0.36,0.66,2.372
0.33,0.92,2.19025
0.01,0.93,1.00205
0.25,0.81,1.9356
0.9,0.46,4.1684
0.3,0.12,2.28825
0.87,0.59,4.04805
0.8,0.75,3.84255
0.93,0.2,4.1837
0.34,0.41,2.35045
0.05,0.48,1.2583
0.9,0.12,4.04005
0.59,0.65,3.18095
0.72,0.62,3.61725
0.29,0.87,2.0269
0.02,0.72,1.08035
0.8,0.35,3.8935
0.09,0.22,1.45355
0.05,0.61,1.2179
0.49,0.38,2.9169
0.62,0.21,3.37525
0.79,0.55,3.8436
0.64,0.52,3.3864
0.17,0.15,1.76745
0.45,0.81,2.6597
0.48,0.8,2.7701
0.51,0.39,2.97365
0.62,0.39,3.33945
0.58,0.64,3.1546
0.8,0.62,3.84855
0.6,0.07,3.2978
0.35,0.87,2.2718
0.85,0.83,3.95535
0.96,0.89,4.25835
0.68,0.4,3.523
0.13,0.15,1.6379
0.14,0.31,1.6171
0.15,0.88,1.54455
0.72,0.97,3.5461
0.56,0.33,3.1555
0.52,0.26,3.0375
0.99,0.97,4.3039
0.9,0.63,4.13915
0.31,0.47,2.2197
0.98,0.8,4.3274
0.31,0.34,2.2879
0.22,0.4,1.87485
0.87,0.37,4.0659
0.76,0.43,3.77655
0.79,0.76,3.8115
0.83,0.38,3.97355
0.74,0.12,3.7111
0.68,0.51,3.5335
0.56,0.43,3.1395
0.63,0.01,3.18285
0.45,0.24,2.7951
0.52,0.13,3.05345
0.64,0.47,3.39495
0.51,0.91,2.88275
0.78,0.92,3.72985
0.92,0.54,4.20165
0.75,0.83,3.6691
0.72,0.5,3.64005
0.53,0.74,2.9618
0.82,0.88,3.87325
0.63,0.35,3.3796
0.8,0.56,3.87535
0.99,0.8,4.35205
0.69,0.67,3.5313
0.44,0.43,2.7098
0.71,0.62,3.5962
0.63,0.08,3.3949
0.48,0.4,2.8555
0.93,0.51,4.2364
0.65,0.12,3.47695
0.78,0.34,3.82965
0.17,0.41,1.7149
0.59,0.93,3.1382
0.98,0.65,4.3621
0.89,0.49,4.1155
0.09,0.48,1.39515
0.98,0.94,4.2906
0.6,0.72,3.1993
0.74,0.48,3.6978
0.48,0.19,2.89955
0.15,0.11,1.74595
0.86,0.55,4.0454
0.97,0.56,4.3515
1.0,0.64,4.4156
0.43,0.66,2.6247
0.85,0.2,4.0123
0.02,0.64,1.0969
0.26,0.02,2.3735
0.12,0.68,1.4666
0.66,0.15,3.488
0.75,0.58,3.7296
0.04,0.92,1.10735
0.15,0.58,1.60795
0.4,0.84,2.46215
0.94,0.97,4.17535
0.64,0.08,3.4002
0.08,0.63,1.32445
0.81,0.9,3.83465
0.21,0.79,1.78165
0.21,0.13,1.94515
0.82,0.12,3.8677
0.77,0.84,3.71255
0.76,0.89,3.68535
0.06,0.34,1.3298
0.92,0.45,4.21275
0.41,0.87,2.4898
0.11,0.48,1.48535
0.67,0.53,3.4634
0.36,0.88,2.3091
0.47,0.6,2.7816
0.34,0.03,2.5097
0.79,0.95,3.7715
0.24,0.56,1.9449
0.17,0.32,1.75225
0.59,0.26,3.26065
0.59,0.68,3.17375
1.0,0.57,4.4294
0.63,0.84,3.2632
0.72,0.58,3.60355
0.84,0.68,3.94525
0.07,0.87,1.2398
0.71,0.48,3.62045
0.27,0.76,2.0331
0.2,0.43,1.8141
0.25,0.83,1.93515
0.74,0.97,3.6155
0.56,0.06,3.17355
0.77,0.18,3.8148
0.61,0.23,3.354
0.73,0.56,3.6678
0.4,0.67,2.48895
0.93,0.15,4.13745
0.37,0.3,2.48
0.89,0.6,4.1124
0.32,0.92,2.16375
0.97,0.95,4.27245
0.96,0.12,4.1517
0.74,0.25,3.7417
0.47,0.92,2.70505
0.13,0.43,1.56015
0.8,0.68,3.85505
0.01,0.53,1.08985
0.69,0.03,3.40455
0.73,0.82,3.6048
0.97,0.94,4.2734
0.9,1.0,4.0513
0.08,0.23,1.43525
0.82,0.79,3.87315
0.42,0.46,2.6266
0.62,0.93,3.22865
0.71,0.43,3.64335
0.77,0.04,3.5639
0.97,0.53,4.34875
0.73,0.22,3.70815
0.59,0.14,3.288
0.5,0.81,2.82265
0.4,1.0,2.44515
0.89,0.12,4.0046
0.05,0.83,1.1755
0.19,0.67,1.73125
0.97,0.93,4.2743
0.69,0.2,3.5881
0.72,0.64,3.58165
0.94,0.47,4.27705
0.81,0.73,3.86275
0.5,0.86,2.8332
0.15,0.5,1.6254
0.45,0.28,2.77285
0.48,0.93,2.73245
0.15,0.25,1.67685
0.32,0.14,2.35455
0.62,0.38,3.3345
0.48,0.51,2.82315
0.61,0.92,3.21345
0.34,0.82,2.2532
0.39,0.43,2.5256
0.89,0.11,4.0082
0.67,0.3,3.4921
0.15,0.26,1.6624
0.72,0.21,3.64805
0.57,0.41,3.1572
0.01,0.09,1.26425
0.55,0.84,3.01415
0.85,0.24,4.0211
0.53,0.07,3.10665
0.81,0.85,3.8512
0.65,0.79,3.35
0.08,0.01,2.1503
0.62,0.24,3.37585
0.28,0.85,2.04115
0.12,0.31,1.5514
0.04,0.88,1.1131
0.25,0.42,2.01205
0.29,0.34,2.15595
0.12,0.75,1.44875
0.16,0.7,1.6214
0.9,0.47,4.15155
0.65,0.01,3.1985
0.44,0.94,2.5875
0.38,0.39,2.49745
0.95,0.84,4.2543
0.31,0.48,2.23115
0.45,0.92,2.63675
0.08,0.35,1.3896
0.68,0.89,3.42705
0.99,1.0,4.2994
0.61,0.37,3.3254
0.02,0.96,1.03175
0.94,0.0,3.0
0.71,0.78,3.56585
0.09,0.02,1.8528
0.46,0.16,2.8286
0.3,0.07,2.2981
0.94,0.83,4.21185
0.25,0.01,2.46325
0.78,0.53,3.82765
0.24,0.45,1.9655
0.1,0.82,1.3607
0.27,0.33,2.1023
0.89,0.17,4.08715
0.5,0.19,2.96175
0.12,0.89,1.41015
0.57,0.07,3.19025
0.85,0.58,4.02825
0.03,0.67,1.13735
0.79,0.05,3.64655
0.18,0.3,1.77495
0.66,0.43,3.46025
0.41,0.6,2.57285
0.52,0.47,2.99375
0.53,0.05,3.1056
0.51,0.93,2.86055
0.8,0.32,3.8891
0.91,0.77,4.14965
0.57,0.84,3.07885
0.65,0.7,3.34575
0.6,0.23,3.30045
0.11,0.82,1.38045
0.46,1.0,2.67295
0.71,0.57,3.60005
0.28,0.08,2.24045
0.2,0.19,1.8782
0.82,0.03,3.5495
0.9,0.83,4.1099
0.68,0.02,3.3473
0.1,0.34,1.4779
0.97,0.02,3.47015
0.27,0.01,2.48425
0.84,0.82,3.9358
0.99,0.61,4.4075
0.18,0.48,1.7243
0.18,0.73,1.67145
0.79,0.15,3.83295
0.77,0.93,3.7122
0.58,0.8,3.123
0.18,0.95,1.6332
0.21,0.71,1.8017
0.98,0.62,4.3591
0.23,0.97,1.82675
0.06,0.16,1.3957
0.53,0.36,3.0255
0.97,0.86,4.29065
0.26,0.42,2.0446
0.81,0.43,3.9178
