x,y,score
0.46,0.76,2.28
0.54,0.86,2.57
0.16,0.19,1.965
0.61,0.18,3.35
0.82,0.41,3.935
0.72,0.66,3.705
0.63,0.37,3.305
0.41,0.28,2.86
0.16,0.44,1.645
0.8,0.33,3.71
0.84,0.23,4.16
0.25,0.48,1.875
0.62,0.7,3.13
0.78,0.28,3.91
0.03,0.68,1.055
0.57,0.0,3.0
0.69,0.37,3.66
0.46,0.05,2.815
0.65,0.03,3.2
0.56,0.8,3.0
0.28,0.44,1.965
0.65,0.0,3.0
0.57,0.1,2.77
0.44,0.29,2.7
0.63,0.49,3.385
0.26,0.03,2.59
0.92,0.27,4.45
0.69,0.35,3.455
0.79,0.78,4.04
0.3,0.26,2.335
0.98,0.54,4.81
0.25,0.62,1.885
0.55,0.43,2.88
0.19,0.06,2.485
0.14,0.65,1.325
0.09,0.65,1.365
0.92,1.0,4.485
0.51,0.43,2.47
0.36,0.66,2.165
0.33,0.92,2.3
0.01,0.93,0.98
0.25,0.81,2.0
0.9,0.46,4.675
0.3,0.12,2.58
0.87,0.59,4.205
0.8,0.75,3.985
0.93,0.2,4.345
0.34,0.41,2.29
0.05,0.48,1.33
0.9,0.12,4.425
0.59,0.65,3.175
0.72,0.62,3.59
0.29,0.87,2.2
0.02,0.72,1.085
0.8,0.35,3.87
0.09,0.22,1.84
0.05,0.61,1.395
0.49,0.38,2.795
0.62,0.21,3.245
0.79,0.55,4.03
0.64,0.52,3.555
0.17,0.15,2.08
0.45,0.81,2.65
0.48,0.8,2.575
0.51,0.39,2.875
0.62,0.39,3.3
0.58,0.64,2.555
0.8,0.62,3.815
0.6,0.07,3.13
0.35,0.87,2.285
0.85,0.83,4.175
0.96,0.89,4.46
0.68,0.4,3.34
0.13,0.15,2.07
0.14,0.31,1.655
0.15,0.88,1.525
0.72,0.97,3.79
0.56,0.33,2.91
0.52,0.26,2.885
0.99,0.97,4.77
0.9,0.63,4.43
0.31,0.47,2.075
0.98,0.8,4.62
0.31,0.34,2.36
0.22,0.4,2.05
0.87,0.37,3.995
0.76,0.43,3.945
0.79,0.76,3.86
0.83,0.38,3.965
0.74,0.12,3.75
0.68,0.51,3.32
0.56,0.43,3.0
0.63,0.01,3.005
0.45,0.24,2.585
0.52,0.13,2.7
0.64,0.47,3.155
0.51,0.91,2.94
0.78,0.92,3.92
0.92,0.54,4.475
0.75,0.83,3.815
0.72,0.5,3.47
0.53,0.74,2.75
0.82,0.88,3.97
0.63,0.35,3.095
0.8,0.56,3.82
0.99,0.8,4.685
0.69,0.67,3.56
0.44,0.43,2.66
0.71,0.62,3.54
0.63,0.08,3.31
0.48,0.4,2.625
0.93,0.51,4.53
0.65,0.12,3.535
0.78,0.34,3.89
0.17,0.41,1.81
0.59,0.93,2.965
0.98,0.65,4.62
0.89,0.49,4.61
0.09,0.48,1.56
0.98,0.94,4.595
0.6,0.72,3.43
0.74,0.48,3.815
0.48,0.19,2.725
0.15,0.11,2.1
0.86,0.55,4.195
0.97,0.56,4.835
1.0,0.64,4.75
0.43,0.66,2.335
0.85,0.2,4.17
0.02,0.64,1.085
0.26,0.02,2.865
0.12,0.68,1.42
0.66,0.15,3.495
0.75,0.58,3.78
0.04,0.92,1.015
0.15,0.58,1.56
0.4,0.84,2.235
0.94,0.97,4.57
0.64,0.08,3.03
0.08,0.63,1.35
0.81,0.9,4.11
0.21,0.79,1.89
0.21,0.13,1.99
0.82,0.12,4.275
0.77,0.84,4.02
0.76,0.89,3.58
0.06,0.34,1.52
0.92,0.45,4.475
0.41,0.87,2.6
0.11,0.48,1.535
0.67,0.53,3.335
0.36,0.88,2.335
0.47,0.6,2.86
0.34,0.03,2.73
0.79,0.95,3.92
0.24,0.56,1.775
0.17,0.32,1.95
0.59,0.26,3.295
0.59,0.68,3.155
1.0,0.57,4.76
0.63,0.84,3.31
0.72,0.58,3.675
0.84,0.68,4.025
0.07,0.87,1.195
0.71,0.48,3.915
0.27,0.76,1.935
0.2,0.43,1.77
0.25,0.83,1.765
0.74,0.97,3.935
0.56,0.06,3.04
0.77,0.18,3.275
0.61,0.23,3.02
0.73,0.56,3.68
0.4,0.67,2.495
0.93,0.15,3.69
0.37,0.3,2.37
0.89,0.6,4.31
0.32,0.92,2.32
0.97,0.95,4.67
0.96,0.12,4.655
0.74,0.25,3.735
0.47,0.92,2.97
0.13,0.43,1.64
0.8,0.68,3.785
0.01,0.53,1.2
0.69,0.03,3.335
0.73,0.82,3.595
0.97,0.94,4.69
0.9,1.0,4.39
0.08,0.23,1.845
0.82,0.79,4.03
0.42,0.46,2.265
0.62,0.93,3.055
0.71,0.43,3.705
0.77,0.04,3.45
0.97,0.53,4.515
0.73,0.22,3.67
0.59,0.14,3.165
0.5,0.81,2.66
0.4,1.0,2.555
0.89,0.12,3.795
0.05,0.83,1.1
0.19,0.67,1.59
0.97,0.93,4.73
0.69,0.2,3.295
0.72,0.64,3.7
0.94,0.47,4.585
0.81,0.73,4.14
0.5,0.86,2.975
0.15,0.5,1.615
0.45,0.28,2.73
0.48,0.93,2.92
0.15,0.25,1.97
0.32,0.14,2.33
0.62,0.38,3.52
0.48,0.51,2.995
0.61,0.92,3.08
0.34,0.82,1.905
0.39,0.43,2.21
0.89,0.11,4.3
0.67,0.3,3.48
0.15,0.26,1.985
0.72,0.21,3.495
0.57,0.41,3.145
0.01,0.09,1.92
0.55,0.84,3.125
0.85,0.24,4.085
0.53,0.07,3.065
0.81,0.85,4.11
0.65,0.79,3.375
0.08,0.01,2.61
0.62,0.24,2.845
0.28,0.85,1.705
0.12,0.31,1.79
0.04,0.88,0.935
0.25,0.42,1.875
0.29,0.34,2.065
0.12,0.75,1.43
0.16,0.7,1.55
0.9,0.47,4.375
0.65,0.01,3.125
0.44,0.94,2.44
0.38,0.39,2.25
0.95,0.84,4.525
0.31,0.48,2.2
