x,y,score
0.46,0.76,2.22315
0.54,0.86,2.254
0.16,0.19,1.8529
0.61,0.18,2.7083
0.82,0.41,2.55125
0.72,0.66,2.32705
0.63,0.37,2.49425
0.41,0.28,2.44815
0.16,0.44,1.6693
0.8,0.33,2.611
0.84,0.23,2.73635
0.25,0.48,1.9751
0.62,0.7,2.3057
0.78,0.28,2.65735
0.03,0.68,1.1289
0.57,0.0,3.0
0.69,0.37,2.51845
0.46,0.05,2.889
0.65,0.03,2.9467
0.56,0.8,2.2645
0.28,0.44,2.0565
0.65,0.0,3.0
0.57,0.1,2.81785
0.44,0.29,2.44875
0.63,0.49,2.39125
0.26,0.03,2.89785
0.92,0.27,2.71525
0.69,0.35,2.55025
0.79,0.78,2.3027
0.3,0.26,2.26525
0.98,0.54,2.5091
0.25,0.62,1.91485
0.55,0.43,2.39635
0.19,0.06,2.66455
0.14,0.65,1.5489
0.09,0.65,1.35845
0.92,1.0,2.26655
0.51,0.43,2.3708
0.36,0.66,2.14915
0.33,0.92,2.01435
0.01,0.93,1.0356
0.25,0.81,1.86455
0.9,0.46,2.5494
0.3,0.12,2.60435
0.87,0.59,2.4345
0.8,0.75,2.313
0.93,0.2,2.7844
0.34,0.41,2.2293
0.05,0.48,1.23095
0.9,0.12,2.8586
0.59,0.65,2.3106
0.72,0.62,2.3489
0.29,0.87,1.95365
0.02,0.72,1.0791
0.8,0.35,2.5984
0.09,0.22,1.49705
0.05,0.61,1.2119
0.49,0.38,2.4006
0.62,0.21,2.6804
0.79,0.55,2.42285
0.64,0.52,2.37775
0.17,0.15,2.0405
0.45,0.81,2.2089
0.48,0.8,2.23425
0.51,0.39,2.4081
0.62,0.39,2.4665
0.58,0.64,2.32345
0.8,0.62,2.3819
0.6,0.07,2.8757
0.35,0.87,2.0724
0.85,0.83,2.2888
0.96,0.89,2.29615
0.68,0.4,2.47825
0.13,0.15,1.872
0.14,0.31,1.6537
0.15,0.88,1.5553
0.72,0.97,2.27275
0.56,0.33,2.48835
0.52,0.26,2.55705
