x,y,score
0.46,0.76,2.1604
0.54,0.86,2.19085
0.16,0.19,1.9887
0.61,0.18,2.69665
0.82,0.41,2.5259
0.72,0.66,2.33255
0.63,0.37,2.47655
0.41,0.28,2.42795
0.16,0.44,1.69885
0.8,0.33,2.58405
0.84,0.23,2.6964
0.25,0.48,1.9507
0.62,0.7,2.303
0.78,0.28,2.62655
0.03,0.68,1.1269
0.57,0.0,3.0
0.69,0.37,2.49815
0.46,0.05,2.87135
0.65,0.03,2.9353
0.56,0.8,2.2448
0.28,0.44,2.02515
0.65,0.0,3.0
0.57,0.1,2.80815
0.44,0.29,2.44465
0.63,0.49,2.39045
0.26,0.03,2.8871
0.92,0.27,2.66625
0.69,0.35,2.52225
0.79,0.78,2.30715
0.3,0.26,2.2805
0.98,0.54,2.49265
0.25,0.62,1.86895
0.55,0.43,2.39135
0.19,0.06,2.71045
0.14,0.65,1.5329
0.09,0.65,1.36215
0.92,1.0,2.2612
0.51,0.43,2.36715
0.36,0.66,2.0556
0.33,0.92,1.92085
0.01,0.93,1.034
0.25,0.81,1.78605
0.9,0.46,2.51265
0.3,0.12,2.62815
0.87,0.59,2.4185
0.8,0.75,2.326
0.93,0.2,2.74075
0.34,0.41,2.1993
0.05,0.48,1.2341
0.9,0.12,2.8337
0.59,0.65,2.30805
0.72,0.62,2.35425
0.29,0.87,1.8771
0.02,0.72,1.0822
0.8,0.35,2.5581
0.09,0.22,1.54935
0.05,0.61,1.2122
0.49,0.38,2.39255
0.62,0.21,2.6466
0.79,0.55,2.40745
0.64,0.52,2.37425
0.17,0.15,2.1742
0.45,0.81,2.13555
0.48,0.8,2.16405
0.51,0.39,2.3994
0.62,0.39,2.4542
0.58,0.64,2.30725
0.8,0.62,2.37845
0.6,0.07,2.85805
0.35,0.87,1.9656
0.85,0.83,2.3025
0.96,0.89,2.29945
0.68,0.4,2.4742
0.13,0.15,1.97835
0.14,0.31,1.72805
0.15,0.88,1.50705
0.72,0.97,2.2658
0.56,0.33,2.4847
0.52,0.26,2.53065
0.99,0.97,2.2739
0.9,0.63,2.40375
0.31,0.47,2.0831
0.98,0.8,2.34975
0.31,0.34,2.20235
0.22,0.4,1.92805
0.87,0.37,2.5699
0.76,0.43,2.4804
0.79,0.76,2.31805
0.83,0.38,2.54715
0.74,0.12,2.80275
0.68,0.51,2.3929
0.56,0.43,2.39705
0.63,0.01,2.97685
0.45,0.24,2.51795
0.52,0.13,2.7314
0.64,0.47,2.40955
0.51,0.91,2.16265
0.78,0.92,2.27195
0.92,0.54,2.4644
0.75,0.83,2.29565
0.72,0.5,2.4304
0.53,0.74,2.23055
0.82,0.88,2.28725
0.63,0.35,2.50305
0.8,0.56,2.41135
0.99,0.8,2.34845
0.69,0.67,2.3275
0.44,0.43,2.32455
0.71,0.62,2.35045
0.63,0.08,2.85315
0.48,0.4,2.37105
0.93,0.51,2.48265
0.65,0.12,2.7941
0.78,0.34,2.56765
0.17,0.41,1.74395
0.59,0.93,2.2167
0.98,0.65,2.4202
0.89,0.49,2.4941
0.09,0.48,1.3985
0.98,0.94,2.28555
0.6,0.72,2.27915
0.74,0.48,2.4433
0.48,0.19,2.61615
0.15,0.11,2.26685
0.86,0.55,2.43545
