x,y,score
0.46,0.76,2.45295
0.54,0.86,2.521
0.16,0.19,1.83545
0.61,0.18,2.85555
0.82,0.41,2.7525
0.72,0.66,2.44475
0.63,0.37,2.60675
0.41,0.28,2.4868
0.16,0.44,1.67105
0.8,0.33,2.82845
0.84,0.23,3.01235
0.25,0.48,1.9771
0.62,0.7,2.48405
0.78,0.28,2.8905
0.03,0.68,1.12655
0.57,0.0,3.0
0.69,0.37,2.66835
0.46,0.05,2.89605
0.65,0.03,2.9606
0.56,0.8,2.5334
0.28,0.44,2.0749
0.65,0.0,3.0
0.57,0.1,2.9193
0.44,0.29,2.52505
0.63,0.49,2.4855
0.26,0.03,2.79655
0.92,0.27,3.05735
0.69,0.35,2.68905
0.79,0.78,2.4469
0.3,0.26,2.29525
0.98,0.54,2.7586
0.25,0.62,1.94015
0.55,0.43,2.50285
0.19,0.06,2.45015
0.14,0.65,1.5532
0.09,0.65,1.3535
0.92,1.0,2.48555
0.51,0.43,2.4641
0.36,0.66,2.27905
0.33,0.92,2.13825
0.01,0.93,1.03355
0.25,0.81,1.93725
0.9,0.46,2.7561
0.3,0.12,2.573
0.87,0.59,2.6365
0.8,0.75,2.44375
0.93,0.2,3.09945
0.34,0.41,2.279
0.05,0.48,1.21725
0.9,0.12,3.02985
0.59,0.65,2.4571
0.72,0.62,2.47745
0.29,0.87,2.04575
0.02,0.72,1.0828
0.8,0.35,2.8204
0.09,0.22,1.4926
0.05,0.61,1.20445
0.49,0.38,2.4905
0.62,0.21,2.8124
0.79,0.55,2.596
0.64,0.52,2.47145
0.17,0.15,1.97605
0.45,0.81,2.42155
0.48,0.8,2.46935
0.51,0.39,2.5197
0.62,0.39,2.5706
0.58,0.64,2.4796
0.8,0.62,2.5121
0.6,0.07,2.943
0.35,0.87,2.20815
0.85,0.83,2.46435
0.96,0.89,2.5333
0.68,0.4,2.6522
0.13,0.15,1.7511
0.14,0.31,1.62345
0.15,0.88,1.5518
0.72,0.97,2.51755
0.56,0.33,2.5709
0.52,0.26,2.61445
0.99,0.97,2.55115
0.9,0.63,2.6394
0.31,0.47,2.17575
0.98,0.8,2.5698
0.31,0.34,2.21895
0.22,0.4,1.8966
0.87,0.37,2.8358
0.76,0.43,2.7069
0.79,0.76,2.47825
0.83,0.38,2.79965
0.74,0.12,3.01345
0.68,0.51,2.5294
0.56,0.43,2.52395
0.63,0.01,2.9798
0.45,0.24,2.58975
0.52,0.13,2.81405
0.64,0.47,2.51295
0.51,0.91,2.4867
0.78,0.92,2.4775
0.92,0.54,2.7178
0.75,0.83,2.43525
0.72,0.5,2.5811
0.53,0.74,2.5084
0.82,0.88,2.47335
0.63,0.35,2.63855
0.8,0.56,2.6095
0.99,0.8,2.58275
0.69,0.67,2.46025
0.44,0.43,2.45095
0.71,0.62,2.4538
0.63,0.08,2.9536
0.48,0.4,2.4787
0.93,0.51,2.76245
0.65,0.12,2.96455
0.78,0.34,2.78715
0.17,0.41,1.71235
0.59,0.93,2.54555
0.98,0.65,2.67525
0.89,0.49,2.7384
0.09,0.48,1.3778
0.98,0.94,2.50775
0.6,0.72,2.495
0.74,0.48,2.6339
0.48,0.19,2.68805
0.15,0.11,2.04555
0.86,0.55,2.654
0.97,0.56,2.73805
1.0,0.64,2.7011
0.43,0.66,2.40645
0.85,0.2,3.0676
0.02,0.64,1.0878
0.26,0.02,2.8718
0.12,0.68,1.47745
0.66,0.15,2.95385
0.75,0.58,2.51905
0.04,0.92,1.1502
0.15,0.58,1.5946
0.4,0.84,2.33735
0.94,0.97,2.51795
0.64,0.08,2.96085
0.08,0.63,1.3351
0.81,0.9,2.4403
0.21,0.79,1.79665
0.21,0.13,2.23365
0.82,0.12,3.04195
0.77,0.84,2.4739
0.76,0.89,2.4375
0.06,0.34,1.29235
0.92,0.45,2.8128
0.41,0.87,2.35805
0.11,0.48,1.46685
0.67,0.53,2.50165
0.36,0.88,2.23205
0.47,0.6,2.4867
0.34,0.03,2.88195
0.79,0.95,2.47255
0.24,0.56,1.94585
0.17,0.32,1.7399
0.59,0.26,2.7099
0.59,0.68,2.513
1.0,0.57,2.7494
0.63,0.84,2.5345
0.72,0.58,2.50145
0.84,0.68,2.51545
0.07,0.87,1.2653
0.71,0.48,2.56455
0.27,0.76,1.9979
0.2,0.43,1.81435
0.25,0.83,1.9177
0.74,0.97,2.50055
0.56,0.06,2.92475
0.77,0.18,3.02175
0.61,0.23,2.777
0.73,0.56,2.51935
0.4,0.67,2.3644
0.93,0.15,3.0675
0.37,0.3,2.4029
0.89,0.6,2.6174
0.32,0.92,2.1192
0.97,0.95,2.538
0.96,0.12,3.02455
0.74,0.25,2.88915
0.47,0.92,2.43555
0.13,0.43,1.5377
0.8,0.68,2.475
0.01,0.53,1.0594
0.69,0.03,2.96265
0.73,0.82,2.4509
0.97,0.94,2.5274
0.9,1.0,2.47585
0.08,0.23,1.42705
0.82,0.79,2.45455
0.42,0.46,2.4047
0.62,0.93,2.56055
0.71,0.43,2.64675
0.77,0.04,2.9537
0.97,0.53,2.76985
0.73,0.22,2.92805
0.59,0.14,2.8728
0.5,0.81,2.491
0.4,1.0,2.3049
0.89,0.12,3.0241
0.05,0.83,1.1873
0.19,0.67,1.72855
0.97,0.93,2.50685
0.69,0.2,2.92465
0.72,0.64,2.48585
0.94,0.47,2.7444
0.81,0.73,2.46155
0.5,0.86,2.46365
0.15,0.5,1.6226
0.45,0.28,2.5234
0.48,0.93,2.458
0.15,0.25,1.71275
0.32,0.14,2.5393
0.62,0.38,2.5851
0.48,0.51,2.4583
0.61,0.92,2.538
0.34,0.82,2.18215
0.39,0.43,2.3685
0.89,0.11,3.034
0.67,0.3,2.7368
0.15,0.26,1.71515
0.72,0.21,2.9211
0.57,0.41,2.5359
0.01,0.09,1.34895
0.55,0.84,2.52915
0.85,0.24,3.0419
0.53,0.07,2.90305
0.81,0.85,2.4651
0.65,0.79,2.49365
0.08,0.01,2.7656
0.62,0.24,2.76
0.28,0.85,2.01095
0.12,0.31,1.5623
0.04,0.88,1.1512
0.25,0.42,1.9942
0.29,0.34,2.1623
0.12,0.75,1.47985
0.16,0.7,1.646
0.9,0.47,2.7515
0.65,0.01,2.9845
0.44,0.94,2.38705
0.38,0.39,2.3574
0.95,0.84,2.5628
0.31,0.48,2.18445
0.45,0.92,2.4028
0.08,0.35,1.36515
0.68,0.89,2.51695
0.99,1.0,2.5733
0.61,0.37,2.61375
0.02,0.96,1.0733
0.94,0.0,3.0
0.71,0.78,2.4239
0.09,0.02,2.5395
0.46,0.16,2.71015
0.3,0.07,2.643
0.94,0.83,2.539
0.25,0.01,2.955
0.78,0.53,2.5846
0.24,0.45,1.9456
0.1,0.82,1.37455
0.27,0.33,2.09645
0.89,0.17,3.0563
0.5,0.19,2.7076
0.12,0.89,1.4642
0.57,0.07,2.92985
0.85,0.58,2.61855
0.03,0.67,1.12735
0.79,0.05,2.95905
0.18,0.3,1.79945
0.66,0.43,2.5845
0.41,0.6,2.39635
0.52,0.47,2.449
0.53,0.05,2.9248
0.51,0.93,2.49785
0.8,0.32,2.88685
0.91,0.77,2.50755
0.57,0.84,2.53505
0.65,0.7,2.47475
0.6,0.23,2.75975
0.11,0.82,1.41575
0.46,1.0,2.43795
0.71,0.57,2.5219
0.28,0.08,2.63285
0.2,0.19,2.04555
0.82,0.03,2.96585
0.9,0.83,2.51395
0.68,0.02,2.9685
0.1,0.34,1.4529
0.97,0.02,2.97865
0.27,0.01,2.95125
0.84,0.82,2.46355
0.99,0.61,2.72905
0.18,0.48,1.72165
0.18,0.73,1.6958
0.79,0.15,3.054
0.77,0.93,2.4917
0.58,0.8,2.5384
0.18,0.95,1.6653
0.21,0.71,1.80495
0.98,0.62,2.7252
0.23,0.97,1.8498
0.06,0.16,1.41235
0.53,0.36,2.535
0.97,0.86,2.52525
0.26,0.42,2.01065
0.81,0.43,2.73565
0.2,0.12,2.2496
0.1,0.57,1.39925
0.15,0.35,1.65925
0.89,0.02,2.97675
0.51,0.7,2.50085
0.57,0.27,2.67475
0.11,0.19,1.58695
0.69,0.41,2.66515
0.68,0.83,2.4865
0.97,0.34,3.03085
0.36,0.11,2.67015
0.53,0.1,2.8871
0.19,0.47,1.78575
0.81,0.31,2.90175
0.66,0.86,2.51595
0.93,0.77,2.5469
0.82,0.05,2.95485
0.88,0.94,2.4368
0.33,0.39,2.25145
0.1,0.68,1.3899
0.84,0.95,2.47465
0.29,0.54,2.0906
0.96,0.41,2.8991
0.89,0.67,2.61775
0.91,0.12,3.0235
0.31,0.86,2.1039
0.11,0.2,1.6006
0.06,0.77,1.24825
0.89,0.59,2.64895
0.01,0.38,1.08545
0.18,0.09,2.266
0.2,0.72,1.76295
0.56,0.89,2.5462
0.19,0.48,1.78575
0.33,0.63,2.2108
0.86,0.41,2.78425
0.51,0.19,2.72135
0.35,0.08,2.69255
0.51,0.69,2.5162
0.68,0.91,2.52155
0.78,0.73,2.45955
0.65,0.68,2.45975
0.4,0.44,2.39045
0.02,0.27,1.1506
0.3,0.89,2.04075
0.87,0.99,2.46255
0.95,0.8,2.5387
0.58,0.76,2.5159
0.71,0.86,2.45705
0.44,0.13,2.73565
0.48,0.0,3.0
0.57,0.63,2.47535
0.59,0.25,2.6975
0.95,0.45,2.81395
0.12,0.04,2.32985
0.21,0.3,1.92025
0.57,0.31,2.61035
0.26,0.94,1.9332
0.55,0.82,2.52325
0.73,0.83,2.4551
0.94,0.28,3.0825
0.74,0.14,3.02655
0.03,0.55,1.1344
0.28,0.81,2.02505
0.22,0.76,1.8386
0.26,0.45,2.0209
0.15,0.41,1.6259
0.85,0.02,2.97755
0.18,0.19,1.91625
0.11,0.09,1.8855
0.34,0.74,2.2105
0.99,0.67,2.66345
0.74,0.85,2.4482
0.91,0.29,3.03005
0.12,0.41,1.5259
0.17,0.03,2.63135
0.06,0.47,1.271
0.88,0.68,2.54365
0.68,0.19,2.91845
0.44,0.59,2.43885
0.64,0.56,2.4396
0.17,0.24,1.80015
0.56,0.65,2.5051
0.63,0.48,2.51575
0.08,0.2,1.45735
0.24,0.82,1.89915
0.99,0.37,2.9783
0.89,0.42,2.79485
0.38,0.47,2.34415
0.68,0.22,2.8703
0.2,0.25,1.92605
0.27,0.27,2.1468
