x,y,score
0.46,0.76,1.9906
0.54,0.86,2.016
0.16,0.19,2.16595
0.61,0.18,2.7324
0.82,0.41,2.5824
0.72,0.66,2.30845
0.63,0.37,2.5162
0.41,0.28,2.42825
0.16,0.44,1.72255
0.8,0.33,2.64305
0.84,0.23,2.75585
0.25,0.48,1.906
0.62,0.7,2.1983
0.78,0.28,2.68875
0.03,0.68,1.1336
0.57,0.0,3.0007
0.69,0.37,2.54715
0.46,0.05,2.8893
0.65,0.03,2.9569
0.56,0.8,2.0676
0.28,0.44,2.02565
0.65,0.0,3.0007
0.57,0.1,2.82255
0.44,0.29,2.4523
0.63,0.49,2.3892
0.26,0.03,2.8676
0.92,0.27,2.75445
0.69,0.35,2.5749
0.79,0.78,2.2791
0.3,0.26,2.32925
0.98,0.54,2.5573
0.25,0.62,1.7711
0.55,0.43,2.3902
0.19,0.06,2.67855
0.14,0.65,1.49015
0.09,0.65,1.3395
0.92,1.0,2.22265
0.51,0.43,2.34895
0.36,0.66,1.9325
0.33,0.92,1.70745
0.01,0.93,0.99975
0.25,0.81,1.62665
0.9,0.46,2.5699
0.3,0.12,2.60805
0.87,0.59,2.4568
0.8,0.75,2.31025
0.93,0.2,2.81885
0.34,0.41,2.1715
0.05,0.48,1.3359
0.9,0.12,2.88475
0.59,0.65,2.2242
0.72,0.62,2.35015
0.29,0.87,1.6836
0.02,0.72,1.08765
0.8,0.35,2.64105
0.09,0.22,1.8172
0.05,0.61,1.2388
0.49,0.38,2.3883
0.62,0.21,2.6915
0.79,0.55,2.44135
0.64,0.52,2.36575
0.17,0.15,2.2934
0.45,0.81,1.9386
0.48,0.8,1.9759
0.51,0.39,2.39505
0.62,0.39,2.4979
0.58,0.64,2.2198
0.8,0.62,2.4035
0.6,0.07,2.89335
0.35,0.87,1.76825
0.85,0.83,2.28355
0.96,0.89,2.30665
0.68,0.4,2.51345
0.13,0.15,2.1774
0.14,0.31,1.87245
0.15,0.88,1.3853
0.72,0.97,2.11195
0.56,0.33,2.5009
0.52,0.26,2.5736
0.99,0.97,2.28005
0.9,0.63,2.44395
0.31,0.47,2.04785
0.98,0.8,2.37585
0.31,0.34,2.1845
0.22,0.4,1.93345
0.87,0.37,2.6407
0.76,0.43,2.53625
0.79,0.76,2.292
0.83,0.38,2.6161
0.74,0.12,2.8611
0.68,0.51,2.4102
0.56,0.43,2.3943
0.63,0.01,2.98485
0.45,0.24,2.53075
0.52,0.13,2.7639
0.64,0.47,2.4255
0.51,0.91,1.95955
0.78,0.92,2.1768
0.92,0.54,2.52065
0.75,0.83,2.2194
0.72,0.5,2.4437
0.53,0.74,2.09345
0.82,0.88,2.2417
0.63,0.35,2.53665
0.8,0.56,2.44505
0.99,0.8,2.37775
0.69,0.67,2.2913
0.44,0.43,2.27735
0.71,0.62,2.3478
0.63,0.08,2.8831
0.48,0.4,2.33895
0.93,0.51,2.55355
0.65,0.12,2.8303
0.78,0.34,2.63205
0.17,0.41,1.7946
0.59,0.93,2.0232
0.98,0.65,2.4684
0.89,0.49,2.55035
0.09,0.48,1.48285
0.98,0.94,2.2927
0.6,0.72,2.16755
0.74,0.48,2.4704
0.48,0.19,2.6426
0.15,0.11,2.354
0.86,0.55,2.4847
0.97,0.56,2.53255
1.0,0.64,2.48555
0.43,0.66,2.0244
0.85,0.2,2.78815
0.02,0.64,1.10585
0.26,0.02,2.9088
0.12,0.68,1.41615
0.66,0.15,2.7898
0.75,0.58,2.39175
0.04,0.92,1.08945
0.15,0.58,1.57845
0.4,0.84,1.8604
0.94,0.97,2.2514
0.64,0.08,2.8826
0.08,0.63,1.31865
0.81,0.9,2.2246
0.21,0.79,1.57725
0.21,0.13,2.4389
0.82,0.12,2.86365
0.77,0.84,2.2182
0.76,0.89,2.19125
0.06,0.34,1.4939
0.92,0.45,2.5989
0.41,0.87,1.8555
0.11,0.48,1.5468
0.67,0.53,2.38755
0.36,0.88,1.78525
0.47,0.6,2.1288
0.34,0.03,2.90745
0.79,0.95,2.17485
0.24,0.56,1.80505
0.17,0.32,1.9139
0.59,0.26,2.6154
0.59,0.68,2.19305
1.0,0.57,2.54105
0.63,0.84,2.10085
0.72,0.58,2.38215
0.84,0.68,2.39055
0.07,0.87,1.1895
0.71,0.48,2.4669
0.27,0.76,1.7074
0.2,0.43,1.8747
0.25,0.83,1.63095
0.74,0.97,2.11755
0.56,0.06,2.89735
0.77,0.18,2.7875
0.61,0.23,2.66425
0.73,0.56,2.40625
0.4,0.67,1.97615
0.93,0.15,2.855
0.37,0.3,2.33875
0.89,0.6,2.47215
0.32,0.92,1.68335
0.97,0.95,2.28
0.96,0.12,2.893
0.74,0.25,2.70105
0.47,0.92,1.8937
0.13,0.43,1.64435
0.8,0.68,2.35895
0.01,0.53,1.11235
0.69,0.03,2.9625
0.73,0.82,2.2146
0.97,0.94,2.2912
0.9,1.0,2.2097
0.08,0.23,1.77875
0.82,0.79,2.29325
0.42,0.46,2.2186
0.62,0.93,2.05025
0.71,0.43,2.50305
0.77,0.04,2.95195
0.97,0.53,2.56055
0.73,0.22,2.7237
0.59,0.14,2.79625
0.5,0.81,2.0075
0.4,1.0,1.7558
0.89,0.12,2.88285
0.05,0.83,1.14475
0.19,0.67,1.5907
0.97,0.93,2.2988
0.69,0.2,2.7439
0.72,0.64,2.3283
0.94,0.47,2.58865
0.81,0.73,2.3417
0.5,0.86,1.9746
0.15,0.5,1.6444
0.45,0.28,2.4719
0.48,0.93,1.90045
0.15,0.25,1.98835
0.32,0.14,2.5896
0.62,0.38,2.4857
0.48,0.51,2.23635
0.61,0.92,2.05305
0.34,0.82,1.7903
0.39,0.43,2.1929
0.89,0.11,2.89215
0.67,0.3,2.61575
0.15,0.26,1.984
0.72,0.21,2.7481
0.57,0.41,2.4259
0.01,0.09,1.7336
0.55,0.84,2.03105
0.85,0.24,2.7514
0.53,0.07,2.87085
0.81,0.85,2.2469
0.65,0.79,2.17655
0.08,0.01,2.7899
0.62,0.24,2.6622
0.28,0.85,1.68115
0.12,0.31,1.7833
0.04,0.88,1.0974
0.25,0.42,1.9858
0.29,0.34,2.178
0.12,0.75,1.3676
0.16,0.7,1.5012
0.9,0.47,2.56915
0.65,0.01,2.98475
0.44,0.94,1.85185
0.38,0.39,2.23845
0.95,0.84,2.34245
0.31,0.48,2.00445
0.45,0.92,1.8677
0.08,0.35,1.5547
0.68,0.89,2.11995
0.99,1.0,2.2563
0.61,0.37,2.502
0.02,0.96,1.01705
0.94,0.0,3.0014
0.71,0.78,2.2274
0.09,0.02,2.7238
0.46,0.16,2.67595
0.3,0.07,2.75035
0.94,0.83,2.33585
0.25,0.01,2.9458
0.78,0.53,2.4484
0.24,0.45,1.9151
0.1,0.82,1.2833
0.27,0.33,2.1396
0.89,0.17,2.82715
0.5,0.19,2.6477
0.12,0.89,1.30965
0.57,0.07,2.87685
0.85,0.58,2.4642
0.03,0.67,1.1348
0.79,0.05,2.94975
0.18,0.3,1.996
0.66,0.43,2.47475
0.41,0.6,2.0612
0.52,0.47,2.31345
0.53,0.05,2.91115
0.51,0.93,1.9505
0.8,0.32,2.6614
0.91,0.77,2.3643
0.57,0.84,2.05635
0.65,0.7,2.247
0.6,0.23,2.66425
0.11,0.82,1.31895
0.46,1.0,1.84
0.71,0.57,2.38955
0.28,0.08,2.7048
0.2,0.19,2.2491
0.82,0.03,2.9718
0.9,0.83,2.31445
0.68,0.02,2.97465
0.1,0.34,1.6816
0.97,0.02,2.98405
0.27,0.01,2.95605
0.84,0.82,2.27745
0.99,0.61,2.5023
0.18,0.48,1.76365
0.18,0.73,1.5534
0.79,0.15,2.8236
0.77,0.93,2.1718
0.58,0.8,2.0879
0.18,0.95,1.4239
0.21,0.71,1.6145
0.98,0.62,2.49585
0.23,0.97,1.5148
0.06,0.16,1.80155
0.53,0.36,2.43595
0.97,0.86,2.329
0.26,0.42,1.99395
0.81,0.43,2.56025
0.2,0.12,2.46955
0.1,0.57,1.4392
0.15,0.35,1.80655
0.89,0.02,2.9805
0.51,0.7,2.0906
0.57,0.27,2.58615
0.11,0.19,1.9746
0.69,0.41,2.50135
0.68,0.83,2.1658
0.97,0.34,2.7086
0.36,0.11,2.6853
0.53,0.1,2.8229
0.19,0.47,1.81015
0.81,0.31,2.6798
0.66,0.86,2.13165
0.93,0.77,2.371
0.82,0.05,2.94325
0.88,0.94,2.2376
0.33,0.39,2.17315
0.1,0.68,1.3535
0.84,0.95,2.20405
0.29,0.54,1.9355
0.96,0.41,2.63405
0.89,0.67,2.423
0.91,0.12,2.88995
0.31,0.86,1.71525
0.11,0.2,1.96605
0.06,0.77,1.2101
0.89,0.59,2.47305
0.01,0.38,1.1949
0.18,0.09,2.51205
0.2,0.72,1.59445
0.56,0.89,2.019
0.19,0.48,1.7994
0.33,0.63,1.91365
0.86,0.41,2.59765
0.51,0.19,2.67
0.35,0.08,2.7647
0.51,0.69,2.10575
0.68,0.91,2.11545
0.78,0.73,2.30845
0.65,0.68,2.2636
0.4,0.44,2.21635
0.02,0.27,1.3504
0.3,0.89,1.68775
0.87,0.99,2.20035
0.95,0.8,2.3604
0.58,0.76,2.1218
0.71,0.86,2.1665
0.44,0.13,2.72975
0.48,0.0,2.9992
0.57,0.63,2.218
0.59,0.25,2.62465
0.95,0.45,2.60555
0.12,0.04,2.62685
0.21,0.3,2.06585
0.57,0.31,2.5293
0.26,0.94,1.57715
0.55,0.82,2.0512
0.73,0.83,2.19855
0.94,0.28,2.7426
0.74,0.14,2.8339
0.03,0.55,1.19015
0.28,0.81,1.70465
0.22,0.76,1.6199
0.26,0.45,1.95265
0.15,0.41,1.7274
0.85,0.02,2.97955
0.18,0.19,2.21635
0.11,0.09,2.3048
0.34,0.74,1.85365
0.99,0.67,2.46265
0.74,0.85,2.2051
0.91,0.29,2.715
0.12,0.41,1.6503
0.17,0.03,2.78465
0.06,0.47,1.34525
0.88,0.68,2.3948
0.68,0.19,2.7539
0.44,0.59,2.1128
0.64,0.56,2.32265
0.17,0.24,2.06215
0.56,0.65,2.20795
0.63,0.48,2.4033
0.08,0.2,1.8122
0.24,0.82,1.5973
0.99,0.37,2.67715
0.89,0.42,2.6011
0.38,0.47,2.1355
0.68,0.22,2.7184
0.2,0.25,2.16495
0.27,0.27,2.25355
0.1,0.01,2.8525
0.41,0.8,1.9056
0.38,0.04,2.89845
0.69,0.98,2.0777
0.59,0.96,1.9871
0.18,0.21,2.1215
0.11,0.97,1.24465
0.03,0.82,1.08885
0.52,0.89,1.97885
0.75,0.97,2.12645
0.17,0.87,1.43475
0.87,0.48,2.54345
0.03,0.44,1.24645
0.33,0.44,2.1102
0.76,0.32,2.64625
0.73,0.5,2.45915
0.26,0.28,2.19855
0.36,0.29,2.36435
0.28,0.11,2.61945
0.0,0.23,1.2992
0.87,0.0,3.0008
0.26,0.61,1.7914
1.0,0.5,2.58955
0.35,0.61,1.9781
0.02,0.33,1.2928
0.52,0.76,2.0607
0.06,0.97,1.12855
