x,y,score
0.46,0.76,0.92885
0.54,0.86,0.5578
0.16,0.19,2.21595
0.61,0.18,3.18775
0.82,0.41,3.64095
0.72,0.66,2.1926
0.63,0.37,2.91555
0.41,0.28,2.4807
0.16,0.44,1.7406
0.8,0.33,3.66995
0.84,0.23,4.004
0.25,0.48,1.7667
0.62,0.7,1.5062
0.78,0.28,3.65945
0.03,0.68,1.0008
0.57,0.0,3.29385
0.69,0.37,3.1411
0.46,0.05,2.96395
0.65,0.03,3.49175
0.56,0.8,0.8428
0.28,0.44,1.91305
0.65,0.0,3.5179
0.57,0.1,3.1418
0.44,0.29,2.53715
0.63,0.49,2.6342
0.26,0.03,2.5956
0.92,0.27,4.4136
0.69,0.35,3.1562
0.79,0.78,1.55165
0.3,0.26,2.3208
0.98,0.54,4.7461
0.25,0.62,1.35415
0.55,0.43,2.51345
0.19,0.06,2.4548
0.14,0.65,1.16575
0.09,0.65,1.126
0.92,1.0,0.2174
0.51,0.43,2.3789
0.36,0.66,1.2943
0.33,0.92,0.27785
0.01,0.93,0.2232
0.25,0.81,0.6546
0.9,0.46,4.1112
0.3,0.12,2.52995
0.87,0.59,3.5675
0.8,0.75,2.0445
0.93,0.2,4.534
0.34,0.41,2.07095
0.05,0.48,1.55145
0.9,0.12,4.38555
0.59,0.65,1.7423
0.72,0.62,2.4211
0.29,0.87,0.45495
0.02,0.72,0.87325
0.8,0.35,3.61895
0.09,0.22,2.08865
0.05,0.61,1.21805
0.49,0.38,2.5146
0.62,0.21,3.1631
0.79,0.55,3.10055
0.64,0.52,2.52585
0.17,0.15,2.2944
0.45,0.81,0.70495
0.48,0.8,0.76555
0.51,0.39,2.49465
0.62,0.39,2.7944
0.58,0.64,1.7872
0.8,0.62,2.89295
0.6,0.07,3.26055
0.35,0.87,0.44985
0.85,0.83,1.44095
0.96,0.89,2.46345
0.68,0.4,3.0351
0.13,0.15,2.23805
0.14,0.31,1.9951
0.15,0.88,0.39575
0.72,0.97,0.1702
0.56,0.33,2.76595
0.52,0.26,2.7936
0.99,0.97,1.7906
0.9,0.63,3.7136
0.31,0.47,1.8662
0.98,0.8,4.2777
0.31,0.34,2.18185
0.22,0.4,1.9067
0.87,0.37,4.0017
0.76,0.43,3.2764
0.79,0.76,1.7391
0.83,0.38,3.7613
0.74,0.12,3.6895
0.68,0.51,2.6907
0.56,0.43,2.5265
0.63,0.01,3.4395
0.45,0.24,2.65305
0.52,0.13,2.99995
0.64,0.47,2.6823
0.51,0.91,0.34645
0.78,0.92,0.39855
0.92,0.54,4.1459
0.75,0.83,0.8998
0.72,0.5,2.9476
0.53,0.74,1.14215
0.82,0.88,0.66815
0.63,0.35,2.96195
0.8,0.56,3.1838
0.99,0.8,4.53025
0.69,0.67,2.03215
0.44,0.43,2.23325
0.71,0.62,2.3763
0.63,0.08,3.36985
0.48,0.4,2.4085
0.93,0.51,4.2337
0.65,0.12,3.39925
0.78,0.34,3.53805
0.17,0.41,1.82875
0.59,0.93,0.2837
0.98,0.65,4.61175
0.89,0.49,3.94735
0.09,0.48,1.5758
0.98,0.94,2.2428
0.6,0.72,1.33425
0.74,0.48,3.1087
0.48,0.19,2.8262
0.15,0.11,2.32535
0.86,0.55,3.5937
0.97,0.56,4.57595
1.0,0.64,4.9481
0.43,0.66,1.3654
0.85,0.2,4.0957
0.02,0.64,1.11815
0.26,0.02,2.61915
0.12,0.68,1.0212
0.66,0.15,3.39455
0.75,0.58,2.7685
0.04,0.92,0.242
0.15,0.58,1.3677
0.4,0.84,0.5722
0.94,0.97,0.5151
0.64,0.08,3.3813
0.08,0.63,1.1628
0.81,0.9,0.57925
0.21,0.79,0.7171
0.21,0.13,2.37135
0.82,0.12,4.0223
0.77,0.84,0.88615
0.76,0.89,0.54445
0.06,0.34,1.8557
0.92,0.45,4.20835
0.41,0.87,0.47795
0.11,0.48,1.61205
0.67,0.53,2.6457
0.36,0.88,0.4456
0.47,0.6,1.72015
0.34,0.03,2.7537
0.79,0.95,0.28795
0.24,0.56,1.50825
0.17,0.32,2.0172
0.59,0.26,2.9903
0.59,0.68,1.5413
1.0,0.57,4.9637
0.63,0.84,0.6944
0.72,0.58,2.68655
0.84,0.68,2.9194
0.07,0.87,0.41015
0.71,0.48,2.8973
0.27,0.76,0.8392
0.2,0.43,1.8038
0.25,0.83,0.5808
0.74,0.97,0.1656
0.56,0.06,3.177
0.77,0.18,3.6983
0.61,0.23,3.06705
0.73,0.56,2.82295
0.4,0.67,1.3075
0.93,0.15,4.5596
0.37,0.3,2.35975
0.89,0.6,3.6985
0.32,0.92,0.2614
0.97,0.95,1.4624
0.96,0.12,4.73055
0.74,0.25,3.5111
0.47,0.92,0.2917
0.13,0.43,1.74665
0.8,0.68,2.66345
0.01,0.53,1.3991
0.69,0.03,3.6275
0.73,0.82,0.963
0.97,0.94,1.61185
0.9,1.0,0.18235
0.08,0.23,2.05335
0.82,0.79,1.6244
0.42,0.46,2.10935
0.62,0.93,0.29905
0.71,0.43,3.066
0.77,0.04,3.88225
0.97,0.53,4.6161
0.73,0.22,3.51515
0.59,0.14,3.1526
0.5,0.81,0.75395
0.4,1.0,0.0184
0.89,0.12,4.3619
0.05,0.83,0.54445
0.19,0.67,1.1292
0.97,0.93,2.2103
0.69,0.2,3.42695
0.72,0.64,2.36605
0.94,0.47,4.4133
0.81,0.73,2.11375
0.5,0.86,0.53405
0.15,0.5,1.5982
0.45,0.28,2.5891
0.48,0.93,0.263
0.15,0.25,2.11675
0.32,0.14,2.5557
0.62,0.38,2.8378
0.48,0.51,2.0554
0.61,0.92,0.3323
0.34,0.82,0.62815
0.39,0.43,2.13905
0.89,0.11,4.37065
0.67,0.3,3.16265
0.15,0.26,2.0986
0.72,0.21,3.5406
0.57,0.41,2.6359
0.01,0.09,2.1786
