x,y,score
0.46,0.76,1.9047
0.54,0.86,1.9207
0.16,0.19,2.1556
0.61,0.18,2.9148
0.82,0.41,2.8374
0.72,0.66,2.38295
0.63,0.37,2.6505
0.41,0.28,2.479
0.16,0.44,1.7542
0.8,0.33,2.9396
0.84,0.23,3.1459
0.25,0.48,1.8937
0.62,0.7,2.214
0.78,0.28,2.98425
0.03,0.68,1.13255
0.57,0.0,3.2196
0.69,0.37,2.72535
0.46,0.05,2.98055
0.65,0.03,3.2658
0.56,0.8,2.03335
0.28,0.44,2.00755
0.65,0.0,3.3258
0.57,0.1,3.04015
0.44,0.29,2.48335
0.63,0.49,2.46415
0.26,0.03,2.6879
0.92,0.27,3.1827
0.69,0.35,2.7317
0.79,0.78,2.3056
0.3,0.26,2.33315
0.98,0.54,2.8007
0.25,0.62,1.7004
0.55,0.43,2.4563
0.19,0.06,2.514
0.14,0.65,1.4055
0.09,0.65,1.31735
0.92,1.0,2.268
0.51,0.43,2.4026
0.36,0.66,1.86035
0.33,0.92,1.50285
0.01,0.93,0.8086
0.25,0.81,1.4511
0.9,0.46,2.8426
0.3,0.12,2.58925
0.87,0.59,2.6382
0.8,0.75,2.38215
0.93,0.2,3.3047
0.34,0.41,2.14945
0.05,0.48,1.4509
0.9,0.12,3.37315
0.59,0.65,2.2229
0.72,0.62,2.42005
0.29,0.87,1.47295
0.02,0.72,1.06565
0.8,0.35,2.88095
0.09,0.22,1.9651
0.05,0.61,1.26725
0.49,0.38,2.42925
0.62,0.21,2.8729
0.79,0.55,2.5709
0.64,0.52,2.43225
0.17,0.15,2.2932
0.45,0.81,1.84325
0.48,0.8,1.89325
0.51,0.39,2.4488
0.62,0.39,2.6139
0.58,0.64,2.22435
0.8,0.62,2.49305
0.6,0.07,3.1201
0.35,0.87,1.60885
0.85,0.83,2.3438
0.96,0.89,2.37065
0.68,0.4,2.66575
0.13,0.15,2.1969
0.14,0.31,1.91915
0.15,0.88,1.17275
0.72,0.97,2.08505
0.56,0.33,2.60575
0.52,0.26,2.65465
0.99,0.97,2.36015
0.9,0.63,2.61645
0.31,0.47,2.0336
0.98,0.8,2.5267
0.31,0.34,2.19145
0.22,0.4,1.92625
0.87,0.37,2.9237
0.76,0.43,2.7043
0.79,0.76,2.3383
0.83,0.38,2.87845
0.74,0.12,3.202
0.68,0.51,2.51425
0.56,0.43,2.4627
0.63,0.01,3.2561
0.45,0.24,2.5828
0.52,0.13,2.8875
0.64,0.47,2.5106
0.51,0.91,1.82375
0.78,0.92,2.19475
0.92,0.54,2.74645
0.75,0.83,2.24655
0.72,0.5,2.5696
0.53,0.74,2.0448
0.82,0.88,2.2702
0.63,0.35,2.64395
0.8,0.56,2.62535
0.99,0.8,2.5349
0.69,0.67,2.31755
0.44,0.43,2.29415
0.71,0.62,2.40555
0.63,0.08,3.1452
0.48,0.4,2.3826
0.93,0.51,2.79745
0.65,0.12,3.11245
0.78,0.34,2.89
0.17,0.41,1.8163
0.59,0.93,1.9412
0.98,0.65,2.6955
0.89,0.49,2.81035
0.09,0.48,1.5348
0.98,0.94,2.35705
0.6,0.72,2.1613
0.74,0.48,2.6297
0.48,0.19,2.72125
0.15,0.11,2.3044
0.86,0.55,2.6635
0.97,0.56,2.79755
1.0,0.64,2.7095
0.43,0.66,1.9755
0.85,0.2,3.2135
0.02,0.64,1.1564
0.26,0.02,2.70985
0.12,0.68,1.35055
0.66,0.15,3.05475
0.75,0.58,2.50705
0.04,0.92,0.88885
0.15,0.58,1.55075
0.4,0.84,1.7236
0.94,0.97,2.2985
0.64,0.08,3.1682
0.08,0.63,1.31165
0.81,0.9,2.2302
0.21,0.79,1.40745
