x,y,score
0.46,0.76,2.8024
0.54,0.86,3.13695
0.16,0.19,1.6524
0.61,0.18,3.44645
0.82,0.41,4.2699
0.72,0.66,3.8668
0.63,0.37,3.5184
0.41,0.28,2.65525
0.16,0.44,1.6465
0.8,0.33,4.20325
0.84,0.23,4.3594
0.25,0.48,1.98475
0.62,0.7,3.46125
0.78,0.28,4.10165
0.03,0.68,1.12345
0.57,0.0,3.277
0.69,0.37,3.76085
0.46,0.05,2.85315
0.65,0.03,3.5991
0.56,0.8,3.214
0.28,0.44,2.1188
0.65,0.0,3.6068
0.57,0.1,3.26925
0.44,0.29,2.7487
0.63,0.49,3.4892
0.26,0.03,2.0706
0.92,0.27,4.6668
0.69,0.35,3.73845
0.79,0.78,4.1452
0.3,0.26,2.23005
0.98,0.54,4.89555
0.25,0.62,2.0137
0.55,0.43,3.20725
0.19,0.06,1.76685
0.14,0.65,1.56935
0.09,0.65,1.37925
0.92,1.0,4.6438
0.51,0.43,3.03865
0.36,0.66,2.4267
0.33,0.92,2.29265
0.01,0.93,1.0422
0.25,0.81,2.00435
0.9,0.46,4.56985
0.3,0.12,2.21665
0.87,0.59,4.4531
0.8,0.75,4.17045
0.93,0.2,4.70185
0.34,0.41,2.3544
0.05,0.48,1.2171
0.9,0.12,4.5868
0.59,0.65,3.338
0.72,0.62,3.8619
0.29,0.87,2.1441
0.02,0.72,1.0764
0.8,0.35,4.1963
0.09,0.22,1.37695
0.05,0.61,1.21305
0.49,0.38,2.9619
0.62,0.21,3.47435
0.79,0.55,4.15935
0.64,0.52,3.53255
0.17,0.15,1.7067
0.45,0.81,2.76515
0.48,0.8,2.8985
0.51,0.39,3.0409
0.62,0.39,3.48155
0.58,0.64,3.31155
0.8,0.62,4.1787
0.6,0.07,3.3933
0.35,0.87,2.3802
0.85,0.83,4.3693
0.96,0.89,4.8054
0.68,0.4,3.6965
0.13,0.15,1.5444
0.14,0.31,1.58315
0.15,0.88,1.6017
0.72,0.97,3.85335
0.56,0.33,3.2495
0.52,0.26,3.07515
0.99,0.97,4.92025
0.9,0.63,4.5654
