x,y,score
0.46,0.76,2.81785
0.54,0.86,3.1405
0.16,0.19,1.664
0.61,0.18,3.44615
0.82,0.41,4.2725
0.72,0.66,3.8679
0.63,0.37,3.49615
0.41,0.28,2.6354
0.16,0.44,1.6445
0.8,0.33,4.17235
0.84,0.23,4.3484
0.25,0.48,1.9975
0.62,0.7,3.46895
0.78,0.28,4.11755
0.03,0.68,1.1294
0.57,0.0,3.2972
0.69,0.37,3.7394
0.46,0.05,2.83925
0.65,0.03,3.6093
0.56,0.8,3.2164
0.28,0.44,2.14195
0.65,0.0,3.5852
0.57,0.1,3.2686
0.44,0.29,2.75635
0.63,0.49,3.4812
0.26,0.03,2.056
0.92,0.27,4.6639
0.69,0.35,3.7493
0.79,0.78,4.12465
0.3,0.26,2.20125
0.98,0.54,4.88895
0.25,0.62,2.0021
0.55,0.43,3.1685
0.19,0.06,1.7686
0.14,0.65,1.57205
0.09,0.65,1.3637
0.92,1.0,4.636
0.51,0.43,3.06405
0.36,0.66,2.4307
0.33,0.92,2.28215
0.01,0.93,1.03475
0.25,0.81,2.0042
0.9,0.46,4.565
0.3,0.12,2.20555
0.87,0.59,4.4422
0.8,0.75,4.1555
0.93,0.2,4.71785
0.34,0.41,2.3665
0.05,0.48,1.20585
0.9,0.12,4.59025
0.59,0.65,3.33415
0.72,0.62,3.85665
0.29,0.87,2.1389
0.02,0.72,1.0804
0.8,0.35,4.1841
0.09,0.22,1.37755
0.05,0.61,1.20095
0.49,0.38,2.9458
0.62,0.21,3.47985
0.79,0.55,4.14975
0.64,0.52,3.5638
0.17,0.15,1.6962
0.45,0.81,2.78365
0.48,0.8,2.8728
0.51,0.39,3.03425
0.62,0.39,3.4744
0.58,0.64,3.2979
0.8,0.62,4.1776
0.6,0.07,3.4131
0.35,0.87,2.4151
0.85,0.83,4.3715
0.96,0.89,4.79945
0.68,0.4,3.71095
0.13,0.15,1.53445
0.14,0.31,1.57465
0.15,0.88,1.59825
0.72,0.97,3.8602
0.56,0.33,3.2492
0.52,0.26,3.08965
0.99,0.97,4.91815
0.9,0.63,4.55695
0.31,0.47,2.207
0.98,0.8,4.88345
0.31,0.34,2.24035
0.22,0.4,1.9075
0.87,0.37,4.46
0.76,0.43,4.02065
0.79,0.76,4.1275
0.83,0.38,4.2908
0.74,0.12,3.9567
0.68,0.51,3.70365
0.56,0.43,3.21085
0.63,0.01,3.5378
0.45,0.24,2.7984
0.52,0.13,3.09845
0.64,0.47,3.57045
0.51,0.91,3.0269
0.78,0.92,4.074
0.92,0.54,4.6369
0.75,0.83,3.98595
0.72,0.5,3.84035
0.53,0.74,3.1174
0.82,0.88,4.25755
0.63,0.35,3.51525
0.8,0.56,4.1617
0.99,0.8,4.92125
0.69,0.67,3.72995
0.44,0.43,2.7461
0.71,0.62,3.8216
0.63,0.08,3.5235
0.48,0.4,2.9443
0.93,0.51,4.6917
0.65,0.12,3.6001
0.78,0.34,4.10815
0.17,0.41,1.69275
0.59,0.93,3.3147
0.98,0.65,4.8927
0.89,0.49,4.54335
0.09,0.48,1.36675
0.98,0.94,4.87585
0.6,0.72,3.37335
0.74,0.48,3.93385
0.48,0.19,2.91825
0.15,0.11,1.59625
0.86,0.55,4.41335
0.97,0.56,4.8527
1.0,0.64,4.96945
0.43,0.66,2.73015
0.85,0.2,4.4202
0.02,0.64,1.0846
0.26,0.02,2.0662
0.12,0.68,1.4884
0.66,0.15,3.6395
0.75,0.58,3.9938
0.04,0.92,1.15605
0.15,0.58,1.6133
0.4,0.84,2.5879
0.94,0.97,4.71325
0.64,0.08,3.56465
0.08,0.63,1.3266
0.81,0.9,4.21295
0.21,0.79,1.828
0.21,0.13,1.84255
0.82,0.12,4.2616
0.77,0.84,4.04325
0.76,0.89,4.0038
0.06,0.34,1.251
0.92,0.45,4.63955
0.41,0.87,2.624
0.11,0.48,1.4459
0.67,0.53,3.66105
0.36,0.88,2.4268
0.47,0.6,2.8511
0.34,0.03,2.39065
0.79,0.95,4.1262
0.24,0.56,1.9522
0.17,0.32,1.70815
0.59,0.26,3.368
0.59,0.68,3.3179
1.0,0.57,4.971
0.63,0.84,3.49725
0.72,0.58,3.87275
0.84,0.68,4.32685
0.07,0.87,1.27355
