x,y,score
0.46,0.76,2.8115
0.54,0.86,3.16195
0.16,0.19,1.6495
0.61,0.18,3.44325
0.82,0.41,4.25625
0.72,0.66,3.86805
0.63,0.37,3.4932
0.41,0.28,2.6453
0.16,0.44,1.6556
0.8,0.33,4.18035
0.84,0.23,4.3458
0.25,0.48,2.01115
0.62,0.7,3.42975
0.78,0.28,4.10095
0.03,0.68,1.1209
0.57,0.0,3.2808
0.69,0.37,3.72675
0.46,0.05,2.87045
0.65,0.03,3.6011
0.56,0.8,3.2047
0.28,0.44,2.12015
0.65,0.0,3.60495
0.57,0.1,3.29185
0.44,0.29,2.74775
0.63,0.49,3.48465
0.26,0.03,2.0567
0.92,0.27,4.6579
0.69,0.35,3.7348
0.79,0.78,4.1202
0.3,0.26,2.2268
0.98,0.54,4.8916
0.25,0.62,2.0075
0.55,0.43,3.17915
0.19,0.06,1.76835
0.14,0.65,1.56525
0.09,0.65,1.36285
0.92,1.0,4.64155
0.51,0.43,3.06765
0.36,0.66,2.42265
0.33,0.92,2.31955
0.01,0.93,1.035
0.25,0.81,1.98125
0.9,0.46,4.5628
0.3,0.12,2.23645
0.87,0.59,4.4277
0.8,0.75,4.16255
0.93,0.2,4.70125
0.34,0.41,2.35305
0.05,0.48,1.2153
0.9,0.12,4.57725
0.59,0.65,3.33825
0.72,0.62,3.8536
0.29,0.87,2.14595
0.02,0.72,1.08605
0.8,0.35,4.1839
0.09,0.22,1.38425
0.05,0.61,1.2065
0.49,0.38,2.939
0.62,0.21,3.46675
0.79,0.55,4.12155
0.64,0.52,3.54415
0.17,0.15,1.6836
0.45,0.81,2.7531
0.48,0.8,2.90165
0.51,0.39,3.0206
0.62,0.39,3.465
0.58,0.64,3.28235
0.8,0.62,4.1695
0.6,0.07,3.3982
0.35,0.87,2.3921
0.85,0.83,4.3565
0.96,0.89,4.80005
0.68,0.4,3.6918
0.13,0.15,1.55515
0.14,0.31,1.5892
0.15,0.88,1.58445
0.72,0.97,3.8438
0.56,0.33,3.25995
0.52,0.26,3.1081
0.99,0.97,4.9207
0.9,0.63,4.55535
0.31,0.47,2.24355
0.98,0.8,4.8829
0.31,0.34,2.2419
0.22,0.4,1.8735
0.87,0.37,4.44865
0.76,0.43,4.01825
0.79,0.76,4.12325
0.83,0.38,4.2839
0.74,0.12,3.9298
0.68,0.51,3.7065
0.56,0.43,3.24865
0.63,0.01,3.5041
0.45,0.24,2.78315
0.52,0.13,3.12105
0.64,0.47,3.52115
0.51,0.91,3.0168
0.78,0.92,4.08295
0.92,0.54,4.654
0.75,0.83,3.9752
0.72,0.5,3.8289
0.53,0.74,3.08905
0.82,0.88,4.22245
0.63,0.35,3.51035
0.8,0.56,4.1747
0.99,0.8,4.92235
0.69,0.67,3.7162
0.44,0.43,2.7447
0.71,0.62,3.7949
0.63,0.08,3.5057
0.48,0.4,2.90005
0.93,0.51,4.68695
0.65,0.12,3.5958
0.78,0.34,4.0972
0.17,0.41,1.67825
0.59,0.93,3.3261
0.98,0.65,4.88795
0.89,0.49,4.55675
0.09,0.48,1.35635
0.98,0.94,4.87145
0.6,0.72,3.35795
0.74,0.48,3.9448
0.48,0.19,2.93205
0.15,0.11,1.6398
0.86,0.55,4.38905
0.97,0.56,4.8452
1.0,0.64,4.9695
0.43,0.66,2.6781
0.85,0.2,4.3691
0.02,0.64,1.086
0.26,0.02,2.06685
0.12,0.68,1.47315
0.66,0.15,3.6452
0.75,0.58,3.9677
0.04,0.92,1.15885
0.15,0.58,1.59955
0.4,0.84,2.58555
0.94,0.97,4.7046
0.64,0.08,3.5784
0.08,0.63,1.31875
0.81,0.9,4.21575
0.21,0.79,1.81845
0.21,0.13,1.85645
0.82,0.12,4.2407
0.77,0.84,4.0577
0.76,0.89,4.0219
0.06,0.34,1.25765
0.92,0.45,4.6582
0.41,0.87,2.6391
0.11,0.48,1.46105
0.67,0.53,3.6416
0.36,0.88,2.43835
0.47,0.6,2.8533
0.34,0.03,2.40245
0.79,0.95,4.13435
0.24,0.56,1.9671
