x,y,score
0.46,0.76,2.81625
0.54,0.86,3.1202
0.16,0.19,1.65155
0.61,0.18,3.45155
0.82,0.41,4.26455
0.72,0.66,3.83975
0.63,0.37,3.5012
0.41,0.28,2.62425
0.16,0.44,1.6488
0.8,0.33,4.2136
0.84,0.23,4.34805
0.25,0.48,1.99515
0.62,0.7,3.44595
0.78,0.28,4.12875
0.03,0.68,1.1286
0.57,0.0,3.2778
0.69,0.37,3.7561
0.46,0.05,2.8317
0.65,0.03,3.60505
0.56,0.8,3.2197
0.28,0.44,2.10285
0.65,0.0,3.6212
0.57,0.1,3.27475
0.44,0.29,2.7642
0.63,0.49,3.4866
0.26,0.03,2.05455
0.92,0.27,4.66195
0.69,0.35,3.74515
0.79,0.78,4.10665
0.3,0.26,2.21405
0.98,0.54,4.89315
0.25,0.62,1.99605
0.55,0.43,3.17065
0.19,0.06,1.77995
0.14,0.65,1.5573
0.09,0.65,1.35195
0.92,1.0,4.637
0.51,0.43,3.0346
0.36,0.66,2.42355
0.33,0.92,2.31235
0.01,0.93,1.0388
0.25,0.81,2.00565
0.9,0.46,4.56895
0.3,0.12,2.2044
0.87,0.59,4.4749
0.8,0.75,4.15285
0.93,0.2,4.70125
0.34,0.41,2.348
0.05,0.48,1.21515
0.9,0.12,4.5904
0.59,0.65,3.33245
0.72,0.62,3.86565
0.29,0.87,2.1529
0.02,0.72,1.08695
0.8,0.35,4.1947
0.09,0.22,1.37125
0.05,0.61,1.1949
0.49,0.38,2.96225
0.62,0.21,3.47485
0.79,0.55,4.14455
0.64,0.52,3.5119
0.17,0.15,1.70915
0.45,0.81,2.78035
0.48,0.8,2.8845
0.51,0.39,3.0358
0.62,0.39,3.48515
0.58,0.64,3.3266
0.8,0.62,4.15525
0.6,0.07,3.3855
0.35,0.87,2.3719
0.85,0.83,4.3648
0.96,0.89,4.80875
0.68,0.4,3.70555
0.13,0.15,1.55355
0.14,0.31,1.5523
0.15,0.88,1.5957
0.72,0.97,3.8702
0.56,0.33,3.25095
0.52,0.26,3.1172
0.99,0.97,4.91435
0.9,0.63,4.576
0.31,0.47,2.22265
0.98,0.8,4.8825
0.31,0.34,2.24955
0.22,0.4,1.8855
0.87,0.37,4.4492
0.76,0.43,4.02385
0.79,0.76,4.1396
0.83,0.38,4.31505
0.74,0.12,3.9564
0.68,0.51,3.69735
0.56,0.43,3.25115
0.63,0.01,3.5304
0.45,0.24,2.79325
0.52,0.13,3.095
0.64,0.47,3.5408
0.51,0.91,2.98685
0.78,0.92,4.0817
0.92,0.54,4.64505
0.75,0.83,3.96055
0.72,0.5,3.8643
0.53,0.74,3.0695
0.82,0.88,4.2167
0.63,0.35,3.5177
0.8,0.56,4.1951
0.99,0.8,4.9224
0.69,0.67,3.74145
0.44,0.43,2.75965
0.71,0.62,3.8037
0.63,0.08,3.5277
0.48,0.4,2.9315
0.93,0.51,4.6898
0.65,0.12,3.605
0.78,0.34,4.1156
0.17,0.41,1.7054
0.59,0.93,3.3191
0.98,0.65,4.8837
0.89,0.49,4.538
0.09,0.48,1.3594
0.98,0.94,4.87665
0.6,0.72,3.39105
0.74,0.48,3.94995
0.48,0.19,2.9242
0.15,0.11,1.611
0.86,0.55,4.42025
0.97,0.56,4.85435
1.0,0.64,4.9676
0.43,0.66,2.7024
0.85,0.2,4.3883
0.02,0.64,1.09045
0.26,0.02,2.0626
0.12,0.68,1.4754
0.66,0.15,3.6192
0.75,0.58,3.9785
0.04,0.92,1.16445
0.15,0.58,1.5979
0.4,0.84,2.58475
0.94,0.97,4.72435
0.64,0.08,3.55565
0.08,0.63,1.31915
0.81,0.9,4.19655
0.21,0.79,1.82555
0.21,0.13,1.8609
0.82,0.12,4.2638
0.77,0.84,4.0551
0.76,0.89,4.0036
0.06,0.34,1.258
0.92,0.45,4.65445
0.41,0.87,2.6344
0.11,0.48,1.4499
0.67,0.53,3.67005
0.36,0.88,2.42025
0.47,0.6,2.8712
0.34,0.03,2.36005
0.79,0.95,4.12535
0.24,0.56,1.953
0.17,0.32,1.70745
0.59,0.26,3.3484
0.59,0.68,3.32755
1.0,0.57,4.9704
0.63,0.84,3.50065
0.72,0.58,3.84255
0.84,0.68,4.3229
0.07,0.87,1.27695
0.71,0.48,3.82945
0.27,0.76,2.0679
0.2,0.43,1.7991
0.25,0.83,1.9998
0.74,0.97,3.92775
0.56,0.06,3.2639
0.77,0.18,4.0664
0.61,0.23,3.4003
0.73,0.56,3.91685
0.4,0.67,2.60965
0.93,0.15,4.71055
0.37,0.3,2.5017
0.89,0.6,4.55235
0.32,0.92,2.2882
0.97,0.95,4.83335
0.96,0.12,4.82395
0.74,0.25,3.95995
0.47,0.92,2.85695
0.13,0.43,1.5388
0.8,0.68,4.17985
0.01,0.53,1.05415
0.69,0.03,3.74645
0.73,0.82,3.8829
0.97,0.94,4.8342
0.9,1.0,4.5522
0.08,0.23,1.34735
0.82,0.79,4.2621
0.42,0.46,2.67645
0.62,0.93,3.4416
0.71,0.43,3.8175
0.77,0.04,4.06815
0.97,0.53,4.8578
0.73,0.22,3.9028
0.59,0.14,3.3503
0.5,0.81,2.96735
0.4,1.0,2.5726
0.89,0.12,4.55145
0.05,0.83,1.19325
0.19,0.67,1.74545
0.97,0.93,4.8402
0.69,0.2,3.7601
0.72,0.64,3.8646
0.94,0.47,4.7268
0.81,0.73,4.2119
0.5,0.86,2.9721
0.15,0.5,1.59995
0.45,0.28,2.78315
0.48,0.93,2.8865
0.15,0.25,1.61235
0.32,0.14,2.31155
0.62,0.38,3.4666
0.48,0.51,2.88955
0.61,0.92,3.40445
0.34,0.82,2.3502
0.39,0.43,2.55155
0.89,0.11,4.5382
0.67,0.3,3.66645
0.15,0.26,1.612
0.72,0.21,3.87955
0.57,0.41,3.2745
0.01,0.09,1.06485
0.55,0.84,3.22355
0.85,0.24,4.38805
0.53,0.07,3.1127
0.81,0.85,4.2057
0.65,0.79,3.5696
0.08,0.01,1.34845
0.62,0.24,3.48375
0.28,0.85,2.1156
0.12,0.31,1.4873
0.04,0.88,1.1653
0.25,0.42,1.9969
0.29,0.34,2.16745
0.12,0.75,1.4749
0.16,0.7,1.6591
0.9,0.47,4.5842
0.65,0.01,3.62005
0.44,0.94,2.7579
0.38,0.39,2.53405
0.95,0.84,4.756
0.31,0.48,2.26145
0.45,0.92,2.79645
0.08,0.35,1.3433
0.68,0.89,3.7004
0.99,1.0,4.912
0.61,0.37,3.43745
0.02,0.96,1.07155
0.94,0.0,4.7614
0.71,0.78,3.80745
0.09,0.02,1.38185
0.46,0.16,2.8619
0.3,0.07,2.2209
0.94,0.83,4.729
0.25,0.01,2.00825
0.78,0.53,4.1067
0.24,0.45,1.96385
0.1,0.82,1.3944
0.27,0.33,2.082
0.89,0.17,4.5569
0.5,0.19,2.99785
0.12,0.89,1.47075
0.57,0.07,3.28295
0.85,0.58,4.38305
0.03,0.67,1.1286
0.79,0.05,4.13505
0.18,0.3,1.7349
0.66,0.43,3.6263
0.41,0.6,2.66095
0.52,0.47,3.06365
0.53,0.05,3.13485
0.51,0.93,2.9911
0.8,0.32,4.1688
0.91,0.77,4.6004
0.57,0.84,3.2831
0.65,0.7,3.5814
0.6,0.23,3.3803
0.11,0.82,1.4385
0.46,1.0,2.82
0.71,0.57,3.82735
0.28,0.08,2.14465
0.2,0.19,1.79845
0.82,0.03,4.27235
0.9,0.83,4.55605
0.68,0.02,3.70875
0.1,0.34,1.41145
0.97,0.02,4.87465
0.27,0.01,2.104
0.84,0.82,4.35435
0.99,0.61,4.9308
0.18,0.48,1.7295
0.18,0.73,1.728
0.79,0.15,4.14615
0.77,0.93,4.0403
0.58,0.8,3.299
0.18,0.95,1.7206
0.21,0.71,1.84555
0.98,0.62,4.88725
0.23,0.97,1.90385
0.06,0.16,1.25645
0.53,0.36,3.1116
0.97,0.86,4.85175
0.26,0.42,2.03565
0.81,0.43,4.21175
0.2,0.12,1.7959
0.1,0.57,1.41155
0.15,0.35,1.6111
0.89,0.02,4.55845
0.51,0.7,3.0123
0.57,0.27,3.2713
0.11,0.19,1.45515
0.69,0.41,3.73765
0.68,0.83,3.7146
0.97,0.34,4.8685
0.36,0.11,2.4468
0.53,0.1,3.11155
0.19,0.47,1.76315
0.81,0.31,4.21435
0.66,0.86,3.62295
0.93,0.77,4.6918
0.82,0.05,4.28075
0.88,0.94,4.4771
0.33,0.39,2.332
0.1,0.68,1.40825
0.84,0.95,4.3222
0.29,0.54,2.11645
0.96,0.41,4.81405
0.89,0.67,4.5279
0.91,0.12,4.6225
0.31,0.86,2.2366
0.11,0.2,1.4574
0.06,0.77,1.2498
0.89,0.59,4.532
0.01,0.38,1.0617
0.18,0.09,1.7416
0.2,0.72,1.7872
0.56,0.89,3.1991
0.19,0.48,1.7507
0.33,0.63,2.30605
0.86,0.41,4.41985
0.51,0.19,3.04035
0.35,0.08,2.406
0.51,0.69,3.0125
0.68,0.91,3.68785
0.78,0.73,4.1114
0.65,0.68,3.58225
0.4,0.44,2.57165
0.02,0.27,1.10485
0.3,0.89,2.19525
0.87,0.99,4.4504
0.95,0.8,4.75905
0.58,0.76,3.32685
0.71,0.86,3.7935
0.44,0.13,2.75305
0.48,0.0,2.93
0.57,0.63,3.2837
0.59,0.25,3.3457
0.95,0.45,4.77355
0.12,0.04,1.51325
0.21,0.3,1.82045
0.57,0.31,3.29525
0.26,0.94,1.99205
0.55,0.82,3.1982
0.73,0.83,3.87875
0.94,0.28,4.74695
0.74,0.14,3.94395
0.03,0.55,1.13275
0.28,0.81,2.1028
0.22,0.76,1.8855
0.26,0.45,2.05825
0.15,0.41,1.6018
0.85,0.02,4.39555
0.18,0.19,1.73535
0.11,0.09,1.4496
0.34,0.74,2.3422
0.99,0.67,4.92535
0.74,0.85,3.9469
0.91,0.29,4.62645
0.12,0.41,1.4964
0.17,0.03,1.71335
0.06,0.47,1.25465
0.88,0.68,4.48785
0.68,0.19,3.72085
0.44,0.59,2.7282
0.64,0.56,3.5326
0.17,0.24,1.7057
0.56,0.65,3.2309
0.63,0.48,3.52875
0.08,0.2,1.3343
0.24,0.82,1.9261
0.99,0.37,4.93485
0.89,0.42,4.53985
0.38,0.47,2.52185
0.68,0.22,3.7396
0.2,0.25,1.80425
0.27,0.27,2.0762
0.1,0.01,1.444
0.41,0.8,2.6325
0.38,0.04,2.51195
0.69,0.98,3.7227
0.59,0.96,3.324
0.18,0.21,1.7344
0.11,0.97,1.41665
0.03,0.82,1.11415
0.52,0.89,3.06415
0.75,0.97,3.9878
0.17,0.87,1.68515
0.87,0.48,4.46075
0.03,0.44,1.1393
0.33,0.44,2.31165
0.76,0.32,4.03405
0.73,0.5,3.8956
0.26,0.28,2.04095
0.36,0.29,2.44815
0.28,0.11,2.14375
0.0,0.23,1.0222
0.87,0.0,4.4704
0.26,0.61,2.0618
1.0,0.5,4.9726
0.35,0.61,2.39185
0.02,0.33,1.09905
0.52,0.76,3.078
0.06,0.97,1.2517
0.98,0.06,4.9162
0.13,0.17,1.533
0.24,0.64,1.98055
0.35,0.14,2.4077
0.11,0.94,1.4292
0.76,0.77,4.00105
0.67,0.45,3.65425
0.09,0.51,1.3673
0.99,0.31,4.9381
0.07,0.89,1.2759
0.65,0.43,3.5907
0.85,0.19,4.39155
0.91,0.58,4.6018
0.48,0.56,2.8936
0.66,0.06,3.64495
0.18,0.38,1.73355
0.56,0.64,3.2317
0.72,0.43,3.8663
0.64,0.11,3.56895
0.38,0.45,2.5318
0.42,0.25,2.6885
1.0,0.63,4.9673
0.35,0.26,2.37265
0.03,0.18,1.14545
0.27,0.91,2.06765
0.8,0.26,4.2076
0.15,0.31,1.6106
0.89,0.44,4.5526
0.61,0.87,3.41965
0.31,0.61,2.2404
0.72,0.45,3.84635
0.0,0.6,1.00995
0.98,0.82,4.8853
0.25,0.27,2.00455
0.4,0.57,2.58695
0.15,0.38,1.6075
0.6,0.2,3.39955
0.77,0.12,4.06115
0.52,0.15,3.1009
0.65,0.41,3.6027
0.35,0.6,2.4091
0.93,0.29,4.69735
0.61,0.43,3.45415
0.45,0.63,2.832
0.08,0.68,1.3152
0.89,0.37,4.56045
0.59,0.08,3.38485
0.1,0.38,1.4102
0.83,0.8,4.3014
0.02,0.69,1.08345
0.68,0.41,3.7124
0.22,0.48,1.893
0.92,0.65,4.64135
0.77,1.0,4.0504
0.68,0.81,3.68915
0.11,0.26,1.4522
0.21,0.21,1.85865
0.84,0.37,4.33385
0.37,0.63,2.48275
0.61,0.85,3.43635
0.23,0.77,1.92345
0.65,0.66,3.568
0.71,0.07,3.8354
0.33,0.68,2.3243
