x,y,score
0.46,0.76,2.81195
0.54,0.86,3.1327
0.16,0.19,1.6506
0.61,0.18,3.4497
0.82,0.41,4.2491
0.72,0.66,3.8569
0.63,0.37,3.5163
0.41,0.28,2.6691
0.16,0.44,1.6383
0.8,0.33,4.18675
0.84,0.23,4.3452
0.25,0.48,2.011
0.62,0.7,3.47275
0.78,0.28,4.1047
0.03,0.68,1.13315
0.57,0.0,3.2846
0.69,0.37,3.7421
0.46,0.05,2.8424
0.65,0.03,3.60065
0.56,0.8,3.22555
0.28,0.44,2.1139
0.65,0.0,3.6026
0.57,0.1,3.29425
0.44,0.29,2.78605
0.63,0.49,3.5094
0.26,0.03,2.0727
0.92,0.27,4.67215
0.69,0.35,3.76205
0.79,0.78,4.12705
0.3,0.26,2.22225
0.98,0.54,4.8897
0.25,0.62,1.98875
0.55,0.43,3.1812
0.19,0.06,1.78445
0.14,0.65,1.5611
0.09,0.65,1.3699
0.92,1.0,4.633
0.51,0.43,3.00595
0.36,0.66,2.4366
0.33,0.92,2.3127
0.01,0.93,1.0404
0.25,0.81,1.97655
0.9,0.46,4.57045
0.3,0.12,2.20915
0.87,0.59,4.44215
0.8,0.75,4.17545
0.93,0.2,4.71335
0.34,0.41,2.3437
0.05,0.48,1.2078
0.9,0.12,4.59775
0.59,0.65,3.3502
0.72,0.62,3.85875
0.29,0.87,2.13425
0.02,0.72,1.08665
0.8,0.35,4.1828
0.09,0.22,1.37795
0.05,0.61,1.21395
0.49,0.38,2.93615
0.62,0.21,3.48105
0.79,0.55,4.15475
0.64,0.52,3.55685
0.17,0.15,1.6973
0.45,0.81,2.7752
0.48,0.8,2.90405
0.51,0.39,3.04995
0.62,0.39,3.44675
0.58,0.64,3.3
0.8,0.62,4.15795
0.6,0.07,3.38595
0.35,0.87,2.3976
0.85,0.83,4.3821
0.96,0.89,4.80105
0.68,0.4,3.7103
0.13,0.15,1.55615
0.14,0.31,1.56695
0.15,0.88,1.59395
0.72,0.97,3.8204
0.56,0.33,3.2687
0.52,0.26,3.0905
0.99,0.97,4.91705
0.9,0.63,4.572
0.31,0.47,2.2443
0.98,0.8,4.87935
0.31,0.34,2.2581
0.22,0.4,1.87525
0.87,0.37,4.463
0.76,0.43,4.0215
0.79,0.76,4.1395
0.83,0.38,4.30005
0.74,0.12,3.964
0.68,0.51,3.6863
0.56,0.43,3.2525
0.63,0.01,3.5216
0.45,0.24,2.81405
0.52,0.13,3.0783
0.64,0.47,3.5433
0.51,0.91,3.00335
0.78,0.92,4.0894
0.92,0.54,4.6484
0.75,0.83,3.97995
0.72,0.5,3.88565
0.53,0.74,3.10815
0.82,0.88,4.2259
0.63,0.35,3.499
0.8,0.56,4.1869
0.99,0.8,4.9216
0.69,0.67,3.7453
0.44,0.43,2.7822
0.71,0.62,3.834
0.63,0.08,3.50365
0.48,0.4,2.93275
0.93,0.51,4.71015
0.65,0.12,3.59765
0.78,0.34,4.0869
0.17,0.41,1.68605
0.59,0.93,3.35165
0.98,0.65,4.89055
0.89,0.49,4.5359
0.09,0.48,1.36905
0.98,0.94,4.88045
0.6,0.72,3.3727
0.74,0.48,3.94375
0.48,0.19,2.94315
0.15,0.11,1.6224
0.86,0.55,4.43105
0.97,0.56,4.8489
1.0,0.64,4.96655
0.43,0.66,2.68645
0.85,0.2,4.40455
0.02,0.64,1.08385
0.26,0.02,2.0688
0.12,0.68,1.4836
0.66,0.15,3.6404
0.75,0.58,3.98955
