x,y,score
0.46,0.76,2.71765
0.54,0.86,2.95575
0.16,0.19,1.6877
0.61,0.18,3.39665
0.82,0.41,4.1876
0.72,0.66,3.7468
0.63,0.37,3.44875
0.41,0.28,2.62055
0.16,0.44,1.64535
0.8,0.33,4.12425
0.84,0.23,4.2851
0.25,0.48,1.9909
0.62,0.7,3.2944
0.78,0.28,4.02205
0.03,0.68,1.12465
0.57,0.0,3.2883
0.69,0.37,3.66275
0.46,0.05,2.8767
0.65,0.03,3.5627
0.56,0.8,3.05085
0.28,0.44,2.09165
0.65,0.0,3.5737
0.57,0.1,3.2724
0.44,0.29,2.7347
0.63,0.49,3.37475
0.26,0.03,2.1401
0.92,0.27,4.61465
0.69,0.35,3.65465
0.79,0.78,3.99445
0.3,0.26,2.23605
0.98,0.54,4.87485
0.25,0.62,1.9735
0.55,0.43,3.09115
0.19,0.06,1.83445
0.14,0.65,1.56865
0.09,0.65,1.35895
0.92,1.0,4.58705
0.51,0.43,2.9731
0.36,0.66,2.3668
0.33,0.92,2.1808
0.01,0.93,1.0369
0.25,0.81,1.93375
0.9,0.46,4.54215
0.3,0.12,2.25855
0.87,0.59,4.3531
0.8,0.75,4.02545
0.93,0.2,4.63425
0.34,0.41,2.3244
0.05,0.48,1.2158
0.9,0.12,4.53655
0.59,0.65,3.2086
0.72,0.62,3.7109
0.29,0.87,2.05335
0.02,0.72,1.08475
0.8,0.35,4.08675
0.09,0.22,1.41
0.05,0.61,1.21325
0.49,0.38,2.92555
0.62,0.21,3.41485
0.79,0.55,4.0471
0.64,0.52,3.4206
0.17,0.15,1.74035
0.45,0.81,2.6426
0.48,0.8,2.81045
0.51,0.39,2.97875
0.62,0.39,3.3886
0.58,0.64,3.21985
0.8,0.62,4.08045
0.6,0.07,3.39335
0.35,0.87,2.27085
0.85,0.83,4.2955
0.96,0.89,4.78025
0.68,0.4,3.6159
0.13,0.15,1.54885
0.14,0.31,1.6055
0.15,0.88,1.5738
0.72,0.97,3.6649
0.56,0.33,3.1852
0.52,0.26,3.05105
0.99,0.97,4.9131
0.9,0.63,4.5081
0.31,0.47,2.2068
0.98,0.8,4.86195
0.31,0.34,2.2379
0.22,0.4,1.88645
0.87,0.37,4.38775
0.76,0.43,3.91605
0.79,0.76,4.0271
0.83,0.38,4.2061
0.74,0.12,3.87115
0.68,0.51,3.6147
0.56,0.43,3.17725
0.63,0.01,3.53375
0.45,0.24,2.76875
0.52,0.13,3.05835
0.64,0.47,3.46435
0.51,0.91,2.8706
0.78,0.92,3.931
0.92,0.54,4.56195
0.75,0.83,3.83705
0.72,0.5,3.76415
0.53,0.74,2.9457
0.82,0.88,4.1532
0.63,0.35,3.4454
0.8,0.56,4.05105
0.99,0.8,4.9065
0.69,0.67,3.6264
0.44,0.43,2.72105
0.71,0.62,3.7029
0.63,0.08,3.51765
0.48,0.4,2.85305
0.93,0.51,4.63195
0.65,0.12,3.57355
0.78,0.34,4.0222
0.17,0.41,1.69535
0.59,0.93,3.14865
0.98,0.65,4.8644
0.89,0.49,4.47375
0.09,0.48,1.38905
0.98,0.94,4.8693
0.6,0.72,3.2445
0.74,0.48,3.86965
0.48,0.19,2.9131
0.15,0.11,1.6624
0.86,0.55,4.35225
0.97,0.56,4.82655
1.0,0.64,4.96745
0.43,0.66,2.6169
0.85,0.2,4.3133
0.02,0.64,1.08675
0.26,0.02,2.15495
0.12,0.68,1.4942
0.66,0.15,3.5842
0.75,0.58,3.88255
0.04,0.92,1.1419
0.15,0.58,1.6041
0.4,0.84,2.4521
0.94,0.97,4.69755
0.64,0.08,3.5214
0.08,0.63,1.3342
0.81,0.9,4.06485
0.21,0.79,1.8111
0.21,0.13,1.8918
0.82,0.12,4.21735
0.77,0.84,3.9022
0.76,0.89,3.8556
0.06,0.34,1.2735
0.92,0.45,4.5817
0.41,0.87,2.47595
0.11,0.48,1.44165
0.67,0.53,3.5345
0.36,0.88,2.28055
0.47,0.6,2.79075
0.34,0.03,2.4257
0.79,0.95,3.9679
0.24,0.56,1.9326
0.17,0.32,1.6973
0.59,0.26,3.3238
0.59,0.68,3.1897
1.0,0.57,4.9667
0.63,0.84,3.349
0.72,0.58,3.74445
0.84,0.68,4.23775
0.07,0.87,1.271
0.71,0.48,3.75225
0.27,0.76,2.00275
0.2,0.43,1.81315
0.25,0.83,1.93175
0.74,0.97,3.7817
0.56,0.06,3.23935
0.77,0.18,4.01315
0.61,0.23,3.3723
0.73,0.56,3.78115
0.4,0.67,2.50155
0.93,0.15,4.66645
0.37,0.3,2.44815
0.89,0.6,4.43545
0.32,0.92,2.1432
0.97,0.95,4.83015
0.96,0.12,4.78545
0.74,0.25,3.8303
0.47,0.92,2.74265
0.13,0.43,1.53955
0.8,0.68,4.04865
0.01,0.53,1.05235
0.69,0.03,3.73515
0.73,0.82,3.7102
0.97,0.94,4.81365
0.9,1.0,4.49295
0.08,0.23,1.3543
0.82,0.79,4.15435
0.42,0.46,2.6235
0.62,0.93,3.2687
0.71,0.43,3.7497
0.77,0.04,4.05185
0.97,0.53,4.81655
0.73,0.22,3.85275
0.59,0.14,3.33695
0.5,0.81,2.82775
0.4,1.0,2.44145
0.89,0.12,4.5012
0.05,0.83,1.1976
0.19,0.67,1.7403
0.97,0.93,4.82065
0.69,0.2,3.68405
0.72,0.64,3.71985
0.94,0.47,4.6711
0.81,0.73,4.10085
0.5,0.86,2.7998
0.15,0.5,1.61175
0.45,0.28,2.7808
0.48,0.93,2.68525
0.15,0.25,1.6319
0.32,0.14,2.3286
0.62,0.38,3.39765
0.48,0.51,2.83075
0.61,0.92,3.23245
0.34,0.82,2.27335
0.39,0.43,2.5469
0.89,0.11,4.50775
0.67,0.3,3.60355
0.15,0.26,1.62595
