x,y,score
0.46,0.76,2.8271
0.54,0.86,3.132
0.16,0.19,1.68675
0.61,0.18,3.40185
0.82,0.41,4.25785
0.72,0.66,3.8417
0.63,0.37,3.5009
0.41,0.28,2.6481
0.16,0.44,1.6489
0.8,0.33,4.15595
0.84,0.23,4.3158
0.25,0.48,2.00525
0.62,0.7,3.441
0.78,0.28,4.08275
0.03,0.68,1.1245
0.57,0.0,3.0
0.69,0.37,3.7206
0.46,0.05,2.8661
0.65,0.03,3.49205
0.56,0.8,3.212
0.28,0.44,2.1363
0.65,0.0,3.0
0.57,0.1,3.2502
0.44,0.29,2.75505
0.63,0.49,3.47395
0.26,0.03,2.2376
0.92,0.27,4.61125
0.69,0.35,3.73645
0.79,0.78,4.1233
0.3,0.26,2.2109
0.98,0.54,4.87435
0.25,0.62,1.98515
0.55,0.43,3.16105
0.19,0.06,1.8884
0.14,0.65,1.573
0.09,0.65,1.3687
0.92,1.0,4.6387
0.51,0.43,3.0157
0.36,0.66,2.4118
0.33,0.92,2.29505
0.01,0.93,1.03425
0.25,0.81,1.96255
0.9,0.46,4.56585
0.3,0.12,2.2432
0.87,0.59,4.42355
0.8,0.75,4.1739
0.93,0.2,4.66765
0.34,0.41,2.35225
0.05,0.48,1.2241
0.9,0.12,4.5223
0.59,0.65,3.33635
0.72,0.62,3.83715
0.29,0.87,2.1531
0.02,0.72,1.0863
0.8,0.35,4.16955
0.09,0.22,1.4055
0.05,0.61,1.19625
0.49,0.38,2.9675
0.62,0.21,3.4693
0.79,0.55,4.11045
0.64,0.52,3.51815
0.17,0.15,1.75645
0.45,0.81,2.80255
0.48,0.8,2.90095
0.51,0.39,3.0301
0.62,0.39,3.4779
0.58,0.64,3.26725
0.8,0.62,4.1705
0.6,0.07,3.3495
0.35,0.87,2.38105
0.85,0.83,4.3622
0.96,0.89,4.794
0.68,0.4,3.68125
0.13,0.15,1.5616
0.14,0.31,1.5974
0.15,0.88,1.57675
0.72,0.97,3.8416
0.56,0.33,3.18865
0.52,0.26,3.05995
0.99,0.97,4.9175
0.9,0.63,4.56195
0.31,0.47,2.2387
0.98,0.8,4.88295
0.31,0.34,2.2258
0.22,0.4,1.8761
0.87,0.37,4.44195
0.76,0.43,3.9891
0.79,0.76,4.11015
0.83,0.38,4.25885
0.74,0.12,3.9004
0.68,0.51,3.6737
0.56,0.43,3.19815
0.63,0.01,3.27515
0.45,0.24,2.7759
0.52,0.13,3.0606
0.64,0.47,3.53265
0.51,0.91,3.00725
0.78,0.92,4.08055
0.92,0.54,4.64735
0.75,0.83,3.9596
0.72,0.5,3.8448
0.53,0.74,3.09235
0.82,0.88,4.23815
0.63,0.35,3.51135
0.8,0.56,4.16675
0.99,0.8,4.9181
0.69,0.67,3.7502
0.44,0.43,2.7681
0.71,0.62,3.813
0.63,0.08,3.48235
0.48,0.4,2.90745
0.93,0.51,4.67055
0.65,0.12,3.562
0.78,0.34,4.07195
0.17,0.41,1.69705
0.59,0.93,3.32975
0.98,0.65,4.87825
0.89,0.49,4.5288
0.09,0.48,1.369
0.98,0.94,4.87875
0.6,0.72,3.35235
0.74,0.48,3.92505
0.48,0.19,2.90775
0.15,0.11,1.68835
0.86,0.55,4.37945
0.97,0.56,4.839
1.0,0.64,4.9546
0.43,0.66,2.70065
0.85,0.2,4.3425
0.02,0.64,1.0892
0.26,0.02,2.31795
0.12,0.68,1.47805
0.66,0.15,3.6167
0.75,0.58,3.9781
0.04,0.92,1.15245
0.15,0.58,1.6102
0.4,0.84,2.5669
0.94,0.97,4.7173
0.64,0.08,3.5311
0.08,0.63,1.3288
0.81,0.9,4.18585
0.21,0.79,1.8468
0.21,0.13,1.90705
0.82,0.12,4.22575
0.77,0.84,4.05305
0.76,0.89,3.9942
0.06,0.34,1.2788
0.92,0.45,4.63395
0.41,0.87,2.608
0.11,0.48,1.4605
0.67,0.53,3.6271
0.36,0.88,2.40985
0.47,0.6,2.8516
0.34,0.03,2.51795
0.79,0.95,4.12935
0.24,0.56,1.94845
