x,y,score
0.46,0.76,2.73145
0.54,0.86,2.9898
0.16,0.19,1.7074
0.61,0.18,3.35655
0.82,0.41,4.1809
0.72,0.66,3.68775
0.63,0.37,3.39575
0.41,0.28,2.62975
0.16,0.44,1.65165
0.8,0.33,4.0609
0.84,0.23,4.22025
0.25,0.48,1.9981
0.62,0.7,3.2977
0.78,0.28,3.979
0.03,0.68,1.12435
0.57,0.0,3.0
0.69,0.37,3.6079
0.46,0.05,2.88605
0.65,0.03,3.4228
0.56,0.8,3.05855
0.28,0.44,2.10165
0.65,0.0,3.0
0.57,0.1,3.2446
0.44,0.29,2.74525
0.63,0.49,3.35995
0.26,0.03,2.39005
0.92,0.27,4.59765
0.69,0.35,3.63805
0.79,0.78,3.97805
0.3,0.26,2.2233
0.98,0.54,4.86285
0.25,0.62,2.00385
0.55,0.43,3.0893
0.19,0.06,2.04875
0.14,0.65,1.54915
0.09,0.65,1.3558
0.92,1.0,4.61465
0.51,0.43,2.9352
0.36,0.66,2.40455
0.33,0.92,2.27755
0.01,0.93,1.03985
0.25,0.81,1.9901
0.9,0.46,4.5028
0.3,0.12,2.30555
0.87,0.59,4.37605
0.8,0.75,4.02365
0.93,0.2,4.6082
0.34,0.41,2.37525
0.05,0.48,1.21445
0.9,0.12,4.45635
0.59,0.65,3.23515
0.72,0.62,3.6842
0.29,0.87,2.13545
0.02,0.72,1.0884
0.8,0.35,4.0782
0.09,0.22,1.43995
0.05,0.61,1.2047
0.49,0.38,2.89405
0.62,0.21,3.36935
0.79,0.55,4.01865
0.64,0.52,3.44035
0.17,0.15,1.76505
0.45,0.81,2.6871
0.48,0.8,2.77875
0.51,0.39,2.9497
0.62,0.39,3.3479
0.58,0.64,3.17475
0.8,0.62,4.04415
0.6,0.07,3.3353
0.35,0.87,2.3573
0.85,0.83,4.2852
0.96,0.89,4.7766
0.68,0.4,3.5938
0.13,0.15,1.63425
0.14,0.31,1.59185
0.15,0.88,1.5776
0.72,0.97,3.6668
0.56,0.33,3.15
0.52,0.26,3.03275
0.99,0.97,4.9165
0.9,0.63,4.5075
0.31,0.47,2.22965
0.98,0.8,4.8749
0.31,0.34,2.25445
0.22,0.4,1.9015
0.87,0.37,4.36395
0.76,0.43,3.8844
0.79,0.76,4.00125
0.83,0.38,4.1989
0.74,0.12,3.80875
0.68,0.51,3.56725
0.56,0.43,3.1531
0.63,0.01,3.30205
0.45,0.24,2.7594
0.52,0.13,3.03855
0.64,0.47,3.4332
0.51,0.91,2.87345
0.78,0.92,3.9323
0.92,0.54,4.5926
0.75,0.83,3.8099
0.72,0.5,3.69905
0.53,0.74,2.96305
0.82,0.88,4.13045
0.63,0.35,3.419
0.8,0.56,4.0494
0.99,0.8,4.9125
0.69,0.67,3.5541
0.44,0.43,2.7031
0.71,0.62,3.6602
0.63,0.08,3.4317
0.48,0.4,2.8608
0.93,0.51,4.6471
0.65,0.12,3.4972
0.78,0.34,3.98005
0.17,0.41,1.67805
0.59,0.93,3.1531
0.98,0.65,4.8624
0.89,0.49,4.45605
0.09,0.48,1.37245
0.98,0.94,4.87375
0.6,0.72,3.22415
0.74,0.48,3.802
0.48,0.19,2.8823
0.15,0.11,1.76865
0.86,0.55,4.32045
0.97,0.56,4.81855
1.0,0.64,4.9551
0.43,0.66,2.6213
0.85,0.2,4.2733
0.02,0.64,1.0902
0.26,0.02,2.4926
0.12,0.68,1.4801
0.66,0.15,3.5378
0.75,0.58,3.84435
0.04,0.92,1.1702
0.15,0.58,1.6044
0.4,0.84,2.50155
0.94,0.97,4.7085
0.64,0.08,3.45665
0.08,0.63,1.31935
0.81,0.9,4.06955
0.21,0.79,1.84135
0.21,0.13,1.95795
0.82,0.12,4.1302
0.77,0.84,3.91395
0.76,0.89,3.86305
0.06,0.34,1.27465
0.92,0.45,4.59895
0.41,0.87,2.56865
0.11,0.48,1.46645
0.67,0.53,3.5214
0.36,0.88,2.3927
0.47,0.6,2.7914
0.34,0.03,2.5866
0.79,0.95,3.97275
0.24,0.56,1.95875
0.17,0.32,1.71135
0.59,0.26,3.2676
0.59,0.68,3.18735
1.0,0.57,4.952
0.63,0.84,3.3165
0.72,0.58,3.67855
0.84,0.68,4.2302
0.07,0.87,1.26535
0.71,0.48,3.6856
0.27,0.76,2.0825
0.2,0.43,1.81525
0.25,0.83,1.9933
0.74,0.97,3.7432
0.56,0.06,3.20055
0.77,0.18,3.94845
0.61,0.23,3.34785
0.73,0.56,3.7544
0.4,0.67,2.5532
0.93,0.15,4.5882
0.37,0.3,2.4719
0.89,0.6,4.439
0.32,0.92,2.2397
0.97,0.95,4.83335
0.96,0.12,4.71195
0.74,0.25,3.83665
0.47,0.92,2.7264
0.13,0.43,1.53565
0.8,0.68,4.03845
0.01,0.53,1.0588
0.69,0.03,3.5738
0.73,0.82,3.74185
0.97,0.94,4.83575
0.9,1.0,4.49805
0.08,0.23,1.3919
0.82,0.79,4.14025
0.42,0.46,2.6201
0.62,0.93,3.2442
0.71,0.43,3.6695
0.77,0.04,3.8783
0.97,0.53,4.8136
0.73,0.22,3.7857
0.59,0.14,3.28355
0.5,0.81,2.85025
0.4,1.0,2.5297
0.89,0.12,4.40835
0.05,0.83,1.20545
0.19,0.67,1.74675
0.97,0.93,4.82855
0.69,0.2,3.6427
0.72,0.64,3.69375
0.94,0.47,4.68445
0.81,0.73,4.0843
0.5,0.86,2.83695
0.15,0.5,1.5944
0.45,0.28,2.7777
0.48,0.93,2.76305
0.15,0.25,1.6549
0.32,0.14,2.32365
0.62,0.38,3.3853
0.48,0.51,2.83995
0.61,0.92,3.19415
0.34,0.82,2.3202
0.39,0.43,2.5416
0.89,0.11,4.4227
0.67,0.3,3.54065
0.15,0.26,1.65035
0.72,0.21,3.7735
0.57,0.41,3.17545
0.01,0.09,1.2361
0.55,0.84,3.01855
0.85,0.24,4.28275
0.53,0.07,3.109
0.81,0.85,4.08075
0.65,0.79,3.39405
0.08,0.01,2.28805
0.62,0.24,3.3803
0.28,0.85,2.08605
0.12,0.31,1.5208
0.04,0.88,1.1499
0.25,0.42,2.00475
0.29,0.34,2.1487
0.12,0.75,1.4808
0.16,0.7,1.6463
0.9,0.47,4.50265
0.65,0.01,3.30125
0.44,0.94,2.63785
0.38,0.39,2.47965
0.95,0.84,4.74595
0.31,0.48,2.22455
0.45,0.92,2.658
0.08,0.35,1.34885
0.68,0.89,3.4882
0.99,1.0,4.9136
0.61,0.37,3.3083
0.02,0.96,1.07205
0.94,0.0,3.0
0.71,0.78,3.65965
0.09,0.02,1.9939
0.46,0.16,2.81955
0.3,0.07,2.33765
0.94,0.83,4.703
0.25,0.01,2.50835
0.78,0.53,3.98585
0.24,0.45,1.9606
