x,y,score
0.46,0.76,2.81105
0.54,0.86,3.12125
0.16,0.19,1.6777
0.61,0.18,3.39955
0.82,0.41,4.2513
0.72,0.66,3.8749
0.63,0.37,3.5026
0.41,0.28,2.6387
0.16,0.44,1.64565
0.8,0.33,4.1696
0.84,0.23,4.2974
0.25,0.48,1.977
0.62,0.7,3.4675
0.78,0.28,4.06165
0.03,0.68,1.12985
0.57,0.0,3.0
0.69,0.37,3.71405
0.46,0.05,2.854
0.65,0.03,3.4991
0.56,0.8,3.24245
0.28,0.44,2.10995
0.65,0.0,3.0
0.57,0.1,3.26405
0.44,0.29,2.7326
0.63,0.49,3.49475
0.26,0.03,2.1755
0.92,0.27,4.61925
0.69,0.35,3.71735
0.79,0.78,4.12645
0.3,0.26,2.2273
0.98,0.54,4.869
0.25,0.62,1.9721
0.55,0.43,3.1921
0.19,0.06,1.8882
0.14,0.65,1.5527
0.09,0.65,1.3668
0.92,1.0,4.631
0.51,0.43,3.00805
0.36,0.66,2.41155
0.33,0.92,2.32715
0.01,0.93,1.04
0.25,0.81,1.97115
0.9,0.46,4.55925
0.3,0.12,2.2503
0.87,0.59,4.433
0.8,0.75,4.1625
0.93,0.2,4.6553
0.34,0.41,2.3337
0.05,0.48,1.2183
0.9,0.12,4.52705
0.59,0.65,3.3239
0.72,0.62,3.83585
0.29,0.87,2.1294
0.02,0.72,1.0765
0.8,0.35,4.147
0.09,0.22,1.4054
0.05,0.61,1.20645
0.49,0.38,2.9482
0.62,0.21,3.44275
0.79,0.55,4.11555
0.64,0.52,3.51275
0.17,0.15,1.71495
0.45,0.81,2.7863
0.48,0.8,2.88865
0.51,0.39,3.00915
0.62,0.39,3.45175
0.58,0.64,3.31665
0.8,0.62,4.16905
0.6,0.07,3.34605
0.35,0.87,2.38045
0.85,0.83,4.35775
0.96,0.89,4.80575
0.68,0.4,3.69185
0.13,0.15,1.58115
0.14,0.31,1.60505
0.15,0.88,1.6008
0.72,0.97,3.8718
0.56,0.33,3.23535
0.52,0.26,3.0726
0.99,0.97,4.9118
0.9,0.63,4.55615
0.31,0.47,2.25485
0.98,0.8,4.871
0.31,0.34,2.24055
0.22,0.4,1.8757
0.87,0.37,4.4279
0.76,0.43,4.0146
0.79,0.76,4.11965
0.83,0.38,4.2582
0.74,0.12,3.9145
0.68,0.51,3.68405
0.56,0.43,3.2382
0.63,0.01,3.3042
0.45,0.24,2.78505
0.52,0.13,3.0746
0.64,0.47,3.4973
0.51,0.91,3.0178
0.78,0.92,4.06845
0.92,0.54,4.64245
0.75,0.83,3.9775
0.72,0.5,3.8504
0.53,0.74,3.0671
0.82,0.88,4.2412
0.63,0.35,3.48245
0.8,0.56,4.16265
0.99,0.8,4.9122
0.69,0.67,3.7474
0.44,0.43,2.7288
0.71,0.62,3.8144
0.63,0.08,3.468
0.48,0.4,2.89775
0.93,0.51,4.6895
0.65,0.12,3.5598
0.78,0.34,4.06385
0.17,0.41,1.67445
0.59,0.93,3.302
0.98,0.65,4.8723
0.89,0.49,4.5189
0.09,0.48,1.36835
0.98,0.94,4.8778
0.6,0.72,3.3582
0.74,0.48,3.93245
0.48,0.19,2.91515
0.15,0.11,1.69355
0.86,0.55,4.3951
0.97,0.56,4.83195
1.0,0.64,4.95425
0.43,0.66,2.6908
0.85,0.2,4.35325
0.02,0.64,1.0801
0.26,0.02,2.25615
0.12,0.68,1.48195
0.66,0.15,3.6023
0.75,0.58,3.97695
0.04,0.92,1.15495
0.15,0.58,1.5985
0.4,0.84,2.57825
0.94,0.97,4.72195
0.64,0.08,3.52315
0.08,0.63,1.3177
0.81,0.9,4.2067
0.21,0.79,1.838
0.21,0.13,1.89285
0.82,0.12,4.1917
0.77,0.84,4.03325
0.76,0.89,3.9859
0.06,0.34,1.27345
0.92,0.45,4.64065
0.41,0.87,2.64215
0.11,0.48,1.4478
0.67,0.53,3.65245
0.36,0.88,2.41355
0.47,0.6,2.87235
0.34,0.03,2.51365
0.79,0.95,4.1406
0.24,0.56,1.95985
0.17,0.32,1.68515
0.59,0.26,3.33475
0.59,0.68,3.3477
1.0,0.57,4.9564
0.63,0.84,3.485
0.72,0.58,3.847
0.84,0.68,4.3292
0.07,0.87,1.2843
0.71,0.48,3.80875
0.27,0.76,2.07845
0.2,0.43,1.7982
0.25,0.83,1.983
0.74,0.97,3.9317
0.56,0.06,3.2372
0.77,0.18,4.04795
0.61,0.23,3.3889
0.73,0.56,3.90245
0.4,0.67,2.57815
0.93,0.15,4.6351
0.37,0.3,2.4701
0.89,0.6,4.51445
0.32,0.92,2.25455
0.97,0.95,4.8384
0.96,0.12,4.7467
0.74,0.25,3.9104
0.47,0.92,2.8641
0.13,0.43,1.5329
0.8,0.68,4.1573
0.01,0.53,1.0589
0.69,0.03,3.6257
0.73,0.82,3.9128
0.97,0.94,4.8387
0.9,1.0,4.5572
0.08,0.23,1.3682
0.82,0.79,4.2415
0.42,0.46,2.67275
0.62,0.93,3.43315
0.71,0.43,3.7943
0.77,0.04,3.94505
0.97,0.53,4.8363
0.73,0.22,3.88955
0.59,0.14,3.33005
0.5,0.81,2.9487
0.4,1.0,2.5838
0.89,0.12,4.4796
0.05,0.83,1.1943
0.19,0.67,1.74795
0.97,0.93,4.83785
0.69,0.2,3.7176
0.72,0.64,3.8735
0.94,0.47,4.72515
0.81,0.73,4.2251
0.5,0.86,2.9633
0.15,0.5,1.6017
0.45,0.28,2.7875
0.48,0.93,2.88985
0.15,0.25,1.61505
0.32,0.14,2.30435
0.62,0.38,3.4529
0.48,0.51,2.91015
0.61,0.92,3.40325
0.34,0.82,2.3478
0.39,0.43,2.56775
0.89,0.11,4.46315
0.67,0.3,3.6543
0.15,0.26,1.6154
0.72,0.21,3.83955
0.57,0.41,3.26075
0.01,0.09,1.1913
0.55,0.84,3.1659
0.85,0.24,4.3626
0.53,0.07,3.08775
0.81,0.85,4.20285
0.65,0.79,3.5455
0.08,0.01,2.13125
0.62,0.24,3.4481
0.28,0.85,2.1256
0.12,0.31,1.5152
0.04,0.88,1.1561
0.25,0.42,2.0097
0.29,0.34,2.16055
0.12,0.75,1.4792
0.16,0.7,1.64325
0.9,0.47,4.5707
0.65,0.01,3.29595
0.44,0.94,2.743
0.38,0.39,2.52935
0.95,0.84,4.75345
0.31,0.48,2.24995
0.45,0.92,2.77885
0.08,0.35,1.32585
0.68,0.89,3.70735
0.99,1.0,4.9154
0.61,0.37,3.40065
0.02,0.96,1.07275
0.94,0.0,3.0
