x,y,score
0.46,0.76,2.7215
0.54,0.86,2.98465
0.16,0.19,1.71695
0.61,0.18,3.3606
0.82,0.41,4.1253
0.72,0.66,3.68645
0.63,0.37,3.3964
0.41,0.28,2.61585
0.16,0.44,1.64225
0.8,0.33,4.06795
0.84,0.23,4.2331
0.25,0.48,2.00505
0.62,0.7,3.30815
0.78,0.28,3.98565
0.03,0.68,1.1247
0.57,0.0,3.0
0.69,0.37,3.6288
0.46,0.05,2.90435
0.65,0.03,3.46825
0.56,0.8,3.0399
0.28,0.44,2.1114
0.65,0.0,3.0
0.57,0.1,3.2449
0.44,0.29,2.73005
0.63,0.49,3.37375
0.26,0.03,2.3067
0.92,0.27,4.5864
0.69,0.35,3.66165
0.79,0.78,3.9557
0.3,0.26,2.24105
0.98,0.54,4.87005
0.25,0.62,1.95955
0.55,0.43,3.09025
0.19,0.06,1.99745
0.14,0.65,1.56295
0.09,0.65,1.3624
0.92,1.0,4.52635
0.51,0.43,2.9612
0.36,0.66,2.333
0.33,0.92,2.2245
0.01,0.93,1.0342
0.25,0.81,1.92305
0.9,0.46,4.4618
0.3,0.12,2.2931
0.87,0.59,4.3326
0.8,0.75,3.98775
0.93,0.2,4.61485
0.34,0.41,2.324
0.05,0.48,1.2182
0.9,0.12,4.48285
0.59,0.65,3.15395
0.72,0.62,3.6763
0.29,0.87,2.0804
0.02,0.72,1.07955
0.8,0.35,4.07775
0.09,0.22,1.42265
0.05,0.61,1.20905
0.49,0.38,2.8824
0.62,0.21,3.3855
0.79,0.55,3.9742
0.64,0.52,3.40055
0.17,0.15,1.8199
0.45,0.81,2.64865
0.48,0.8,2.75785
0.51,0.39,2.9386
0.62,0.39,3.34445
0.58,0.64,3.15135
0.8,0.62,3.99025
0.6,0.07,3.3476
0.35,0.87,2.3003
0.85,0.83,4.2174
0.96,0.89,4.7107
0.68,0.4,3.56745
0.13,0.15,1.63565
0.14,0.31,1.5987
0.15,0.88,1.56395
0.72,0.97,3.66
0.56,0.33,3.17855
0.52,0.26,3.03805
