x,y,score
0.46,0.76,2.8038
0.54,0.86,3.14385
0.16,0.19,1.73215
0.61,0.18,3.37645
0.82,0.41,4.22
0.72,0.66,3.8314
0.63,0.37,3.4731
0.41,0.28,2.64045
0.16,0.44,1.68415
0.8,0.33,4.1319
0.84,0.23,4.2729
0.25,0.48,2.0072
0.62,0.7,3.42205
0.78,0.28,4.03465
0.03,0.68,1.1203
0.57,0.0,3.0
0.69,0.37,3.73125
0.46,0.05,2.89055
0.65,0.03,3.4353
0.56,0.8,3.1943
0.28,0.44,2.11455
0.65,0.0,3.0
0.57,0.1,3.22705
0.44,0.29,2.7527
0.63,0.49,3.48155
0.26,0.03,2.32465
0.92,0.27,4.60575
0.69,0.35,3.6984
0.79,0.78,4.1139
0.3,0.26,2.2014
0.98,0.54,4.86525
0.25,0.62,1.9938
0.55,0.43,3.1796
0.19,0.06,1.99795
0.14,0.65,1.5586
0.09,0.65,1.37505
0.92,1.0,4.6492
0.51,0.43,3.0186
0.36,0.66,2.41035
0.33,0.92,2.3237
0.01,0.93,1.0316
0.25,0.81,1.984
0.9,0.46,4.5327
0.3,0.12,2.2731
0.87,0.59,4.4363
0.8,0.75,4.1652
0.93,0.2,4.60215
0.34,0.41,2.34415
0.05,0.48,1.2304
0.9,0.12,4.4344
0.59,0.65,3.32505
0.72,0.62,3.8098
0.29,0.87,2.15085
0.02,0.72,1.08765
0.8,0.35,4.1368
0.09,0.22,1.44545
0.05,0.61,1.21105
0.49,0.38,2.931
0.62,0.21,3.413
0.79,0.55,4.112
0.64,0.52,3.5146
0.17,0.15,1.80085
0.45,0.81,2.76095
0.48,0.8,2.90295
0.51,0.39,3.00645
0.62,0.39,3.42985
0.58,0.64,3.29685
0.8,0.62,4.15405
0.6,0.07,3.3593
0.35,0.87,2.36875
0.85,0.83,4.35975
0.96,0.89,4.79265
0.68,0.4,3.6799
0.13,0.15,1.64815
0.14,0.31,1.61885
0.15,0.88,1.5761
0.72,0.97,3.84205
0.56,0.33,3.2004
0.52,0.26,3.0491
0.99,0.97,4.9156
0.9,0.63,4.53515
0.31,0.47,2.21355
0.98,0.8,4.8678
0.31,0.34,2.24165
0.22,0.4,1.89685
0.87,0.37,4.428
0.76,0.43,3.97465
0.79,0.76,4.1089
0.83,0.38,4.25275
0.74,0.12,3.86485
0.68,0.51,3.6655
0.56,0.43,3.1968
0.63,0.01,3.27675
0.45,0.24,2.7792
0.52,0.13,3.0612
0.64,0.47,3.50655
0.51,0.91,3.0186
0.78,0.92,4.1057
0.92,0.54,4.6179
0.75,0.83,3.9863
0.72,0.5,3.8145
0.53,0.74,3.0975
0.82,0.88,4.23485
