x,y,score
0.46,0.76,2.1313
0.54,0.86,2.19585
0.16,0.19,2.0128
0.61,0.18,2.5747
0.82,0.41,2.4814
0.72,0.66,2.3992
0.63,0.37,2.3978
0.41,0.28,2.3331
0.16,0.44,1.6622
0.8,0.33,2.49515
0.84,0.23,2.55935
0.25,0.48,1.89435
0.62,0.7,2.3031
0.78,0.28,2.50655
0.03,0.68,1.1254
0.57,0.0,3.0
0.69,0.37,2.42115
0.46,0.05,2.84915
0.65,0.03,2.9076
0.56,0.8,2.23375
0.28,0.44,1.99705
0.65,0.0,3.0
0.57,0.1,2.73025
0.44,0.29,2.3383
0.63,0.49,2.35765
0.26,0.03,2.89885
0.92,0.27,2.56145
0.69,0.35,2.4203
0.79,0.78,2.4414
0.3,0.26,2.2399
0.98,0.54,2.6126
0.25,0.62,1.84225
0.55,0.43,2.30715
0.19,0.06,2.78215
0.14,0.65,1.5274
0.09,0.65,1.3577
0.92,1.0,2.59155
0.51,0.43,2.28685
0.36,0.66,2.02485
0.33,0.92,1.89215
0.01,0.93,1.04015
0.25,0.81,1.7905
0.9,0.46,2.5299
0.3,0.12,2.61675
0.87,0.59,2.513
0.8,0.75,2.45985
0.93,0.2,2.6199
0.34,0.41,2.12745
0.05,0.48,1.22025
0.9,0.12,2.7152
0.59,0.65,2.29245
0.72,0.62,2.3939
0.29,0.87,1.85275
0.02,0.72,1.07725
0.8,0.35,2.4758
0.09,0.22,1.5712
0.05,0.61,1.20135
0.49,0.38,2.3062
0.62,0.21,2.5201
0.79,0.55,2.4463
0.64,0.52,2.35305
0.17,0.15,2.24635
0.45,0.81,2.1098
0.48,0.8,2.1315
0.51,0.39,2.31645
0.62,0.39,2.38025
0.58,0.64,2.2768
0.8,0.62,2.4612
0.6,0.07,2.79615
0.35,0.87,1.9469
0.85,0.83,2.509
0.96,0.89,2.6306
0.68,0.4,2.40705
0.13,0.15,2.11325
0.14,0.31,1.69655
0.15,0.88,1.5272
0.72,0.97,2.3665
0.56,0.33,2.3825
0.52,0.26,2.4256
0.99,0.97,2.6821
0.9,0.63,2.53555
0.31,0.47,2.03
0.98,0.8,2.6542
0.31,0.34,2.13645
0.22,0.4,1.89085
0.87,0.37,2.51835
0.76,0.43,2.44545
0.79,0.76,2.43865
0.83,0.38,2.48015
0.74,0.12,2.70195
0.68,0.51,2.38265
0.56,0.43,2.31255
0.63,0.01,2.97105
0.45,0.24,2.43245
0.52,0.13,2.6463
0.64,0.47,2.36605
0.51,0.91,2.14725
0.78,0.92,2.4183
0.92,0.54,2.5491
0.75,0.83,2.40615
0.72,0.5,2.40135
