x,y,score
0.46,0.76,2.0536
0.54,0.86,2.0839
0.16,0.19,2.07345
0.61,0.18,2.8238
0.82,0.41,2.6803
0.72,0.66,2.3962
0.63,0.37,2.58555
0.41,0.28,2.47105
0.16,0.44,1.7336
0.8,0.33,2.7641
0.84,0.23,2.8885
0.25,0.48,1.94645
0.62,0.7,2.26665
0.78,0.28,2.79345
0.03,0.68,1.1326
0.57,0.0,3.0973
0.69,0.37,2.6401
0.46,0.05,2.93285
0.65,0.03,3.0784
0.56,0.8,2.131
0.28,0.44,2.01965
0.65,0.0,3.1251
0.57,0.1,2.92095
0.44,0.29,2.50995
0.63,0.49,2.47155
0.26,0.03,2.77995
0.92,0.27,2.8774
0.69,0.35,2.66465
0.79,0.78,2.36325
0.3,0.26,2.32155
0.98,0.54,2.6599
0.25,0.62,1.8032
0.55,0.43,2.43585
0.19,0.06,2.51895
0.14,0.65,1.49245
0.09,0.65,1.35885
0.92,1.0,2.32415
0.51,0.43,2.39365
0.36,0.66,1.98465
0.33,0.92,1.76375
0.01,0.93,1.02915
0.25,0.81,1.69255
0.9,0.46,2.69095
0.3,0.12,2.58015
0.87,0.59,2.55935
0.8,0.75,2.38915
0.93,0.2,2.9581
0.34,0.41,2.19985
0.05,0.48,1.2678
0.9,0.12,3.0379
0.59,0.65,2.27415
0.72,0.62,2.44335
0.29,0.87,1.7149
0.02,0.72,1.07845
0.8,0.35,2.73855
0.09,0.22,1.7295
0.05,0.61,1.2185
0.49,0.38,2.44115
0.62,0.21,2.7866
0.79,0.55,2.5319
0.64,0.52,2.4491
0.17,0.15,2.2181
0.45,0.81,2.00775
0.48,0.8,2.04555
0.51,0.39,2.46005
0.62,0.39,2.55605
0.58,0.64,2.28145
0.8,0.62,2.4871
0.6,0.07,2.99455
0.35,0.87,1.8189
0.85,0.83,2.3758
0.96,0.89,2.41125
0.68,0.4,2.6102
0.13,0.15,2.0393
0.14,0.31,1.77775
0.15,0.88,1.4404
0.72,0.97,2.19255
0.56,0.33,2.57635
0.52,0.26,2.6261
0.99,0.97,2.38605
0.9,0.63,2.55165
0.31,0.47,2.05835
0.98,0.8,2.4803
0.31,0.34,2.2097
0.22,0.4,1.90825
0.87,0.37,2.7546
0.76,0.43,2.62755
0.79,0.76,2.3767
0.83,0.38,2.71725
0.74,0.12,2.9787
0.68,0.51,2.5083
0.56,0.43,2.46755
0.63,0.01,3.106
0.45,0.24,2.58495
0.52,0.13,2.8327
0.64,0.47,2.48715
0.51,0.91,2.02205
0.78,0.92,2.26655
0.92,0.54,2.6263
0.75,0.83,2.31115
0.72,0.5,2.53415
0.53,0.74,2.1551
0.82,0.88,2.3214
0.63,0.35,2.61515
0.8,0.56,2.5343
0.99,0.8,2.48975
0.69,0.67,2.3687
0.44,0.43,2.3186
0.71,0.62,2.42485
0.63,0.08,2.9914
0.48,0.4,2.4095
0.93,0.51,2.6646
0.65,0.12,2.94335
0.78,0.34,2.72405
0.17,0.41,1.80165
0.59,0.93,2.09245
0.98,0.65,2.58635
0.89,0.49,2.65725
0.09,0.48,1.44305
0.98,0.94,2.3977
0.6,0.72,2.2407
0.74,0.48,2.56895
0.48,0.19,2.691
0.15,0.11,2.2137
0.86,0.55,2.5946
0.97,0.56,2.64975
1.0,0.64,2.59545
0.43,0.66,2.0961
0.85,0.2,2.91285
0.02,0.64,1.09935
0.26,0.02,2.81635
0.12,0.68,1.43875
0.66,0.15,2.90035
0.75,0.58,2.48275
0.04,0.92,1.1167
0.15,0.58,1.5888
0.4,0.84,1.9249
0.94,0.97,2.3527
0.64,0.08,2.9978
0.08,0.63,1.32195
0.81,0.9,2.3095
0.21,0.79,1.60995
0.21,0.13,2.3546
0.82,0.12,3.00945
0.77,0.84,2.31345
0.76,0.89,2.2664
0.06,0.34,1.41475
0.92,0.45,2.71025
0.41,0.87,1.91935
0.11,0.48,1.52965
0.67,0.53,2.47125
0.36,0.88,1.83075
0.47,0.6,2.18715
0.34,0.03,2.8796
0.79,0.95,2.26665
0.24,0.56,1.8309
0.17,0.32,1.8866
0.59,0.26,2.6931
0.59,0.68,2.26435
1.0,0.57,2.66035
0.63,0.84,2.18505
0.72,0.58,2.45655
0.84,0.68,2.468
0.07,0.87,1.2246
0.71,0.48,2.5541
0.27,0.76,1.76265
0.2,0.43,1.85305
0.25,0.83,1.67525
0.74,0.97,2.2063
0.56,0.06,2.983
0.77,0.18,2.91155
0.61,0.23,2.76235
0.73,0.56,2.48535
0.4,0.67,2.03705
0.93,0.15,3.00945
0.37,0.3,2.378
0.89,0.6,2.5767
0.32,0.92,1.75065
0.97,0.95,2.38645
0.96,0.12,3.0484
0.74,0.25,2.815
0.47,0.92,1.95075
0.13,0.43,1.63795
0.8,0.68,2.4339
0.01,0.53,1.0667
0.69,0.03,3.09245
0.73,0.82,2.2882
0.97,0.94,2.38985
0.9,1.0,2.31365
0.08,0.23,1.6396
0.82,0.79,2.37795
0.42,0.46,2.25895
0.62,0.93,2.12525
0.71,0.43,2.5958
0.77,0.04,3.1053
0.97,0.53,2.6621
0.73,0.22,2.83355
0.59,0.14,2.87265
0.5,0.81,2.0646
0.4,1.0,1.82145
0.89,0.12,3.0408
0.05,0.83,1.1722
0.19,0.67,1.633
0.97,0.93,2.38905
0.69,0.2,2.84595
0.72,0.64,2.4002
0.94,0.47,2.70665
0.81,0.73,2.4194
0.5,0.86,2.0448
0.15,0.5,1.6508
0.45,0.28,2.5277
0.48,0.93,1.97115
0.15,0.25,1.92575
0.32,0.14,2.5793
0.62,0.38,2.577
0.48,0.51,2.29735
0.61,0.92,2.12235
0.34,0.82,1.8261
0.39,0.43,2.24735
0.89,0.11,3.0426
0.67,0.3,2.69855
0.15,0.26,1.8963
0.72,0.21,2.83585
0.57,0.41,2.4885
0.01,0.09,1.2949
0.55,0.84,2.1087
0.85,0.24,2.86895
0.53,0.07,2.9524
0.81,0.85,2.33525
0.65,0.79,2.23615
0.08,0.01,2.251
0.62,0.24,2.74565
0.28,0.85,1.7222
0.12,0.31,1.72445
0.04,0.88,1.12
0.25,0.42,1.99975
0.29,0.34,2.18065
0.12,0.75,1.40025
0.16,0.7,1.5415
0.9,0.47,2.68375
0.65,0.01,3.10595
0.44,0.94,1.9043
0.38,0.39,2.2942
0.95,0.84,2.4452
0.31,0.48,2.06985
0.45,0.92,1.93935
0.08,0.35,1.51755
0.68,0.89,2.19435
0.99,1.0,2.36425
0.61,0.37,2.57735
0.02,0.96,1.0577
0.94,0.0,3.18525
0.71,0.78,2.30835
0.09,0.02,2.22005
0.46,0.16,2.72525
0.3,0.07,2.7241
0.94,0.83,2.42965
0.25,0.01,2.82595
0.78,0.53,2.5571
0.24,0.45,1.92965
0.1,0.82,1.322
0.27,0.33,2.1657
0.89,0.17,2.9819
0.5,0.19,2.7116
0.12,0.89,1.34095
0.57,0.07,2.975
0.85,0.58,2.56165
0.03,0.67,1.1356
0.79,0.05,3.09505
0.18,0.3,1.9514
0.66,0.43,2.55435
0.41,0.6,2.1003
0.52,0.47,2.38245
0.53,0.05,2.9784
0.51,0.93,2.0077
0.8,0.32,2.76615
0.91,0.77,2.45495
0.57,0.84,2.1354
0.65,0.7,2.29015
0.6,0.23,2.73355
0.11,0.82,1.33935
0.46,1.0,1.89665
0.71,0.57,2.467
0.28,0.08,2.6555
0.2,0.19,2.2233
0.82,0.03,3.13065
0.9,0.83,2.40885
0.68,0.02,3.1071
0.1,0.34,1.58645
0.97,0.02,3.1732
0.27,0.01,2.86365
0.84,0.82,2.374
0.99,0.61,2.61655
0.18,0.48,1.72665
0.18,0.73,1.5665
0.79,0.15,2.9613
0.77,0.93,2.251
0.58,0.8,2.17005
0.18,0.95,1.47065
0.21,0.71,1.655
0.98,0.62,2.60105
0.23,0.97,1.5494
0.06,0.16,1.63925
0.53,0.36,2.5121
0.97,0.86,2.43465
0.26,0.42,2.01245
0.81,0.43,2.66185
0.2,0.12,2.3781
0.1,0.57,1.4334
0.15,0.35,1.77885
0.89,0.02,3.15585
0.51,0.7,2.1657
0.57,0.27,2.65615
0.11,0.19,1.8546
0.69,0.41,2.599
0.68,0.83,2.23825
0.97,0.34,2.8405
0.36,0.11,2.6981
0.53,0.1,2.8968
0.19,0.47,1.78315
0.81,0.31,2.782
0.66,0.86,2.19545
0.93,0.77,2.4611
0.82,0.05,3.1
0.88,0.94,2.3342
0.33,0.39,2.17225
0.1,0.68,1.3812
0.84,0.95,2.29825
0.29,0.54,1.9441
0.96,0.41,2.77065
0.89,0.67,2.51665
0.91,0.12,3.0431
0.31,0.86,1.76445
0.11,0.2,1.83755
0.06,0.77,1.224
0.89,0.59,2.58195
0.01,0.38,1.10225
0.18,0.09,2.4136
0.2,0.72,1.61605
0.56,0.89,2.08585
0.19,0.48,1.77815
0.33,0.63,1.94645
0.86,0.41,2.71665
0.51,0.19,2.721
0.35,0.08,2.75735
0.51,0.69,2.18125
0.68,0.91,2.1786
0.78,0.73,2.39405
0.65,0.68,2.31375
0.4,0.44,2.2667
0.02,0.27,1.2199
0.3,0.89,1.7299
0.87,0.99,2.2914
0.95,0.8,2.4534
0.58,0.76,2.18925
0.71,0.86,2.25415
0.44,0.13,2.75215
0.48,0.0,3.06285
0.57,0.63,2.2911
0.59,0.25,2.7103
0.95,0.45,2.7311
0.12,0.04,2.3459
0.21,0.3,2.02975
0.57,0.31,2.6033
0.26,0.94,1.61895
0.55,0.82,2.11465
0.73,0.83,2.27965
0.94,0.28,2.8669
0.74,0.14,2.9439
0.03,0.55,1.1578
0.28,0.81,1.73175
0.22,0.76,1.6447
0.26,0.45,1.98305
0.15,0.41,1.7333
0.85,0.02,3.14805
0.18,0.19,2.15215
0.11,0.09,2.1054
0.34,0.74,1.88875
0.99,0.67,2.57185
0.74,0.85,2.2856
0.91,0.29,2.8463
0.12,0.41,1.6272
0.17,0.03,2.55585
0.06,0.47,1.3419
0.88,0.68,2.50525
0.68,0.19,2.8533
0.44,0.59,2.15505
0.64,0.56,2.4127
0.17,0.24,2.02865
0.56,0.65,2.24185
0.63,0.48,2.46345
0.08,0.2,1.654
0.24,0.82,1.65235
0.99,0.37,2.8078
0.89,0.42,2.72165
0.38,0.47,2.1904
0.68,0.22,2.8114
0.2,0.25,2.1192
0.27,0.27,2.2488
0.1,0.01,2.3849
0.41,0.8,1.95965
0.38,0.04,2.89365
0.69,0.98,2.15005
0.59,0.96,2.0699
0.18,0.21,2.11975
0.11,0.97,1.2981
0.03,0.82,1.1109
0.52,0.89,2.0385
0.75,0.97,2.218
0.17,0.87,1.46545
0.87,0.48,2.65765
0.03,0.44,1.19895
0.33,0.44,2.11725
0.76,0.32,2.74005
0.73,0.5,2.52985
0.26,0.28,2.20195
0.36,0.29,2.40075
0.28,0.11,2.5707
0.0,0.23,1.0573
0.87,0.0,3.1809
0.26,0.61,1.8382
1.0,0.5,2.7157
0.35,0.61,2.0006
0.02,0.33,1.1856
0.52,0.76,2.12525
0.06,0.97,1.18445
0.98,0.06,3.1262
0.13,0.17,2.0129
0.24,0.64,1.7622
0.35,0.14,2.6376
0.11,0.94,1.3038
0.76,0.77,2.34815
0.67,0.45,2.5337
0.09,0.51,1.42335
0.99,0.31,2.8708
0.07,0.89,1.21885
0.65,0.43,2.5509
0.85,0.19,2.92245
0.91,0.58,2.5948
0.48,0.56,2.2305
0.66,0.06,3.031
0.18,0.38,1.85725
0.56,0.64,2.26375
0.72,0.43,2.60625
0.64,0.11,2.9417
0.38,0.45,2.22725
0.42,0.25,2.5307
1.0,0.63,2.61255
0.35,0.26,2.42345
0.03,0.18,1.354
0.27,0.91,1.66875
0.8,0.26,2.8269
0.15,0.31,1.83
0.89,0.44,2.7045
0.61,0.87,2.13425
0.31,0.61,1.94845
0.72,0.45,2.58575
0.0,0.6,1.0121
0.98,0.82,2.46765
0.25,0.27,2.21685
0.4,0.57,2.1232
0.15,0.38,1.7545
0.6,0.2,2.79005
0.77,0.12,2.9906
0.52,0.15,2.80435
0.65,0.41,2.5682
0.35,0.6,2.00625
0.93,0.29,2.86615
0.61,0.43,2.505
0.45,0.63,2.14075
0.08,0.68,1.30295
0.89,0.37,2.76745
0.59,0.08,2.96095
0.1,0.38,1.56975
0.83,0.8,2.3722
0.02,0.69,1.0835
0.68,0.41,2.58315
0.22,0.48,1.858
0.92,0.65,2.5532
0.77,1.0,2.21545
0.68,0.81,2.25615
0.11,0.26,1.75485
0.21,0.21,2.2047
0.84,0.37,2.73345
0.37,0.63,2.00975
0.61,0.85,2.1566
0.23,0.77,1.66505
0.65,0.66,2.33895
0.71,0.07,3.04005
0.33,0.68,1.9078
0.74,0.0,3.1568
0.01,0.48,1.0744
0.71,0.35,2.68115
0.96,0.32,2.8455
0.51,0.1,2.8815
0.75,0.73,2.3671
0.48,0.85,2.0133
0.98,0.42,2.76155
0.19,0.88,1.5174
0.11,0.77,1.359
0.9,0.32,2.8125
0.87,1.0,2.2879
0.56,0.7,2.21115
0.11,0.27,1.7479
0.02,0.88,1.06475
0.77,0.66,2.4384
0.8,0.8,2.3655
0.98,0.11,3.07065
0.75,0.33,2.73665
0.71,0.74,2.3315
0.3,0.3,2.25185
0.74,0.01,3.12955
0.38,0.86,1.8614
0.18,0.75,1.54705
0.91,0.55,2.6153
0.33,0.87,1.78765
0.18,0.61,1.63645
0.34,0.01,2.9424
0.09,0.94,1.26455
0.63,0.97,2.11545
0.04,0.07,1.6935
0.86,0.22,2.90905
