x,y,score
0.46,0.76,1.32075
0.54,0.86,0.9708
0.16,0.19,2.2078
0.61,0.18,3.18005
0.82,0.41,3.67255
0.72,0.66,2.4978
0.63,0.37,2.91835
0.41,0.28,2.50105
0.16,0.44,1.75535
0.8,0.33,3.66395
0.84,0.23,3.9618
0.25,0.48,1.81625
0.62,0.7,1.95875
0.78,0.28,3.6724
0.03,0.68,1.0594
0.57,0.0,3.3147
0.69,0.37,3.11765
0.46,0.05,2.9827
0.65,0.03,3.4776
0.56,0.8,1.356
0.28,0.44,1.9601
0.65,0.0,3.5059
0.57,0.1,3.17955
0.44,0.29,2.5574
0.63,0.49,2.64135
0.26,0.03,2.59975
0.92,0.27,4.38605
0.69,0.35,3.17805
0.79,0.78,2.3077
0.3,0.26,2.3414
0.98,0.54,4.6925
0.25,0.62,1.4693
0.55,0.43,2.54435
0.19,0.06,2.44725
0.14,0.65,1.2323
0.09,0.65,1.20315
0.92,1.0,0.12795
0.51,0.43,2.42245
0.36,0.66,1.50295
0.33,0.92,0.4401
0.01,0.93,0.27955
0.25,0.81,0.8347
0.9,0.46,4.0539
0.3,0.12,2.52405
0.87,0.59,3.5906
0.8,0.75,2.46655
0.93,0.2,4.4956
0.34,0.41,2.1288
0.05,0.48,1.5573
0.9,0.12,4.4076
0.59,0.65,2.06405
0.72,0.62,2.62075
0.29,0.87,0.64965
0.02,0.72,0.9419
0.8,0.35,3.6613
0.09,0.22,2.0671
0.05,0.61,1.24835
0.49,0.38,2.5112
0.62,0.21,3.16205
0.79,0.55,3.2256
0.64,0.52,2.6064
0.17,0.15,2.27995
0.45,0.81,1.06205
0.48,0.8,1.17305
0.51,0.39,2.51325
0.62,0.39,2.8115
0.58,0.64,2.0195
0.8,0.62,3.05205
0.6,0.07,3.2911
0.35,0.87,0.6775
0.85,0.83,2.35665
0.96,0.89,3.3806
0.68,0.4,3.0278
0.13,0.15,2.2258
0.14,0.31,1.9744
0.15,0.88,0.5136
0.72,0.97,0.4204
0.56,0.33,2.7467
0.52,0.26,2.8131
0.99,0.97,2.84215
0.9,0.63,3.69355
0.31,0.47,1.9044
0.98,0.8,4.3668
0.31,0.34,2.17465
0.22,0.4,1.92555
0.87,0.37,3.99175
0.76,0.43,3.2998
0.79,0.76,2.43955
0.83,0.38,3.71475
0.74,0.12,3.671
0.68,0.51,2.76155
0.56,0.43,2.57175
0.63,0.01,3.44805
0.45,0.24,2.64115
0.52,0.13,2.9932
0.64,0.47,2.70375
0.51,0.91,0.6371
0.78,0.92,1.1625
0.92,0.54,4.11635
0.75,0.83,1.75465
0.72,0.5,2.96185
0.53,0.74,1.55925
0.82,0.88,1.75015
0.63,0.35,2.9412
0.8,0.56,3.24855
0.99,0.8,4.56945
0.69,0.67,2.32825
0.44,0.43,2.2827
0.71,0.62,2.61405
0.63,0.08,3.36805
0.48,0.4,2.4368
0.93,0.51,4.22165
0.65,0.12,3.3752
0.78,0.34,3.56525
0.17,0.41,1.8376
0.59,0.93,0.602
0.98,0.65,4.6061
0.89,0.49,3.94105
0.09,0.48,1.5798
0.98,0.94,3.197
0.6,0.72,1.8652
0.74,0.48,3.1111
0.48,0.19,2.79805
0.15,0.11,2.31515
0.86,0.55,3.58545
0.97,0.56,4.5496
1.0,0.64,4.9054
0.43,0.66,1.61205
0.85,0.2,4.0575
0.02,0.64,1.14365
0.26,0.02,2.61135
0.12,0.68,1.1519
0.66,0.15,3.35955
0.75,0.58,2.9012
0.04,0.92,0.3173
0.15,0.58,1.43775
0.4,0.84,0.87855
0.94,0.97,1.4067
0.64,0.08,3.3936
0.08,0.63,1.20965
0.81,0.9,1.4843
0.21,0.79,0.89585
0.21,0.13,2.3835
0.82,0.12,4.03605
0.77,0.84,1.82805
0.76,0.89,1.31215
0.06,0.34,1.8132
0.92,0.45,4.2745
0.41,0.87,0.7475
0.11,0.48,1.61255
0.67,0.53,2.68565
0.36,0.88,0.6615
0.47,0.6,1.9237
0.34,0.03,2.73855
0.79,0.95,0.8464
0.24,0.56,1.614
0.17,0.32,2.00595
0.59,0.26,2.971
0.59,0.68,1.9469
1.0,0.57,4.92585
0.63,0.84,1.30865
0.72,0.58,2.7539
0.84,0.68,3.10255
0.07,0.87,0.4947
0.71,0.48,2.98565
0.27,0.76,1.0692
0.2,0.43,1.832
0.25,0.83,0.74925
0.74,0.97,0.4232
0.56,0.06,3.19765
0.77,0.18,3.7357
0.61,0.23,3.09355
0.73,0.56,2.87145
0.4,0.67,1.5408
0.93,0.15,4.54935
0.37,0.3,2.37305
0.89,0.6,3.736
0.32,0.92,0.44815
0.97,0.95,2.7945
0.96,0.12,4.74215
0.74,0.25,3.52085
0.47,0.92,0.54675
0.13,0.43,1.74265
0.8,0.68,2.793
0.01,0.53,1.39245
0.69,0.03,3.62235
0.73,0.82,1.7629
0.97,0.94,2.86645
0.9,1.0,0.06665
0.08,0.23,2.03245
0.82,0.79,2.4053
0.42,0.46,2.15685
0.62,0.93,0.67905
0.71,0.43,3.078
0.77,0.04,3.886
0.97,0.53,4.6061
0.73,0.22,3.51215
0.59,0.14,3.16975
0.5,0.81,1.20025
0.4,1.0,0.0102
0.89,0.12,4.33315
0.05,0.83,0.6203
0.19,0.67,1.24265
0.97,0.93,3.1207
0.69,0.2,3.3857
0.72,0.64,2.5567
0.94,0.47,4.35865
0.81,0.73,2.727
0.5,0.86,0.93325
0.15,0.5,1.61535
0.45,0.28,2.57785
0.48,0.93,0.46275
0.15,0.25,2.0969
0.32,0.14,2.55825
0.62,0.38,2.90165
0.48,0.51,2.2001
0.61,0.92,0.69925
0.34,0.82,0.9324
0.39,0.43,2.17575
0.89,0.11,4.3361
0.67,0.3,3.1555
0.15,0.26,2.08605
0.72,0.21,3.4783
0.57,0.41,2.6515
0.01,0.09,2.15285
0.55,0.84,1.0817
0.85,0.24,4.04825
0.53,0.07,3.10125
0.81,0.85,1.9106
0.65,0.79,1.64345
0.08,0.01,2.34965
0.62,0.24,3.10165
0.28,0.85,0.75205
0.12,0.31,1.9581
0.04,0.88,0.47435
0.25,0.42,1.93715
0.29,0.34,2.1607
0.12,0.75,0.93665
0.16,0.7,1.0965
0.9,0.47,4.03705
0.65,0.01,3.51595
0.44,0.94,0.41105
0.38,0.39,2.2141
0.95,0.84,3.47125
0.31,0.48,1.8787
0.45,0.92,0.5334
0.08,0.35,1.8356
0.68,0.89,1.09375
0.99,1.0,0.50785
0.61,0.37,2.8503
0.02,0.96,0.1539
0.94,0.0,4.66
0.71,0.78,1.8766
0.09,0.02,2.3437
0.46,0.16,2.82085
0.3,0.07,2.5899
0.94,0.83,3.37315
0.25,0.01,2.5954
0.78,0.53,3.17565
0.24,0.45,1.86155
0.1,0.82,0.6983
0.27,0.33,2.1316
0.89,0.17,4.30025
0.5,0.19,2.8595
0.12,0.89,0.4511
0.57,0.07,3.19595
0.85,0.58,3.50445
0.03,0.67,1.0816
0.79,0.05,3.94805
0.18,0.3,2.06385
0.66,0.43,2.89095
0.41,0.6,1.76015
0.52,0.47,2.3916
0.53,0.05,3.1261
0.51,0.93,0.51485
0.8,0.32,3.72145
0.91,0.77,3.40395
0.57,0.84,1.19405
0.65,0.7,2.0932
0.6,0.23,3.0705
0.11,0.82,0.7146
0.46,1.0,0.0122
0.71,0.57,2.7409
0.28,0.08,2.5661
0.2,0.19,2.2768
0.82,0.03,4.10895
0.9,0.83,2.8631
0.68,0.02,3.59585
0.1,0.34,1.8979
0.97,0.02,4.80745
0.27,0.01,2.65095
0.84,0.82,2.319
0.99,0.61,4.7969
0.18,0.48,1.72095
0.18,0.73,1.0554
0.79,0.15,3.8517
0.77,0.93,1.003
0.58,0.8,1.39705
0.18,0.95,0.2356
0.21,0.71,1.1444
0.98,0.62,4.61975
0.23,0.97,0.16075
0.06,0.16,2.09805
0.53,0.36,2.6507
0.97,0.86,3.8192
0.26,0.42,1.95285
0.81,0.43,3.56045
0.2,0.12,2.37375
0.1,0.57,1.4008
0.15,0.35,1.9301
0.89,0.02,4.4045
0.51,0.7,1.6454
0.57,0.27,2.89635
0.11,0.19,2.14155
0.69,0.41,3.0424
0.68,0.83,1.51735
0.97,0.34,4.7222
0.36,0.11,2.6628
0.53,0.1,3.03265
0.19,0.47,1.7372
0.81,0.31,3.76805
0.66,0.86,1.2705
0.93,0.77,3.51965
0.82,0.05,4.08905
0.88,0.94,1.48715
0.33,0.39,2.1286
0.1,0.68,1.13925
0.84,0.95,1.0131
0.29,0.54,1.72915
0.96,0.41,4.59435
0.89,0.67,3.51945
0.91,0.12,4.45845
0.31,0.86,0.7267
0.11,0.2,2.1251
0.06,0.77,0.83215
0.89,0.59,3.74825
0.01,0.38,1.67765
0.18,0.09,2.3932
0.2,0.72,1.1232
0.56,0.89,0.84045
0.19,0.48,1.7256
0.33,0.63,1.5466
0.86,0.41,3.87095
0.51,0.19,2.902
0.35,0.08,2.70915
0.51,0.69,1.67305
0.68,0.91,0.96195
0.78,0.73,2.51485
0.65,0.68,2.1834
0.4,0.44,2.157
0.02,0.27,1.89905
0.3,0.89,0.56185
0.87,0.99,0.34755
0.95,0.8,3.78205
0.58,0.76,1.58985
0.71,0.86,1.39635
0.44,0.13,2.82235
0.48,0.0,3.0592
0.57,0.63,2.03905
0.59,0.25,3.00205
0.95,0.45,4.4418
0.12,0.04,2.3606
0.21,0.3,2.10115
0.57,0.31,2.85435
0.26,0.94,0.3114
0.55,0.82,1.24705
0.73,0.83,1.68485
0.94,0.28,4.536
0.74,0.14,3.6417
0.03,0.55,1.3681
0.28,0.81,0.9059
0.22,0.76,0.9994
0.26,0.45,1.8703
0.15,0.41,1.8104
0.85,0.02,4.219
0.18,0.19,2.24315
0.11,0.09,2.28625
0.34,0.74,1.23445
0.99,0.67,4.7514
0.74,0.85,1.5792
0.91,0.29,4.3092
0.12,0.41,1.7714
0.17,0.03,2.44995
0.06,0.47,1.56515
0.88,0.68,3.40325
0.68,0.19,3.3876
0.44,0.59,1.8786
0.64,0.56,2.51485
0.17,0.24,2.1405
0.56,0.65,1.9882
0.63,0.48,2.64635
0.08,0.2,2.0779
0.24,0.82,0.79335
0.99,0.37,4.88875
0.89,0.42,4.0367
0.38,0.47,2.07335
0.68,0.22,3.3493
0.2,0.25,2.1616
0.27,0.27,2.2501
0.1,0.01,2.3752
0.41,0.8,1.0906
0.38,0.04,2.8134
0.69,0.98,0.28365
0.59,0.96,0.38315
0.18,0.21,2.20165
0.11,0.97,0.12515
0.03,0.82,0.6422
0.52,0.89,0.7734
0.75,0.97,0.44615
0.17,0.87,0.5617
0.87,0.48,3.8231
0.03,0.44,1.57945
0.33,0.44,2.0579
0.76,0.32,3.51685
0.73,0.5,3.05345
0.26,0.28,2.22545
0.36,0.29,2.3714
0.28,0.11,2.5236
0.0,0.23,1.9338
0.87,0.0,4.31075
0.26,0.61,1.49145
1.0,0.5,4.94715
0.35,0.61,1.6597
0.02,0.33,1.7938
0.52,0.76,1.43315
0.06,0.97,0.1268
0.98,0.06,4.8651
0.13,0.17,2.1975
0.24,0.64,1.40265
0.35,0.14,2.6254
0.11,0.94,0.24035
0.76,0.77,2.1976
0.67,0.45,2.8842
0.09,0.51,1.53455
0.99,0.31,4.89505
0.07,0.89,0.4267
0.65,0.43,2.82275
0.85,0.19,4.08095
0.91,0.58,3.92195
0.48,0.56,2.07445
0.66,0.06,3.47785
0.18,0.38,1.92785
0.56,0.64,1.9703
0.72,0.43,3.1306
0.64,0.11,3.36085
0.38,0.45,2.1117
0.42,0.25,2.57805
1.0,0.63,4.92455
0.35,0.26,2.4172
0.03,0.18,2.0386
0.27,0.91,0.4562
0.8,0.26,3.73125
0.15,0.31,1.99715
0.89,0.44,4.0447
0.61,0.87,1.03325
0.31,0.61,1.57955
0.72,0.45,3.0876
0.0,0.6,1.2143
0.98,0.82,4.29525
0.25,0.27,2.2127
0.4,0.57,1.8556
0.15,0.38,1.8638
0.6,0.2,3.0954
0.77,0.12,3.81525
0.52,0.15,2.962
0.65,0.41,2.8468
0.35,0.6,1.66195
0.93,0.29,4.46625
0.61,0.43,2.71745
0.45,0.63,1.7958
0.08,0.68,1.0815
0.89,0.37,4.1063
0.59,0.08,3.25935
0.1,0.38,1.7967
0.83,0.8,2.4274
0.02,0.69,1.02455
0.68,0.41,3.0082
0.22,0.48,1.76305
0.92,0.65,3.85795
0.77,1.0,0.0403
0.68,0.81,1.63525
0.11,0.26,2.0388
0.21,0.21,2.25435
0.84,0.37,3.7952
0.37,0.63,1.6447
0.61,0.85,1.1476
0.23,0.77,0.9877
0.65,0.66,2.2309
0.71,0.07,3.6571
0.33,0.68,1.41675
0.74,0.0,3.82585
0.01,0.48,1.50185
0.71,0.35,3.2597
0.96,0.32,4.6625
0.51,0.1,3.02455
0.75,0.73,2.2919
0.48,0.85,0.96815
0.98,0.42,4.7515
0.19,0.88,0.5352
0.11,0.77,0.86175
0.9,0.32,4.2282
0.87,1.0,0.06335
0.56,0.7,1.7526
0.11,0.27,2.02345
0.02,0.88,0.43855
0.77,0.66,2.66905
0.8,0.8,2.1589
0.98,0.11,4.86145
0.75,0.33,3.44775
0.71,0.74,2.13145
0.3,0.3,2.2586
0.74,0.01,3.7966
0.38,0.86,0.746
0.18,0.75,0.99815
0.91,0.55,3.9641
0.33,0.87,0.6828
0.18,0.61,1.3969
0.34,0.01,2.7604
0.09,0.94,0.24255
0.63,0.97,0.3025
0.04,0.07,2.21335
0.86,0.22,4.108
0.0,0.89,0.4055
0.72,0.11,3.61245
0.82,0.64,3.0903
0.9,0.41,4.12225
0.42,0.72,1.4318
0.63,0.7,1.952
1.0,0.58,4.94585
0.77,0.56,3.0162
0.15,0.79,0.8279
0.69,0.57,2.6757
0.65,0.67,2.19975
0.62,0.73,1.8372
0.53,0.63,1.9389
0.1,0.96,0.18065
0.52,0.86,0.94465
0.29,0.51,1.7801
0.73,0.85,1.55565
0.84,0.28,3.904
0.21,0.76,1.0072
0.33,0.61,1.6066
0.62,0.04,3.38165
0.98,0.59,4.63185
0.23,0.23,2.2488
0.14,0.78,0.8575
0.88,0.61,3.614
0.23,0.41,1.9296
0.78,0.15,3.8341
0.55,0.33,2.78585
0.79,0.01,3.9619
0.89,0.3,4.18645
0.69,0.16,3.4634
0.87,0.17,4.198
0.66,0.16,3.378
0.98,0.18,4.85015
0.54,0.36,2.66595
0.54,0.37,2.64805
0.83,0.07,4.1161
0.07,0.62,1.2473
0.01,0.77,0.81215
0.48,0.12,2.9076
0.52,0.35,2.65075
0.36,0.13,2.6466
0.23,0.73,1.13035
0.32,0.02,2.7151
0.94,0.4,4.4486
0.13,0.19,2.1688
0.05,0.14,2.12925
0.67,0.87,1.22785
0.79,0.74,2.51515
0.12,0.23,2.09085
0.22,0.8,0.8546
0.36,0.96,0.2341
0.38,0.91,0.51105
0.19,0.03,2.48665
0.12,0.91,0.38615
0.85,0.78,2.67685
0.29,0.57,1.6546
0.12,0.84,0.63295
0.75,0.08,3.79505
0.77,0.9,1.29375
0.25,0.39,2.0036
0.58,0.19,3.05695
0.53,0.54,2.2099
0.4,0.98,0.13365
0.12,0.74,0.9654
0.33,0.7,1.35355
0.4,0.45,2.152
0.76,0.2,3.6828
0.34,0.47,1.9924
0.2,0.29,2.09625
0.3,0.99,0.07
0.54,0.42,2.55655
0.11,0.72,1.015
0.86,0.56,3.55115
0.48,0.52,2.1815
0.27,0.31,2.17855
0.59,0.02,3.3274
0.43,0.45,2.21115
0.36,0.48,2.0008
0.19,0.37,1.95305
0.19,0.5,1.6842
0.04,0.76,0.8607
0.5,0.23,2.79665
0.92,0.28,4.37855
0.93,0.11,4.54245
0.24,0.66,1.3209
0.33,0.69,1.35725
0.17,0.52,1.59135
0.1,0.16,2.17365
0.55,0.24,2.8955
0.64,0.55,2.52305
0.38,0.15,2.6351
0.66,0.94,0.6644
0.16,0.31,2.00265
0.49,0.66,1.76185
0.84,0.27,3.91945
0.68,0.47,2.86805
0.74,0.34,3.3769
0.15,0.1,2.33135
0.85,0.96,0.87975
0.64,0.31,3.0553
0.76,0.01,3.8824
0.74,0.83,1.7964
0.21,0.51,1.68425
0.84,0.9,1.6685
0.97,0.11,4.7966
0.83,0.6,3.31075
0.7,0.9,1.0011
0.97,0.69,4.39115
0.41,0.2,2.6195
0.02,0.09,2.16035
0.95,0.36,4.5279
0.17,1.0,0.00475
0.43,0.86,0.80555
0.61,0.13,3.24265
0.08,0.53,1.4579
0.3,0.34,2.1859
0.76,0.02,3.87145
0.57,0.91,0.70625
0.14,0.56,1.4638
0.31,0.7,1.31365
0.22,0.2,2.2921
0.26,0.36,2.0761
0.54,0.97,0.2478
0.34,0.57,1.72265
0.17,0.89,0.50285
0.7,0.55,2.7364
0.07,0.14,2.1577
0.32,0.9,0.5371
0.23,0.08,2.4736
0.45,0.16,2.7734
0.08,0.32,1.8798
0.5,0.97,0.2291
0.37,1.0,0.00765
0.34,0.0,2.77615
0.47,0.88,0.7669
0.9,0.82,2.89735
0.83,0.67,3.0732
0.01,0.87,0.48675
0.49,0.31,2.5812
0.69,0.89,1.09875
0.5,0.1,2.97155
0.98,0.83,4.14125
0.71,0.91,1.0457
0.95,0.18,4.63275
0.25,0.33,2.1199
0.29,0.16,2.45655
0.27,0.66,1.3782
0.77,0.21,3.6956
0.13,0.46,1.6794
0.42,0.82,1.0372
0.39,0.19,2.61565
0.95,0.76,3.9493
0.75,0.8,1.94465
0.05,0.67,1.09905
0.24,0.53,1.6588
0.79,0.25,3.72455
0.62,0.88,1.02075
0.19,0.54,1.60005
0.25,0.72,1.1701
0.85,0.85,2.2314
0.58,0.15,3.1198
0.18,0.37,1.91485
0.18,0.32,2.0091
0.44,0.77,1.2625
0.0,0.26,1.8872
0.79,0.81,2.1319
0.25,0.28,2.2208
0.72,0.63,2.59135
0.86,0.52,3.6444
0.33,0.46,2.0133
0.46,0.74,1.4065
0.78,0.22,3.71915
0.0,0.22,1.94885
0.36,0.1,2.6883
0.61,0.94,0.55675
0.97,0.87,3.7442
0.07,0.24,2.00105
0.64,0.94,0.63935
0.64,0.07,3.4055
0.43,0.56,1.92695
0.56,0.83,1.1875
0.33,0.86,0.72715
1.0,0.87,4.68005
0.45,0.44,2.28195
0.38,0.84,0.8426
0.83,0.45,3.62815
0.71,0.14,3.57195
0.57,0.61,2.17775
0.63,0.16,3.25505
0.02,0.15,2.07975
0.89,0.26,4.2253
0.69,0.58,2.64985
0.88,0.07,4.3168
0.36,0.05,2.7461
0.49,0.21,2.7652
0.06,0.81,0.6897
0.83,0.06,4.10205
0.37,0.56,1.81115
0.73,0.11,3.6325
0.66,0.42,2.9121
0.65,0.54,2.5419
0.81,0.51,3.3985
0.39,0.68,1.4996
0.66,0.69,2.1012
0.74,0.41,3.2377
0.09,0.67,1.12675
0.65,0.16,3.297
0.84,0.99,0.2542
0.95,0.99,0.6862
0.82,0.13,3.98905
0.85,0.87,2.05785
0.53,0.7,1.7295
0.88,0.39,4.066
0.15,0.13,2.2909
0.42,0.43,2.2288
0.86,0.9,1.77255
0.41,0.42,2.22805
0.2,0.02,2.5069
0.33,0.41,2.1041
0.64,0.86,1.2332
0.45,0.75,1.3752
0.14,0.3,2.00165
0.0,0.62,1.16745
0.26,0.6,1.49655
0.3,0.38,2.0812
0.64,0.37,2.95595
0.18,0.17,2.2619
0.0,0.08,2.1548
0.46,0.06,2.9549
0.78,0.42,3.44125
0.15,0.64,1.287
0.81,0.72,2.7217
0.41,0.39,2.286
0.86,0.91,1.65995
