x,y,score
0.46,0.76,2.00625
0.54,0.86,2.006
0.16,0.19,2.2356
0.61,0.18,2.73305
0.82,0.41,2.566
0.72,0.66,2.29435
0.63,0.37,2.4834
0.41,0.28,2.40805
0.16,0.44,1.7327
0.8,0.33,2.6303
0.84,0.23,2.71985
0.25,0.48,1.90445
0.62,0.7,2.18275
0.78,0.28,2.6713
0.03,0.68,1.13335
0.57,0.0,3.0
0.69,0.37,2.5381
0.46,0.05,2.88365
0.65,0.03,2.95405
0.56,0.8,2.06665
0.28,0.44,2.0055
0.65,0.0,3.0
0.57,0.1,2.81945
0.44,0.29,2.4485
0.63,0.49,2.3459
0.26,0.03,2.8856
0.92,0.27,2.7232
0.69,0.35,2.53985
0.79,0.78,2.2442
0.3,0.26,2.32235
0.98,0.54,2.5091
0.25,0.62,1.7921
0.55,0.43,2.36605
0.19,0.06,2.7318
0.14,0.65,1.4756
0.09,0.65,1.35795
0.92,1.0,2.2012
0.51,0.43,2.3386
0.36,0.66,1.93485
0.33,0.92,1.72805
0.01,0.93,1.0235
0.25,0.81,1.6518
0.9,0.46,2.5564
0.3,0.12,2.6421
0.87,0.59,2.41865
0.8,0.75,2.2951
0.93,0.2,2.79575
0.34,0.41,2.15275
0.05,0.48,1.3256
0.9,0.12,2.86635
0.59,0.65,2.2084
0.72,0.62,2.3392
0.29,0.87,1.7058
0.02,0.72,1.08745
0.8,0.35,2.61075
0.09,0.22,1.98435
0.05,0.61,1.2516
0.49,0.38,2.3841
0.62,0.21,2.66985
0.79,0.55,2.4312
0.64,0.52,2.355
0.17,0.15,2.37105
0.45,0.81,1.9538
0.48,0.8,2.0057
0.51,0.39,2.3568
0.62,0.39,2.44375
0.58,0.64,2.20935
0.8,0.62,2.39315
0.6,0.07,2.8813
0.35,0.87,1.7835
0.85,0.83,2.26435
0.96,0.89,2.28055
0.68,0.4,2.485
0.13,0.15,2.3122
0.14,0.31,1.88055
0.15,0.88,1.40115
0.72,0.97,2.1038
0.56,0.33,2.48235
0.52,0.26,2.54525
0.99,0.97,2.25835
0.9,0.63,2.42665
0.31,0.47,2.03135
0.98,0.8,2.34805
0.31,0.34,2.19425
0.22,0.4,1.93525
0.87,0.37,2.61745
0.76,0.43,2.5043
0.79,0.76,2.28095
0.83,0.38,2.5848
0.74,0.12,2.84095
0.68,0.51,2.3768
0.56,0.43,2.3691
0.63,0.01,2.9812
0.45,0.24,2.50485
0.52,0.13,2.7589
0.64,0.47,2.3975
0.51,0.91,1.95725
0.78,0.92,2.1801
0.92,0.54,2.5065
0.75,0.83,2.1851
0.72,0.5,2.41965
0.53,0.74,2.09815
0.82,0.88,2.23425
0.63,0.35,2.50655
0.8,0.56,2.41965
0.99,0.8,2.35545
0.69,0.67,2.2599
0.44,0.43,2.2467
0.71,0.62,2.32075
0.63,0.08,2.87075
0.48,0.4,2.3258
0.93,0.51,2.5172
0.65,0.12,2.8038
0.78,0.34,2.61065
0.17,0.41,1.7879
0.59,0.93,2.0325
0.98,0.65,2.4659
0.89,0.49,2.53155
0.09,0.48,1.4891
0.98,0.94,2.2835
0.6,0.72,2.16225
0.74,0.48,2.42845
0.48,0.19,2.61185
0.15,0.11,2.4973
0.86,0.55,2.46205
0.97,0.56,2.5039
1.0,0.64,2.46375
0.43,0.66,2.01085
0.85,0.2,2.7715
0.02,0.64,1.1122
0.26,0.02,2.92385
0.12,0.68,1.41505
0.66,0.15,2.77845
0.75,0.58,2.38145
0.04,0.92,1.1158
0.15,0.58,1.5631
0.4,0.84,1.8569
0.94,0.97,2.24105
0.64,0.08,2.8727
0.08,0.63,1.3201
0.81,0.9,2.20715
0.21,0.79,1.56565
0.21,0.13,2.5166
0.82,0.12,2.8552
0.77,0.84,2.22555
0.76,0.89,2.18565
0.06,0.34,1.58415
0.92,0.45,2.5765
0.41,0.87,1.85585
0.11,0.48,1.54705
0.67,0.53,2.36435
0.36,0.88,1.79985
0.47,0.6,2.12095
0.34,0.03,2.9106
0.79,0.95,2.15355
0.24,0.56,1.78925
0.17,0.32,1.9306
0.59,0.26,2.59895
0.59,0.68,2.19175
1.0,0.57,2.51145
0.63,0.84,2.11005
0.72,0.58,2.33995
0.84,0.68,2.3668
0.07,0.87,1.21885
0.71,0.48,2.44205
0.27,0.76,1.7192
0.2,0.43,1.83015
0.25,0.83,1.6384
0.74,0.97,2.12775
0.56,0.06,2.8904
0.77,0.18,2.76955
0.61,0.23,2.63025
0.73,0.56,2.38855
0.4,0.67,1.976
0.93,0.15,2.8316
0.37,0.3,2.3668
0.89,0.6,2.4572
0.32,0.92,1.7036
0.97,0.95,2.2539
0.96,0.12,2.8782
0.74,0.25,2.6857
0.47,0.92,1.901
0.13,0.43,1.66285
0.8,0.68,2.32625
0.01,0.53,1.13315
0.69,0.03,2.95915
0.73,0.82,2.1807
0.97,0.94,2.2738
0.9,1.0,2.1978
0.08,0.23,1.96525
0.82,0.79,2.27645
0.42,0.46,2.21235
0.62,0.93,2.0422
0.71,0.43,2.48845
0.77,0.04,2.94825
0.97,0.53,2.53305
0.73,0.22,2.7029
0.59,0.14,2.77355
0.5,0.81,2.0134
0.4,1.0,1.7787
0.89,0.12,2.883
0.05,0.83,1.16295
0.19,0.67,1.5873
0.97,0.93,2.27175
0.69,0.2,2.70005
0.72,0.64,2.30085
0.94,0.47,2.55615
0.81,0.73,2.3163
0.5,0.86,1.9629
0.15,0.5,1.66205
0.45,0.28,2.4442
0.48,0.93,1.91405
0.15,0.25,2.0678
0.32,0.14,2.6001
0.62,0.38,2.4797
0.48,0.51,2.19955
0.61,0.92,2.04525
0.34,0.82,1.7823
0.39,0.43,2.21395
0.89,0.11,2.8743
0.67,0.3,2.59575
