x,y,score
0.46,0.76,2.8332
0.54,0.86,3.1114
0.16,0.19,1.6665
0.61,0.18,3.4177
0.82,0.41,4.2421
0.72,0.66,3.8661
0.63,0.37,3.4942
0.41,0.28,2.6537
0.16,0.44,1.6491
0.8,0.33,4.1466
0.84,0.23,4.3136
0.25,0.48,1.9915
0.62,0.7,3.4458
0.78,0.28,4.0778
0.03,0.68,1.1269
0.57,0.0,3.0
0.69,0.37,3.731
0.46,0.05,2.8347
0.65,0.03,3.50275
0.56,0.8,3.2186
0.28,0.44,2.1098
0.65,0.0,3.0
0.57,0.1,3.2918
0.44,0.29,2.7511
0.63,0.49,3.5034
0.26,0.03,2.2148
0.92,0.27,4.6277
0.69,0.35,3.7541
0.79,0.78,4.1426
0.3,0.26,2.2121
0.98,0.54,4.8747
0.25,0.62,1.9831
0.55,0.43,3.1507
0.19,0.06,1.8653
0.14,0.65,1.5724
0.09,0.65,1.3625
0.92,1.0,4.6234
0.51,0.43,3.0226
0.36,0.66,2.4433
0.33,0.92,2.2923
0.01,0.93,1.0368
0.25,0.81,1.9812
0.9,0.46,4.5681
0.3,0.12,2.2392
0.87,0.59,4.4405
0.8,0.75,4.1643
0.93,0.2,4.6451
0.34,0.41,2.3816
0.05,0.48,1.2146
0.9,0.12,4.5146
0.59,0.65,3.3241
0.72,0.62,3.8402
0.29,0.87,2.1415
0.02,0.72,1.0825
0.8,0.35,4.1509
0.09,0.22,1.386
0.05,0.61,1.2016
0.49,0.38,2.9463
0.62,0.21,3.4684
0.79,0.55,4.145
0.64,0.52,3.5276
0.17,0.15,1.7013
0.45,0.81,2.7851
0.48,0.8,2.8982
0.51,0.39,3.0325
0.62,0.39,3.472
0.58,0.64,3.308
0.8,0.62,4.1623
0.6,0.07,3.3504
0.35,0.87,2.3842
0.85,0.83,4.3609
0.96,0.89,4.7982
0.68,0.4,3.6717
0.13,0.15,1.5774
0.14,0.31,1.594
0.15,0.88,1.6058
0.72,0.97,3.8341
0.56,0.33,3.2215
0.52,0.26,3.0542
0.99,0.97,4.9165
0.9,0.63,4.5718
0.31,0.47,2.2384
0.98,0.8,4.8741
0.31,0.34,2.2267
0.22,0.4,1.8892
0.87,0.37,4.4383
0.76,0.43,4.0212
0.79,0.76,4.1318
0.83,0.38,4.2602
0.74,0.12,3.894
0.68,0.51,3.69
0.56,0.43,3.2142
0.63,0.01,3.27605
0.45,0.24,2.8011
0.52,0.13,3.0626
0.64,0.47,3.5487
0.51,0.91,2.9992
0.78,0.92,4.0896
0.92,0.54,4.6306
0.75,0.83,3.9738
0.72,0.5,3.8551
0.53,0.74,3.0904
0.82,0.88,4.2443
0.63,0.35,3.5025
0.8,0.56,4.1666
0.99,0.8,4.9254
0.69,0.67,3.738
0.44,0.43,2.7649
0.71,0.62,3.8266
0.63,0.08,3.4779
0.48,0.4,2.9078
0.93,0.51,4.6814
0.65,0.12,3.5683
0.78,0.34,4.0797
0.17,0.41,1.7069
0.59,0.93,3.3119
0.98,0.65,4.874
0.89,0.49,4.5128
0.09,0.48,1.3725
0.98,0.94,4.8679
0.6,0.72,3.3995
0.74,0.48,3.928
0.48,0.19,2.9261
0.15,0.11,1.6744
0.86,0.55,4.3909
0.97,0.56,4.845
1.0,0.64,4.9564
0.43,0.66,2.7387
0.85,0.2,4.3368
0.02,0.64,1.09
0.26,0.02,2.31015
0.12,0.68,1.455
0.66,0.15,3.6083
0.75,0.58,3.9773
0.04,0.92,1.1518
0.15,0.58,1.6086
0.4,0.84,2.5801
0.94,0.97,4.7184
0.64,0.08,3.5358
0.08,0.63,1.3164
0.81,0.9,4.2052
0.21,0.79,1.8325
0.21,0.13,1.8689
0.82,0.12,4.214
0.77,0.84,4.024
0.76,0.89,3.9789
0.06,0.34,1.2572
0.92,0.45,4.6339
0.41,0.87,2.6173
0.11,0.48,1.4569
0.67,0.53,3.6602
0.36,0.88,2.4211
0.47,0.6,2.8457
0.34,0.03,2.4578
0.79,0.95,4.1211
0.24,0.56,1.972
0.17,0.32,1.7067
0.59,0.26,3.3231
0.59,0.68,3.3146
1.0,0.57,4.9562
0.63,0.84,3.4953
0.72,0.58,3.8463
0.84,0.68,4.3168
0.07,0.87,1.2696
0.71,0.48,3.8199
0.27,0.76,2.0475
0.2,0.43,1.7914
0.25,0.83,1.9835
0.74,0.97,3.9341
0.56,0.06,3.2099
0.77,0.18,4.0583
0.61,0.23,3.4192
0.73,0.56,3.863
0.4,0.67,2.5828
0.93,0.15,4.6256
0.37,0.3,2.4658
0.89,0.6,4.5272
0.32,0.92,2.2673
0.97,0.95,4.8338
0.96,0.12,4.75
0.74,0.25,3.9211
0.47,0.92,2.8547
0.13,0.43,1.5304
0.8,0.68,4.1736
0.01,0.53,1.0473
0.69,0.03,3.6362
0.73,0.82,3.884
0.97,0.94,4.8345
0.9,1.0,4.5488
0.08,0.23,1.3738
0.82,0.79,4.2457
0.42,0.46,2.6546
0.62,0.93,3.4657
0.71,0.43,3.7897
0.77,0.04,3.9198
0.97,0.53,4.8333
0.73,0.22,3.8835
0.59,0.14,3.3344
0.5,0.81,3.0021
0.4,1.0,2.57
0.89,0.12,4.5039
0.05,0.83,1.1967
0.19,0.67,1.7453
0.97,0.93,4.8291
0.69,0.2,3.7234
0.72,0.64,3.8428
0.94,0.47,4.7139
0.81,0.73,4.2052
0.5,0.86,2.9607
0.15,0.5,1.6064
0.45,0.28,2.7913
0.48,0.93,2.8905
0.15,0.25,1.6291
0.32,0.14,2.3044
0.62,0.38,3.472
0.48,0.51,2.9218
0.61,0.92,3.4304
0.34,0.82,2.3407
0.39,0.43,2.5606
0.89,0.11,4.4708
0.67,0.3,3.6462
0.15,0.26,1.6138
0.72,0.21,3.8365
0.57,0.41,3.2458
0.01,0.09,1.1584
0.55,0.84,3.1706
0.85,0.24,4.3559
0.53,0.07,3.0717
0.81,0.85,4.2012
0.65,0.79,3.5756
0.08,0.01,2.09095
0.62,0.24,3.4573
0.28,0.85,2.1154
0.12,0.31,1.483
0.04,0.88,1.1621
0.25,0.42,1.9925
0.29,0.34,2.1699
0.12,0.75,1.451
0.16,0.7,1.641
0.9,0.47,4.589
0.65,0.01,3.3195
0.44,0.94,2.7028
0.38,0.39,2.5282
0.95,0.84,4.7637
0.31,0.48,2.2446
0.45,0.92,2.7697
0.08,0.35,1.3493
0.68,0.89,3.6816
0.99,1.0,4.9178
0.61,0.37,3.4305
0.02,0.96,1.0828
0.94,0.0,3.0
0.71,0.78,3.796
0.09,0.02,1.74275
0.46,0.16,2.8216
0.3,0.07,2.2662
0.94,0.83,4.7279
0.25,0.01,2.4492
0.78,0.53,4.0976
0.24,0.45,1.9933
0.1,0.82,1.3923
0.27,0.33,2.0883
0.89,0.17,4.4949
0.5,0.19,2.9905
0.12,0.89,1.4561
0.57,0.07,3.2844
0.85,0.58,4.3682
0.03,0.67,1.1213
0.79,0.05,4.0259
0.18,0.3,1.7213
0.66,0.43,3.6184
0.41,0.6,2.6313
0.52,0.47,3.0437
0.53,0.05,3.0957
0.51,0.93,3.0201
0.8,0.32,4.1763
0.91,0.77,4.6002
0.57,0.84,3.24
0.65,0.7,3.569
0.6,0.23,3.3768
0.11,0.82,1.4441
0.46,1.0,2.8092
0.71,0.57,3.8021
0.28,0.08,2.1814
0.2,0.19,1.8238
0.82,0.03,4.069
0.9,0.83,4.5506
0.68,0.02,3.51905
