x,y,score
0.46,0.76,2.80645
0.54,0.86,3.13355
0.16,0.19,1.68495
0.61,0.18,3.42085
0.82,0.41,4.2086
0.72,0.66,3.80925
0.63,0.37,3.4836
0.41,0.28,2.64485
0.16,0.44,1.6386
0.8,0.33,4.1389
0.84,0.23,4.29
0.25,0.48,1.98085
0.62,0.7,3.43025
0.78,0.28,4.0685
0.03,0.68,1.1237
0.57,0.0,3.0
0.69,0.37,3.71075
0.46,0.05,2.89375
0.65,0.03,3.5071
0.56,0.8,3.21875
0.28,0.44,2.1291
0.65,0.0,3.0
0.57,0.1,3.23935
0.44,0.29,2.73225
0.63,0.49,3.46595
0.26,0.03,2.2802
0.92,0.27,4.6174
0.69,0.35,3.70475
0.79,0.78,4.1218
0.3,0.26,2.20635
0.98,0.54,4.87705
0.25,0.62,1.9977
0.55,0.43,3.1752
0.19,0.06,1.92655
0.14,0.65,1.54465
0.09,0.65,1.35465
0.92,1.0,4.6291
0.51,0.43,3.02285
0.36,0.66,2.4276
0.33,0.92,2.3026
0.01,0.93,1.0422
0.25,0.81,1.99045
0.9,0.46,4.53375
0.3,0.12,2.2552
0.87,0.59,4.4468
0.8,0.75,4.1561
0.93,0.2,4.64905
0.34,0.41,2.3569
0.05,0.48,1.2093
0.9,0.12,4.506
0.59,0.65,3.2824
0.72,0.62,3.8187
0.29,0.87,2.1448
0.02,0.72,1.0851
0.8,0.35,4.14535
0.09,0.22,1.4129
0.05,0.61,1.20835
0.49,0.38,2.94805
0.62,0.21,3.4439
0.79,0.55,4.1219
0.64,0.52,3.55495
0.17,0.15,1.76695
0.45,0.81,2.78945
0.48,0.8,2.87985
0.51,0.39,3.03075
0.62,0.39,3.45825
0.58,0.64,3.29225
0.8,0.62,4.1673
0.6,0.07,3.3578
0.35,0.87,2.385
0.85,0.83,4.3501
0.96,0.89,4.78595
0.68,0.4,3.68485
0.13,0.15,1.61755
0.14,0.31,1.5925
0.15,0.88,1.59515
0.72,0.97,3.83805
0.56,0.33,3.2074
0.52,0.26,3.06825
0.99,0.97,4.91925
0.9,0.63,4.5454
0.31,0.47,2.2386
0.98,0.8,4.87215
0.31,0.34,2.2559
0.22,0.4,1.88665
0.87,0.37,4.43045
0.76,0.43,3.981
0.79,0.76,4.1235
0.83,0.38,4.27605
0.74,0.12,3.8755
0.68,0.51,3.6913
0.56,0.43,3.1936
0.63,0.01,3.29615
0.45,0.24,2.78875
0.52,0.13,3.0641
0.64,0.47,3.5505
0.51,0.91,3.01625
0.78,0.92,4.0818
0.92,0.54,4.6452
0.75,0.83,3.9657
0.72,0.5,3.8411
0.53,0.74,3.11705
0.82,0.88,4.2508
0.63,0.35,3.47255
0.8,0.56,4.14585
0.99,0.8,4.9117
0.69,0.67,3.7131
0.44,0.43,2.7382
0.71,0.62,3.76965
0.63,0.08,3.46995
0.48,0.4,2.88965
0.93,0.51,4.66865
0.65,0.12,3.5443
0.78,0.34,4.0828
0.17,0.41,1.68235
0.59,0.93,3.3333
0.98,0.65,4.87105
0.89,0.49,4.52435
0.09,0.48,1.3745
0.98,0.94,4.8759
0.6,0.72,3.3397
0.74,0.48,3.93045
0.48,0.19,2.92745
0.15,0.11,1.68875
0.86,0.55,4.40445
0.97,0.56,4.82695
1.0,0.64,4.9528
0.43,0.66,2.7007
0.85,0.2,4.3356
0.02,0.64,1.09195
0.26,0.02,2.31225
0.12,0.68,1.4811
0.66,0.15,3.60455
0.75,0.58,3.9522
0.04,0.92,1.1531
0.15,0.58,1.6077
0.4,0.84,2.57355
0.94,0.97,4.7223
0.64,0.08,3.471
0.08,0.63,1.32945
0.81,0.9,4.17485
0.21,0.79,1.8365
0.21,0.13,1.89685
0.82,0.12,4.19305
0.77,0.84,4.0261
0.76,0.89,4.02435
0.06,0.34,1.26615
0.92,0.45,4.6238
0.41,0.87,2.638
0.11,0.48,1.46205
0.67,0.53,3.62755
0.36,0.88,2.4298
0.47,0.6,2.8535
0.34,0.03,2.4519
0.79,0.95,4.13845
0.24,0.56,1.94825
0.17,0.32,1.6977
0.59,0.26,3.28395
0.59,0.68,3.33555
1.0,0.57,4.9518
