x,y,score
0.46,0.76,0.753
0.54,0.86,0.45365
0.16,0.19,2.4363
0.61,0.18,2.4731
0.82,0.41,1.8178
0.72,0.66,1.05495
0.63,0.37,1.92695
0.41,0.28,2.15775
0.16,0.44,1.67055
0.8,0.33,2.0237
0.84,0.23,2.33045
0.25,0.48,1.56835
0.62,0.7,0.9259
0.78,0.28,2.1763
0.03,0.68,0.96275
0.57,0.0,3.0
0.69,0.37,1.91245
0.46,0.05,2.85125
0.65,0.03,2.91295
0.56,0.8,0.64745
0.28,0.44,1.6623
0.65,0.0,3.0
0.57,0.1,2.7035
0.44,0.29,2.1451
0.63,0.49,1.5756
0.26,0.03,2.91065
0.92,0.27,2.23075
0.69,0.35,1.97945
0.79,0.78,0.73285
0.3,0.26,2.2197
0.98,0.54,1.43575
0.25,0.62,1.1574
0.55,0.43,1.74025
0.19,0.06,2.80635
0.14,0.65,1.068
0.09,0.65,1.0483
0.92,1.0,0.1098
0.51,0.43,1.73905
0.36,0.66,1.0437
0.33,0.92,0.26665
0.01,0.93,0.2206
0.25,0.81,0.57795
0.9,0.46,1.6645
0.3,0.12,2.63485
0.87,0.59,1.27525
0.8,0.75,0.81545
0.93,0.2,2.4247
0.34,0.41,1.7859
0.05,0.48,1.5535
0.9,0.12,2.66155
0.59,0.65,1.09275
0.72,0.62,1.17625
0.29,0.87,0.42095
0.02,0.72,0.8312
0.8,0.35,1.9997
0.09,0.22,2.3339
0.05,0.61,1.1766
0.49,0.38,1.88475
0.62,0.21,2.3617
0.79,0.55,1.3925
0.64,0.52,1.4758
0.17,0.15,2.5539
0.45,0.81,0.6175
0.48,0.8,0.6341
0.51,0.39,1.8486
0.62,0.39,1.85295
0.58,0.64,1.1318
0.8,0.62,1.1945
0.6,0.07,2.7976
0.35,0.87,0.41755
0.85,0.83,0.5864
0.96,0.89,0.42765
0.68,0.4,1.8168
0.13,0.15,2.53735
0.14,0.31,2.05675
0.15,0.88,0.36065
0.72,0.97,0.1698
0.56,0.33,2.028
0.52,0.26,2.2206
0.99,0.97,0.2095
0.9,0.63,1.1702
0.31,0.47,1.6031
0.98,0.8,0.66805
0.31,0.34,1.9824
0.22,0.4,1.7926
0.87,0.37,1.91855
0.76,0.43,1.7348
0.79,0.76,0.76505
0.83,0.38,1.88755
0.74,0.12,2.65575
0.68,0.51,1.511
0.56,0.43,1.7442
0.63,0.01,2.97305
0.45,0.24,2.3003
0.52,0.13,2.61165
0.64,0.47,1.61955
0.51,0.91,0.31845
0.78,0.92,0.3271
0.92,0.54,1.42895
0.75,0.83,0.5806
0.72,0.5,1.53885
0.53,0.74,0.82795
0.82,0.88,0.43175
0.63,0.35,1.962
0.8,0.56,1.36415
0.99,0.8,0.6805
0.69,0.67,1.03175
0.44,0.43,1.70565
0.71,0.62,1.17155
0.63,0.08,2.7656
0.48,0.4,1.81115
0.93,0.51,1.535
0.65,0.12,2.63015
0.78,0.34,1.99285
0.17,0.41,1.7795
0.59,0.93,0.2805
0.98,0.65,1.09985
0.89,0.49,1.5887
0.09,0.48,1.56965
0.98,0.94,0.28145
0.6,0.72,0.8809
0.74,0.48,1.6112
0.48,0.19,2.4266
0.15,0.11,2.6625
0.86,0.55,1.3923
0.97,0.56,1.38825
1.0,0.64,1.15085
0.43,0.66,1.0571
0.85,0.2,2.4216
0.02,0.64,1.07725
0.26,0.02,2.93595
0.12,0.68,0.97265
0.66,0.15,2.54975
0.75,0.58,1.3003
0.04,0.92,0.24575
0.15,0.58,1.26995
0.4,0.84,0.5208
0.94,0.97,0.1957
0.64,0.08,2.76475
0.08,0.63,1.10975
0.81,0.9,0.36725
0.21,0.79,0.65295
0.21,0.13,2.5941
0.82,0.12,2.662
0.77,0.84,0.55885
0.76,0.89,0.3917
0.06,0.34,1.9848
0.92,0.45,1.71265
0.41,0.87,0.4186
0.11,0.48,1.5563
0.67,0.53,1.4571
0.36,0.88,0.3825
0.47,0.6,1.23925
0.34,0.03,2.9075
0.79,0.95,0.2314
0.24,0.56,1.33605
0.17,0.32,2.03895
0.59,0.26,2.2326
0.59,0.68,1.00855
1.0,0.57,1.3404
0.63,0.84,0.5238
0.72,0.58,1.29145
0.84,0.68,1.01505
0.07,0.87,0.4
0.71,0.48,1.5913
0.27,0.76,0.7166
0.2,0.43,1.7083
0.25,0.83,0.5296
0.74,0.97,0.1652
0.56,0.06,2.81965
0.77,0.18,2.46685
0.61,0.23,2.3205
0.73,0.56,1.353
0.4,0.67,1.0104
0.93,0.15,2.5568
0.37,0.3,2.1158
0.89,0.6,1.26005
0.32,0.92,0.2738
0.97,0.95,0.26205
0.96,0.12,2.66485
0.74,0.25,2.2609
0.47,0.92,0.2808
0.13,0.43,1.69125
0.8,0.68,1.0179
0.01,0.53,1.40695
0.69,0.03,2.9081
0.73,0.82,0.59045
0.97,0.94,0.2815
0.9,1.0,0.1033
0.08,0.23,2.28425
0.82,0.79,0.69345
0.42,0.46,1.64685
0.62,0.93,0.2635
0.71,0.43,1.75875
0.77,0.04,2.8778
0.97,0.53,1.46375
0.73,0.22,2.35715
0.59,0.14,2.58035
0.5,0.81,0.6179
0.4,1.0,0.04985
0.89,0.12,2.64655
0.05,0.83,0.52895
0.19,0.67,1.00175
0.97,0.93,0.3126
0.69,0.2,2.41115
0.72,0.64,1.14215
0.94,0.47,1.6332
0.81,0.73,0.869
0.5,0.86,0.46475
0.15,0.5,1.51585
0.45,0.28,2.1809
0.48,0.93,0.2579
0.15,0.25,2.23775
0.32,0.14,2.5798
0.62,0.38,1.8815
0.48,0.51,1.48135
0.61,0.92,0.30185
0.34,0.82,0.56815
0.39,0.43,1.7296
0.89,0.11,2.67085
0.67,0.3,2.1225
0.15,0.26,2.21355
0.72,0.21,2.37025
0.57,0.41,1.7869
0.01,0.09,2.7214
0.55,0.84,0.53095
0.85,0.24,2.29655
0.53,0.07,2.7917
0.81,0.85,0.514
0.65,0.79,0.6949
0.08,0.01,2.96885
0.62,0.24,2.27175
0.28,0.85,0.474
0.12,0.31,2.08625
0.04,0.88,0.36045
0.25,0.42,1.74925
0.29,0.34,1.9828
0.12,0.75,0.7696
0.16,0.7,0.9009
0.9,0.47,1.6395
0.65,0.01,2.96825
0.44,0.94,0.23345
0.38,0.39,1.82905
0.95,0.84,0.5693
0.31,0.48,1.54705
0.45,0.92,0.27695
0.08,0.35,1.9369
0.68,0.89,0.3964
0.99,1.0,0.1134
0.61,0.37,1.9121
0.02,0.96,0.12245
0.94,0.0,3.0
0.71,0.78,0.72445
0.09,0.02,2.9341
0.46,0.16,2.5433
0.3,0.07,2.7778
0.94,0.83,0.60285
0.25,0.01,2.96795
0.78,0.53,1.44055
0.24,0.45,1.66635
0.1,0.82,0.54215
0.27,0.33,2.02125
0.89,0.17,2.4913
0.5,0.19,2.42855
0.12,0.89,0.3371
0.57,0.07,2.7934
0.85,0.58,1.3407
0.03,0.67,0.992
0.79,0.05,2.8504
0.18,0.3,2.11135
0.66,0.43,1.7369
0.41,0.6,1.21455
0.52,0.47,1.6299
0.53,0.05,2.85155
0.51,0.93,0.2759
0.8,0.32,2.0532
0.91,0.77,0.76395
0.57,0.84,0.5252
0.65,0.7,0.96065
0.6,0.23,2.3251
0.11,0.82,0.56315
0.46,1.0,0.05515
0.71,0.57,1.34355
0.28,0.08,2.75745
0.2,0.19,2.4314
0.82,0.03,2.91365
0.9,0.83,0.58095
0.68,0.02,2.93895
0.1,0.34,1.9753
0.97,0.02,2.9581
0.27,0.01,2.96705
