x,y,score
0.46,0.76,3.06
0.54,0.86,2.945
0.16,0.19,1.67
0.61,0.18,3.54
0.82,0.41,3.61
0.72,0.66,3.74
0.63,0.37,3.545
0.41,0.28,2.62
0.16,0.44,1.61
0.8,0.33,3.76
0.84,0.23,3.64
0.25,0.48,2.025
0.62,0.7,3.545
0.78,0.28,3.685
0.03,0.68,1.135
0.57,0.0,3.0
0.69,0.37,3.72
0.46,0.05,2.695
0.65,0.03,3.3
0.56,0.8,3.36
0.28,0.44,2.005
0.65,0.0,3.0
0.57,0.1,3.205
0.44,0.29,2.655
0.63,0.49,3.47
0.26,0.03,2.405
0.92,0.27,3.31
0.69,0.35,3.695
0.79,0.78,3.74
0.3,0.26,2.185
0.98,0.54,3.43
0.25,0.62,2.21
0.55,0.43,3.09
0.19,0.06,1.885
0.14,0.65,1.54
0.09,0.65,1.315
0.92,1.0,3.5
0.51,0.43,2.825
0.36,0.66,2.325
0.33,0.92,2.225
0.01,0.93,1.035
0.25,0.81,2.135
0.9,0.46,3.635
0.3,0.12,2.41
0.87,0.59,3.52
0.8,0.75,3.925
0.93,0.2,3.38
0.34,0.41,2.45
0.05,0.48,1.23
0.9,0.12,3.195
0.59,0.65,3.525
0.72,0.62,3.79
0.29,0.87,2.135
0.02,0.72,1.08
0.8,0.35,3.7
0.09,0.22,1.39
0.05,0.61,1.29
0.49,0.38,2.78
0.62,0.21,3.53
0.79,0.55,3.865
0.64,0.52,3.45
0.17,0.15,2.02
0.45,0.81,2.575
0.48,0.8,2.765
0.51,0.39,2.985
0.62,0.39,3.47
0.58,0.64,3.345
0.8,0.62,3.795
0.6,0.07,3.34
0.35,0.87,2.24
0.85,0.83,3.595
0.96,0.89,3.44
0.68,0.4,3.575
0.13,0.15,1.63
0.14,0.31,1.49
0.15,0.88,1.48
0.72,0.97,3.555
0.56,0.33,2.975
0.52,0.26,2.78
0.99,0.97,3.36
0.9,0.63,3.445
0.31,0.47,2.235
0.98,0.8,3.375
0.31,0.34,2.155
0.22,0.4,1.715
0.87,0.37,3.335
0.76,0.43,3.69
0.79,0.76,3.79
0.83,0.38,3.595
0.74,0.12,3.535
0.68,0.51,3.685
0.56,0.43,3.02
0.63,0.01,2.985
0.45,0.24,2.725
0.52,0.13,3.04
0.64,0.47,3.78
0.51,0.91,2.94
0.78,0.92,3.74
0.92,0.54,3.475
0.75,0.83,3.75
0.72,0.5,3.7
0.53,0.74,3.03
0.82,0.88,3.91
0.63,0.35,3.47
0.8,0.56,3.66
0.99,0.8,3.445
0.69,0.67,3.615
0.44,0.43,2.845
0.71,0.62,3.78
0.63,0.08,3.38
0.48,0.4,2.76
0.93,0.51,3.425
0.65,0.12,3.43
0.78,0.34,3.605
0.17,0.41,1.645
0.59,0.93,3.455
0.98,0.65,3.45
0.89,0.49,3.435
0.09,0.48,1.415
0.98,0.94,3.385
0.6,0.72,3.25
0.74,0.48,3.84
0.48,0.19,2.8
0.15,0.11,1.79
0.86,0.55,3.62
0.97,0.56,3.405
1.0,0.64,3.38
0.43,0.66,2.615
0.85,0.2,3.46
0.02,0.64,1.16
0.26,0.02,2.99
0.12,0.68,1.515
0.66,0.15,3.52
0.75,0.58,3.56
0.04,0.92,1.185
0.15,0.58,1.51
0.4,0.84,2.605
0.94,0.97,3.405
0.64,0.08,3.335
0.08,0.63,1.33
0.81,0.9,4.0
0.21,0.79,1.795
0.21,0.13,1.77
0.82,0.12,3.345
0.77,0.84,3.895
0.76,0.89,3.635
0.06,0.34,1.2
0.92,0.45,3.515
0.41,0.87,2.6
0.11,0.48,1.485
0.67,0.53,3.57
0.36,0.88,2.22
0.47,0.6,2.52
0.34,0.03,2.765
0.79,0.95,3.705
0.24,0.56,1.81
0.17,0.32,1.61
0.59,0.26,3.305
0.59,0.68,3.505
1.0,0.57,3.355
0.63,0.84,3.5
0.72,0.58,3.845
0.84,0.68,3.63
0.07,0.87,1.355
0.71,0.48,3.805
0.27,0.76,2.01
0.2,0.43,1.75
0.25,0.83,1.81
0.74,0.97,3.715
0.56,0.06,2.94
0.77,0.18,3.475
0.61,0.23,3.335
0.73,0.56,3.645
0.4,0.67,2.65
0.93,0.15,3.32
0.37,0.3,2.58
0.89,0.6,3.575
0.32,0.92,2.37
0.97,0.95,3.365
0.96,0.12,3.24
0.74,0.25,3.69
0.47,0.92,2.94
0.13,0.43,1.54
0.8,0.68,3.71
0.01,0.53,1.07
0.69,0.03,3.015
0.73,0.82,3.59
0.97,0.94,3.44
0.9,1.0,3.56
0.08,0.23,1.245
0.82,0.79,3.69
0.42,0.46,2.595
0.62,0.93,3.325
0.71,0.43,3.595
0.77,0.04,2.98
0.97,0.53,3.42
0.73,0.22,3.71
0.59,0.14,3.22
0.5,0.81,2.955
0.4,1.0,2.33
0.89,0.12,3.25
0.05,0.83,1.345
0.19,0.67,1.635
0.97,0.93,3.51
0.69,0.2,3.525
0.72,0.64,3.55
0.94,0.47,3.45
0.81,0.73,3.685
0.5,0.86,2.95
0.15,0.5,1.67
0.45,0.28,2.71
0.48,0.93,2.77
0.15,0.25,1.595
0.32,0.14,2.51
0.62,0.38,3.42
0.48,0.51,2.845
0.61,0.92,3.25
0.34,0.82,2.135
0.39,0.43,2.645
0.89,0.11,3.275
0.67,0.3,3.73
0.15,0.26,1.485
0.72,0.21,3.57
0.57,0.41,3.195
0.01,0.09,1.085
0.55,0.84,2.84
0.85,0.24,3.68
0.53,0.07,3.165
0.81,0.85,3.745
0.65,0.79,3.525
0.08,0.01,2.975
0.62,0.24,3.415
0.28,0.85,1.97
0.12,0.31,1.535
0.04,0.88,1.135
0.25,0.42,2.165
0.29,0.34,2.04
0.12,0.75,1.475
0.16,0.7,1.685
0.9,0.47,3.53
0.65,0.01,2.99
0.44,0.94,2.655
0.38,0.39,2.39
0.95,0.84,3.415
0.31,0.48,2.23
0.45,0.92,2.79
0.08,0.35,1.22
0.68,0.89,3.49
0.99,1.0,3.4
0.61,0.37,3.16
0.02,0.96,1.095
0.94,0.0,3.0
0.71,0.78,3.705
0.09,0.02,2.995
0.46,0.16,3.06
0.3,0.07,2.465
0.94,0.83,3.335
0.25,0.01,2.985
0.78,0.53,3.635
0.24,0.45,1.825
0.1,0.82,1.33
0.27,0.33,2.05
0.89,0.17,3.53
0.5,0.19,2.86
0.12,0.89,1.31
0.57,0.07,3.255
0.85,0.58,3.62
0.03,0.67,1.25
0.79,0.05,3.05
0.18,0.3,1.705
0.66,0.43,3.615
0.41,0.6,2.705
0.52,0.47,3.075
0.53,0.05,3.07
0.51,0.93,2.925
0.8,0.32,3.58
0.91,0.77,3.465
0.57,0.84,3.005
0.65,0.7,3.435
0.6,0.23,3.55
0.11,0.82,1.61
0.46,1.0,2.62
0.71,0.57,3.595
0.28,0.08,2.345
0.2,0.19,1.865
0.82,0.03,3.055
0.9,0.83,3.46
0.68,0.02,2.99
0.1,0.34,1.26
0.97,0.02,2.995
0.27,0.01,2.975
0.84,0.82,3.675
0.99,0.61,3.35
