x,y,score
0.46,0.76,2.4573
0.54,0.86,2.67075
0.16,0.19,1.9917
0.61,0.18,2.72425
0.82,0.41,3.1356
0.72,0.66,3.0855
0.63,0.37,2.81905
0.41,0.28,2.43765
0.16,0.44,1.66995
0.8,0.33,3.0288
0.84,0.23,2.97555
0.25,0.48,1.922
0.62,0.7,2.86895
0.78,0.28,2.9542
0.03,0.68,1.12825
0.57,0.0,3.0
0.69,0.37,2.9068
0.46,0.05,2.8511
0.65,0.03,2.91915
0.56,0.8,2.7032
0.28,0.44,2.03085
0.65,0.0,3.0
0.57,0.1,2.77
0.44,0.29,2.49785
0.63,0.49,2.84345
0.26,0.03,2.89765
0.92,0.27,3.12565
0.69,0.35,2.88775
0.79,0.78,3.2637
0.3,0.26,2.218
0.98,0.54,3.5742
0.25,0.62,1.92475
0.55,0.43,2.69685
0.19,0.06,2.6722
0.14,0.65,1.52325
0.09,0.65,1.3535
0.92,1.0,3.6066
0.51,0.43,2.6052
0.36,0.66,2.19965
0.33,0.92,2.09655
0.01,0.93,1.0297
0.25,0.81,1.8495
0.9,0.46,3.3212
0.3,0.12,2.51285
0.87,0.59,3.36435
0.8,0.75,3.288
0.93,0.2,2.99135
0.34,0.41,2.21375
0.05,0.48,1.2286
0.9,0.12,2.88625
0.59,0.65,2.7901
0.72,0.62,3.0937
0.29,0.87,1.96385
0.02,0.72,1.08245
0.8,0.35,3.0542
0.09,0.22,1.6005
0.05,0.61,1.21695
0.49,0.38,2.56835
0.62,0.21,2.7636
0.79,0.55,3.1875
0.64,0.52,2.8798
0.17,0.15,2.1964
0.45,0.81,2.42935
0.48,0.8,2.5277
0.51,0.39,2.6083
0.62,0.39,2.78605
0.58,0.64,2.76325
0.8,0.62,3.25055
0.6,0.07,2.8252
0.35,0.87,2.1365
0.85,0.83,3.4224
0.96,0.89,3.7091
0.68,0.4,2.92665
0.13,0.15,2.02505
0.14,0.31,1.68885
0.15,0.88,1.51555
0.72,0.97,3.11885
0.56,0.33,2.679
0.52,0.26,2.6334
0.99,0.97,3.78675
0.9,0.63,3.4678
0.31,0.47,2.1122
0.98,0.8,3.7327
0.31,0.34,2.18405
0.22,0.4,1.88085
0.87,0.37,3.19265
0.76,0.43,3.0952
0.79,0.76,3.2393
0.83,0.38,3.1264
0.74,0.12,2.81835
0.68,0.51,2.9766
0.56,0.43,2.7076
0.63,0.01,2.9742
0.45,0.24,2.52215
0.52,0.13,2.7163
0.64,0.47,2.8532
0.51,0.91,2.5891
0.78,0.92,3.2358
0.92,0.54,3.4434
0.75,0.83,3.17325
0.72,0.5,3.04375
0.53,0.74,2.6483
0.82,0.88,3.36045
0.63,0.35,2.80815
0.8,0.56,3.2078
0.99,0.8,3.7667
0.69,0.67,3.0203
0.44,0.43,2.4313
0.71,0.62,3.05755
0.63,0.08,2.8202
0.48,0.4,2.5412
0.93,0.51,3.4449
0.65,0.12,2.78585
0.78,0.34,3.02765
0.17,0.41,1.7012
0.59,0.93,2.78745
0.98,0.65,3.66885
0.89,0.49,3.33525
0.09,0.48,1.40325
0.98,0.94,3.7677
0.6,0.72,2.81645
0.74,0.48,3.0527
0.48,0.19,2.5897
0.15,0.11,2.3008
0.86,0.55,3.3332
0.97,0.56,3.57095
1.0,0.64,3.7207
0.43,0.66,2.4011
0.85,0.2,2.9303
0.02,0.64,1.0869
0.26,0.02,2.92985
0.12,0.68,1.464
0.66,0.15,2.7759
0.75,0.58,3.14205
0.04,0.92,1.1386
0.15,0.58,1.5753
0.4,0.84,2.2898
0.94,0.97,3.6553
0.64,0.08,2.8308
0.08,0.63,1.3126
0.81,0.9,3.3103
0.21,0.79,1.7489
0.21,0.13,2.34725
0.82,0.12,2.86215
0.77,0.84,3.2362
0.76,0.89,3.1951
0.06,0.34,1.34885
0.92,0.45,3.3598
0.41,0.87,2.34145
0.11,0.48,1.4652
0.67,0.53,2.93795
0.36,0.88,2.17985
0.47,0.6,2.50545
0.34,0.03,2.9075
0.79,0.95,3.2697
0.24,0.56,1.8785
0.17,0.32,1.7704
0.59,0.26,2.7184
0.59,0.68,2.7847
1.0,0.57,3.65885
0.63,0.84,2.8917
0.72,0.58,3.0589
0.84,0.68,3.3489
0.07,0.87,1.25695
0.71,0.48,3.0053
0.27,0.76,1.9017
0.2,0.43,1.79535
0.25,0.83,1.86845
0.74,0.97,3.14835
0.56,0.06,2.84215
0.77,0.18,2.86375
0.61,0.23,2.73655
0.73,0.56,3.0702
0.4,0.67,2.31145
0.93,0.15,2.91685
0.37,0.3,2.3535
0.89,0.6,3.42405
0.32,0.92,2.04785
0.97,0.95,3.73025
0.96,0.12,2.90875
0.74,0.25,2.9082
0.47,0.92,2.473
0.13,0.43,1.5596
0.8,0.68,3.2631
0.01,0.53,1.0611
0.69,0.03,2.925
0.73,0.82,3.1229
0.97,0.94,3.74005
0.9,1.0,3.56715
0.08,0.23,1.54885
0.82,0.79,3.339
0.42,0.46,2.3955
0.62,0.93,2.8476
0.71,0.43,2.9649
0.77,0.04,2.908
0.97,0.53,3.54315
0.73,0.22,2.8476
0.59,0.14,2.74085
0.5,0.81,2.55455
0.4,1.0,2.2568
0.89,0.12,2.8649
0.05,0.83,1.18685
0.19,0.67,1.69775
0.97,0.93,3.74075
0.69,0.2,2.8176
0.72,0.64,3.06755
0.94,0.47,3.4441
0.81,0.73,3.30295
0.5,0.86,2.5288
0.15,0.5,1.59705
0.45,0.28,2.5099
0.48,0.93,2.4862
0.15,0.25,1.7916
0.32,0.14,2.48585
0.62,0.38,2.78865
0.48,0.51,2.55565
0.61,0.92,2.80225
0.34,0.82,2.12165
0.39,0.43,2.34535
0.89,0.11,2.8638
0.67,0.3,2.8384
0.15,0.26,1.78085
0.72,0.21,2.85615
0.57,0.41,2.72065
0.01,0.09,1.9422
0.55,0.84,2.6888
0.85,0.24,2.9739
0.53,0.07,2.82345
0.81,0.85,3.32215
0.65,0.79,2.95045
0.08,0.01,2.9653
0.62,0.24,2.75225
0.28,0.85,1.93745
0.12,0.31,1.61655
0.04,0.88,1.14105
0.25,0.42,1.96485
0.29,0.34,2.12395
0.12,0.75,1.44035
0.16,0.7,1.581
0.9,0.47,3.33165
0.65,0.01,2.9696
0.44,0.94,2.3604
0.38,0.39,2.30995
0.95,0.84,3.6788
0.31,0.48,2.1083
0.45,0.92,2.43825
0.08,0.35,1.4168
0.68,0.89,3.01265
0.99,1.0,3.7839
0.61,0.37,2.774
0.02,0.96,1.0604
0.94,0.0,3.0
0.71,0.78,3.0831
0.09,0.02,2.913
0.46,0.16,2.61185
0.3,0.07,2.74165
0.94,0.83,3.65375
0.25,0.01,2.96675
0.78,0.53,3.15145
0.24,0.45,1.91095
0.1,0.82,1.3698
0.27,0.33,2.0857
0.89,0.17,2.9209
0.5,0.19,2.6326
0.12,0.89,1.42115
0.57,0.07,2.82475
0.85,0.58,3.3266
0.03,0.67,1.12915
0.79,0.05,2.8735
0.18,0.3,1.8415
0.66,0.43,2.87185
0.41,0.6,2.34015
0.52,0.47,2.63035
0.53,0.05,2.86385
0.51,0.93,2.5715
0.8,0.32,3.03085
0.91,0.77,3.55335
0.57,0.84,2.7418
0.65,0.7,2.92865
0.6,0.23,2.73455
0.11,0.82,1.3976
0.46,1.0,2.42895
0.71,0.57,3.0425
0.28,0.08,2.67065
0.2,0.19,2.092
0.82,0.03,2.9204
0.9,0.83,3.55095
0.68,0.02,2.9375
0.1,0.34,1.4739
0.97,0.02,2.9413
0.27,0.01,2.96775
0.84,0.82,3.3903
0.99,0.61,3.668
0.18,0.48,1.7059
0.18,0.73,1.64715
0.79,0.15,2.84525
0.77,0.93,3.24065
0.58,0.8,2.7539
0.18,0.95,1.61055
0.21,0.71,1.76115
0.98,0.62,3.65845
0.23,0.97,1.7714
0.06,0.16,1.6666
0.53,0.36,2.64755
0.97,0.86,3.72985
0.26,0.42,1.9741
0.81,0.43,3.1507
0.2,0.12,2.3795
