x,y,score
0.0,0.0,3.0
0.0,0.01,2.6492500000000003
0.0,0.02,2.582
0.0,0.03,2.4957499999999992
0.0,0.04,2.428
0.0,0.05,2.4057500000000003
0.0,0.06,2.3615
0.0,0.07,2.35675
0.0,0.08,2.31975
0.0,0.09,2.19775
0.0,0.1,2.2295000000000007
0.0,0.11,2.1945
0.0,0.12,2.01925
0.0,0.13,2.09375
0.0,0.14,1.9602499999999998
0.0,0.15,1.9535
0.0,0.16,1.9092500000000001
0.0,0.17,2.0255
0.0,0.18,1.971
0.0,0.19,1.87725
0.0,0.2,1.9872500000000002
0.0,0.21,1.84025
0.0,0.22,1.9307500000000002
0.0,0.23,1.8165
0.0,0.24,1.8137500000000002
0.0,0.25,1.6405
0.0,0.26,1.7065000000000001
0.0,0.27,1.6855
0.0,0.28,1.6344999999999998
0.0,0.29,1.6932500000000001
0.0,0.3,1.52275
0.0,0.31,1.6207500000000004
0.0,0.32,1.5717499999999998
0.0,0.33,1.5747499999999999
0.0,0.34,1.39575
0.0,0.35000000000000003,1.607
0.0,0.36,1.4745
0.0,0.37,1.5072499999999998
0.0,0.38,1.5202500000000003
0.0,0.39,1.33
0.0,0.4,1.33125
0.0,0.41000000000000003,1.4057499999999998
0.0,0.42,1.4232500000000001
0.0,0.43,1.39375
0.0,0.44,1.4280000000000002
0.0,0.45,1.3489999999999998
0.0,0.46,1.36475
0.0,0.47000000000000003,1.247
0.0,0.48,1.30625
0.0,0.49,1.24675
0.0,0.5,1.2879999999999998
0.0,0.51,1.2899999999999998
0.0,0.52,1.20675
0.0,0.53,1.15625
0.0,0.54,1.1844999999999999
0.0,0.55,1.22
0.0,0.56,1.15525
0.0,0.5700000000000001,1.1722500000000002
0.0,0.58,1.1637499999999998
0.0,0.59,1.18575
0.0,0.6,1.0982499999999997
0.0,0.61,1.08375
0.0,0.62,1.053
0.0,0.63,1.09725
0.0,0.64,1.0992499999999996
0.0,0.65,1.03475
0.0,0.66,1.0724999999999998
0.0,0.67,1.0560000000000003
0.0,0.68,1.0242499999999999
0.0,0.6900000000000001,1.0229999999999997
0.0,0.7000000000000001,1.0154999999999998
0.0,0.71,1.03175
0.0,0.72,1.01575
0.0,0.73,1.0114999999999998
0.0,0.74,1.011
0.0,0.75,1.00475
0.0,0.76,0.9769999999999998
0.0,0.77,1.0105
0.0,0.78,0.9959999999999998
0.0,0.79,0.9762499999999997
0.0,0.8,0.9794999999999998
0.0,0.81,0.9809999999999999
0.0,0.8200000000000001,0.9739999999999996
0.0,0.8300000000000001,0.94275
0.0,0.84,0.9452499999999999
0.0,0.85,0.9439999999999997
0.0,0.86,0.9519999999999997
0.0,0.87,0.978
0.0,0.88,0.9292499999999999
0.0,0.89,0.9677499999999999
0.0,0.9,0.9677499999999997
0.0,0.91,0.9634999999999998
0.0,0.92,0.93225
0.0,0.93,0.9602499999999999
0.0,0.9400000000000001,0.9699999999999998
0.0,0.9500000000000001,0.9379999999999997
0.0,0.96,0.9777499999999997
0.0,0.97,0.9784999999999997
0.0,0.98,0.9899999999999997
0.0,0.99,0.9899999999999997
0.0,1.0,0.9899999999999997
0.01,0.0,3.0
0.01,0.01,2.7254999999999994
0.01,0.02,2.5610000000000004
0.01,0.03,2.5255
0.01,0.04,2.478249999999999
0.01,0.05,2.332
0.01,0.06,2.372
0.01,0.07,2.343749999999999
0.01,0.08,2.1485
