x,y,score
0.46,0.76,1.9849
0.54,0.86,2.1146
0.16,0.19,2.11145
0.61,0.18,2.8942
0.82,0.41,3.1444
0.72,0.66,2.61705
0.63,0.37,2.75005
0.41,0.28,2.45375
0.16,0.44,1.7504
0.8,0.33,3.19755
0.84,0.23,3.3139
0.25,0.48,1.8862
0.62,0.7,2.3612
0.78,0.28,3.1095
0.03,0.68,1.12435
0.57,0.0,3.0
0.69,0.37,2.9237
0.46,0.05,2.89885
0.65,0.03,2.99305
0.56,0.8,2.1427
0.28,0.44,2.0012
0.65,0.0,3.0
0.57,0.1,2.88215
0.44,0.29,2.4909
0.63,0.49,2.62575
0.26,0.03,2.88185
0.92,0.27,3.4654
0.69,0.35,2.8585
0.79,0.78,2.78555
0.3,0.26,2.30935
0.98,0.54,3.7704
0.25,0.62,1.7412
0.55,0.43,2.5288
0.19,0.06,2.7166
0.14,0.65,1.4377
0.09,0.65,1.32565
0.92,1.0,3.8135
0.51,0.43,2.46605
0.36,0.66,1.93465
0.33,0.92,1.68155
0.01,0.93,0.9874
0.25,0.81,1.5801
0.9,0.46,3.3939
0.3,0.12,2.60695
0.87,0.59,3.1455
0.8,0.75,2.8513
0.93,0.2,3.53625
0.34,0.41,2.17185
0.05,0.48,1.36965
0.9,0.12,3.42565
0.59,0.65,2.3392
0.72,0.62,2.71135
0.29,0.87,1.58485
0.02,0.72,1.0586
0.8,0.35,3.11535
0.09,0.22,1.81705
0.05,0.61,1.24975
0.49,0.38,2.45605
0.62,0.21,2.89395
0.79,0.55,2.98225
0.64,0.52,2.62825
0.17,0.15,2.31905
0.45,0.81,1.9331
0.48,0.8,2.01435
0.51,0.39,2.4776
0.62,0.39,2.66405
0.58,0.64,2.3533
0.8,0.62,2.8416
0.6,0.07,2.9771
0.35,0.87,1.72775
0.85,0.83,3.03185
0.96,0.89,4.08235
0.68,0.4,2.8462
0.13,0.15,2.16265
0.14,0.31,1.85195
0.15,0.88,1.3387
0.72,0.97,2.5581
0.56,0.33,2.63765
0.52,0.26,2.65835
0.99,0.97,4.64105
0.9,0.63,3.26285
0.31,0.47,2.0624
0.98,0.8,4.11145
0.31,0.34,2.2088
0.22,0.4,1.94225
0.87,0.37,3.2058
0.76,0.43,2.98415
0.79,0.76,2.8396
0.83,0.38,3.20295
0.74,0.12,3.12105
0.68,0.51,2.7113
0.56,0.43,2.5299
0.63,0.01,3.00035
0.45,0.24,2.56375
0.52,0.13,2.8148
0.64,0.47,2.6634
0.51,0.91,2.01405
0.78,0.92,2.78645
0.92,0.54,3.25125
0.75,0.83,2.6262
0.72,0.5,2.77405
0.53,0.74,2.13445
0.82,0.88,2.90035
0.63,0.35,2.731
0.8,0.56,2.98315
0.99,0.8,4.3716
0.69,0.67,2.60505
0.44,0.43,2.3449
0.71,0.62,2.6534
0.63,0.08,2.9763
0.48,0.4,2.4218
0.93,0.51,3.44675
0.65,0.12,2.9494
0.78,0.34,3.1208
0.17,0.41,1.82105
0.59,0.93,2.21875
0.98,0.65,3.8449
0.89,0.49,3.3763
0.09,0.48,1.48145
0.98,0.94,4.37735
0.6,0.72,2.2872
0.74,0.48,2.864
0.48,0.19,2.7007
0.15,0.11,2.42475
0.86,0.55,3.20585
0.97,0.56,3.7336
1.0,0.64,3.78915
0.43,0.66,2.0013
0.85,0.2,3.30875
0.02,0.64,1.12755
0.26,0.02,2.9247
0.12,0.68,1.34865
0.66,0.15,2.9547
0.75,0.58,2.8021
0.04,0.92,1.0589
0.15,0.58,1.55775
0.4,0.84,1.82625
0.94,0.97,3.9425
0.64,0.08,2.9738
0.08,0.63,1.3098
0.81,0.9,2.85095
0.21,0.79,1.4693
0.21,0.13,2.4185
0.82,0.12,3.27555
0.77,0.84,2.7107
0.76,0.89,2.6558
0.06,0.34,1.5688
0.92,0.45,3.41285
0.41,0.87,1.7854
0.11,0.48,1.5645
0.67,0.53,2.68085
0.36,0.88,1.7859
0.47,0.6,2.17245
0.34,0.03,2.89215
0.79,0.95,2.8053
0.24,0.56,1.76205
0.17,0.32,1.95955
0.59,0.26,2.76475
0.59,0.68,2.3542
1.0,0.57,3.7247
0.63,0.84,2.2963
0.72,0.58,2.72135
0.84,0.68,2.89685
0.07,0.87,1.1368
0.71,0.48,2.8044
0.27,0.76,1.61175
0.2,0.43,1.858
0.25,0.83,1.5698
0.74,0.97,2.71035
0.56,0.06,2.94295
0.77,0.18,3.1244
0.61,0.23,2.8185
0.73,0.56,2.807
0.4,0.67,1.9262
0.93,0.15,3.5941
0.37,0.3,2.36235
0.89,0.6,3.431
0.32,0.92,1.68705
0.97,0.95,4.22265
0.96,0.12,3.58755
0.74,0.25,3.09465
0.47,0.92,1.94555
0.13,0.43,1.66345
0.8,0.68,2.81875
0.01,0.53,1.19945
0.69,0.03,3.03
0.73,0.82,2.555
0.97,0.94,4.22065
0.9,1.0,3.6336
0.08,0.23,1.73165
0.82,0.79,2.8784
0.42,0.46,2.2371
0.62,0.93,2.2816
0.71,0.43,2.83255
0.77,0.04,3.0907
0.97,0.53,3.5317
0.73,0.22,2.9931
0.59,0.14,2.87995
0.5,0.81,2.0144
0.4,1.0,1.8598
0.89,0.12,3.44305
0.05,0.83,1.12205
0.19,0.67,1.55505
0.97,0.93,4.177
0.69,0.2,3.0204
0.72,0.64,2.6763
0.94,0.47,3.48415
0.81,0.73,2.8013
0.5,0.86,2.04605
0.15,0.5,1.65175
0.45,0.28,2.52435
0.48,0.93,1.99105
0.15,0.25,1.96555
0.32,0.14,2.57215
0.62,0.38,2.7012
0.48,0.51,2.2549
0.61,0.92,2.2637
0.34,0.82,1.7483
0.39,0.43,2.2216
0.89,0.11,3.41335
0.67,0.3,2.89595
0.15,0.26,1.9443
0.72,0.21,3.0441
0.57,0.41,2.579
0.01,0.09,1.8905
0.55,0.84,2.14795
0.85,0.24,3.2738
0.53,0.07,2.90775
0.81,0.85,2.87015
0.65,0.79,2.3513
0.08,0.01,2.93985
0.62,0.24,2.80955
0.28,0.85,1.6058
0.12,0.31,1.77815
0.04,0.88,1.0595
0.25,0.42,1.98715
0.29,0.34,2.1722
0.12,0.75,1.33405
0.16,0.7,1.448
0.9,0.47,3.35665
0.65,0.01,2.9948
0.44,0.94,1.87405
0.38,0.39,2.2684
0.95,0.84,3.73295
0.31,0.48,2.0478
0.45,0.92,1.91695
0.08,0.35,1.5795
0.68,0.89,2.3874
0.99,1.0,4.72905
0.61,0.37,2.7071
0.02,0.96,1.0195
0.94,0.0,3.0
0.71,0.78,2.56795
0.09,0.02,2.8347
0.46,0.16,2.71765
0.3,0.07,2.7599
0.94,0.83,3.6467
0.25,0.01,2.96535
0.78,0.53,2.9439
0.24,0.45,1.91845
0.1,0.82,1.2166
0.27,0.33,2.1503
0.89,0.17,3.3649
0.5,0.19,2.70335
0.12,0.89,1.2659
0.57,0.07,2.9175
0.85,0.58,3.08995
0.03,0.67,1.13985
0.79,0.05,3.1526
0.18,0.3,1.999
0.66,0.43,2.72255
0.41,0.6,2.0247
0.52,0.47,2.3591
0.53,0.05,2.932
0.51,0.93,2.066
0.8,0.32,3.16385
0.91,0.77,3.36545
0.57,0.84,2.1494
0.65,0.7,2.4221
0.6,0.23,2.81485
0.11,0.82,1.22985
0.46,1.0,1.9783
0.71,0.57,2.6543
0.28,0.08,2.71095
0.2,0.19,2.2522
0.82,0.03,3.12645
0.9,0.83,3.3193
0.68,0.02,3.00575
0.1,0.34,1.6469
0.97,0.02,3.459
0.27,0.01,2.9659
0.84,0.82,2.88205
0.99,0.61,3.5792
0.18,0.48,1.73555
0.18,0.73,1.46755
0.79,0.15,3.1843
0.77,0.93,2.73615
0.58,0.8,2.19235
0.18,0.95,1.4053
0.21,0.71,1.5407
0.98,0.62,3.88575
0.23,0.97,1.5384
0.06,0.16,1.83995
0.53,0.36,2.5422
0.97,0.86,4.04755
0.26,0.42,1.98875
0.81,0.43,3.0616
0.2,0.12,2.46135
0.1,0.57,1.4155
0.15,0.35,1.8036
0.89,0.02,3.1552
0.51,0.7,2.15055
0.57,0.27,2.7209
0.11,0.19,1.9817
0.69,0.41,2.8816
0.68,0.83,2.43815
0.97,0.34,3.6362
0.36,0.11,2.7046
0.53,0.1,2.87365
0.19,0.47,1.7816
0.81,0.31,3.1296
0.66,0.86,2.3242
0.93,0.77,3.45225
0.82,0.05,3.1902
0.88,0.94,3.29055
0.33,0.39,2.14995
0.1,0.68,1.30145
0.84,0.95,3.1601
0.29,0.54,1.89075
0.96,0.41,3.70325
0.89,0.67,3.39
0.91,0.12,3.46865
0.31,0.86,1.59505
0.11,0.2,1.9575
0.06,0.77,1.15475
0.89,0.59,3.3229
0.01,0.38,1.3191
0.18,0.09,2.549
0.2,0.72,1.5204
0.56,0.89,2.11115
0.19,0.48,1.7653
0.33,0.63,1.86665
0.86,0.41,3.11335
0.51,0.19,2.7448
0.35,0.08,2.78455
0.51,0.69,2.1385
0.68,0.91,2.38885
0.78,0.73,2.76695
0.65,0.68,2.43125
0.4,0.44,2.2511
0.02,0.27,1.46555
0.3,0.89,1.61995
0.87,0.99,3.37165
0.95,0.8,3.42465
0.58,0.76,2.1881
0.71,0.86,2.5178
0.44,0.13,2.73765
0.48,0.0,3.0
0.57,0.63,2.3353
0.59,0.25,2.7561
0.95,0.45,3.40885
0.12,0.04,2.7406
0.21,0.3,2.06645
0.57,0.31,2.6821
0.26,0.94,1.5614
0.55,0.82,2.15875
0.73,0.83,2.53035
0.94,0.28,3.5035
0.74,0.14,3.11665
0.03,0.55,1.2234
0.28,0.81,1.6281
0.22,0.76,1.49315
0.26,0.45,1.9578
0.15,0.41,1.73645
0.85,0.02,3.10365
0.18,0.19,2.18305
0.11,0.09,2.396
0.34,0.74,1.77505
0.99,0.67,3.75945
0.74,0.85,2.6038
0.91,0.29,3.5166
0.12,0.41,1.6766
0.17,0.03,2.8451
0.06,0.47,1.4372
0.88,0.68,3.12595
0.68,0.19,2.95215
0.44,0.59,2.10415
0.64,0.56,2.5602
0.17,0.24,2.0449
0.56,0.65,2.2579
0.63,0.48,2.59915
0.08,0.2,1.79345
0.24,0.82,1.5474
0.99,0.37,3.68245
0.89,0.42,3.4735
0.38,0.47,2.16235
0.68,0.22,2.9258
0.2,0.25,2.1146
0.27,0.27,2.25075
0.1,0.01,2.95485
0.41,0.8,1.8424
0.38,0.04,2.88165
0.69,0.98,2.53995
0.59,0.96,2.23375
0.18,0.21,2.1493
0.11,0.97,1.239
0.03,0.82,1.0226
0.52,0.89,2.07115
0.75,0.97,2.69105
0.17,0.87,1.36155
0.87,0.48,3.1609
0.03,0.44,1.2969
0.33,0.44,2.08515
0.76,0.32,3.0671
0.73,0.5,2.7745
0.26,0.28,2.19295
0.36,0.29,2.36165
0.28,0.11,2.61205
0.0,0.23,1.40745
0.87,0.0,3.0
0.26,0.61,1.75025
1.0,0.5,3.97385
0.35,0.61,1.88545
0.02,0.33,1.4093
0.52,0.76,2.08695
0.06,0.97,1.1328
0.98,0.06,3.7127
0.13,0.17,2.08545
0.24,0.64,1.68125
0.35,0.14,2.6266
0.11,0.94,1.2418
0.76,0.77,2.67275
0.67,0.45,2.6913
0.09,0.51,1.46515
0.99,0.31,3.6595
0.07,0.89,1.14065
0.65,0.43,2.74775
0.85,0.19,3.2646
0.91,0.58,3.37615
0.48,0.56,2.22595
0.66,0.06,3.006
0.18,0.38,1.86665
0.56,0.64,2.279
0.72,0.43,2.86635
0.64,0.11,3.0117
0.38,0.45,2.1989
0.42,0.25,2.5031
1.0,0.63,3.77125
0.35,0.26,2.39185
0.03,0.18,1.6057
0.27,0.91,1.59145
0.8,0.26,3.1746
0.15,0.31,1.86455
0.89,0.44,3.3283
0.61,0.87,2.22765
0.31,0.61,1.88575
0.72,0.45,2.82445
0.0,0.6,1.0809
0.98,0.82,4.05465
0.25,0.27,2.2121
0.4,0.57,2.0801
0.15,0.38,1.77795
0.6,0.2,2.85005
0.77,0.12,3.1382
0.52,0.15,2.8089
0.65,0.41,2.74925
0.35,0.6,1.89735
0.93,0.29,3.5465
0.61,0.43,2.6303
0.45,0.63,2.08135
0.08,0.68,1.2656
0.89,0.37,3.30895
0.59,0.08,2.93515
0.1,0.38,1.61895
0.83,0.8,2.9774
0.02,0.69,1.07545
0.68,0.41,2.7376
0.22,0.48,1.8131
0.92,0.65,3.2972
0.77,1.0,2.8463
0.68,0.81,2.45735
0.11,0.26,1.83345
0.21,0.21,2.2005
0.84,0.37,3.1422
0.37,0.63,1.95805
0.61,0.85,2.2365
0.23,0.77,1.5574
0.65,0.66,2.5087
0.71,0.07,3.0439
0.33,0.68,1.789
0.74,0.0,3.0
0.01,0.48,1.23835
0.71,0.35,2.87395
0.96,0.32,3.6413
0.51,0.1,2.8297
0.75,0.73,2.61465
0.48,0.85,1.9907
0.98,0.42,3.70355
0.19,0.88,1.4249
0.11,0.77,1.2536
0.9,0.32,3.46495
0.87,1.0,3.39615
0.56,0.7,2.2166
0.11,0.27,1.8378
0.02,0.88,1.0032
0.77,0.66,2.76955
0.8,0.8,2.78465
0.98,0.11,3.70755
0.75,0.33,2.9731
0.71,0.74,2.54005
0.3,0.3,2.2505
0.74,0.01,3.0273
0.38,0.86,1.81655
0.18,0.75,1.4504
0.91,0.55,3.37895
0.33,0.87,1.68485
0.18,0.61,1.57825
0.34,0.01,2.96175
0.09,0.94,1.15535
0.63,0.97,2.31305
0.04,0.07,2.27735
0.86,0.22,3.31995
0.0,0.89,0.9621
0.72,0.11,3.0458
0.82,0.64,2.95085
0.9,0.41,3.4065
0.42,0.72,1.94885
0.63,0.7,2.4056
1.0,0.58,3.95715
0.77,0.56,2.82695
0.15,0.79,1.36025
0.69,0.57,2.7002
0.65,0.67,2.45165
0.62,0.73,2.3357
0.53,0.63,2.24525
0.1,0.96,1.2315
0.52,0.86,2.00325
0.29,0.51,1.92285
0.73,0.85,2.57365
0.84,0.28,3.1868
0.21,0.76,1.4981
0.33,0.61,1.8637
0.62,0.04,2.9909
0.98,0.59,3.87225
0.23,0.23,2.2252
0.14,0.78,1.3479
0.88,0.61,3.1461
0.23,0.41,1.9321
0.78,0.15,3.17825
0.55,0.33,2.60855
0.79,0.01,3.0168
0.89,0.3,3.40955
0.69,0.16,3.0283
0.87,0.17,3.3577
0.66,0.16,2.9425
0.98,0.18,3.66075
0.54,0.36,2.5641
0.54,0.37,2.55185
0.83,0.07,3.2342
0.07,0.62,1.3004
0.01,0.77,1.00325
0.48,0.12,2.78985
0.52,0.35,2.5316
0.36,0.13,2.6466
0.23,0.73,1.5855
0.32,0.02,2.9237
0.94,0.4,3.6233
0.13,0.19,2.0046
0.05,0.14,1.76335
0.67,0.87,2.47315
0.79,0.74,2.82895
0.12,0.23,1.9051
0.22,0.8,1.5081
0.36,0.96,1.77725
0.38,0.91,1.8074
0.19,0.03,2.8373
0.12,0.91,1.264
0.85,0.78,3.03295
0.29,0.57,1.8476
0.12,0.84,1.27085
0.75,0.08,3.13915
0.77,0.9,2.7245
0.25,0.39,2.0321
0.58,0.19,2.847
0.53,0.54,2.34585
