x,y,score
0.46,0.76,2.45105
0.54,0.86,2.6819
0.16,0.19,2.03105
0.61,0.18,3.1032
0.82,0.41,3.9514
0.72,0.66,3.53
0.63,0.37,3.1481
0.41,0.28,2.4872
0.16,0.44,1.68515
0.8,0.33,3.83425
0.84,0.23,3.95175
0.25,0.48,1.90525
0.62,0.7,3.05755
0.78,0.28,3.74855
0.03,0.68,1.11675
0.57,0.0,3.0
0.69,0.37,3.37505
0.46,0.05,2.86585
0.65,0.03,3.08595
0.56,0.8,2.8219
0.28,0.44,2.0204
0.65,0.0,3.0
0.57,0.1,2.99735
0.44,0.29,2.5713
0.63,0.49,3.15965
0.26,0.03,2.7514
0.92,0.27,4.37685
0.69,0.35,3.3841
0.79,0.78,3.7568
0.3,0.26,2.2426
0.98,0.54,4.7798
0.25,0.62,1.82245
0.55,0.43,2.83825
0.19,0.06,2.509
0.14,0.65,1.46375
0.09,0.65,1.31355
0.92,1.0,4.4615
0.51,0.43,2.7043
0.36,0.66,2.1388
0.33,0.92,1.89955
0.01,0.93,0.87075
0.25,0.81,1.7049
0.9,0.46,4.32615
0.3,0.12,2.4615
0.87,0.59,4.20975
0.8,0.75,3.84285
0.93,0.2,4.4396
0.34,0.41,2.21735
0.05,0.48,1.33685
0.9,0.12,4.1275
0.59,0.65,2.9365
0.72,0.62,3.48825
0.29,0.87,1.8145
0.02,0.72,1.03525
0.8,0.35,3.84825
0.09,0.22,1.8375
0.05,0.61,1.2225
0.49,0.38,2.6698
0.62,0.21,3.1239
0.79,0.55,3.8119
0.64,0.52,3.1951
0.17,0.15,2.13005
0.45,0.81,2.42985
0.48,0.8,2.4986
0.51,0.39,2.7696
0.62,0.39,3.1234
0.58,0.64,2.95275
0.8,0.62,3.90635
0.6,0.07,3.06825
0.35,0.87,2.0138
0.85,0.83,4.07225
0.96,0.89,4.69505
0.68,0.4,3.3473
0.13,0.15,2.08065
0.14,0.31,1.77775
0.15,0.88,1.3426
0.72,0.97,3.4312
0.56,0.33,2.9004
0.52,0.26,2.8199
0.99,0.97,4.84635
0.9,0.63,4.3462
0.31,0.47,2.0986
0.98,0.8,4.7925
0.31,0.34,2.1667
0.22,0.4,1.8677
0.87,0.37,4.15945
0.76,0.43,3.6834
0.79,0.76,3.8009
0.83,0.38,3.9975
0.74,0.12,3.47945
0.68,0.51,3.3456
0.56,0.43,2.94795
0.63,0.01,3.0349
0.45,0.24,2.6473
0.52,0.13,2.8796
0.64,0.47,3.1889
0.51,0.91,2.61435
0.78,0.92,3.7391
0.92,0.54,4.4382
0.75,0.83,3.6053
0.72,0.5,3.48995
0.53,0.74,2.7535
0.82,0.88,3.9584
0.63,0.35,3.17325
0.8,0.56,3.83345
0.99,0.8,4.87155
0.69,0.67,3.38665
0.44,0.43,2.48875
0.71,0.62,3.4641
0.63,0.08,3.16045
0.48,0.4,2.6805
0.93,0.51,4.5191
0.65,0.12,3.24615
0.78,0.34,3.7798
0.17,0.41,1.71535
0.59,0.93,2.87095
0.98,0.65,4.78225
0.89,0.49,4.23265
0.09,0.48,1.45115
0.98,0.94,4.787
0.6,0.72,2.98475
0.74,0.48,3.58295
0.48,0.19,2.761
0.15,0.11,2.19495
0.86,0.55,4.1394
0.97,0.56,4.7437
1.0,0.64,4.90695
0.43,0.66,2.35625
0.85,0.2,3.988
0.02,0.64,1.1183
0.26,0.02,2.85125
0.12,0.68,1.38235
0.66,0.15,3.26535
0.75,0.58,3.64725
0.04,0.92,0.97765
0.15,0.58,1.5334
0.4,0.84,2.175
0.94,0.97,4.55405
0.64,0.08,3.14755
0.08,0.63,1.29
0.81,0.9,3.8531
0.21,0.79,1.5623
0.21,0.13,2.2519
0.82,0.12,3.7576
0.77,0.84,3.71895
0.76,0.89,3.61165
0.06,0.34,1.54055
0.92,0.45,4.4552
0.41,0.87,2.2308
0.11,0.48,1.501
0.67,0.53,3.2831
0.36,0.88,2.03075
0.47,0.6,2.5547
0.34,0.03,2.8059
0.79,0.95,3.74535
0.24,0.56,1.83545
0.17,0.32,1.8238
0.59,0.26,3.0075
0.59,0.68,2.9493
1.0,0.57,4.91305
0.63,0.84,3.0914
0.72,0.58,3.4896
0.84,0.68,4.0144
0.07,0.87,1.10135
0.71,0.48,3.43905
0.27,0.76,1.80035
0.2,0.43,1.80615
0.25,0.83,1.7029
0.74,0.97,3.5088
0.56,0.06,2.975
0.77,0.18,3.6183
0.61,0.23,3.10765
0.73,0.56,3.55105
0.4,0.67,2.29035
0.93,0.15,4.37825
0.37,0.3,2.37875
0.89,0.6,4.30675
0.32,0.92,1.86625
0.97,0.95,4.74525
0.96,0.12,4.4652
0.74,0.25,3.5562
0.47,0.92,2.4655
0.13,0.43,1.6168
0.8,0.68,3.83335
0.01,0.53,1.17895
0.69,0.03,3.1531
0.73,0.82,3.5425
0.97,0.94,4.73075
0.9,1.0,4.3079
0.08,0.23,1.7411
0.82,0.79,3.98165
0.42,0.46,2.4386
0.62,0.93,2.9948
0.71,0.43,3.47495
0.77,0.04,3.3132
0.97,0.53,4.74425
0.73,0.22,3.5017
0.59,0.14,3.0359
0.5,0.81,2.5765
0.4,1.0,2.16005
0.89,0.12,4.08365
0.05,0.83,1.06535
0.19,0.67,1.5949
0.97,0.93,4.7586
0.69,0.2,3.3425
0.72,0.64,3.48025
0.94,0.47,4.5532
0.81,0.73,3.8866
0.5,0.86,2.54325
0.15,0.5,1.6093
0.45,0.28,2.6144
0.48,0.93,2.4107
0.15,0.25,1.8831
0.32,0.14,2.46055
0.62,0.38,3.1381
0.48,0.51,2.61205
0.61,0.92,2.95175
0.34,0.82,1.99375
0.39,0.43,2.3233
0.89,0.11,4.05225
0.67,0.3,3.30905
0.15,0.26,1.87435
0.72,0.21,3.45585
0.57,0.41,2.9541
0.01,0.09,2.12225
0.55,0.84,2.7645
0.85,0.24,4.0181
0.53,0.07,2.94555
0.81,0.85,3.89365
0.65,0.79,3.1493
0.08,0.01,2.85645
0.62,0.24,3.12565
0.28,0.85,1.8049
0.12,0.31,1.7354
0.04,0.88,0.99925
0.25,0.42,1.9409
0.29,0.34,2.13295
0.12,0.75,1.33445
0.16,0.7,1.47205
0.9,0.47,4.3074
0.65,0.01,3.034
0.44,0.94,2.2729
0.38,0.39,2.3615
0.95,0.84,4.6369
0.31,0.48,2.06845
0.45,0.92,2.341
0.08,0.35,1.57645
0.68,0.89,3.22585
0.99,1.0,4.84975
0.61,0.37,3.13485
0.02,0.96,0.87895
0.94,0.0,3.0
0.71,0.78,3.44385
0.09,0.02,2.7495
0.46,0.16,2.7148
0.3,0.07,2.6148
0.94,0.83,4.5554
0.25,0.01,2.9111
0.78,0.53,3.7638
0.24,0.45,1.88845
0.1,0.82,1.21065
0.27,0.33,2.07885
0.89,0.17,4.15925
0.5,0.19,2.7988
0.12,0.89,1.2265
0.57,0.07,3.00395
0.85,0.58,4.09895
0.03,0.67,1.1187
0.79,0.05,3.44175
0.18,0.3,1.8905
0.66,0.43,3.22025
0.41,0.6,2.3475
0.52,0.47,2.7658
0.53,0.05,2.95845
0.51,0.93,2.5963
0.8,0.32,3.80885
0.91,0.77,4.37905
0.57,0.84,2.85775
0.65,0.7,3.1674
