x,y,score
0.0,0.0,1.0599999999999998
0.0,0.01,1.0582499999999997
0.0,0.02,1.0572499999999998
0.0,0.03,1.0574999999999997
0.0,0.04,1.0567499999999999
0.0,0.05,1.0537499999999997
0.0,0.06,1.0554999999999999
0.0,0.07,1.0522499999999997
0.0,0.08,1.0529999999999997
0.0,0.09,1.0529999999999997
0.0,0.1,1.0524999999999998
0.0,0.11,1.0484999999999998
0.0,0.12,1.0517499999999997
0.0,0.13,1.0474999999999999
0.0,0.14,1.0469999999999997
0.0,0.15,1.0457499999999997
0.0,0.16,1.0459999999999998
0.0,0.17,1.0387499999999998
0.0,0.18,1.0484999999999998
0.0,0.19,1.049
0.0,0.2,1.0454999999999999
0.0,0.21,1.0402499999999997
0.0,0.22,1.0414999999999999
0.0,0.23,1.0374999999999999
0.0,0.24,1.0465
0.0,0.25,1.0412499999999998
0.0,0.26,1.03825
0.0,0.27,1.0379999999999998
0.0,0.28,1.0304999999999997
0.0,0.29,1.0349999999999997
0.0,0.3,1.03175
0.0,0.31,1.03825
0.0,0.32,1.0244999999999997
0.0,0.33,1.0309999999999997
0.0,0.34,1.0382499999999997
0.0,0.35000000000000003,1.0227499999999998
0.0,0.36,1.0302499999999999
0.0,0.37,1.0244999999999997
0.0,0.38,1.0342499999999997
0.0,0.39,1.0267499999999996
0.0,0.4,1.0282499999999997
0.0,0.41000000000000003,1.0262499999999997
0.0,0.42,1.03025
0.0,0.43,1.0239999999999998
0.0,0.44,1.0217499999999997
0.0,0.45,1.028
0.0,0.46,1.017
0.0,0.47000000000000003,1.0192499999999998
0.0,0.48,1.0242499999999999
0.0,0.49,1.0162499999999999
0.0,0.5,1.0227499999999998
0.0,0.51,1.0195
0.0,0.52,1.02325
0.0,0.53,1.0139999999999998
0.0,0.54,1.0074999999999998
0.0,0.55,1.0227499999999998
0.0,0.56,1.02
0.0,0.5700000000000001,1.0147499999999998
0.0,0.58,1.01125
0.0,0.59,1.0147499999999998
0.0,0.6,1.0145000000000002
0.0,0.61,1.0082499999999999
0.0,0.62,1.0107500000000003
0.0,0.63,1.0105
0.0,0.64,1.0107499999999998
0.0,0.65,1.0094999999999996
0.0,0.66,1.0089999999999997
0.0,0.67,1.0019999999999996
0.0,0.68,1.0072499999999995
0.0,0.6900000000000001,1.0039999999999998
0.0,0.7000000000000001,1.0064999999999997
0.0,0.71,1.0022499999999996
0.0,0.72,0.9992499999999996
0.0,0.73,1.004
0.0,0.74,1.0105
0.0,0.75,0.99925
0.0,0.76,1.0037499999999997
0.0,0.77,1.00525
0.0,0.78,0.9992499999999996
0.0,0.79,1.0044999999999997
0.0,0.8,0.9999999999999997
0.0,0.81,1.0014999999999996
0.0,0.8200000000000001,0.9997499999999999
0.0,0.8300000000000001,1.001
0.0,0.84,0.9959999999999999
0.0,0.85,0.9957499999999998
0.0,0.86,1.0004999999999997
