x,y,score
0.46,0.76,2.0787
0.54,0.86,2.0579
0.16,0.19,2.1057
0.61,0.18,3.0901
0.82,0.41,3.3549
0.72,0.66,2.6949
0.63,0.37,2.9109
0.41,0.28,2.5027
0.16,0.44,1.71735
0.8,0.33,3.41485
0.84,0.23,3.69575
0.25,0.48,1.9366
0.62,0.7,2.4288
0.78,0.28,3.3741
0.03,0.68,1.1334
0.57,0.0,3.16205
0.69,0.37,3.0975
0.46,0.05,2.88545
0.65,0.03,3.3575
0.56,0.8,2.1963
0.28,0.44,2.03915
0.65,0.0,3.38915
0.57,0.1,3.0851
0.44,0.29,2.5389
0.63,0.49,2.759
0.26,0.03,2.71715
0.92,0.27,4.01615
0.69,0.35,3.0524
0.79,0.78,2.57805
0.3,0.26,2.30495
0.98,0.54,3.6558
0.25,0.62,1.80105
0.55,0.43,2.60435
0.19,0.06,2.49735
0.14,0.65,1.5164
0.09,0.65,1.3522
0.92,1.0,2.19455
0.51,0.43,2.53705
0.36,0.66,1.96275
0.33,0.92,1.73475
0.01,0.93,1.02585
0.25,0.81,1.66845
0.9,0.46,3.5583
0.3,0.12,2.5297
0.87,0.59,3.2099
0.8,0.75,2.6114
0.93,0.2,4.23275
0.34,0.41,2.20945
0.05,0.48,1.3028
0.9,0.12,4.27485
0.59,0.65,2.45795
0.72,0.62,2.79475
0.29,0.87,1.69255
0.02,0.72,1.0861
0.8,0.35,3.3602
0.09,0.22,1.7769
0.05,0.61,1.23765
0.49,0.38,2.5877
0.62,0.21,3.0334
0.79,0.55,3.0488
0.64,0.52,2.78955
0.17,0.15,2.2103
0.45,0.81,1.9862
0.48,0.8,2.04735
0.51,0.39,2.55685
0.62,0.39,2.74695
0.58,0.64,2.3987
0.8,0.62,2.8879
0.6,0.07,3.121
0.35,0.87,1.79215
0.85,0.83,2.35445
0.96,0.89,2.6314
0.68,0.4,2.9724
0.13,0.15,2.1391
0.14,0.31,1.8561
0.15,0.88,1.39935
0.72,0.97,2.10315
0.56,0.33,2.815
0.52,0.26,2.7556
0.99,0.97,2.3578
0.9,0.63,3.0003
0.31,0.47,2.08845
0.98,0.8,2.8686
0.31,0.34,2.21185
0.22,0.4,1.9561
0.87,0.37,3.6554
0.76,0.43,3.15215
0.79,0.76,2.6068
0.83,0.38,3.37895
0.74,0.12,3.67135
0.68,0.51,2.9138
0.56,0.43,2.63625
0.63,0.01,3.32975
0.45,0.24,2.6145
0.52,0.13,2.91755
0.64,0.47,2.7115
0.51,0.91,2.02935
0.78,0.92,2.27025
0.92,0.54,3.52225
0.75,0.83,2.4324
0.72,0.5,2.99285
0.53,0.74,2.208
0.82,0.88,2.51085
0.63,0.35,2.972
0.8,0.56,2.9988
0.99,0.8,2.80905
0.69,0.67,2.5953
0.44,0.43,2.42345
0.71,0.62,2.6848
0.63,0.08,3.28325
0.48,0.4,2.49025
0.93,0.51,3.65465
0.65,0.12,3.1854
0.78,0.34,3.27905
0.17,0.41,1.8009
0.59,0.93,2.02455
0.98,0.65,3.21695
0.89,0.49,3.3413
0.09,0.48,1.43735
0.98,0.94,2.33535
0.6,0.72,2.38295
0.74,0.48,3.0345
0.48,0.19,2.71565
0.15,0.11,2.3153
0.86,0.55,3.2082
0.97,0.56,3.4509
1.0,0.64,3.3289
0.43,0.66,2.1229
0.85,0.2,4.02055
0.02,0.64,1.0983
0.26,0.02,2.68835
0.12,0.68,1.43645
0.66,0.15,3.31165
0.75,0.58,2.7892
0.04,0.92,1.1178
0.15,0.58,1.57115
0.4,0.84,1.89015
0.94,0.97,2.2218
0.64,0.08,3.2883
0.08,0.63,1.3296
0.81,0.9,2.3104
0.21,0.79,1.6033
0.21,0.13,2.3587
0.82,0.12,3.81095
0.77,0.84,2.43135
0.76,0.89,2.23265
0.06,0.34,1.43475
0.92,0.45,3.64745
0.41,0.87,1.8882
0.11,0.48,1.515
0.67,0.53,2.665
0.36,0.88,1.7927
0.47,0.6,2.2925
0.34,0.03,2.71015
0.79,0.95,2.1831
0.24,0.56,1.8174
0.17,0.32,1.90695
0.59,0.26,2.9384
0.59,0.68,2.4149
1.0,0.57,3.53515
0.63,0.84,2.2186
0.72,0.58,2.6909
0.84,0.68,2.9356
0.07,0.87,1.19945
0.71,0.48,2.91345
0.27,0.76,1.71525
0.2,0.43,1.86605
0.25,0.83,1.6576
0.74,0.97,2.19835
0.56,0.06,3.08615
0.77,0.18,3.63175
0.61,0.23,3.06535
0.73,0.56,2.7916
0.4,0.67,2.0838
0.93,0.15,4.32155
0.37,0.3,2.38585
0.89,0.6,3.31115
0.32,0.92,1.69455
0.97,0.95,2.40395
0.96,0.12,4.484
0.74,0.25,3.38955
0.47,0.92,1.9352
0.13,0.43,1.6147
0.8,0.68,2.74605
0.01,0.53,1.0777
0.69,0.03,3.4706
0.73,0.82,2.33115
0.97,0.94,2.46375
0.9,1.0,2.1882
0.08,0.23,1.6898
0.82,0.79,2.61655
0.42,0.46,2.268
0.62,0.93,2.03695
0.71,0.43,2.9601
0.77,0.04,3.66705
0.97,0.53,3.55825
0.73,0.22,3.3868
0.59,0.14,3.0916
0.5,0.81,2.1325
0.4,1.0,1.75395
0.89,0.12,4.1405
0.05,0.83,1.15675
0.19,0.67,1.61905
0.97,0.93,2.5168
0.69,0.2,3.4022
0.72,0.64,2.7689
0.94,0.47,3.48575
0.81,0.73,2.66005
0.5,0.86,2.0734
0.15,0.5,1.64855
0.45,0.28,2.5743
0.48,0.93,1.90435
0.15,0.25,1.9406
0.32,0.14,2.5598
0.62,0.38,2.86785
0.48,0.51,2.4031
0.61,0.92,2.0747
0.34,0.82,1.7862
0.39,0.43,2.28895
0.89,0.11,4.25655
0.67,0.3,3.1407
0.15,0.26,1.9805
0.72,0.21,3.29385
0.57,0.41,2.701
0.01,0.09,1.51725
0.55,0.84,2.16065
0.85,0.24,3.7819
0.53,0.07,3.0056
0.81,0.85,2.53215
