x,y,score
0.46,0.76,1.3104
0.54,0.86,1.1393
0.16,0.19,2.3974
0.61,0.18,2.6055
0.82,0.41,2.1464
0.72,0.66,1.62015
0.63,0.37,2.1915
0.41,0.28,2.3255
0.16,0.44,1.8183
0.8,0.33,2.3029
0.84,0.23,2.53495
0.25,0.48,1.79305
0.62,0.7,1.50635
0.78,0.28,2.40005
0.03,0.68,1.184
0.57,0.0,3.00545
0.69,0.37,2.1917
0.46,0.05,2.87255
0.65,0.03,2.9382
0.56,0.8,1.28175
0.28,0.44,1.90905
0.65,0.0,3.00705
0.57,0.1,2.7652
0.44,0.29,2.3229
0.63,0.49,1.93225
0.26,0.03,2.90525
0.92,0.27,2.4644
0.69,0.35,2.25535
0.79,0.78,1.3814
0.3,0.26,2.31455
0.98,0.54,1.91645
0.25,0.62,1.4889
0.55,0.43,2.0393
0.19,0.06,2.77545
0.14,0.65,1.3403
0.09,0.65,1.30305
0.92,1.0,0.9849
0.51,0.43,2.02925
0.36,0.66,1.47605
0.33,0.92,0.91955
0.01,0.93,0.64565
0.25,0.81,1.0874
0.9,0.46,2.0634
0.3,0.12,2.6637
0.87,0.59,1.8045
0.8,0.75,1.45425
0.93,0.2,2.5973
0.34,0.41,2.01515
0.05,0.48,1.60765
0.9,0.12,2.768
0.59,0.65,1.5901
0.72,0.62,1.691
0.29,0.87,0.9957
0.02,0.72,1.0795
0.8,0.35,2.26645
0.09,0.22,2.2411
0.05,0.61,1.351
0.49,0.38,2.12985
0.62,0.21,2.52955
0.79,0.55,1.8596
0.64,0.52,1.88305
0.17,0.15,2.5029
0.45,0.81,1.19375
0.48,0.8,1.23545
0.51,0.39,2.102
0.62,0.39,2.15315
0.58,0.64,1.6093
0.8,0.62,1.72905
0.6,0.07,2.84385
0.35,0.87,1.03445
0.85,0.83,1.30645
0.96,0.89,1.21855
0.68,0.4,2.15435
0.13,0.15,2.47035
0.14,0.31,2.1038
0.15,0.88,0.8727
0.72,0.97,0.982
0.56,0.33,2.2744
0.52,0.26,2.41805
0.99,0.97,1.05865
0.9,0.63,1.719
0.31,0.47,1.8446
0.98,0.8,1.4014
0.31,0.34,2.14335
0.22,0.4,1.93935
0.87,0.37,2.24145
0.76,0.43,2.10105
0.79,0.76,1.4312
0.83,0.38,2.21365
0.74,0.12,2.7367
0.68,0.51,1.91495
0.56,0.43,2.05205
0.63,0.01,2.98195
0.45,0.24,2.4335
0.52,0.13,2.69655
0.64,0.47,2.0063
0.51,0.91,1.02255
0.78,0.92,1.09575
0.92,0.54,1.9167
0.75,0.83,1.28795
0.72,0.5,1.9452
0.53,0.74,1.38725
0.82,0.88,1.19235
0.63,0.35,2.2533
0.8,0.56,1.847
0.99,0.8,1.3944
0.69,0.67,1.5906
0.44,0.43,1.99685
0.71,0.62,1.6921
0.63,0.08,2.8273
0.48,0.4,2.0632
0.93,0.51,1.9683
0.65,0.12,2.743
0.78,0.34,2.27965
0.17,0.41,1.8671
0.59,0.93,1.0185
0.98,0.65,1.6915
0.89,0.49,1.9996
0.09,0.48,1.64995
0.98,0.94,1.12295
0.6,0.72,1.4514
0.74,0.48,2.00265
0.48,0.19,2.55145
0.15,0.11,2.5967
0.86,0.55,1.8846
0.97,0.56,1.8807
1.0,0.64,1.7342
0.43,0.66,1.504
0.85,0.2,2.59455
0.02,0.64,1.2561
0.26,0.02,2.93095
0.12,0.68,1.26615
0.66,0.15,2.66465
0.75,0.58,1.7905
0.04,0.92,0.70125
0.15,0.58,1.4848
0.4,0.84,1.11815
0.94,0.97,1.0418
0.64,0.08,2.8254
0.08,0.63,1.3389
0.81,0.9,1.15075
0.21,0.79,1.10335
0.21,0.13,2.59745
0.82,0.12,2.761
0.77,0.84,1.25
0.76,0.89,1.15605
0.06,0.34,1.92185
0.92,0.45,2.09365
0.41,0.87,1.0664
0.11,0.48,1.66995
0.67,0.53,1.8793
0.36,0.88,1.0268
0.47,0.6,1.63395
0.34,0.03,2.9179
0.79,0.95,1.046
0.24,0.56,1.61495
0.17,0.32,2.0776
0.59,0.26,2.4211
0.59,0.68,1.5409
1.0,0.57,1.87425
0.63,0.84,1.22425
0.72,0.58,1.78955
0.84,0.68,1.6074
0.07,0.87,0.8356
0.71,0.48,2.01605
0.27,0.76,1.19945
0.2,0.43,1.8566
0.25,0.83,1.06205
0.74,0.97,0.99535
0.56,0.06,2.87005
0.77,0.18,2.62415
0.61,0.23,2.4916
0.73,0.56,1.8144
0.4,0.67,1.4544
0.93,0.15,2.70315
0.37,0.3,2.2568
0.89,0.6,1.79265
0.32,0.92,0.91175
0.97,0.95,1.10445
0.96,0.12,2.76205
0.74,0.25,2.4778
0.47,0.92,0.9804
0.13,0.43,1.81185
0.8,0.68,1.59485
0.01,0.53,1.46295
0.69,0.03,2.94
0.73,0.82,1.30265
0.97,0.94,1.12325
0.9,1.0,0.9784
0.08,0.23,2.19565
0.82,0.79,1.3742
0.42,0.46,1.94695
0.62,0.93,1.0366
0.71,0.43,2.10075
0.77,0.04,2.9286
0.97,0.53,1.94375
0.73,0.22,2.51715
0.59,0.14,2.6924
0.5,0.81,1.23125
0.4,1.0,0.7893
0.89,0.12,2.76
0.05,0.83,0.89535
0.19,0.67,1.34235
0.97,0.93,1.1442
0.69,0.2,2.57445
0.72,0.64,1.66395
0.94,0.47,2.0514
0.81,0.73,1.4992
0.5,0.86,1.1326
0.15,0.5,1.66245
0.45,0.28,2.33705
0.48,0.93,0.9636
0.15,0.25,2.22685
0.32,0.14,2.6194
0.62,0.38,2.16945
0.48,0.51,1.8448
0.61,0.92,1.03765
