x,y,score
0.46,0.76,2.68795
0.54,0.86,2.91845
0.16,0.19,1.69285
0.61,0.18,3.1816
0.82,0.41,3.49755
0.72,0.66,3.3681
0.63,0.37,3.21635
0.41,0.28,2.6098
0.16,0.44,1.64465
0.8,0.33,3.45855
0.84,0.23,3.39255
0.25,0.48,2.00535
0.62,0.7,3.16595
0.78,0.28,3.44095
0.03,0.68,1.13175
0.57,0.0,3.0
0.69,0.37,3.34485
0.46,0.05,2.8586
0.65,0.03,3.01455
0.56,0.8,2.9874
0.28,0.44,2.096
0.65,0.0,3.0
0.57,0.1,3.0783
0.44,0.29,2.68985
0.63,0.49,3.19615
0.26,0.03,2.34895
0.92,0.27,3.4287
0.69,0.35,3.34905
0.79,0.78,3.45125
0.3,0.26,2.2108
0.98,0.54,3.582
0.25,0.62,1.9891
0.55,0.43,3.017
0.19,0.06,1.95055
0.14,0.65,1.5413
0.09,0.65,1.3703
0.92,1.0,3.5662
0.51,0.43,2.88415
0.36,0.66,2.3745
0.33,0.92,2.243
0.01,0.93,1.0357
0.25,0.81,1.9654
0.9,0.46,3.55485
0.3,0.12,2.27495
0.87,0.59,3.5636
0.8,0.75,3.47125
0.93,0.2,3.36245
0.34,0.41,2.35825
0.05,0.48,1.2038
0.9,0.12,3.20165
0.59,0.65,3.08205
0.72,0.62,3.3724
0.29,0.87,2.08345
0.02,0.72,1.08455
0.8,0.35,3.47275
0.09,0.22,1.40705
0.05,0.61,1.21345
0.49,0.38,2.8539
0.62,0.21,3.2024
0.79,0.55,3.49095
0.64,0.52,3.23975
0.17,0.15,1.7762
0.45,0.81,2.6453
0.48,0.8,2.7316
0.51,0.39,2.89155
0.62,0.39,3.182
0.58,0.64,3.0749
0.8,0.62,3.5048
0.6,0.07,3.0926
0.35,0.87,2.3245
0.85,0.83,3.5304
0.96,0.89,3.60025
0.68,0.4,3.3146
0.13,0.15,1.59365
0.14,0.31,1.58085
0.15,0.88,1.5814
0.72,0.97,3.338
0.56,0.33,3.0772
0.52,0.26,2.95775
0.99,0.97,3.61745
0.9,0.63,3.57435
0.31,0.47,2.23375
0.98,0.8,3.5969
0.31,0.34,2.25515
0.22,0.4,1.8971
0.87,0.37,3.5198
0.76,0.43,3.4534
0.79,0.76,3.4655
0.83,0.38,3.4896
0.74,0.12,3.22585
0.68,0.51,3.3161
0.56,0.43,3.03365
0.63,0.01,2.9956
0.45,0.24,2.7579
0.52,0.13,2.9683
0.64,0.47,3.2348
0.51,0.91,2.834
0.78,0.92,3.4337
0.92,0.54,3.57385
0.75,0.83,3.39655
0.72,0.5,3.3898
0.53,0.74,2.90085
0.82,0.88,3.4851
0.63,0.35,3.2405
0.8,0.56,3.4914
0.99,0.8,3.591
0.69,0.67,3.3135
0.44,0.43,2.6957
0.71,0.62,3.36035
0.63,0.08,3.10635
0.48,0.4,2.8124
0.93,0.51,3.58285
0.65,0.12,3.1825
0.78,0.34,3.44385
0.17,0.41,1.69535
0.59,0.93,3.05095
0.98,0.65,3.6057
0.89,0.49,3.55525
0.09,0.48,1.3859
0.98,0.94,3.61125
0.6,0.72,3.1146
0.74,0.48,3.41105
0.48,0.19,2.84525
0.15,0.11,1.6875
0.86,0.55,3.55265
0.97,0.56,3.58455
1.0,0.64,3.6018
0.43,0.66,2.6121
0.85,0.2,3.3566
0.02,0.64,1.0889
0.26,0.02,2.5323
0.12,0.68,1.46325
0.66,0.15,3.2528
0.75,0.58,3.4332
0.04,0.92,1.1521
0.15,0.58,1.596
0.4,0.84,2.47865
0.94,0.97,3.58355
0.64,0.08,3.11505
0.08,0.63,1.3169
0.81,0.9,3.4711
0.21,0.79,1.8038
0.21,0.13,1.94635
0.82,0.12,3.2344
0.77,0.84,3.4267
0.76,0.89,3.41305
0.06,0.34,1.2677
0.92,0.45,3.55595
0.41,0.87,2.53945
0.11,0.48,1.45595
0.67,0.53,3.2858
0.36,0.88,2.33355
0.47,0.6,2.756
0.34,0.03,2.69115
0.79,0.95,3.4341
0.24,0.56,1.95555
0.17,0.32,1.6989
0.59,0.26,3.1223
0.59,0.68,3.0993
1.0,0.57,3.59165
0.63,0.84,3.1568
0.72,0.58,3.39075
0.84,0.68,3.5164
0.07,0.87,1.27555
0.71,0.48,3.38765
0.27,0.76,2.01205
0.2,0.43,1.7956
0.25,0.83,1.98645
0.74,0.97,3.35135
0.56,0.06,3.0305
0.77,0.18,3.3528
0.61,0.23,3.1866
0.73,0.56,3.40775
0.4,0.67,2.5008
0.93,0.15,3.26845
0.37,0.3,2.47645
0.89,0.6,3.58045
0.32,0.92,2.2075
0.97,0.95,3.6115
0.96,0.12,3.1726
0.74,0.25,3.3869
0.47,0.92,2.68655
0.13,0.43,1.53265
0.8,0.68,3.4724
0.01,0.53,1.0533
0.69,0.03,3.0039
0.73,0.82,3.3652
0.97,0.94,3.60695
0.9,1.0,3.5399
0.08,0.23,1.3597
0.82,0.79,3.5018
0.42,0.46,2.62345
0.62,0.93,3.13615
0.71,0.43,3.3754
0.77,0.04,3.03235
0.97,0.53,3.58055
0.73,0.22,3.34995
0.59,0.14,3.11415
0.5,0.81,2.83285
0.4,1.0,2.46435
0.89,0.12,3.22245
0.05,0.83,1.20245
0.19,0.67,1.7291
0.97,0.93,3.60875
0.69,0.2,3.27765
0.72,0.64,3.37415
0.94,0.47,3.5637
0.81,0.73,3.497
0.5,0.86,2.77365
0.15,0.5,1.5889
0.45,0.28,2.7291
0.48,0.93,2.7106
0.15,0.25,1.65105
0.32,0.14,2.3461
0.62,0.38,3.20165
0.48,0.51,2.7974
0.61,0.92,3.10395
0.34,0.82,2.26695
0.39,0.43,2.5153
0.89,0.11,3.182
0.67,0.3,3.2991
0.15,0.26,1.64975
0.72,0.21,3.3294
