x,y,score
0.46,0.76,2.0015
0.54,0.86,2.0299
0.16,0.19,2.18315
0.61,0.18,2.7722
0.82,0.41,3.0819
0.72,0.66,2.48385
0.63,0.37,2.5514
0.41,0.28,2.43625
0.16,0.44,1.7407
0.8,0.33,2.98565
0.84,0.23,3.39355
0.25,0.48,1.9164
0.62,0.7,2.2613
0.78,0.28,3.00175
0.03,0.68,1.13385
0.57,0.0,3.0132
0.69,0.37,2.6289
0.46,0.05,2.90045
0.65,0.03,3.0126
0.56,0.8,2.09225
0.28,0.44,2.0213
0.65,0.0,3.056
0.57,0.1,2.85465
0.44,0.29,2.4498
0.63,0.49,2.43035
0.26,0.03,2.8818
0.92,0.27,4.1923
0.69,0.35,2.677
0.79,0.78,2.60715
0.3,0.26,2.3232
0.98,0.54,4.78555
0.25,0.62,1.7816
0.55,0.43,2.3986
0.19,0.06,2.7019
0.14,0.65,1.48565
0.09,0.65,1.3598
0.92,1.0,3.80255
0.51,0.43,2.34895
0.36,0.66,1.93825
0.33,0.92,1.7175
0.01,0.93,1.0231
0.25,0.81,1.65315
0.9,0.46,3.78835
0.3,0.12,2.63085
0.87,0.59,3.32155
0.8,0.75,2.6809
0.93,0.2,4.2326
0.34,0.41,2.1705
0.05,0.48,1.2808
0.9,0.12,4.00655
0.59,0.65,2.2619
0.72,0.62,2.51165
0.29,0.87,1.66565
0.02,0.72,1.07655
0.8,0.35,2.992
0.09,0.22,1.82875
0.05,0.61,1.21975
0.49,0.38,2.3919
0.62,0.21,2.7487
0.79,0.55,2.70765
0.64,0.52,2.43275
0.17,0.15,2.33885
0.45,0.81,1.95085
0.48,0.8,1.9989
0.51,0.39,2.3984
0.62,0.39,2.51635
0.58,0.64,2.2638
0.8,0.62,2.75315
0.6,0.07,2.92
0.35,0.87,1.7728
0.85,0.83,3.02
0.96,0.89,4.55835
0.68,0.4,2.619
0.13,0.15,2.2257
0.14,0.31,1.8812
0.15,0.88,1.41075
0.72,0.97,2.28895
0.56,0.33,2.51965
0.52,0.26,2.56765
0.99,0.97,4.8781
0.9,0.63,3.64415
0.31,0.47,2.0364
0.98,0.8,4.81835
0.31,0.34,2.22385
0.22,0.4,1.90865
0.87,0.37,3.4187
0.76,0.43,2.71575
0.79,0.76,2.6278
0.83,0.38,3.05465
0.74,0.12,2.96855
0.68,0.51,2.4951
0.56,0.43,2.3998
0.63,0.01,3.03185
0.45,0.24,2.5462
0.52,0.13,2.78325
0.64,0.47,2.48205
0.51,0.91,1.9655
0.78,0.92,2.4748
0.92,0.54,4.0829
0.75,0.83,2.4319
0.72,0.5,2.61505
0.53,0.74,2.09775
0.82,0.88,2.7398
0.63,0.35,2.57495
0.8,0.56,2.7926
0.99,0.8,4.88395
0.69,0.67,2.38575
0.44,0.43,2.2723
0.71,0.62,2.47735
0.63,0.08,2.92575
0.48,0.4,2.363
0.93,0.51,4.15775
0.65,0.12,2.8868
0.78,0.34,2.8763
0.17,0.41,1.81545
0.59,0.93,2.074
0.98,0.65,4.77655
0.89,0.49,3.6985
0.09,0.48,1.4629
0.98,0.94,4.8081
0.6,0.72,2.20285
0.74,0.48,2.70915
0.48,0.19,2.6318
0.15,0.11,2.39705
0.86,0.55,3.30345
0.97,0.56,4.7543
1.0,0.64,4.986
0.43,0.66,2.02595
0.85,0.2,3.30575
0.02,0.64,1.10915
0.26,0.02,2.92085
0.12,0.68,1.4262
0.66,0.15,2.86435
0.75,0.58,2.6405
0.04,0.92,1.10705
0.15,0.58,1.58055
0.4,0.84,1.8488
0.94,0.97,4.262
0.64,0.08,2.93115
0.08,0.63,1.32245
0.81,0.9,2.71225
0.21,0.79,1.5805
0.21,0.13,2.4761
0.82,0.12,3.26285
0.77,0.84,2.52055
0.76,0.89,2.4092
0.06,0.34,1.4517
0.92,0.45,4.1012
0.41,0.87,1.85365
