x,y,score
0.46,0.76,1.7167
0.54,0.86,1.6771
0.16,0.19,2.21015
0.61,0.18,3.0066
0.82,0.41,2.98045
0.72,0.66,2.33805
0.63,0.37,2.7175
0.41,0.28,2.45895
0.16,0.44,1.7342
0.8,0.33,3.09545
0.84,0.23,3.31025
0.25,0.48,1.8456
0.62,0.7,2.13095
0.78,0.28,3.12775
0.03,0.68,1.12565
0.57,0.0,3.2549
0.69,0.37,2.82605
0.46,0.05,2.97635
0.65,0.03,3.3201
0.56,0.8,1.81325
0.28,0.44,1.9549
0.65,0.0,3.3865
0.57,0.1,3.07155
0.44,0.29,2.50885
0.63,0.49,2.4892
0.26,0.03,2.659
0.92,0.27,3.40935
0.69,0.35,2.84765
0.79,0.78,2.2438
0.3,0.26,2.3041
0.98,0.54,3.00245
0.25,0.62,1.6041
0.55,0.43,2.4814
0.19,0.06,2.4819
0.14,0.65,1.34415
0.09,0.65,1.2745
0.92,1.0,2.1074
0.51,0.43,2.40965
0.36,0.66,1.74135
0.33,0.92,1.2393
0.01,0.93,0.64375
0.25,0.81,1.2656
0.9,0.46,3.00305
0.3,0.12,2.5634
0.87,0.59,2.71585
0.8,0.75,2.32125
0.93,0.2,3.53225
0.34,0.41,2.12565
0.05,0.48,1.50445
0.9,0.12,3.6071
0.59,0.65,2.1451
0.72,0.62,2.41075
0.29,0.87,1.2547
0.02,0.72,1.034
0.8,0.35,3.00785
0.09,0.22,2.0334
0.05,0.61,1.2827
0.49,0.38,2.45205
0.62,0.21,2.96815
0.79,0.55,2.6638
0.64,0.52,2.4592
0.17,0.15,2.2933
0.45,0.81,1.61245
0.48,0.8,1.67335
0.51,0.39,2.4796
0.62,0.39,2.62385
0.58,0.64,2.152
0.8,0.62,2.55335
0.6,0.07,3.18605
0.35,0.87,1.34475
0.85,0.83,2.24465
0.96,0.89,2.3703
0.68,0.4,2.72875
0.13,0.15,2.22685
0.14,0.31,1.9768
0.15,0.88,0.9669
0.72,0.97,1.81585
0.56,0.33,2.6322
0.52,0.26,2.7054
0.99,0.97,2.3117
0.9,0.63,2.7384
0.31,0.47,1.99375
0.98,0.8,2.57175
0.31,0.34,2.1663
0.22,0.4,1.9169
0.87,0.37,3.1088
0.76,0.43,2.824
0.79,0.76,2.32645
0.83,0.38,3.038
0.74,0.12,3.332
0.68,0.51,2.5399
0.56,0.43,2.45815
0.63,0.01,3.3311
0.45,0.24,2.61375
0.52,0.13,2.9275
0.64,0.47,2.55425
0.51,0.91,1.53855
0.78,0.92,1.9943
0.92,0.54,2.89055
0.75,0.83,2.07355
0.72,0.5,2.62895
0.53,0.74,1.89975
0.82,0.88,2.14145
0.63,0.35,2.73555
0.8,0.56,2.6681
0.99,0.8,2.55515
0.69,0.67,2.28775
0.44,0.43,2.26615
0.71,0.62,2.41015
0.63,0.08,3.2233
0.48,0.4,2.3944
0.93,0.51,2.96925
0.65,0.12,3.1826
0.78,0.34,3.03135
0.17,0.41,1.81995
0.59,0.93,1.65055
0.98,0.65,2.8326
0.89,0.49,2.93905
