x,y,score
0.46,0.76,2.00495
0.54,0.86,2.03145
0.16,0.19,2.14845
0.61,0.18,2.79125
0.82,0.41,2.6472
0.72,0.66,2.3466
0.63,0.37,2.54445
0.41,0.28,2.4706
0.16,0.44,1.73505
0.8,0.33,2.71205
0.84,0.23,2.8452
0.25,0.48,1.925
0.62,0.7,2.22585
0.78,0.28,2.7611
0.03,0.68,1.1339
0.57,0.0,3.1068
0.69,0.37,2.59435
0.46,0.05,2.9568
0.65,0.03,3.07985
0.56,0.8,2.09215
0.28,0.44,2.02275
0.65,0.0,3.123
0.57,0.1,2.9116
0.44,0.29,2.47115
0.63,0.49,2.4243
0.26,0.03,2.83395
0.92,0.27,2.8387
0.69,0.35,2.62525
0.79,0.78,2.3025
0.3,0.26,2.33275
0.98,0.54,2.6041
0.25,0.62,1.79445
0.55,0.43,2.4149
0.19,0.06,2.6451
0.14,0.65,1.5214
0.09,0.65,1.34025
0.92,1.0,2.25605
0.51,0.43,2.36555
0.36,0.66,1.93145
0.33,0.92,1.72925
0.01,0.93,1.03065
0.25,0.81,1.6527
0.9,0.46,2.6321
0.3,0.12,2.6222
0.87,0.59,2.5023
0.8,0.75,2.3279
0.93,0.2,2.91675
0.34,0.41,2.17985
0.05,0.48,1.27785
0.9,0.12,3.00665
0.59,0.65,2.24355
0.72,0.62,2.37
0.29,0.87,1.70095
0.02,0.72,1.08865
0.8,0.35,2.6863
0.09,0.22,1.8076
0.05,0.61,1.2533
0.49,0.38,2.41405
0.62,0.21,2.763
0.79,0.55,2.4865
0.64,0.52,2.4055
0.17,0.15,2.2917
0.45,0.81,1.9665
0.48,0.8,1.99105
0.51,0.39,2.43045
0.62,0.39,2.52565
0.58,0.64,2.2392
0.8,0.62,2.428
0.6,0.07,2.98445
0.35,0.87,1.76765
0.85,0.83,2.30825
0.96,0.89,2.34185
0.68,0.4,2.5612
0.13,0.15,2.169
0.14,0.31,1.85575
0.15,0.88,1.4118
0.72,0.97,2.12795
0.56,0.33,2.53545
0.52,0.26,2.60735
0.99,0.97,2.31495
0.9,0.63,2.49585
0.31,0.47,2.051
0.98,0.8,2.4031
0.31,0.34,2.23235
0.22,0.4,1.97195
0.87,0.37,2.7091
0.76,0.43,2.5815
0.79,0.76,2.3146
0.83,0.38,2.67415
0.74,0.12,2.96465
0.68,0.51,2.44055
0.56,0.43,2.42075
0.63,0.01,3.1001
0.45,0.24,2.5547
0.52,0.13,2.83485
0.64,0.47,2.4517
0.51,0.91,1.9581
0.78,0.92,2.20875
0.92,0.54,2.57335
0.75,0.83,2.24465
0.72,0.5,2.49155
0.53,0.74,2.1048
0.82,0.88,2.2559
0.63,0.35,2.5861
0.8,0.56,2.4767
0.99,0.8,2.40945
0.69,0.67,2.3093
0.44,0.43,2.29055
0.71,0.62,2.3563
0.63,0.08,2.96905
0.48,0.4,2.3745
0.93,0.51,2.605
0.65,0.12,2.9164
0.78,0.34,2.68515
0.17,0.41,1.80345
0.59,0.93,2.0379
0.98,0.65,2.5142
0.89,0.49,2.6133
0.09,0.48,1.4743
0.98,0.94,2.3256
0.6,0.72,2.1991
0.74,0.48,2.51735
0.48,0.19,2.6871
0.15,0.11,2.34165
0.86,0.55,2.524
0.97,0.56,2.5839
1.0,0.64,2.54235
0.43,0.66,2.03755
0.85,0.2,2.89925
0.02,0.64,1.1008
0.26,0.02,2.86195
0.12,0.68,1.4297
0.66,0.15,2.8889
0.75,0.58,2.4456
0.04,0.92,1.12115
0.15,0.58,1.5833
0.4,0.84,1.8756
0.94,0.97,2.2795
0.64,0.08,2.9862
0.08,0.63,1.32135
0.81,0.9,2.2374
0.21,0.79,1.58115
0.21,0.13,2.45905
0.82,0.12,2.9908
0.77,0.84,2.2388
0.76,0.89,2.2073
0.06,0.34,1.45635
0.92,0.45,2.6517
0.41,0.87,1.8758
0.11,0.48,1.53145
0.67,0.53,2.40625
0.36,0.88,1.79405
0.47,0.6,2.14485
0.34,0.03,2.92235
0.79,0.95,2.18975
0.24,0.56,1.7941
0.17,0.32,1.9362
0.59,0.26,2.6648
0.59,0.68,2.2028
1.0,0.57,2.60095
0.63,0.84,2.13445
0.72,0.58,2.40835
0.84,0.68,2.4049
0.07,0.87,1.2168
0.71,0.48,2.487
0.27,0.76,1.7246
