x,y,score
0.0,0.0,3.0
0.0,0.01,2.2872500000000002
0.0,0.02,2.00575
0.0,0.03,1.7155
0.0,0.04,1.52475
0.0,0.05,1.4842499999999998
0.0,0.06,1.3395
0.0,0.07,1.3615
0.0,0.08,1.274
0.0,0.09,1.27775
0.0,0.1,1.1882499999999998
0.0,0.11,1.24475
0.0,0.12,1.157
0.0,0.13,1.15275
0.0,0.14,1.1780000000000002
0.0,0.15,1.1195
0.0,0.16,1.16675
0.0,0.17,1.09975
0.0,0.18,1.0875
0.0,0.19,1.12425
0.0,0.2,1.0755000000000001
0.0,0.21,1.099
0.0,0.22,1.0932499999999998
0.0,0.23,1.07275
0.0,0.24,1.0812499999999998
0.0,0.25,1.06125
0.0,0.26,1.072
0.0,0.27,1.07425
0.0,0.28,1.04125
0.0,0.29,1.05775
0.0,0.3,1.0425
0.0,0.31,1.051
0.0,0.32,1.0645
0.0,0.33,1.0390000000000001
0.0,0.34,1.0677500000000002
0.0,0.35000000000000003,1.03475
0.0,0.36,1.0422500000000001
0.0,0.37,1.0422500000000001
0.0,0.38,1.0402500000000001
0.0,0.39,1.04175
0.0,0.4,1.02875
0.0,0.41000000000000003,1.02425
0.0,0.42,1.02925
0.0,0.43,1.028
0.0,0.44,1.0232499999999998
0.0,0.45,1.0305000000000002
0.0,0.46,1.0295
0.0,0.47000000000000003,1.02675
0.0,0.48,1.01525
0.0,0.49,1.01375
0.0,0.5,1.0195
0.0,0.51,1.0215
0.0,0.52,1.01625
0.0,0.53,1.01425
0.0,0.54,1.0095
0.0,0.55,1.008
0.0,0.56,1.0137500000000002
0.0,0.5700000000000001,1.00925
0.0,0.58,1.0112500000000002
0.0,0.59,1.0112500000000002
0.0,0.6,1.0055000000000003
0.0,0.61,1.0117499999999997
0.0,0.62,1.0107500000000003
0.0,0.63,1.0055
0.0,0.64,1.01
0.0,0.65,1.0124999999999997
0.0,0.66,1.00275
0.0,0.67,1.0042499999999999
0.0,0.68,1.0055
0.0,0.6900000000000001,1.00675
0.0,0.7000000000000001,1.00325
0.0,0.71,0.9992500000000003
0.0,0.72,1.0067500000000003
0.0,0.73,1.00625
0.0,0.74,1.0047500000000003
0.0,0.75,1.0010000000000001
0.0,0.76,1.00375
0.0,0.77,0.99875
0.0,0.78,1.0027500000000003
0.0,0.79,1.0055
0.0,0.8,1.00075
0.0,0.81,1.0007500000000003
0.0,0.8200000000000001,0.9995
0.0,0.8300000000000001,1.0037500000000001
0.0,0.84,0.9967500000000001
0.0,0.85,0.998
0.0,0.86,0.9955000000000002
0.0,0.87,0.9967500000000001
0.0,0.88,1.0007500000000003
0.0,0.89,0.9980000000000002
0.0,0.9,0.9962500000000002
0.0,0.91,0.9985000000000002
0.0,0.92,0.9982500000000002
0.0,0.93,0.9955000000000002
0.0,0.9400000000000001,0.9957500000000001
0.0,0.9500000000000001,0.9965000000000002
0.0,0.96,0.9955000000000002
0.0,0.97,0.9955000000000002
0.0,0.98,0.9970000000000001
0.0,0.99,0.9950000000000001
0.0,1.0,0.9950000000000001
0.01,0.0,3.0
0.01,0.01,2.66825
0.01,0.02,2.388000000000001
0.01,0.03,2.03575
0.01,0.04,1.70975
0.01,0.05,1.488
0.01,0.06,1.45
0.01,0.07,1.401
0.01,0.08,1.4152500000000003
0.01,0.09,1.2485
0.01,0.1,1.316
0.01,0.11,1.2235
0.01,0.12,1.2349999999999999
0.01,0.13,1.168
0.01,0.14,1.2122499999999998
0.01,0.15,1.1705
0.01,0.16,1.1745
0.01,0.17,1.15
0.01,0.18,1.13975
0.01,0.19,1.116
0.01,0.2,1.0950000000000002
0.01,0.21,1.13525
0.01,0.22,1.12175
0.01,0.23,1.1280000000000001
0.01,0.24,1.10875
0.01,0.25,1.1115
0.01,0.26,1.0987500000000001
0.01,0.27,1.11575
0.01,0.28,1.1030000000000002
0.01,0.29,1.0784999999999998
0.01,0.3,1.10175
0.01,0.31,1.0990000000000002
0.01,0.32,1.1035000000000001
0.01,0.33,1.0935
0.01,0.34,1.076
0.01,0.35000000000000003,1.0675000000000001
0.01,0.36,1.0742500000000001
0.01,0.37,1.08125
0.01,0.38,1.0815000000000001
0.01,0.39,1.07875
0.01,0.4,1.0935
0.01,0.41000000000000003,1.0717500000000002
0.01,0.42,1.0530000000000002
0.01,0.43,1.0784999999999998
0.01,0.44,1.0605
0.01,0.45,1.0552499999999998
0.01,0.46,1.0517499999999997
0.01,0.47000000000000003,1.068
0.01,0.48,1.065
0.01,0.49,1.06575
0.01,0.5,1.0589999999999997
0.01,0.51,1.04525
0.01,0.52,1.0545000000000002
0.01,0.53,1.05425
0.01,0.54,1.06375
0.01,0.55,1.0572499999999998
0.01,0.56,1.0385
0.01,0.5700000000000001,1.0562500000000004
0.01,0.58,1.04875
0.01,0.59,1.0524999999999998
0.01,0.6,1.0537499999999997
0.01,0.61,1.058
0.01,0.62,1.045
0.01,0.63,1.04775
0.01,0.64,1.052
0.01,0.65,1.0445
0.01,0.66,1.0519999999999998
0.01,0.67,1.04775
0.01,0.68,1.04925
0.01,0.6900000000000001,1.0362500000000001
0.01,0.7000000000000001,1.0495
0.01,0.71,1.04025
0.01,0.72,1.0397500000000002
0.01,0.73,1.036
0.01,0.74,1.0465
0.01,0.75,1.04025
0.01,0.76,1.0532499999999998
0.01,0.77,1.0554999999999999
0.01,0.78,1.03325
0.01,0.79,1.04225
0.01,0.8,1.0392499999999998
0.01,0.81,1.035
