x,y,score
0.0,0.0,3.0
0.0,0.01,1.7349999999999999
0.0,0.02,1.4060000000000001
0.0,0.03,1.3475
0.0,0.04,1.2674999999999998
0.0,0.05,1.186
0.0,0.06,1.1695
0.0,0.07,1.1544999999999999
0.0,0.08,1.193
0.0,0.09,1.0950000000000002
0.0,0.1,1.0950000000000002
0.0,0.11,1.0705000000000002
0.0,0.12,1.1299999999999997
0.0,0.13,1.0749999999999997
0.0,0.14,1.0805
0.0,0.15,1.0695000000000001
0.0,0.16,1.0829999999999997
0.0,0.17,1.0605000000000002
0.0,0.18,1.0425
0.0,0.19,1.06
0.0,0.2,1.047
0.0,0.21,1.0545000000000002
0.0,0.22,1.0465
0.0,0.23,1.051
0.0,0.24,1.0474999999999999
0.0,0.25,1.0314999999999999
0.0,0.26,1.0334999999999999
0.0,0.27,1.0294999999999999
0.0,0.28,1.0434999999999999
0.0,0.29,1.031
0.0,0.3,1.0394999999999999
0.0,0.31,1.0420000000000003
0.0,0.32,1.0269999999999997
0.0,0.33,1.0305
0.0,0.34,1.0350000000000001
0.0,0.35000000000000003,1.0210000000000001
0.0,0.36,1.0219999999999998
0.0,0.37,1.0170000000000001
0.0,0.38,1.0305
0.0,0.39,1.0225000000000002
0.0,0.4,1.016
0.0,0.41000000000000003,1.022
0.0,0.42,1.0239999999999998
0.0,0.43,1.0219999999999998
0.0,0.44,1.0155
0.0,0.45,1.0145
0.0,0.46,1.0094999999999998
0.0,0.47000000000000003,1.0135
0.0,0.48,1.0179999999999998
0.0,0.49,1.0165000000000002
0.0,0.5,1.0189999999999997
0.0,0.51,1.0114999999999998
0.0,0.52,1.0174999999999998
0.0,0.53,1.017
0.0,0.54,1.0174999999999996
0.0,0.55,1.01
0.0,0.56,1.0105000000000002
0.0,0.5700000000000001,1.0094999999999998
0.0,0.58,1.015
0.0,0.59,1.0070000000000001
0.0,0.6,1.0094999999999998
0.0,0.61,1.0055
0.0,0.62,1.0035
0.0,0.63,1.0030000000000001
0.0,0.64,1.0080000000000002
0.0,0.65,1.0065
0.0,0.66,1.0035
0.0,0.67,1.0045
0.0,0.68,1.0080000000000002
0.0,0.6900000000000001,1.0010000000000001
0.0,0.7000000000000001,1.0035000000000003
0.0,0.71,1.0030000000000001
0.0,0.72,1.004
0.0,0.73,1.0050000000000001
0.0,0.74,1.0015000000000003
0.0,0.75,1.0034999999999998
0.0,0.76,1.0010000000000001
0.0,0.77,1.0065
0.0,0.78,1.0005000000000002
0.0,0.79,1.0
0.0,0.8,0.9985000000000002
0.0,0.81,0.9995
0.0,0.8200000000000001,1.0015
0.0,0.8300000000000001,1.0025
0.0,0.84,0.998
0.0,0.85,0.9985000000000002
0.0,0.86,0.9975000000000002
0.0,0.87,0.9995
0.0,0.88,0.9990000000000002
0.0,0.89,1.0005000000000002
0.0,0.9,0.9965000000000002
0.0,0.91,0.9990000000000002
0.0,0.92,1.0005000000000002
0.0,0.93,0.9970000000000002
0.0,0.9400000000000001,0.9955
0.0,0.9500000000000001,0.9960000000000002
0.0,0.96,0.9965000000000002
0.0,0.97,0.9990000000000002
0.0,0.98,0.9955000000000002
0.0,0.99,0.9950000000000001
0.0,1.0,0.9950000000000001
0.01,0.0,3.0
0.01,0.01,1.7557500000000001
0.01,0.02,1.6874999999999996
0.01,0.03,1.4525000000000001
0.01,0.04,1.294
0.01,0.05,1.2425000000000002
0.01,0.06,1.204
0.01,0.07,1.2565000000000002
0.01,0.08,1.2040000000000002
0.01,0.09,1.1749999999999998
0.01,0.1,1.1275
0.01,0.11,1.096
0.01,0.12,1.1104999999999998
0.01,0.13,1.1435
0.01,0.14,1.098
0.01,0.15,1.1090000000000002
0.01,0.16,1.0975000000000001
0.01,0.17,1.1104999999999998
0.01,0.18,1.085
0.01,0.19,1.0915000000000004
0.01,0.2,1.0875
0.01,0.21,1.0915000000000001
0.01,0.22,1.09
0.01,0.23,1.065
0.01,0.24,1.087
0.01,0.25,1.0915000000000001
0.01,0.26,1.0755
0.01,0.27,1.0819999999999999
0.01,0.28,1.079
0.01,0.29,1.0704999999999998
0.01,0.3,1.0825
0.01,0.31,1.07
0.01,0.32,1.0675000000000001
0.01,0.33,1.0624999999999998
0.01,0.34,1.0645000000000002
0.01,0.35000000000000003,1.057
0.01,0.36,1.0515
0.01,0.37,1.0605000000000002
0.01,0.38,1.0464999999999998
0.01,0.39,1.0579999999999998
0.01,0.4,1.0655000000000001
0.01,0.41000000000000003,1.057
0.01,0.42,1.0640000000000003
0.01,0.43,1.0635
0.01,0.44,1.0574999999999999
0.01,0.45,1.0554999999999999
0.01,0.46,1.0614999999999999
0.01,0.47000000000000003,1.0530000000000002
0.01,0.48,1.048
0.01,0.49,1.0525
