x,y,score
0.46,0.76,2.68995
0.54,0.86,2.9365
0.16,0.19,1.7061
0.61,0.18,3.2718
0.82,0.41,3.8488
0.72,0.66,3.5581
0.63,0.37,3.30565
0.41,0.28,2.61815
0.16,0.44,1.6391
0.8,0.33,3.78625
0.84,0.23,3.85295
0.25,0.48,1.97275
0.62,0.7,3.22585
0.78,0.28,3.72985
0.03,0.68,1.13185
0.57,0.0,3.0
0.69,0.37,3.49925
0.46,0.05,2.84965
0.65,0.03,3.19655
0.56,0.8,3.03285
0.28,0.44,2.10315
0.65,0.0,3.0
0.57,0.1,3.1508
0.44,0.29,2.71745
0.63,0.49,3.28645
0.26,0.03,2.2948
0.92,0.27,4.0579
0.69,0.35,3.50145
0.79,0.78,3.72815
0.3,0.26,2.23185
0.98,0.54,4.2547
0.25,0.62,1.98385
0.55,0.43,3.07595
0.19,0.06,1.89305
0.14,0.65,1.5439
0.09,0.65,1.36915
0.92,1.0,4.0699
0.51,0.43,2.91065
0.36,0.66,2.3793
0.33,0.92,2.22645
0.01,0.93,1.0355
0.25,0.81,1.926
0.9,0.46,4.04715
0.3,0.12,2.2821
0.87,0.59,3.97795
0.8,0.75,3.7782
0.93,0.2,4.01995
0.34,0.41,2.34255
0.05,0.48,1.21795
0.9,0.12,3.8433
0.59,0.65,3.1744
0.72,0.62,3.5586
0.29,0.87,2.1183
0.02,0.72,1.0811
0.8,0.35,3.78845
0.09,0.22,1.4038
0.05,0.61,1.2135
0.49,0.38,2.88265
0.62,0.21,3.29115
0.79,0.55,3.77205
0.64,0.52,3.3213
0.17,0.15,1.74055
0.45,0.81,2.64065
0.48,0.8,2.7732
0.51,0.39,2.95235
0.62,0.39,3.2745
0.58,0.64,3.13305
0.8,0.62,3.78535
0.6,0.07,3.2121
0.35,0.87,2.30725
0.85,0.83,3.9041
0.96,0.89,4.18345
0.68,0.4,3.4659
0.13,0.15,1.5987
0.14,0.31,1.5813
0.15,0.88,1.5841
0.72,0.97,3.5086
0.56,0.33,3.0869
0.52,0.26,2.9917
0.99,0.97,4.2673
0.9,0.63,4.0627
0.31,0.47,2.20775
0.98,0.8,4.2595
0.31,0.34,2.259
0.22,0.4,1.8815
0.87,0.37,3.98155
0.76,0.43,3.68405
0.79,0.76,3.73355
0.83,0.38,3.8767
0.74,0.12,3.548
0.68,0.51,3.45645
0.56,0.43,3.085
0.63,0.01,3.093
0.45,0.24,2.77155
0.52,0.13,3.0141
0.64,0.47,3.3337
0.51,0.91,2.84085
0.78,0.92,3.6884
0.92,0.54,4.10835
0.75,0.83,3.6099
0.72,0.5,3.57305
0.53,0.74,2.9669
0.82,0.88,3.7977
0.63,0.35,3.28995
0.8,0.56,3.79645
0.99,0.8,4.27675
0.69,0.67,3.47205
0.44,0.43,2.69755
0.71,0.62,3.5497
0.63,0.08,3.27765
0.48,0.4,2.83055
0.93,0.51,4.1362
0.65,0.12,3.35445
0.78,0.34,3.7476
0.17,0.41,1.68045
0.59,0.93,3.10455
0.98,0.65,4.264
0.89,0.49,4.0236
0.09,0.48,1.3707
0.98,0.94,4.2437
0.6,0.72,3.1792
0.74,0.48,3.6312
0.48,0.19,2.8586
0.15,0.11,1.68205
0.86,0.55,3.9579
0.97,0.56,4.2393
1.0,0.64,4.31355
0.43,0.66,2.61135
0.85,0.2,3.86935
0.02,0.64,1.0862
0.26,0.02,2.38885
0.12,0.68,1.4705
0.66,0.15,3.3853
0.75,0.58,3.64625
0.04,0.92,1.1587
0.15,0.58,1.59865
0.4,0.84,2.48155
0.94,0.97,4.118
0.64,0.08,3.2868
0.08,0.63,1.3153
0.81,0.9,3.77345
0.21,0.79,1.8097
0.21,0.13,1.912
0.82,0.12,3.7239
0.77,0.84,3.6714
0.76,0.89,3.6084
0.06,0.34,1.2695
0.92,0.45,4.09815
0.41,0.87,2.52465
0.11,0.48,1.45735
0.67,0.53,3.42985
0.36,0.88,2.33655
0.47,0.6,2.75235
0.34,0.03,2.57425
0.79,0.95,3.7099
0.24,0.56,1.9564
0.17,0.32,1.6931
0.59,0.26,3.19195
0.59,0.68,3.1693
1.0,0.57,4.30205
0.63,0.84,3.2617
0.72,0.58,3.56325
0.84,0.68,3.8908
0.07,0.87,1.27425
0.71,0.48,3.52925
0.27,0.76,2.0355
0.2,0.43,1.80855
0.25,0.83,1.9245
0.74,0.97,3.56165
0.56,0.06,3.0942
0.77,0.18,3.67425
0.61,0.23,3.27865
0.73,0.56,3.5759
0.4,0.67,2.50595
0.93,0.15,3.95495
0.37,0.3,2.4682
0.89,0.6,4.0357
0.32,0.92,2.2009
0.97,0.95,4.2089
0.96,0.12,3.90755
0.74,0.25,3.6275
0.47,0.92,2.71835
0.13,0.43,1.53985
0.8,0.68,3.7683
0.01,0.53,1.0526
0.69,0.03,3.26105
0.73,0.82,3.53925
0.97,0.94,4.2099
0.9,1.0,4.02155
0.08,0.23,1.36315
0.82,0.79,3.81695
0.42,0.46,2.6147
0.62,0.93,3.20335
0.71,0.43,3.5351
0.77,0.04,3.3968
0.97,0.53,4.2294
0.73,0.22,3.57945
0.59,0.14,3.2097
0.5,0.81,2.82585
0.4,1.0,2.448
