x,y,score
0.0,0.0,2.9504999999999995
0.0,0.01,2.9130000000000003
0.0,0.02,2.8957500000000005
0.0,0.03,2.85675
0.0,0.04,2.83975
0.0,0.05,2.80275
0.0,0.06,2.76225
0.0,0.07,2.762
0.0,0.08,2.68975
0.0,0.09,2.69775
0.0,0.1,2.6707500000000004
0.0,0.11,2.6252500000000003
0.0,0.12,2.5870000000000006
0.0,0.13,2.5432499999999996
0.0,0.14,2.56775
0.0,0.15,2.49725
0.0,0.16,2.49425
0.0,0.17,2.4762500000000003
0.0,0.18,2.4547499999999998
0.0,0.19,2.348
0.0,0.2,2.365999999999999
0.0,0.21,2.3684999999999996
0.0,0.22,2.316
0.0,0.23,2.3115000000000006
0.0,0.24,2.27525
0.0,0.25,2.194
0.0,0.26,2.2079999999999997
0.0,0.27,2.1614999999999998
0.0,0.28,2.09825
0.0,0.29,2.143
0.0,0.3,2.08925
0.0,0.31,2.01325
0.0,0.32,2.00975
0.0,0.33,2.0137500000000004
0.0,0.34,1.9172499999999997
0.0,0.35000000000000003,1.9427499999999998
0.0,0.36,1.8917499999999996
0.0,0.37,1.87575
0.0,0.38,1.8807500000000004
0.0,0.39,1.8462500000000002
0.0,0.4,1.7529999999999997
0.0,0.41000000000000003,1.7594999999999998
0.0,0.42,1.737
0.0,0.43,1.6795000000000002
0.0,0.44,1.67075
0.0,0.45,1.62825
0.0,0.46,1.65375
0.0,0.47000000000000003,1.5402500000000001
0.0,0.48,1.5759999999999998
0.0,0.49,1.55925
0.0,0.5,1.5224999999999997
0.0,0.51,1.484
0.0,0.52,1.4212500000000001
0.0,0.53,1.46475
0.0,0.54,1.3685000000000003
0.0,0.55,1.37125
0.0,0.56,1.3197499999999998
0.0,0.5700000000000001,1.2922500000000001
0.0,0.58,1.249
0.0,0.59,1.2340000000000002
0.0,0.6,1.238
0.0,0.61,1.1670000000000003
0.0,0.62,1.1580000000000001
0.0,0.63,1.08475
0.0,0.64,1.0965
0.0,0.65,1.069
0.0,0.66,1.0205
0.0,0.67,1.0379999999999998
0.0,0.68,0.9747499999999999
0.0,0.6900000000000001,0.95475
0.0,0.7000000000000001,0.9395
0.0,0.71,0.9032500000000001
0.0,0.72,0.8477499999999999
0.0,0.73,0.8584999999999999
0.0,0.74,0.8122499999999999
0.0,0.75,0.8444999999999998
0.0,0.76,0.7739999999999999
0.0,0.77,0.7165
0.0,0.78,0.7042499999999999
0.0,0.79,0.72375
0.0,0.8,0.7252500000000001
0.0,0.81,0.6735
0.0,0.8200000000000001,0.64775
0.0,0.8300000000000001,0.58675
0.0,0.84,0.6119999999999999
0.0,0.85,0.5775
0.0,0.86,0.5565
0.0,0.87,0.64225
0.0,0.88,0.5417499999999998
0.0,0.89,0.6885000000000001
0.0,0.9,0.5902499999999999
0.0,0.91,0.5994999999999999
0.0,0.92,0.661
0.0,0.93,0.6849999999999999
0.0,0.9400000000000001,0.7077500000000001
0.0,0.9500000000000001,0.6305
0.0,0.96,0.7107500000000001
0.0,0.97,0.72475
0.0,0.98,0.7385
0.0,0.99,0.80175
0.0,1.0,0.8139999999999998
0.01,0.0,2.9485
0.01,0.01,2.9182499999999996
0.01,0.02,2.88125
0.01,0.03,2.871
0.01,0.04,2.8444999999999996
0.01,0.05,2.79875
0.01,0.06,2.775
0.01,0.07,2.7447500000000002
0.01,0.08,2.7180000000000004
0.01,0.09,2.70075
0.01,0.1,2.68075
0.01,0.11,2.622
0.01,0.12,2.5547499999999994
0.01,0.13,2.56975
0.01,0.14,2.5567500000000005
0.01,0.15,2.5564999999999998
0.01,0.16,2.4967499999999996
0.01,0.17,2.459
0.01,0.18,2.4367500000000004
0.01,0.19,2.4017500000000003
0.01,0.2,2.341
0.01,0.21,2.32
0.01,0.22,2.33225
0.01,0.23,2.2535
0.01,0.24,2.2452500000000004
0.01,0.25,2.2367500000000002
0.01,0.26,2.1987499999999995
0.01,0.27,2.18025
0.01,0.28,2.07875
0.01,0.29,2.0939999999999994
0.01,0.3,2.0835
0.01,0.31,2.0137500000000004
0.01,0.32,2.0087499999999996
0.01,0.33,1.9615000000000002
0.01,0.34,1.97275
0.01,0.35000000000000003,1.9010000000000002
0.01,0.36,1.93575
0.01,0.37,1.8832499999999999
0.01,0.38,1.8275000000000001
0.01,0.39,1.8157500000000002
0.01,0.4,1.7965
0.01,0.41000000000000003,1.766
0.01,0.42,1.7429999999999997
0.01,0.43,1.7220000000000002
0.01,0.44,1.6545
0.01,0.45,1.6175000000000002
0.01,0.46,1.6119999999999997
0.01,0.47000000000000003,1.5835
0.01,0.48,1.558
0.01,0.49,1.525
0.01,0.5,1.4937500000000001
0.01,0.51,1.4765000000000001
0.01,0.52,1.4665000000000001
0.01,0.53,1.4495
0.01,0.54,1.3820000000000001
0.01,0.55,1.363
0.01,0.56,1.316
0.01,0.5700000000000001,1.2987499999999998
0.01,0.58,1.30725
0.01,0.59,1.27975
0.01,0.6,1.1955000000000002
0.01,0.61,1.20875
0.01,0.62,1.1875000000000002
0.01,0.63,1.123
0.01,0.64,1.0677500000000002
0.01,0.65,1.0445
0.01,0.66,1.014
0.01,0.67,1.0115000000000003
0.01,0.68,0.983
0.01,0.6900000000000001,0.9590000000000002
0.01,0.7000000000000001,0.9195
0.01,0.71,0.9174999999999999
0.01,0.72,0.8897499999999999
0.01,0.73,0.8092499999999999
0.01,0.74,0.7865
0.01,0.75,0.77
0.01,0.76,0.7707499999999999
0.01,0.77,0.7340000000000001
0.01,0.78,0.7285000000000001
0.01,0.79,0.72875
0.01,0.8,0.6645
0.01,0.81,0.65725
0.01,0.8200000000000001,0.6014999999999999
0.01,0.8300000000000001,0.58075
0.01,0.84,0.5925000000000001
0.01,0.85,0.5970000000000001
0.01,0.86,0.5507500000000001
0.01,0.87,0.5750000000000001
0.01,0.88,0.56475
0.01,0.89,0.56275
0.01,0.9,0.5362500000000001
0.01,0.91,0.538
0.01,0.92,0.5954999999999999
0.01,0.93,0.5935000000000001
0.01,0.9400000000000001,0.5589999999999999
0.01,0.9500000000000001,0.6015
0.01,0.96,0.67125
0.01,0.97,0.65375
0.01,0.98,0.6307500000000001
0.01,0.99,0.6319999999999999
0.01,1.0,0.63975
0.02,0.0,2.95275
0.02,0.01,2.9192500000000003
0.02,0.02,2.8895
0.02,0.03,2.86475
0.02,0.04,2.8529999999999998
0.02,0.05,2.80925
0.02,0.06,2.7685000000000004
0.02,0.07,2.75
0.02,0.08,2.7065
0.02,0.09,2.688
0.02,0.1,2.6747500000000004
0.02,0.11,2.638
0.02,0.12,2.556
0.02,0.13,2.5382500000000006
0.02,0.14,2.5755000000000003
0.02,0.15,2.51175
0.02,0.16,2.45425
0.02,0.17,2.482
0.02,0.18,2.4337499999999994
0.02,0.19,2.42125
0.02,0.2,2.3445
0.02,0.21,2.3302499999999995
0.02,0.22,2.3040000000000007
0.02,0.23,2.2629999999999995
0.02,0.24,2.24725
0.02,0.25,2.2354999999999996
0.02,0.26,2.2212500000000004
0.02,0.27,2.1605
0.02,0.28,2.1565
0.02,0.29,2.07575
0.02,0.3,2.1022499999999997
0.02,0.31,2.0915
0.02,0.32,2.05575
0.02,0.33,1.9392500000000001
0.02,0.34,1.98525
0.02,0.35000000000000003,1.8952500000000003
0.02,0.36,1.9289999999999998
0.02,0.37,1.88975
0.02,0.38,1.8217500000000002
0.02,0.39,1.81675
0.02,0.4,1.8352499999999998
0.02,0.41000000000000003,1.7485
0.02,0.42,1.7107499999999998
0.02,0.43,1.7109999999999999
0.02,0.44,1.6772500000000001
0.02,0.45,1.666
0.02,0.46,1.62725
0.02,0.47000000000000003,1.532
0.02,0.48,1.552
0.02,0.49,1.519
0.02,0.5,1.5145
0.02,0.51,1.471
0.02,0.52,1.423
0.02,0.53,1.4465
0.02,0.54,1.4125
0.02,0.55,1.3465000000000003
0.02,0.56,1.3637499999999998
0.02,0.5700000000000001,1.2902500000000001
0.02,0.58,1.2642499999999999
0.02,0.59,1.2515
0.02,0.6,1.1837499999999999
0.02,0.61,1.1957499999999999
0.02,0.62,1.13675
0.02,0.63,1.126
0.02,0.64,1.0952499999999998
0.02,0.65,1.0882500000000002
0.02,0.66,1.01175
0.02,0.67,1.0235
0.02,0.68,0.9964999999999999
0.02,0.6900000000000001,0.9744999999999999
0.02,0.7000000000000001,0.9202499999999999
0.02,0.71,0.91175
0.02,0.72,0.885
0.02,0.73,0.8460000000000001
0.02,0.74,0.82075
0.02,0.75,0.8100000000000002
0.02,0.76,0.7595000000000001
0.02,0.77,0.74825
0.02,0.78,0.6905
0.02,0.79,0.6835
0.02,0.8,0.6625000000000001
0.02,0.81,0.6435
0.02,0.8200000000000001,0.6425000000000003
0.02,0.8300000000000001,0.63575
0.02,0.84,0.5889999999999999
0.02,0.85,0.55725
0.02,0.86,0.5502500000000001
0.02,0.87,0.5165
0.02,0.88,0.534
0.02,0.89,0.5465
0.02,0.9,0.484
0.02,0.91,0.4707500000000001
0.02,0.92,0.53375
0.02,0.93,0.4795000000000001
0.02,0.9400000000000001,0.5685
0.02,0.9500000000000001,0.55025
0.02,0.96,0.5077499999999999
0.02,0.97,0.5197499999999999
0.02,0.98,0.59975
0.02,0.99,0.59
0.02,1.0,0.60175
0.03,0.0,2.958
0.03,0.01,2.9274999999999998
0.03,0.02,2.8950000000000005
0.03,0.03,2.86275
0.03,0.04,2.8374999999999995
0.03,0.05,2.80075
0.03,0.06,2.7757499999999995
0.03,0.07,2.755
0.03,0.08,2.718
0.03,0.09,2.6975
0.03,0.1,2.66275
0.03,0.11,2.6385
0.03,0.12,2.622
0.03,0.13,2.5739999999999994
0.03,0.14,2.5285
0.03,0.15,2.5484999999999998
0.03,0.16,2.4925
0.03,0.17,2.4805
0.03,0.18,2.4564999999999997
0.03,0.19,2.40325
0.03,0.2,2.38125
0.03,0.21,2.36325
0.03,0.22,2.3142500000000004
0.03,0.23,2.242
0.03,0.24,2.27375
0.03,0.25,2.213
0.03,0.26,2.19675
0.03,0.27,2.1622500000000002
0.03,0.28,2.16125
0.03,0.29,2.0942499999999997
0.03,0.3,2.1142499999999997
0.03,0.31,2.06325
0.03,0.32,2.0414999999999996
0.03,0.33,1.9825
0.03,0.34,1.9405000000000001
0.03,0.35000000000000003,1.9292500000000004
0.03,0.36,1.9387500000000002
0.03,0.37,1.8917499999999996
0.03,0.38,1.907
0.03,0.39,1.79675
0.03,0.4,1.8202499999999997
0.03,0.41000000000000003,1.7420000000000002
0.03,0.42,1.6952500000000001
0.03,0.43,1.7132500000000004
0.03,0.44,1.66725
0.03,0.45,1.62675
0.03,0.46,1.6532499999999999
0.03,0.47000000000000003,1.5855000000000001
0.03,0.48,1.5647499999999999
0.03,0.49,1.5305
0.03,0.5,1.5302499999999999
0.03,0.51,1.45775
0.03,0.52,1.4257500000000003
0.03,0.53,1.41625
0.03,0.54,1.3725
0.03,0.55,1.3450000000000002
0.03,0.56,1.3317500000000002
0.03,0.5700000000000001,1.3672499999999999
0.03,0.58,1.25325
0.03,0.59,1.22575
0.03,0.6,1.2240000000000002
0.03,0.61,1.18925
0.03,0.62,1.1504999999999999
0.03,0.63,1.1497499999999998
0.03,0.64,1.1110000000000002
0.03,0.65,1.092
0.03,0.66,1.0117500000000001
0.03,0.67,0.9810000000000001
0.03,0.68,1.0030000000000001
0.03,0.6900000000000001,1.006
0.03,0.7000000000000001,0.9587500000000002
0.03,0.71,0.8867499999999999
0.03,0.72,0.8824999999999997
0.03,0.73,0.85725
0.03,0.74,0.8344999999999999
0.03,0.75,0.76875
0.03,0.76,0.715
0.03,0.77,0.731
0.03,0.78,0.6915
0.03,0.79,0.7135
0.03,0.8,0.6279999999999999
0.03,0.81,0.6315000000000002
0.03,0.8200000000000001,0.64375
0.03,0.8300000000000001,0.5727500000000001
0.03,0.84,0.5627500000000001
0.03,0.85,0.581
0.03,0.86,0.4915
0.03,0.87,0.49874999999999997
0.03,0.88,0.45225
0.03,0.89,0.5025000000000001
0.03,0.9,0.45500000000000007
0.03,0.91,0.46774999999999994
0.03,0.92,0.45075000000000004
0.03,0.93,0.5157499999999999
0.03,0.9400000000000001,0.51875
0.03,0.9500000000000001,0.49000000000000005
0.03,0.96,0.4447500000000001
0.03,0.97,0.517
0.03,0.98,0.4910000000000001
0.03,0.99,0.49325
0.03,1.0,0.47850000000000004
0.04,0.0,2.958
0.04,0.01,2.9215000000000004
0.04,0.02,2.89375
0.04,0.03,2.8607500000000003
0.04,0.04,2.8277499999999995
0.04,0.05,2.796
0.04,0.06,2.7750000000000004
0.04,0.07,2.7515000000000005
0.04,0.08,2.7127499999999998
0.04,0.09,2.6945000000000006
0.04,0.1,2.674
0.04,0.11,2.6037500000000002
0.04,0.12,2.6107500000000003
0.04,0.13,2.5955
0.04,0.14,2.539
0.04,0.15,2.549
0.04,0.16,2.507
0.04,0.17,2.4775
0.04,0.18,2.45675
0.04,0.19,2.4105
0.04,0.2,2.349
0.04,0.21,2.34025
0.04,0.22,2.305
0.04,0.23,2.273
0.04,0.24,2.26675
0.04,0.25,2.2239999999999998
0.04,0.26,2.1670000000000003
0.04,0.27,2.1922499999999996
0.04,0.28,2.1405000000000003
0.04,0.29,2.0944999999999996
0.04,0.3,2.126
0.04,0.31,2.0260000000000002
0.04,0.32,2.0534999999999997
0.04,0.33,2.02075
0.04,0.34,1.92775
0.04,0.35000000000000003,1.91875
0.04,0.36,1.90475
0.04,0.37,1.9065
0.04,0.38,1.8604999999999996
0.04,0.39,1.82825
0.04,0.4,1.7505
0.04,0.41000000000000003,1.795
0.04,0.42,1.7282499999999998
0.04,0.43,1.6979999999999997
0.04,0.44,1.6467500000000002
0.04,0.45,1.6049999999999998
0.04,0.46,1.62575
0.04,0.47000000000000003,1.6010000000000002
0.04,0.48,1.5827499999999997
0.04,0.49,1.50975
0.04,0.5,1.48825
0.04,0.51,1.48225
0.04,0.52,1.44175
0.04,0.53,1.4239999999999997
0.04,0.54,1.41425
0.04,0.55,1.3467500000000001
0.04,0.56,1.347
0.04,0.5700000000000001,1.32875
0.04,0.58,1.2745000000000002
0.04,0.59,1.2494999999999998
0.04,0.6,1.2285
0.04,0.61,1.2022499999999998
0.04,0.62,1.2125
