x,y,score
0.46,0.76,1.8323
0.54,0.86,1.84225
0.16,0.19,2.1332
0.61,0.18,2.88455
0.82,0.41,2.80225
0.72,0.66,2.33615
0.63,0.37,2.62805
0.41,0.28,2.4551
0.16,0.44,1.7342
0.8,0.33,2.8739
0.84,0.23,3.1014
0.25,0.48,1.8408
0.62,0.7,2.1541
0.78,0.28,2.9512
0.03,0.68,1.13045
0.57,0.0,3.18125
0.69,0.37,2.7015
0.46,0.05,2.93545
0.65,0.03,3.22565
0.56,0.8,1.97735
0.28,0.44,1.9516
0.65,0.0,3.2783
0.57,0.1,2.9828
0.44,0.29,2.4686
0.63,0.49,2.45265
0.26,0.03,2.65495
0.92,0.27,3.10395
0.69,0.35,2.73825
0.79,0.78,2.2635
0.3,0.26,2.3002
0.98,0.54,2.79685
0.25,0.62,1.67815
0.55,0.43,2.4218
0.19,0.06,2.47965
0.14,0.65,1.4179
0.09,0.65,1.31155
0.92,1.0,2.11775
0.51,0.43,2.35195
0.36,0.66,1.81265
0.33,0.92,1.43455
0.01,0.93,0.7952
0.25,0.81,1.40875
0.9,0.46,2.8075
0.3,0.12,2.5576
0.87,0.59,2.60425
0.8,0.75,2.33405
0.93,0.2,3.2233
0.34,0.41,2.1112
0.05,0.48,1.4306
0.9,0.12,3.3198
0.59,0.65,2.1839
0.72,0.62,2.3923
0.29,0.87,1.4296
0.02,0.72,1.04345
0.8,0.35,2.86075
0.09,0.22,1.9535
0.05,0.61,1.24445
0.49,0.38,2.4213
0.62,0.21,2.8654
0.79,0.55,2.57785
0.64,0.52,2.4243
0.17,0.15,2.2445
0.45,0.81,1.7614
0.48,0.8,1.8019
0.51,0.39,2.41205
0.62,0.39,2.57515
0.58,0.64,2.19925
0.8,0.62,2.49455
0.6,0.07,3.0977
0.35,0.87,1.52025
0.85,0.83,2.26735
0.96,0.89,2.33445
0.68,0.4,2.66025
0.13,0.15,2.1571
0.14,0.31,1.9118
0.15,0.88,1.1532
0.72,0.97,1.9335
0.56,0.33,2.57875
0.52,0.26,2.6437
0.99,0.97,2.25515
0.9,0.63,2.5896
0.31,0.47,1.9586
0.98,0.8,2.461
0.31,0.34,2.1894
0.22,0.4,1.8981
0.87,0.37,2.8935
0.76,0.43,2.6832
0.79,0.76,2.28245
0.83,0.38,2.8477
0.74,0.12,3.1619
0.68,0.51,2.48925
0.56,0.43,2.43525
0.63,0.01,3.2374
0.45,0.24,2.57865
0.52,0.13,2.87725
0.64,0.47,2.5107
0.51,0.91,1.7524
0.78,0.92,2.08785
0.92,0.54,2.7307
0.75,0.83,2.15735
0.72,0.5,2.5466
0.53,0.74,1.9929
0.82,0.88,2.1707
0.63,0.35,2.6451
0.8,0.56,2.5587
0.99,0.8,2.47
0.69,0.67,2.2914
0.44,0.43,2.2564
0.71,0.62,2.3765
0.63,0.08,3.0964
0.48,0.4,2.3767
0.93,0.51,2.7822
0.65,0.12,3.04275
0.78,0.34,2.8581
0.17,0.41,1.80045
0.59,0.93,1.8275
0.98,0.65,2.6472
0.89,0.49,2.77685
0.09,0.48,1.52495
0.98,0.94,2.28045
0.6,0.72,2.10605
0.74,0.48,2.5924
0.48,0.19,2.718
0.15,0.11,2.2875
0.86,0.55,2.6446
0.97,0.56,2.7644
1.0,0.64,2.68085
0.43,0.66,1.93965
0.85,0.2,3.1341
0.02,0.64,1.1356
0.26,0.02,2.6996
0.12,0.68,1.3108
0.66,0.15,3.00065
0.75,0.58,2.47235
0.04,0.92,0.87235
0.15,0.58,1.52
0.4,0.84,1.63785
0.94,0.97,2.18455
0.64,0.08,3.1239
0.08,0.63,1.29225
0.81,0.9,2.14215
0.21,0.79,1.3774
0.21,0.13,2.36255
0.82,0.12,3.23795
0.77,0.84,2.16385
0.76,0.89,2.08725
0.06,0.34,1.67555
0.92,0.45,2.85725
0.41,0.87,1.62675
0.11,0.48,1.57015
0.67,0.53,2.44605
0.36,0.88,1.54275
0.47,0.6,2.08125
0.34,0.03,2.8043
0.79,0.95,2.05095
0.24,0.56,1.72765
0.17,0.32,1.9412
0.59,0.26,2.72965
0.59,0.68,2.14565
1.0,0.57,2.77945
0.63,0.84,1.9908
0.72,0.58,2.45465
0.84,0.68,2.46575
0.07,0.87,0.9979
0.71,0.48,2.57095
0.27,0.76,1.53225
0.2,0.43,1.84435
0.25,0.83,1.3839
0.74,0.97,1.9662
0.56,0.06,3.0437
0.77,0.18,3.0866
0.61,0.23,2.7904
0.73,0.56,2.4967
0.4,0.67,1.86895
0.93,0.15,3.28615
0.37,0.3,2.33735
0.89,0.6,2.62345
0.32,0.92,1.42365
0.97,0.95,2.2543
0.96,0.12,3.36935
0.74,0.25,2.95705
0.47,0.92,1.6604
0.13,0.43,1.6755
0.8,0.68,2.4064
0.01,0.53,1.2691
0.69,0.03,3.2667
0.73,0.82,2.15785
0.97,0.94,2.2604
0.9,1.0,2.10895
0.08,0.23,1.9182
0.82,0.79,2.30495
0.42,0.46,2.1615
0.62,0.93,1.86595
0.71,0.43,2.62525
0.77,0.04,3.30425
0.97,0.53,2.7923
0.73,0.22,2.966
0.59,0.14,2.95235
0.5,0.81,1.8465
0.4,1.0,1.46265
0.89,0.12,3.29
0.05,0.83,0.99545
0.19,0.67,1.5035
0.97,0.93,2.26475
0.69,0.2,2.9669
0.72,0.64,2.35455
0.94,0.47,2.8469
0.81,0.73,2.37645
0.5,0.86,1.7583
0.15,0.5,1.62485
0.45,0.28,2.53155
0.48,0.93,1.66085
0.15,0.25,2.02035
0.32,0.14,2.5454
0.62,0.38,2.5968
0.48,0.51,2.201
0.61,0.92,1.86455
0.34,0.82,1.5824
0.39,0.43,2.18295
0.89,0.11,3.3207
0.67,0.3,2.7722
0.15,0.26,1.9952
0.72,0.21,2.9721
0.57,0.41,2.49145
0.01,0.09,2.0334
0.55,0.84,1.8766
0.85,0.24,3.0825
0.53,0.07,2.99935
0.81,0.85,2.2133
0.65,0.79,2.08045
0.08,0.01,2.36435
0.62,0.24,2.8163
0.28,0.85,1.43265
0.12,0.31,1.85315
0.04,0.88,0.9178
0.25,0.42,1.94905
0.29,0.34,2.1434
0.12,0.75,1.23095
0.16,0.7,1.36715
0.9,0.47,2.7952
0.65,0.01,3.2421
0.44,0.94,1.5955
0.38,0.39,2.2317
0.95,0.84,2.38285
0.31,0.48,1.9918
0.45,0.92,1.6448
0.08,0.35,1.70455
0.68,0.89,2.0014
0.99,1.0,2.2055
0.61,0.37,2.58445
0.02,0.96,0.7908
0.94,0.0,3.54675
0.71,0.78,2.17565
0.09,0.02,2.35085
0.46,0.16,2.7366
0.3,0.07,2.63985
0.94,0.83,2.3773
0.25,0.01,2.6908
0.78,0.53,2.58315
0.24,0.45,1.87795
0.1,0.82,1.1039
0.27,0.33,2.1079
0.89,0.17,3.2286
0.5,0.19,2.7149
0.12,0.89,1.0784
0.57,0.07,3.0438
0.85,0.58,2.59585
0.03,0.67,1.14075
0.79,0.05,3.3213
0.18,0.3,2.00835
0.66,0.43,2.5783
0.41,0.6,1.9786
0.52,0.47,2.3213
0.53,0.05,3.0254
0.51,0.93,1.71195
0.8,0.32,2.89595
0.91,0.77,2.40625
0.57,0.84,1.9216
0.65,0.7,2.18235
0.6,0.23,2.80085
0.11,0.82,1.1382
0.46,1.0,1.54875
0.71,0.57,2.42545
0.28,0.08,2.60525
0.2,0.19,2.2279
0.82,0.03,3.38945
0.9,0.83,2.3434
0.68,0.02,3.2742
0.1,0.34,1.7726
0.97,0.02,3.5345
0.27,0.01,2.7245
0.84,0.82,2.2804
0.99,0.61,2.6908
0.18,0.48,1.7145
0.18,0.73,1.39375
0.79,0.15,3.1591
0.77,0.93,2.05875
0.58,0.8,1.9511
0.18,0.95,1.12835
0.21,0.71,1.45495
0.98,0.62,2.68805
0.23,0.97,1.19595
0.06,0.16,1.9877
0.53,0.36,2.4937
0.97,0.86,2.3765
0.26,0.42,1.9909
0.81,0.43,2.7424
0.2,0.12,2.3686
0.1,0.57,1.4345
0.15,0.35,1.85335
0.89,0.02,3.46685
0.51,0.7,2.00125
0.57,0.27,2.70175
0.11,0.19,2.0449
0.69,0.41,2.64495
0.68,0.83,2.0618
0.97,0.34,3.0527
0.36,0.11,2.70165
0.53,0.1,2.9345
0.19,0.47,1.74895
0.81,0.31,2.9358
0.66,0.86,1.9987
0.93,0.77,2.4533
0.82,0.05,3.3637
0.88,0.94,2.159
0.33,0.39,2.1525
0.1,0.68,1.29415
0.84,0.95,2.08295
0.29,0.54,1.81205
0.96,0.41,2.94605
0.89,0.67,2.53465
0.91,0.12,3.3262
0.31,0.86,1.4759
0.11,0.2,2.02555
0.06,0.77,1.0944
0.89,0.59,2.63385
0.01,0.38,1.4903
0.18,0.09,2.37835
0.2,0.72,1.4381
0.56,0.89,1.8472
0.19,0.48,1.7351
0.33,0.63,1.7844
0.86,0.41,2.84045
0.51,0.19,2.7511
0.35,0.08,2.7278
0.51,0.69,2.01485
0.68,0.91,1.962
0.78,0.73,2.30805
0.65,0.68,2.2126
0.4,0.44,2.1753
0.02,0.27,1.6855
0.3,0.89,1.418
0.87,0.99,2.0904
0.95,0.8,2.4112
0.58,0.76,2.0272
0.71,0.86,2.0682
0.44,0.13,2.7453
0.48,0.0,3.05985
0.57,0.63,2.17625
0.59,0.25,2.7508
0.95,0.45,2.86475
0.12,0.04,2.3704
0.21,0.3,2.05555
0.57,0.31,2.6312
0.26,0.94,1.28395
0.55,0.82,1.90445
0.73,0.83,2.1374
0.94,0.28,3.10425
0.74,0.14,3.11625
0.03,0.55,1.29645
0.28,0.81,1.48015
0.22,0.76,1.4364
0.26,0.45,1.92505
0.15,0.41,1.74615
0.85,0.02,3.44495
0.18,0.19,2.1943
0.11,0.09,2.24415
0.34,0.74,1.6816
0.99,0.67,2.63295
0.74,0.85,2.1167
0.91,0.29,3.06815
0.12,0.41,1.69515
0.17,0.03,2.50475
0.06,0.47,1.47435
0.88,0.68,2.50295
0.68,0.19,2.95785
0.44,0.59,2.02585
0.64,0.56,2.3668
0.17,0.24,2.08155
0.56,0.65,2.14065
0.63,0.48,2.46
0.08,0.2,1.9645
0.24,0.82,1.3964
0.99,0.37,3.0351
0.89,0.42,2.85525
0.38,0.47,2.1114
0.68,0.22,2.92075
0.2,0.25,2.1319
0.27,0.27,2.21845
0.1,0.01,2.3874
0.41,0.8,1.72605
0.38,0.04,2.83495
0.69,0.98,1.8848
0.59,0.96,1.79115
0.18,0.21,2.1461
0.11,0.97,0.9634
0.03,0.82,0.9628
0.52,0.89,1.76765
0.75,0.97,1.9769
0.17,0.87,1.20725
0.87,0.48,2.75015
0.03,0.44,1.4434
0.33,0.44,2.0767
