x,y,score
0.46,0.76,2.06695
0.54,0.86,2.06985
0.16,0.19,2.1331
0.61,0.18,2.52455
0.82,0.41,2.30885
0.72,0.66,2.2158
0.63,0.37,2.31
0.41,0.28,2.32205
0.16,0.44,1.67145
0.8,0.33,2.3456
0.84,0.23,2.4424
0.25,0.48,1.9241
0.62,0.7,2.16975
0.78,0.28,2.3871
0.03,0.68,1.1105
0.57,0.0,3.0
0.69,0.37,2.312
0.46,0.05,2.8573
0.65,0.03,2.9127
0.56,0.8,2.1023
0.28,0.44,2.00315
0.65,0.0,3.0
0.57,0.1,2.7091
0.44,0.29,2.3248
0.63,0.49,2.24935
0.26,0.03,2.90955
0.92,0.27,2.3998
0.69,0.35,2.3265
0.79,0.78,2.1949
0.3,0.26,2.25785
0.98,0.54,2.29815
0.25,0.62,1.85565
0.55,0.43,2.2625
0.19,0.06,2.8039
0.14,0.65,1.5348
0.09,0.65,1.3428
0.92,1.0,2.12565
0.51,0.43,2.24385
0.36,0.66,2.02315
0.33,0.92,1.9021
0.01,0.93,0.9951
0.25,0.81,1.7896
0.9,0.46,2.3057
0.3,0.12,2.6397
0.87,0.59,2.276
0.8,0.75,2.20385
0.93,0.2,2.49355
0.34,0.41,2.1272
0.05,0.48,1.2262
0.9,0.12,2.66275
0.59,0.65,2.17075
0.72,0.62,2.225
0.29,0.87,1.8496
0.02,0.72,1.0759
0.8,0.35,2.34295
0.09,0.22,1.6219
0.05,0.61,1.19555
0.49,0.38,2.26795
0.62,0.21,2.46015
0.79,0.55,2.27185
0.64,0.52,2.24195
0.17,0.15,2.38005
0.45,0.81,2.0462
0.48,0.8,2.07705
0.51,0.39,2.27475
0.62,0.39,2.2949
0.58,0.64,2.18105
0.8,0.62,2.2546
0.6,0.07,2.7902
0.35,0.87,1.93615
0.85,0.83,2.1837
0.96,0.89,2.20825
0.68,0.4,2.29655
0.13,0.15,2.2017
0.14,0.31,1.7195
0.15,0.88,1.5037
0.72,0.97,2.07125
0.56,0.33,2.3249
0.52,0.26,2.3896
0.99,0.97,2.17325
0.9,0.63,2.2751
0.31,0.47,2.03565
0.98,0.8,2.2507
0.31,0.34,2.17895
0.22,0.4,1.8793
0.87,0.37,2.3336
0.76,0.43,2.2948
0.79,0.76,2.19405
0.83,0.38,2.32565
0.74,0.12,2.65375
0.68,0.51,2.2604
0.56,0.43,2.2666
0.63,0.01,2.96895
0.45,0.24,2.40285
0.52,0.13,2.6146
0.64,0.47,2.26675
0.51,0.91,2.0401
0.78,0.92,2.11325
0.92,0.54,2.2966
0.75,0.83,2.1519
0.72,0.5,2.2665
0.53,0.74,2.12015
0.82,0.88,2.15325
0.63,0.35,2.3108
0.8,0.56,2.27165
0.99,0.8,2.25375
0.69,0.67,2.20315
0.44,0.43,2.2138
0.71,0.62,2.231
0.63,0.08,2.7662
0.48,0.4,2.2574
0.93,0.51,2.30395
0.65,0.12,2.6604
0.78,0.34,2.34235
0.17,0.41,1.72805
0.59,0.93,2.05785
0.98,0.65,2.2906
0.89,0.49,2.29835
0.09,0.48,1.3792
0.98,0.94,2.18345
0.6,0.72,2.15215
0.74,0.48,2.28195
0.48,0.19,2.49935
0.15,0.11,2.5008
0.86,0.55,2.2861
0.97,0.56,2.29905
1.0,0.64,2.3013
0.43,0.66,2.0979
0.85,0.2,2.49235
0.02,0.64,1.0925
0.26,0.02,2.9374
0.12,0.68,1.44595
0.66,0.15,2.58455
0.75,0.58,2.24305
0.04,0.92,1.11175
0.15,0.58,1.57075
0.4,0.84,2.00425
0.94,0.97,2.1516
0.64,0.08,2.7675
0.08,0.63,1.3161
0.81,0.9,2.13675
0.21,0.79,1.7082
0.21,0.13,2.5252
0.82,0.12,2.6646
0.77,0.84,2.15685
0.76,0.89,2.1254
0.06,0.34,1.32665
0.92,0.45,2.3092
0.41,0.87,1.9995
0.11,0.48,1.45325
0.67,0.53,2.24995
0.36,0.88,1.9454
0.47,0.6,2.1512
0.34,0.03,2.9136
0.79,0.95,2.099
0.24,0.56,1.8605
0.17,0.32,1.79585
0.59,0.26,2.39905
0.59,0.68,2.1657
1.0,0.57,2.3125
0.63,0.84,2.1126
0.72,0.58,2.23765
0.84,0.68,2.2426
0.07,0.87,1.23435
0.71,0.48,2.2731
0.27,0.76,1.8387
0.2,0.43,1.83715
0.25,0.83,1.77525
0.74,0.97,2.07825
0.56,0.06,2.82755
0.77,0.18,2.51205
0.61,0.23,2.4408
0.73,0.56,2.2513
0.4,0.67,2.06105
0.93,0.15,2.58205
0.37,0.3,2.2694
0.89,0.6,2.27475
0.32,0.92,1.8968
0.97,0.95,2.17495
0.96,0.12,2.65225
0.74,0.25,2.4133
0.47,0.92,2.0192
0.13,0.43,1.55045
0.8,0.68,2.2329
0.01,0.53,1.0741
0.69,0.03,2.91615
0.73,0.82,2.1517
0.97,0.94,2.1844
0.9,1.0,2.1172
0.08,0.23,1.59355
0.82,0.79,2.1927
0.42,0.46,2.18685
0.62,0.93,2.0651
0.71,0.43,2.2871
0.77,0.04,2.8804
0.97,0.53,2.30375
0.73,0.22,2.44735
0.59,0.14,2.58975
0.5,0.81,2.07195
0.4,1.0,1.95345
0.89,0.12,2.665
0.05,0.83,1.1628
0.19,0.67,1.6823
0.97,0.93,2.1878
0.69,0.2,2.49275
0.72,0.64,2.222
0.94,0.47,2.3105
0.81,0.73,2.2226
0.5,0.86,2.05475
0.15,0.5,1.5998
0.45,0.28,2.3451
0.48,0.93,2.02125
0.15,0.25,1.8245
0.32,0.14,2.59325
0.62,0.38,2.2964
0.48,0.51,2.1925
0.61,0.92,2.06805
0.34,0.82,1.94345
0.39,0.43,2.18315
0.89,0.11,2.67175
0.67,0.3,2.3595
0.15,0.26,1.8328
0.72,0.21,2.46585
0.57,0.41,2.2789
0.01,0.09,2.3569
0.55,0.84,2.07645
0.85,0.24,2.4386
0.53,0.07,2.79745
0.81,0.85,2.1627
0.65,0.79,2.13125
0.08,0.01,2.97375
0.62,0.24,2.4312
0.28,0.85,1.84365
0.12,0.31,1.61645
0.04,0.88,1.1128
0.25,0.42,1.96305
0.29,0.34,2.13325
0.12,0.75,1.43145
0.16,0.7,1.5655
0.9,0.47,2.3044
0.65,0.01,2.9688
0.44,0.94,1.9981
0.38,0.39,2.1964
0.95,0.84,2.22305
0.31,0.48,2.05565
0.45,0.92,2.0104
0.08,0.35,1.39005
0.68,0.89,2.1015
0.99,1.0,2.15135
0.61,0.37,2.3096
0.02,0.96,1.0305
0.94,0.0,3.0
0.71,0.78,2.1609
0.09,0.02,2.94015
0.46,0.16,2.5533
0.3,0.07,2.7933
0.94,0.83,2.226
0.25,0.01,2.97375
0.78,0.53,2.27315
0.24,0.45,1.91475
0.1,0.82,1.3383
0.27,0.33,2.0986
0.89,0.17,2.5373
0.5,0.19,2.47505
0.12,0.89,1.40295
0.57,0.07,2.79095
0.85,0.58,2.27535
0.03,0.67,1.11265
0.79,0.05,2.8507
0.18,0.3,1.8729
