x,y,score
0.46,0.76,2.245
0.54,0.86,2.75
0.16,0.19,1.68
0.61,0.18,3.105
0.82,0.41,3.575
0.72,0.66,3.31
0.63,0.37,3.115
0.41,0.28,2.54
0.16,0.44,1.59
0.8,0.33,3.67
0.84,0.23,3.6
0.25,0.48,1.98
0.62,0.7,2.945
0.78,0.28,3.57
0.03,0.68,1.06
0.57,0.0,3.0
0.69,0.37,3.255
0.46,0.05,2.87
0.65,0.03,3.005
0.56,0.8,2.89
0.28,0.44,2.215
0.65,0.0,3.0
0.57,0.1,3.055
0.44,0.29,2.525
0.63,0.49,3.42
0.26,0.03,2.35
0.92,0.27,3.685
0.69,0.35,3.24
0.79,0.78,3.47
0.3,0.26,2.555
0.98,0.54,4.085
0.25,0.62,1.95
0.55,0.43,2.755
0.19,0.06,2.18
0.14,0.65,1.545
0.09,0.65,1.38
0.92,1.0,3.68
0.51,0.43,2.83
0.36,0.66,2.23
0.33,0.92,1.87
0.01,0.93,1.075
0.25,0.81,1.965
0.9,0.46,3.86
0.3,0.12,2.245
0.87,0.59,3.85
0.8,0.75,3.58
0.93,0.2,3.84
0.34,0.41,2.09
0.05,0.48,1.375
0.9,0.12,3.575
0.59,0.65,2.79
0.72,0.62,3.47
0.29,0.87,1.995
0.02,0.72,1.145
0.8,0.35,3.695
0.09,0.22,1.395
0.05,0.61,1.225
0.49,0.38,2.855
0.62,0.21,3.26
0.79,0.55,3.54
0.64,0.52,3.065
0.17,0.15,1.81
0.45,0.81,2.56
0.48,0.8,2.66
0.51,0.39,2.83
0.62,0.39,2.935
0.58,0.64,3.005
0.8,0.62,3.61
0.6,0.07,3.03
0.35,0.87,2.185
0.85,0.83,3.65
0.96,0.89,3.87
0.68,0.4,3.345
0.13,0.15,1.695
0.14,0.31,1.495
0.15,0.88,1.55
0.72,0.97,3.06
0.56,0.33,2.985
0.52,0.26,2.965
0.99,0.97,4.02
0.9,0.63,3.73
0.31,0.47,2.115
0.98,0.8,3.99
0.31,0.34,2.255
0.22,0.4,1.84
0.87,0.37,3.675
0.76,0.43,3.325
0.79,0.76,3.53
0.83,0.38,3.515
0.74,0.12,3.225
0.68,0.51,3.39
0.56,0.43,2.98
0.63,0.01,3.015
0.45,0.24,2.535
0.52,0.13,2.79
0.64,0.47,3.18
0.51,0.91,2.545
0.78,0.92,3.32
0.92,0.54,3.985
0.75,0.83,3.67
0.72,0.5,3.43
0.53,0.74,2.85
0.82,0.88,3.52
0.63,0.35,3.405
0.8,0.56,3.455
0.99,0.8,3.96
0.69,0.67,3.35
0.44,0.43,2.555
0.71,0.62,3.44
0.63,0.08,3.12
0.48,0.4,2.5
0.93,0.51,3.955
0.65,0.12,3.145
0.78,0.34,3.55
0.17,0.41,1.69
0.59,0.93,2.92
0.98,0.65,4.08
0.89,0.49,3.885
0.09,0.48,1.375
0.98,0.94,3.98
0.6,0.72,3.11
0.74,0.48,3.415
0.48,0.19,2.94
0.15,0.11,1.865
0.86,0.55,3.83
0.97,0.56,3.875
1.0,0.64,4.1
0.43,0.66,2.685
0.85,0.2,3.5
0.02,0.64,1.225
0.26,0.02,2.635
0.12,0.68,1.36
0.66,0.15,3.435
0.75,0.58,3.43
0.04,0.92,1.135
0.15,0.58,1.72
0.4,0.84,2.205
0.94,0.97,3.91
0.64,0.08,3.19
0.08,0.63,1.245
0.81,0.9,3.56
0.21,0.79,1.775
0.21,0.13,2.025
0.82,0.12,3.645
0.77,0.84,3.45
0.76,0.89,3.35
0.06,0.34,1.525
0.92,0.45,3.705
0.41,0.87,2.245
0.11,0.48,1.35
0.67,0.53,3.32
0.36,0.88,2.395
0.47,0.6,2.505
0.34,0.03,2.635
0.79,0.95,3.36
0.24,0.56,1.855
0.17,0.32,1.965
0.59,0.26,3.165
0.59,0.68,2.86
1.0,0.57,4.13
0.63,0.84,2.95
0.72,0.58,3.29
0.84,0.68,3.59
0.07,0.87,1.395
0.71,0.48,3.195
0.27,0.76,2.065
0.2,0.43,1.885
0.25,0.83,1.815
0.74,0.97,3.37
0.56,0.06,2.94
0.77,0.18,3.58
0.61,0.23,3.255
0.73,0.56,3.385
0.4,0.67,2.465
0.93,0.15,3.395
0.37,0.3,2.2
0.89,0.6,3.67
0.32,0.92,2.015
0.97,0.95,3.95
0.96,0.12,3.635
0.74,0.25,3.26
0.47,0.92,2.55
0.13,0.43,1.505
0.8,0.68,3.55
0.01,0.53,1.03
0.69,0.03,3.0
0.73,0.82,3.26
0.97,0.94,3.96
0.9,1.0,3.68
0.08,0.23,1.34
0.82,0.79,3.55
0.42,0.46,2.665
0.62,0.93,2.87
0.71,0.43,3.305
0.77,0.04,3.165
0.97,0.53,3.975
0.73,0.22,3.655
0.59,0.14,2.95
0.5,0.81,2.555
0.4,1.0,2.34
0.89,0.12,3.465
0.05,0.83,1.275
0.19,0.67,1.64
0.97,0.93,3.97
0.69,0.2,3.365
0.72,0.64,3.39
