x,y,score
0.46,0.76,1.61605
0.54,0.86,1.62045
0.16,0.19,2.4241
0.61,0.18,2.4892
0.82,0.41,2.1024
0.72,0.66,1.82275
0.63,0.37,2.11785
0.41,0.28,2.23225
0.16,0.44,1.6967
0.8,0.33,2.2077
0.84,0.23,2.4056
0.25,0.48,1.72585
0.62,0.7,1.747
0.78,0.28,2.31285
0.03,0.68,1.10775
0.57,0.0,3.0
0.69,0.37,2.1293
0.46,0.05,2.85665
0.65,0.03,2.9103
0.56,0.8,1.65495
0.28,0.44,1.80895
0.65,0.0,3.0
0.57,0.1,2.7122
0.44,0.29,2.2079
0.63,0.49,1.9435
0.26,0.03,2.9107
0.92,0.27,2.3523
0.69,0.35,2.1559
0.79,0.78,1.7857
0.3,0.26,2.2483
0.98,0.54,2.00915
0.25,0.62,1.5529
0.55,0.43,1.9854
0.19,0.06,2.82
0.14,0.65,1.3857
0.09,0.65,1.29405
0.92,1.0,1.75455
0.51,0.43,1.96485
0.36,0.66,1.61245
0.33,0.92,1.4272
0.01,0.93,1.01335
0.25,0.81,1.4009
0.9,0.46,2.06095
0.3,0.12,2.6403
0.87,0.59,1.92835
0.8,0.75,1.80325
0.93,0.2,2.4967
0.34,0.41,1.9196
0.05,0.48,1.34745
0.9,0.12,2.66795
0.59,0.65,1.7658
0.72,0.62,1.85195
0.29,0.87,1.4209
0.02,0.72,1.0689
0.8,0.35,2.17615
0.09,0.22,2.26395
0.05,0.61,1.2092
0.49,0.38,2.0513
0.62,0.21,2.4248
0.79,0.55,1.93425
0.64,0.52,1.912
0.17,0.15,2.53955
0.45,0.81,1.5813
0.48,0.8,1.60155
0.51,0.39,2.0306
0.62,0.39,2.07915
0.58,0.64,1.76625
0.8,0.62,1.8914
0.6,0.07,2.795
0.35,0.87,1.47175
0.85,0.83,1.78805
0.96,0.89,1.8118
0.68,0.4,2.07935
0.13,0.15,2.5267
0.14,0.31,1.99535
0.15,0.88,1.2612
0.72,0.97,1.67185
0.56,0.33,2.14605
0.52,0.26,2.31435
0.99,0.97,1.79405
0.9,0.63,1.9195
0.31,0.47,1.80825
0.98,0.8,1.85115
0.31,0.34,2.04365
0.22,0.4,1.84635
0.87,0.37,2.18555
0.76,0.43,2.06235
0.79,0.76,1.79365
0.83,0.38,2.1533
0.74,0.12,2.65985
0.68,0.51,1.9477
0.56,0.43,1.9999
0.63,0.01,2.9713
0.45,0.24,2.3295
0.52,0.13,2.62535
0.64,0.47,1.96985
0.51,0.91,1.57065
0.78,0.92,1.71925
0.92,0.54,1.98275
0.75,0.83,1.738
0.72,0.5,1.9624
0.53,0.74,1.67715
0.82,0.88,1.752
0.63,0.35,2.1335
0.8,0.56,1.93005
0.99,0.8,1.8546
0.69,0.67,1.8126
0.44,0.43,1.94135
0.71,0.62,1.84775
0.63,0.08,2.76055
0.48,0.4,2.00885
0.93,0.51,2.01855
0.65,0.12,2.6491
0.78,0.34,2.2018
0.17,0.41,1.7755
0.59,0.93,1.61665
0.98,0.65,1.92685
0.89,0.49,2.02745
0.09,0.48,1.4801
0.98,0.94,1.80095
0.6,0.72,1.72695
0.74,0.48,1.99335
0.48,0.19,2.44535
0.15,0.11,2.64695
0.86,0.55,1.9707
0.97,0.56,1.99885
1.0,0.64,1.9478
0.43,0.66,1.67435
0.85,0.2,2.47675
0.02,0.64,1.1002
0.26,0.02,2.9372
0.12,0.68,1.3182
0.66,0.15,2.57875
0.75,0.58,1.89865
0.04,0.92,1.076
