x,y,score
0.46,0.76,2.1399
0.54,0.86,2.1966
0.16,0.19,2.05395
0.61,0.18,2.55355
0.82,0.41,2.3676
0.72,0.66,2.29295
0.63,0.37,2.3683
0.41,0.28,2.3227
0.16,0.44,1.65725
0.8,0.33,2.4165
0.84,0.23,2.515
0.25,0.48,1.90485
0.62,0.7,2.2648
0.78,0.28,2.4543
0.03,0.68,1.11775
0.57,0.0,3.0
0.69,0.37,2.37585
0.46,0.05,2.8482
0.65,0.03,2.915
0.56,0.8,2.20525
0.28,0.44,1.9709
0.65,0.0,3.0
0.57,0.1,2.72135
0.44,0.29,2.3397
0.63,0.49,2.3067
0.26,0.03,2.9037
0.92,0.27,2.4813
0.69,0.35,2.38575
0.79,0.78,2.301
0.3,0.26,2.2321
0.98,0.54,2.35085
0.25,0.62,1.8428
0.55,0.43,2.30255
0.19,0.06,2.7226
0.14,0.65,1.5319
0.09,0.65,1.36395
0.92,1.0,2.3083
0.51,0.43,2.27235
0.36,0.66,2.0475
0.33,0.92,1.94195
0.01,0.93,1.03175
0.25,0.81,1.7999
0.9,0.46,2.36655
0.3,0.12,2.59745
0.87,0.59,2.33
0.8,0.75,2.31415
0.93,0.2,2.566
0.34,0.41,2.1126
0.05,0.48,1.21765
0.9,0.12,2.6979
0.59,0.65,2.2565
0.72,0.62,2.30585
0.29,0.87,1.87645
0.02,0.72,1.078
0.8,0.35,2.398
0.09,0.22,1.564
0.05,0.61,1.1944
0.49,0.38,2.2957
0.62,0.21,2.514
0.79,0.55,2.3234
0.64,0.52,2.30425
0.17,0.15,2.2367
0.45,0.81,2.1271
0.48,0.8,2.1539
0.51,0.39,2.2991
0.62,0.39,2.3429
0.58,0.64,2.2535
0.8,0.62,2.31485
0.6,0.07,2.79645
0.35,0.87,1.9724
0.85,0.83,2.3058
0.96,0.89,2.31535
0.68,0.4,2.35105
0.13,0.15,2.0961
0.14,0.31,1.66925
0.15,0.88,1.52905
0.72,0.97,2.2653
0.56,0.33,2.3697
0.52,0.26,2.42075
0.99,0.97,2.3197
0.9,0.63,2.3339
0.31,0.47,2.04275
0.98,0.8,2.3285
0.31,0.34,2.1463
0.22,0.4,1.8543
0.87,0.37,2.403
0.76,0.43,2.3569
0.79,0.76,2.29895
0.83,0.38,2.38685
0.74,0.12,2.6917
0.68,0.51,2.30465
0.56,0.43,2.3034
0.63,0.01,2.97155
0.45,0.24,2.42025
0.52,0.13,2.64845
0.64,0.47,2.3143
0.51,0.91,2.16205
0.78,0.92,2.2939
0.92,0.54,2.3449
0.75,0.83,2.2841
0.72,0.5,2.3307
0.53,0.74,2.21515
0.82,0.88,2.29895
0.63,0.35,2.36585
0.8,0.56,2.32645
0.99,0.8,2.33125
0.69,0.67,2.284
0.44,0.43,2.2223
0.71,0.62,2.2952
0.63,0.08,2.77865
0.48,0.4,2.2724
0.93,0.51,2.3548
0.65,0.12,2.68085
0.78,0.34,2.4056
0.17,0.41,1.70735
0.59,0.93,2.21465
0.98,0.65,2.3324
0.89,0.49,2.35435
0.09,0.48,1.375
0.98,0.94,2.31985
0.6,0.72,2.2512
0.74,0.48,2.33255
0.48,0.19,2.51015
0.15,0.11,2.38375
0.86,0.55,2.3362
0.97,0.56,2.34705
1.0,0.64,2.34005
0.43,0.66,2.13245
0.85,0.2,2.5559
0.02,0.64,1.0899
0.26,0.02,2.9363
0.12,0.68,1.46755
0.66,0.15,2.6179
0.75,0.58,2.30725
0.04,0.92,1.14575
0.15,0.58,1.57
0.4,0.84,2.07145
0.94,0.97,2.31435
0.64,0.08,2.7823
0.08,0.63,1.319
0.81,0.9,2.29265
0.21,0.79,1.7179
0.21,0.13,2.42705
0.82,0.12,2.6908
0.77,0.84,2.29145
0.76,0.89,2.28465
0.06,0.34,1.3163
0.92,0.45,2.3713
0.41,0.87,2.0703
0.11,0.48,1.454
0.67,0.53,2.3126
0.36,0.88,1.99435
0.47,0.6,2.1972
0.34,0.03,2.9053
0.79,0.95,2.2881
0.24,0.56,1.85015
0.17,0.32,1.80275
0.59,0.26,2.4417
0.59,0.68,2.2479
1.0,0.57,2.35165
0.63,0.84,2.2453
0.72,0.58,2.3164
0.84,0.68,2.3192
0.07,0.87,1.26725
0.71,0.48,2.32005
0.27,0.76,1.8602
0.2,0.43,1.8053
0.25,0.83,1.7889
0.74,0.97,2.26975
0.56,0.06,2.82425
0.77,0.18,2.58655
0.61,0.23,2.4815
0.73,0.56,2.3168
0.4,0.67,2.09345
0.93,0.15,2.62625
0.37,0.3,2.2553
0.89,0.6,2.3279
0.32,0.92,1.9218
0.97,0.95,2.3193
0.96,0.12,2.6938
0.74,0.25,2.4711
0.47,0.92,2.13075
0.13,0.43,1.5564
0.8,0.68,2.3148
0.01,0.53,1.06305
0.69,0.03,2.9109
0.73,0.82,2.2895
0.97,0.94,2.31825
0.9,1.0,2.3064
0.08,0.23,1.5028
0.82,0.79,2.3109
0.42,0.46,2.18675
0.62,0.93,2.22455
0.71,0.43,2.35085
0.77,0.04,2.88715
0.97,0.53,2.3477
0.73,0.22,2.50515
0.59,0.14,2.6247
0.5,0.81,2.1775
0.4,1.0,2.03485
0.89,0.12,2.69055
0.05,0.83,1.1914
0.19,0.67,1.6704
0.97,0.93,2.31875
0.69,0.2,2.54125
0.72,0.64,2.3002
0.94,0.47,2.36155
0.81,0.73,2.31375
0.5,0.86,2.15435
0.15,0.5,1.5924
0.45,0.28,2.3634
0.48,0.93,2.1338
0.15,0.25,1.85555
0.32,0.14,2.5448
0.62,0.38,2.35595
0.48,0.51,2.23285
0.61,0.92,2.22575
0.34,0.82,1.969
0.39,0.43,2.1697
0.89,0.11,2.71185
0.67,0.3,2.42735
0.15,0.26,1.80965
0.72,0.21,2.53305
0.57,0.41,2.31495
0.01,0.09,1.99555
0.55,0.84,2.2118
0.85,0.24,2.49895
0.53,0.07,2.80425
0.81,0.85,2.2988
0.65,0.79,2.25945
0.08,0.01,2.96065
0.62,0.24,2.4749
0.28,0.85,1.86635
0.12,0.31,1.5853
0.04,0.88,1.14565
0.25,0.42,1.9463
0.29,0.34,2.1045
0.12,0.75,1.4416
0.16,0.7,1.5975
0.9,0.47,2.35685
0.65,0.01,2.9679
0.44,0.94,2.08625
0.38,0.39,2.19665
0.95,0.84,2.3229
0.31,0.48,2.03925
0.45,0.92,2.1083
0.08,0.35,1.389
0.68,0.89,2.2544
0.99,1.0,2.3139
0.61,0.37,2.3569
0.02,0.96,1.07175
0.94,0.0,3.0
0.71,0.78,2.2786
0.09,0.02,2.90375
0.46,0.16,2.56735
0.3,0.07,2.7612
0.94,0.83,2.32235
0.25,0.01,2.97105
0.78,0.53,2.3326
0.24,0.45,1.8922
0.1,0.82,1.361
0.27,0.33,2.0586
0.89,0.17,2.60705
0.5,0.19,2.51075
0.12,0.89,1.43245
0.57,0.07,2.79455
0.85,0.58,2.3326
0.03,0.67,1.11815
0.79,0.05,2.8584
0.18,0.3,1.86245
0.66,0.43,2.3333
0.41,0.6,2.12735
0.52,0.47,2.26595
0.53,0.05,2.8512
0.51,0.93,2.1595
0.8,0.32,2.41575
0.91,0.77,2.32255
0.57,0.84,2.21295
0.65,0.7,2.2708
0.6,0.23,2.4922
0.11,0.82,1.4106
0.46,1.0,2.11155
0.71,0.57,2.30705
0.28,0.08,2.7066
0.2,0.19,2.1836
0.82,0.03,2.913
0.9,0.83,2.31935
0.68,0.02,2.9422
0.1,0.34,1.50215
0.97,0.02,2.94105
0.27,0.01,2.9715
0.84,0.82,2.3101
0.99,0.61,2.34015
0.18,0.48,1.72455
0.18,0.73,1.6451
0.79,0.15,2.6349
0.77,0.93,2.2845
0.58,0.8,2.2275
0.18,0.95,1.60925
0.21,0.71,1.7099
0.98,0.62,2.3449
0.23,0.97,1.74485
0.06,0.16,1.586
0.53,0.36,2.333
0.97,0.86,2.3267
0.26,0.42,1.96305
0.81,0.43,2.3572
0.2,0.12,2.47365
0.1,0.57,1.4076
0.15,0.35,1.6899
0.89,0.02,2.94025
0.51,0.7,2.1984
0.57,0.27,2.43025
0.11,0.19,1.7628
0.69,0.41,2.3518
0.68,0.83,2.25945
0.97,0.34,2.43345
0.36,0.11,2.6705
0.53,0.1,2.7142
0.19,0.47,1.74435
0.81,0.31,2.42515
0.66,0.86,2.25335
0.93,0.77,2.32055
0.82,0.05,2.86475
0.88,0.94,2.30625
0.33,0.39,2.12415
0.1,0.68,1.3997
0.84,0.95,2.2936
0.29,0.54,1.95575
0.96,0.41,2.38595
0.89,0.67,2.32955
0.91,0.12,2.6982
0.31,0.86,1.9244
0.11,0.2,1.73895
0.06,0.77,1.2437
0.89,0.59,2.33025
0.01,0.38,1.08885
0.18,0.09,2.5795
0.2,0.72,1.69115
0.56,0.89,2.19925
0.19,0.48,1.7355
0.33,0.63,2.00495
0.86,0.41,2.37285
0.51,0.19,2.5332
0.35,0.08,2.7357
0.51,0.69,2.20545
0.68,0.91,2.24905
0.78,0.73,2.3008
0.65,0.68,2.27075
0.4,0.44,2.1809
0.02,0.27,1.20365
0.3,0.89,1.89665
0.87,0.99,2.2964
0.95,0.8,2.32725
0.58,0.76,2.2355
0.71,0.86,2.2708
0.44,0.13,2.6215
0.48,0.0,3.0
0.57,0.63,2.24375
0.59,0.25,2.45175
0.95,0.45,2.3642
0.12,0.04,2.73375
0.21,0.3,1.9376
0.57,0.31,2.3846
0.26,0.94,1.816
0.55,0.82,2.21415
0.73,0.83,2.28635
0.94,0.28,2.46935
0.74,0.14,2.6373
0.03,0.55,1.13285
0.28,0.81,1.8717
0.22,0.76,1.74765
0.26,0.45,1.94455
0.15,0.41,1.64305
0.85,0.02,2.94135
0.18,0.19,2.1052
0.11,0.09,2.3506
0.34,0.74,1.9882
0.99,0.67,2.3382
0.74,0.85,2.28215
0.91,0.29,2.44495
0.12,0.41,1.5313
0.17,0.03,2.89645
0.06,0.47,1.26645
0.88,0.68,2.3179
0.68,0.19,2.552
0.44,0.59,2.168
0.64,0.56,2.28285
0.17,0.24,1.93345
0.56,0.65,2.2365
0.63,0.48,2.3039
0.08,0.2,1.59725
0.24,0.82,1.78655
0.99,0.37,2.4045
0.89,0.42,2.37975
0.38,0.47,2.1458
0.68,0.22,2.5023
0.2,0.25,2.02065
0.27,0.27,2.14665
0.1,0.01,2.95425
0.41,0.8,2.0897
0.38,0.04,2.87635
0.69,0.98,2.25735
0.59,0.96,2.21865
0.18,0.21,2.06445
0.11,0.97,1.4005
0.03,0.82,1.11555
0.52,0.89,2.1728
0.75,0.97,2.27055
0.17,0.87,1.5842
0.87,0.48,2.35395
0.03,0.44,1.15695
0.33,0.44,2.07085
0.76,0.32,2.41165
0.73,0.5,2.31685
0.26,0.28,2.13095
0.36,0.29,2.2635
0.28,0.11,2.59195
0.0,0.23,1.1772
0.87,0.0,3.0
0.26,0.61,1.8773
1.0,0.5,2.37035
0.35,0.61,2.0456
0.02,0.33,1.15435
0.52,0.76,2.19915
0.06,0.97,1.21925
0.98,0.06,2.8324
0.13,0.17,1.96445
0.24,0.64,1.82315
0.35,0.14,2.5602
0.11,0.94,1.4028
0.76,0.77,2.293
0.67,0.45,2.3256
0.09,0.51,1.37785
0.99,0.31,2.4483
0.07,0.89,1.2613
0.65,0.43,2.3286
0.85,0.19,2.56975
0.91,0.58,2.3438
0.48,0.56,2.1951
0.66,0.06,2.8261
0.18,0.38,1.76955
0.56,0.64,2.225
0.72,0.43,2.35485
0.64,0.11,2.71125
0.38,0.45,2.1459
0.42,0.25,2.3813
1.0,0.63,2.348
0.35,0.26,2.3026
0.03,0.18,1.3686
0.27,0.91,1.83325
0.8,0.26,2.47525
0.15,0.31,1.72205
0.89,0.44,2.36765
0.61,0.87,2.2352
0.31,0.61,1.9861
0.72,0.45,2.3427
0.0,0.6,1.009
0.98,0.82,2.3294
0.25,0.27,2.1162
0.4,0.57,2.1217
0.15,0.38,1.6661
0.6,0.2,2.5346
0.77,0.12,2.69085
0.52,0.15,2.60265
0.65,0.41,2.3358
0.35,0.6,2.052
0.93,0.29,2.4621
0.61,0.43,2.32075
0.45,0.63,2.16665
0.08,0.68,1.3134
0.89,0.37,2.39835
0.59,0.08,2.77715
0.1,0.38,1.46755
0.83,0.8,2.30805
0.02,0.69,1.0871
0.68,0.41,2.35875
0.22,0.48,1.8094
0.92,0.65,2.336
0.77,1.0,2.2825
0.68,0.81,2.2677
0.11,0.26,1.64955
0.21,0.21,2.13655
0.84,0.37,2.3977
0.37,0.63,2.074
0.61,0.85,2.23625
0.23,0.77,1.76575
0.65,0.66,2.27425
0.71,0.07,2.8056
0.33,0.68,1.98885
0.74,0.0,3.0
0.01,0.48,1.07205
0.71,0.35,2.3877
0.96,0.32,2.4394
0.51,0.1,2.71795
0.75,0.73,2.29635
0.48,0.85,2.14675
0.98,0.42,2.3902
0.19,0.88,1.6389
0.11,0.77,1.4144
0.9,0.32,2.4293
0.87,1.0,2.2965
0.56,0.7,2.23
0.11,0.27,1.6232
0.02,0.88,1.0754
0.77,0.66,2.30965
0.8,0.8,2.29795
0.98,0.11,2.71885
0.75,0.33,2.4148
0.71,0.74,2.2831
0.3,0.3,2.1672
