x,y,score
0.46,0.76,1.64
0.54,0.86,1.585
0.16,0.19,2.49
0.61,0.18,2.665
0.82,0.41,2.52
0.72,0.66,2.005
0.63,0.37,2.265
0.41,0.28,2.345
0.16,0.44,1.865
0.8,0.33,2.49
0.84,0.23,2.615
0.25,0.48,1.935
0.62,0.7,2.09
0.78,0.28,2.56
0.03,0.68,1.05
0.57,0.0,3.02
0.69,0.37,2.425
0.46,0.05,2.9
0.65,0.03,2.94
0.56,0.8,1.735
0.28,0.44,2.075
0.65,0.0,3.05
0.57,0.1,2.8
0.44,0.29,2.275
0.63,0.49,2.26
0.26,0.03,2.965
0.92,0.27,2.665
0.69,0.35,2.505
0.79,0.78,2.165
0.3,0.26,2.285
0.98,0.54,2.425
0.25,0.62,1.655
0.55,0.43,2.05
0.19,0.06,2.81
0.14,0.65,1.26
0.09,0.65,1.185
0.92,1.0,2.185
0.51,0.43,2.085
0.36,0.66,1.55
0.33,0.92,1.105
0.01,0.93,0.54
0.25,0.81,1.36
0.9,0.46,2.54
0.3,0.12,2.705
0.87,0.59,2.275
0.8,0.75,2.095
0.93,0.2,2.805
0.34,0.41,1.945
0.05,0.48,1.515
0.9,0.12,2.78
0.59,0.65,1.675
0.72,0.62,2.085
0.29,0.87,1.455
0.02,0.72,0.995
0.8,0.35,2.635
0.09,0.22,2.125
0.05,0.61,1.335
0.49,0.38,2.155
0.62,0.21,2.63
0.79,0.55,2.195
0.64,0.52,2.04
0.17,0.15,2.33
0.45,0.81,1.675
0.48,0.8,1.45
0.51,0.39,2.21
0.62,0.39,2.175
0.58,0.64,2.005
0.8,0.62,2.3
0.6,0.07,2.985
0.35,0.87,1.25
0.85,0.83,2.03
0.96,0.89,2.21
0.68,0.4,2.46
0.13,0.15,2.6
0.14,0.31,2.11
0.15,0.88,1.04
0.72,0.97,1.75
0.56,0.33,2.36
0.52,0.26,2.405
0.99,0.97,2.235
0.9,0.63,2.58
0.31,0.47,1.835
0.98,0.8,2.285
0.31,0.34,2.05
0.22,0.4,1.815
0.87,0.37,2.545
0.76,0.43,2.345
0.79,0.76,2.035
0.83,0.38,2.645
0.74,0.12,2.815
0.68,0.51,2.245
0.56,0.43,2.075
0.63,0.01,2.96
0.45,0.24,2.33
0.52,0.13,2.64
0.64,0.47,1.99
0.51,0.91,1.495
0.78,0.92,1.92
0.92,0.54,2.42
0.75,0.83,1.98
0.72,0.5,2.2
0.53,0.74,1.81
0.82,0.88,1.97
0.63,0.35,2.44
0.8,0.56,2.335
0.99,0.8,2.295
0.69,0.67,2.105
0.44,0.43,2.075
0.71,0.62,1.945
0.63,0.08,2.895
0.48,0.4,2.26
0.93,0.51,2.49
0.65,0.12,2.8
0.78,0.34,2.5
0.17,0.41,1.9
0.59,0.93,1.57
0.98,0.65,2.385
0.89,0.49,2.48
0.09,0.48,1.725
0.98,0.94,2.255
0.6,0.72,1.685
0.74,0.48,2.3
0.48,0.19,2.675
0.15,0.11,2.645
0.86,0.55,2.31
0.97,0.56,2.39
1.0,0.64,2.47
0.43,0.66,1.74
0.85,0.2,2.75
0.02,0.64,1.185
0.26,0.02,2.91
0.12,0.68,1.31
0.66,0.15,2.6
0.75,0.58,2.185
0.04,0.92,0.665
0.15,0.58,1.395
0.4,0.84,1.385
0.94,0.97,2.12
0.64,0.08,2.79
0.08,0.63,1.18
0.81,0.9,2.025
0.21,0.79,1.02
0.21,0.13,2.47
0.82,0.12,3.025
0.77,0.84,1.94
0.76,0.89,1.825
0.06,0.34,1.905
0.92,0.45,2.655
0.41,0.87,1.41
0.11,0.48,1.665
0.67,0.53,2.345
0.36,0.88,1.255
0.47,0.6,2.015
0.34,0.03,2.925
0.79,0.95,1.9
0.24,0.56,1.46
0.17,0.32,2.115
0.59,0.26,2.49
0.59,0.68,1.955
1.0,0.57,2.515
0.63,0.84,1.785
0.72,0.58,2.275
0.84,0.68,2.195
0.07,0.87,0.815
0.71,0.48,2.32
0.27,0.76,1.3
0.2,0.43,1.8
0.25,0.83,1.2
0.74,0.97,1.67
0.56,0.06,2.915
0.77,0.18,2.77
0.61,0.23,2.48
0.73,0.56,2.175
0.4,0.67,1.675
0.93,0.15,2.865
0.37,0.3,2.18
