x,y,score
0.46,0.76,2.016
0.54,0.86,2.12685
0.16,0.19,2.1895
0.61,0.18,2.84415
0.82,0.41,3.07935
0.72,0.66,2.7186
0.63,0.37,2.7479
0.41,0.28,2.41585
0.16,0.44,1.71885
0.8,0.33,3.07785
0.84,0.23,3.1645
0.25,0.48,1.8437
0.62,0.7,2.4582
0.78,0.28,3.0598
0.03,0.68,1.11305
0.57,0.0,3.0
0.69,0.37,2.85865
0.46,0.05,2.8593
0.65,0.03,2.99035
0.56,0.8,2.2238
0.28,0.44,1.9533
0.65,0.0,3.0
0.57,0.1,2.87875
0.44,0.29,2.4523
0.63,0.49,2.66335
0.26,0.03,2.84845
0.92,0.27,3.31485
0.69,0.35,2.88015
0.79,0.78,2.7846
0.3,0.26,2.2647
0.98,0.54,3.3642
0.25,0.62,1.6658
0.55,0.43,2.5149
0.19,0.06,2.6682
0.14,0.65,1.3835
0.09,0.65,1.2844
0.92,1.0,2.9458
0.51,0.43,2.4294
0.36,0.66,1.88945
0.33,0.92,1.5777
0.01,0.93,0.7658
0.25,0.81,1.46295
0.9,0.46,3.23805
0.3,0.12,2.56585
0.87,0.59,3.11715
0.8,0.75,2.84015
0.93,0.2,3.3147
0.34,0.41,2.13055
0.05,0.48,1.4306
0.9,0.12,3.2219
0.59,0.65,2.42725
0.72,0.62,2.73525
0.29,0.87,1.53375
0.02,0.72,1.03255
0.8,0.35,3.07465
0.09,0.22,2.0165
0.05,0.61,1.2513
0.49,0.38,2.4557
0.62,0.21,2.8556
0.79,0.55,2.9283
0.64,0.52,2.6361
0.17,0.15,2.3198
0.45,0.81,1.94075
0.48,0.8,2.05305
0.51,0.39,2.4532
0.62,0.39,2.6739
0.58,0.64,2.423
0.8,0.62,2.9199
0.6,0.07,2.933
0.35,0.87,1.6548
0.85,0.83,2.8976
0.96,0.89,3.12605
0.68,0.4,2.8051
0.13,0.15,2.2755
0.14,0.31,1.8924
0.15,0.88,1.17075
0.72,0.97,2.4751
0.56,0.33,2.61555
0.52,0.26,2.63945
0.99,0.97,3.15015
0.9,0.63,3.15155
0.31,0.47,1.99675
0.98,0.8,3.2254
0.31,0.34,2.1669
0.22,0.4,1.8958
0.87,0.37,3.1922
0.76,0.43,2.9593
0.79,0.76,2.8061
0.83,0.38,3.1147
0.74,0.12,3.0474
0.68,0.51,2.74155
0.56,0.43,2.54295
0.63,0.01,2.99595
0.45,0.24,2.55485
0.52,0.13,2.78315
0.64,0.47,2.64065
0.51,0.91,2.00805
0.78,0.92,2.67765
0.92,0.54,3.2222
0.75,0.83,2.65625
0.72,0.5,2.83915
0.53,0.74,2.2201
0.82,0.88,2.7995
0.63,0.35,2.7369
0.8,0.56,2.953
0.99,0.8,3.25475
0.69,0.67,2.6275
0.44,0.43,2.3058
0.71,0.62,2.72415
0.63,0.08,2.95105
0.48,0.4,2.3969
0.93,0.51,3.27125
0.65,0.12,2.9504
0.78,0.34,3.04515
0.17,0.41,1.7923
0.59,0.93,2.1911
0.98,0.65,3.3095
0.89,0.49,3.18195
0.09,0.48,1.5036
0.98,0.94,3.1578
0.6,0.72,2.38845
0.74,0.48,2.87655
0.48,0.19,2.6485
0.15,0.11,2.4309
0.86,0.55,3.08865
0.97,0.56,3.33625
1.0,0.64,3.3565
0.43,0.66,2.05225
0.85,0.2,3.19465
0.02,0.64,1.14215
0.26,0.02,2.89365
0.12,0.68,1.32205
0.66,0.15,2.95425
