x,y,score
0.46,0.76,1.8609
0.54,0.86,1.86785
0.16,0.19,2.24015
0.61,0.18,2.6969
0.82,0.41,2.4818
0.72,0.66,2.19435
0.63,0.37,2.42725
0.41,0.28,2.3998
0.16,0.44,1.7377
0.8,0.33,2.5647
0.84,0.23,2.69565
0.25,0.48,1.86755
0.62,0.7,2.06935
0.78,0.28,2.6075
0.03,0.68,1.1455
0.57,0.0,3.0
0.69,0.37,2.467
0.46,0.05,2.8854
0.65,0.03,2.94495
0.56,0.8,1.93965
0.28,0.44,1.99385
0.65,0.0,3.0
0.57,0.1,2.8125
0.44,0.29,2.39875
0.63,0.49,2.29335
0.26,0.03,2.90135
0.92,0.27,2.66945
0.69,0.35,2.49285
0.79,0.78,2.1283
0.3,0.26,2.3292
0.98,0.54,2.4283
0.25,0.62,1.70055
0.55,0.43,2.2928
0.19,0.06,2.7624
0.14,0.65,1.46625
0.09,0.65,1.34245
0.92,1.0,2.06165
0.51,0.43,2.2724
0.36,0.66,1.84665
0.33,0.92,1.5709
0.01,0.93,0.947
0.25,0.81,1.51875
0.9,0.46,2.46645
0.3,0.12,2.64635
0.87,0.59,2.33065
0.8,0.75,2.16695
0.93,0.2,2.7545
0.34,0.41,2.1023
0.05,0.48,1.39475
0.9,0.12,2.84745
0.59,0.65,2.09835
0.72,0.62,2.2181
0.29,0.87,1.57325
0.02,0.72,1.0768
0.8,0.35,2.5383
0.09,0.22,2.00465
0.05,0.61,1.2709
0.49,0.38,2.32005
0.62,0.21,2.65215
0.79,0.55,2.3307
0.64,0.52,2.26385
0.17,0.15,2.39935
0.45,0.81,1.8197
0.48,0.8,1.84685
0.51,0.39,2.3179
0.62,0.39,2.4041
0.58,0.64,2.09745
0.8,0.62,2.28635
0.6,0.07,2.8658
0.35,0.87,1.64885
0.85,0.83,2.1436
0.96,0.89,2.15625
0.68,0.4,2.41855
0.13,0.15,2.33985
0.14,0.31,1.92135
0.15,0.88,1.31045
0.72,0.97,1.9473
0.56,0.33,2.43185
0.52,0.26,2.5142
0.99,0.97,2.12155
0.9,0.63,2.329
0.31,0.47,1.99835
0.98,0.8,2.2329
0.31,0.34,2.2026
0.22,0.4,1.9317
0.87,0.37,2.5493
0.76,0.43,2.43785
0.79,0.76,2.14565
0.83,0.38,2.51905
0.74,0.12,2.82555
0.68,0.51,2.3043
0.56,0.43,2.29475
0.63,0.01,2.98145
0.45,0.24,2.50085
0.52,0.13,2.74835
0.64,0.47,2.3221
0.51,0.91,1.8158
0.78,0.92,2.0251
0.92,0.54,2.4061
0.75,0.83,2.0738
0.72,0.5,2.33435
0.53,0.74,1.9675
0.82,0.88,2.07665
0.63,0.35,2.45595
0.8,0.56,2.32915
0.99,0.8,2.2293
0.69,0.67,2.14975
0.44,0.43,2.20535
0.71,0.62,2.2205
0.63,0.08,2.86375
0.48,0.4,2.27585
0.93,0.51,2.43975
0.65,0.12,2.7988
0.78,0.34,2.54595
0.17,0.41,1.82415
0.59,0.93,1.8705
0.98,0.65,2.342
0.89,0.49,2.43735
0.09,0.48,1.5205
0.98,0.94,2.1274
0.6,0.72,2.0462
0.74,0.48,2.37825
0.48,0.19,2.60675
0.15,0.11,2.52985
0.86,0.55,2.36875
0.97,0.56,2.4093
1.0,0.64,2.35665
0.43,0.66,1.92925
0.85,0.2,2.74025
0.02,0.64,1.1379
0.26,0.02,2.93415
0.12,0.68,1.3921
0.66,0.15,2.7488
0.75,0.58,2.28395
0.04,0.92,1.03155
0.15,0.58,1.56635
0.4,0.84,1.72695
0.94,0.97,2.09485
0.64,0.08,2.86185
0.08,0.63,1.31695
0.81,0.9,2.0599
0.21,0.79,1.4891
0.21,0.13,2.52155
0.82,0.12,2.8393
0.77,0.84,2.07485
0.76,0.89,2.03995
0.06,0.34,1.64105
0.92,0.45,2.48975
0.41,0.87,1.725
0.11,0.48,1.56575
0.67,0.53,2.2685
0.36,0.88,1.6499
0.47,0.6,2.0248
0.34,0.03,2.9103
0.79,0.95,2.0161
0.24,0.56,1.7619
0.17,0.32,1.9758
0.59,0.26,2.5673
0.59,0.68,2.08285
1.0,0.57,2.4157
0.63,0.84,1.97075
0.72,0.58,2.25755
0.84,0.68,2.25145
0.07,0.87,1.1377
0.71,0.48,2.35275
0.27,0.76,1.60625
0.2,0.43,1.85945
0.25,0.83,1.51895
0.74,0.97,1.9756
0.56,0.06,2.8805
0.77,0.18,2.73635
0.61,0.23,2.60335
0.73,0.56,2.28585
0.4,0.67,1.88625
0.93,0.15,2.81645
0.37,0.3,2.3205
0.89,0.6,2.33185
0.32,0.92,1.5699
0.97,0.95,2.12245
0.96,0.12,2.8535
0.74,0.25,2.63515
0.47,0.92,1.7607
0.13,0.43,1.69755
0.8,0.68,2.2212
0.01,0.53,1.20155
0.69,0.03,2.9518
0.73,0.82,2.06235
0.97,0.94,2.1368
0.9,1.0,2.05825
0.08,0.23,1.9333
0.82,0.79,2.14125
0.42,0.46,2.13085
0.62,0.93,1.8876
0.71,0.43,2.4073
0.77,0.04,2.9384
0.97,0.53,2.43495
0.73,0.22,2.67115
0.59,0.14,2.74215
0.5,0.81,1.87935
0.4,1.0,1.63545
0.89,0.12,2.84585
0.05,0.83,1.1008
0.19,0.67,1.54175
0.97,0.93,2.1429
0.69,0.2,2.67735
0.72,0.64,2.20895
0.94,0.47,2.47775
0.81,0.73,2.18225
0.5,0.86,1.82615
0.15,0.5,1.6503
0.45,0.28,2.4376
0.48,0.93,1.75755
0.15,0.25,2.1197
0.32,0.14,2.61775
0.62,0.38,2.41915
0.48,0.51,2.13795
0.61,0.92,1.8976
0.34,0.82,1.6755
0.39,0.43,2.1532
0.89,0.11,2.8522
0.67,0.3,2.5476
0.15,0.26,2.0682
0.72,0.21,2.6691
0.57,0.41,2.35585
0.01,0.09,2.2555
0.55,0.84,1.89835
0.85,0.24,2.68995
0.53,0.07,2.862
0.81,0.85,2.09615
0.65,0.79,2.03175
0.08,0.01,2.9466
0.62,0.24,2.60335
0.28,0.85,1.54905
0.12,0.31,1.8743
0.04,0.88,1.05535
0.25,0.42,1.954
0.29,0.34,2.1497
0.12,0.75,1.3342
0.16,0.7,1.4484
0.9,0.47,2.4679
0.65,0.01,2.9812
0.44,0.94,1.70465
0.38,0.39,2.2003
0.95,0.84,2.17865
0.31,0.48,1.9643
0.45,0.92,1.73855
0.08,0.35,1.70775
0.68,0.89,1.97715
0.99,1.0,2.1047
0.61,0.37,2.41135
0.02,0.96,0.9611
0.94,0.0,3.0
0.71,0.78,2.08985
0.09,0.02,2.87655
0.46,0.16,2.65815
0.3,0.07,2.78195
0.94,0.83,2.18765
0.25,0.01,2.9627
0.78,0.53,2.3468
0.24,0.45,1.9018
0.1,0.82,1.2262
0.27,0.33,2.1645
0.89,0.17,2.78285
0.5,0.19,2.61485
0.12,0.89,1.2382
0.57,0.07,2.86135
0.85,0.58,2.3434
0.03,0.67,1.15795
0.79,0.05,2.9215
0.18,0.3,2.0612
0.66,0.43,2.378
0.41,0.6,1.97055
0.52,0.47,2.22215
0.53,0.05,2.89745
0.51,0.93,1.79315
0.8,0.32,2.57645
0.91,0.77,2.22075
0.57,0.84,1.91285
0.65,0.7,2.1087
0.6,0.23,2.59955
0.11,0.82,1.25545
0.46,1.0,1.6994
0.71,0.57,2.25935
0.28,0.08,2.75285
0.2,0.19,2.3533
0.82,0.03,2.95375
0.9,0.83,2.17025
0.68,0.02,2.9672
0.1,0.34,1.76935
0.97,0.02,2.97575
0.27,0.01,2.96415
0.84,0.82,2.1429
0.99,0.61,2.3801
0.18,0.48,1.7485
0.18,0.73,1.4786
0.79,0.15,2.78015
0.77,0.93,2.0103
0.58,0.8,1.9656
0.18,0.95,1.32055
0.21,0.71,1.56225
0.98,0.62,2.3645
0.23,0.97,1.40855
0.06,0.16,2.11295
0.53,0.36,2.3637
0.97,0.86,2.18665
0.26,0.42,1.973
0.81,0.43,2.4578
0.2,0.12,2.5589
0.1,0.57,1.43595
0.15,0.35,1.8871
0.89,0.02,2.9747
0.51,0.7,1.96965
0.57,0.27,2.534
0.11,0.19,2.17955
0.69,0.41,2.41475
0.68,0.83,2.01725
0.97,0.34,2.6054
0.36,0.11,2.70145
0.53,0.1,2.79895
0.19,0.47,1.77335
0.81,0.31,2.59195
0.66,0.86,1.9741
0.93,0.77,2.22755
0.82,0.05,2.93235
0.88,0.94,2.08085
0.33,0.39,2.12815
0.1,0.68,1.33335
0.84,0.95,2.0534
0.29,0.54,1.891
0.96,0.41,2.54605
0.89,0.67,2.28135
0.91,0.12,2.8397
0.31,0.86,1.60425
0.11,0.2,2.13575
0.06,0.77,1.1728
0.89,0.59,2.34695
0.01,0.38,1.37505
0.18,0.09,2.6266
0.2,0.72,1.52385
0.56,0.89,1.87415
0.19,0.48,1.75885
0.33,0.63,1.82545
0.86,0.41,2.50115
0.51,0.19,2.63705
0.35,0.08,2.78335
0.51,0.69,1.9813
0.68,0.91,1.956
0.78,0.73,2.1659
0.65,0.68,2.1337
0.4,0.44,2.13885
0.02,0.27,1.62705
0.3,0.89,1.5534
0.87,0.99,2.04245
0.95,0.8,2.2151
0.58,0.76,1.9815
0.71,0.86,2.0187
0.44,0.13,2.70615
0.48,0.0,3.0
0.57,0.63,2.0841
0.59,0.25,2.5773
0.95,0.45,2.5063
0.12,0.04,2.7936
0.21,0.3,2.0782
0.57,0.31,2.48015
0.26,0.94,1.4588
0.55,0.82,1.9162
0.73,0.83,2.0439
0.94,0.28,2.6659
0.74,0.14,2.7914
0.03,0.55,1.257
0.28,0.81,1.5961
0.22,0.76,1.5267
0.26,0.45,1.9284
0.15,0.41,1.7716
0.85,0.02,2.96965
0.18,0.19,2.32565
0.11,0.09,2.54425
0.34,0.74,1.74
0.99,0.67,2.32865
0.74,0.85,2.05375
0.91,0.29,2.64075
0.12,0.41,1.6878
0.17,0.03,2.8577
0.06,0.47,1.4508
0.88,0.68,2.26865
0.68,0.19,2.69855
0.44,0.59,2.01485
0.64,0.56,2.21335
0.17,0.24,2.16155
0.56,0.65,2.07685
0.63,0.48,2.3084
0.08,0.2,2.072
0.24,0.82,1.5142
0.99,0.37,2.5934
0.89,0.42,2.50025
0.38,0.47,2.08845
0.68,0.22,2.6565
0.2,0.25,2.18055
0.27,0.27,2.2721
0.1,0.01,2.93955
0.41,0.8,1.7701
0.38,0.04,2.8956
0.69,0.98,1.92315
0.59,0.96,1.8511
0.18,0.21,2.25465
0.11,0.97,1.1773
0.03,0.82,1.03885
0.52,0.89,1.8287
0.75,0.97,1.9657
0.17,0.87,1.3541
0.87,0.48,2.4306
0.03,0.44,1.37715
0.33,0.44,2.05735
0.76,0.32,2.5556
0.73,0.5,2.3473
0.26,0.28,2.2321
0.36,0.29,2.31995
0.28,0.11,2.6624
0.0,0.23,1.6086
0.87,0.0,3.0
0.26,0.61,1.74265
1.0,0.5,2.47415
0.35,0.61,1.87975
