x,y,score
0.46,0.76,0.7502
0.54,0.86,0.47665
0.16,0.19,2.44505
0.61,0.18,2.46095
0.82,0.41,1.80255
0.72,0.66,1.0532
0.63,0.37,1.9216
0.41,0.28,2.17
0.16,0.44,1.69475
0.8,0.33,2.02455
0.84,0.23,2.33995
0.25,0.48,1.5493
0.62,0.7,0.94475
0.78,0.28,2.18565
0.03,0.68,0.98505
0.57,0.0,3.00645
0.69,0.37,1.9136
0.46,0.05,2.84965
0.65,0.03,2.9216
0.56,0.8,0.6464
0.28,0.44,1.6795
0.65,0.0,3.00815
0.57,0.1,2.71
0.44,0.29,2.1395
0.63,0.49,1.5717
0.26,0.03,2.9059
0.92,0.27,2.22575
0.69,0.35,1.97865
0.79,0.78,0.7085
0.3,0.26,2.22345
0.98,0.54,1.417
0.25,0.62,1.14965
0.55,0.43,1.72795
0.19,0.06,2.80795
0.14,0.65,1.07665
0.09,0.65,1.07215
0.92,1.0,0.0672
0.51,0.43,1.72195
0.36,0.66,1.03615
0.33,0.92,0.2841
0.01,0.93,0.5516
0.25,0.81,0.5982
0.9,0.46,1.6471
0.3,0.12,2.6388
0.87,0.59,1.2697
0.8,0.75,0.80025
0.93,0.2,2.4164
0.34,0.41,1.7718
0.05,0.48,1.5392
0.9,0.12,2.6529
0.59,0.65,1.0669
0.72,0.62,1.15815
0.29,0.87,0.43895
0.02,0.72,0.88825
0.8,0.35,1.9723
0.09,0.22,2.3075
0.05,0.61,1.17615
0.49,0.38,1.88235
0.62,0.21,2.37985
0.79,0.55,1.38425
0.64,0.52,1.4574
0.17,0.15,2.5484
0.45,0.81,0.6156
0.48,0.8,0.6396
0.51,0.39,1.86465
0.62,0.39,1.835
0.58,0.64,1.12315
0.8,0.62,1.18615
0.6,0.07,2.7977
0.35,0.87,0.43695
0.85,0.83,0.57025
0.96,0.89,0.39305
0.68,0.4,1.81455
0.13,0.15,2.51965
0.14,0.31,2.08535
0.15,0.88,0.416
0.72,0.97,0.1489
0.56,0.33,2.0111
0.52,0.26,2.2511
0.99,0.97,0.1572
0.9,0.63,1.16275
0.31,0.47,1.61575
0.98,0.8,0.66265
0.31,0.34,1.9556
0.22,0.4,1.79145
0.87,0.37,1.9329
0.76,0.43,1.7306
0.79,0.76,0.76595
0.83,0.38,1.88545
0.74,0.12,2.6626
0.68,0.51,1.50835
0.56,0.43,1.7579
