x,y,score
0.46,0.76,1.99805
0.54,0.86,2.00275
0.16,0.19,2.34435
0.61,0.18,2.4726
0.82,0.41,2.0278
0.72,0.66,2.0084
0.63,0.37,2.0502
0.41,0.28,2.19065
0.16,0.44,1.6472
0.8,0.33,2.0947
0.84,0.23,2.3356
0.25,0.48,1.92325
0.62,0.7,2.0045
0.78,0.28,2.186
0.03,0.68,1.1282
0.57,0.0,3.01
0.69,0.37,2.0518
0.46,0.05,2.86115
0.65,0.03,2.9189
0.56,0.8,2.00165
0.28,0.44,1.9825
0.65,0.0,3.01
0.57,0.1,2.72135
0.44,0.29,2.1726
0.63,0.49,2.0155
0.26,0.03,2.9101
0.92,0.27,2.22675
0.69,0.35,2.0715
0.79,0.78,2.0046
0.3,0.26,2.24325
0.98,0.54,2.0158
0.25,0.62,1.90735
0.55,0.43,2.02495
0.19,0.06,2.78725
0.14,0.65,1.5472
0.09,0.65,1.3582
0.92,1.0,2.00525
0.51,0.43,2.01925
0.36,0.66,1.99065
0.33,0.92,1.9696
0.01,0.93,0.72615
0.25,0.81,1.8916
0.9,0.46,2.0262
0.3,0.12,2.65095
0.87,0.59,2.0125
0.8,0.75,2.00875
0.93,0.2,2.41175
0.34,0.41,2.0149
0.05,0.48,1.22685
0.9,0.12,2.6542
0.59,0.65,2.0049
0.72,0.62,2.00855
0.29,0.87,1.93625
0.02,0.72,1.0787
0.8,0.35,2.07505
0.09,0.22,1.98225
0.05,0.61,1.19985
0.49,0.38,2.03955
0.62,0.21,2.4044
0.79,0.55,2.0122
0.64,0.52,2.01355
0.17,0.15,2.48865
0.45,0.81,1.99665
0.48,0.8,1.99885
0.51,0.39,2.0369
0.62,0.39,2.0375
0.58,0.64,2.0089
0.8,0.62,2.01165
0.6,0.07,2.80275
0.35,0.87,1.97335
0.85,0.83,2.00705
0.96,0.89,2.0055
0.68,0.4,2.0317
0.13,0.15,2.52055
0.14,0.31,1.8198
0.15,0.88,1.5083
0.72,0.97,2.004
0.56,0.33,2.09505
0.52,0.26,2.26275
0.99,0.97,2.00515
0.9,0.63,2.0116
0.31,0.47,1.98615
0.98,0.8,2.0083
0.31,0.34,2.05145
0.22,0.4,1.8754
0.87,0.37,2.05415
0.76,0.43,2.02705
0.79,0.76,2.0058
0.83,0.38,2.0398
0.74,0.12,2.65135
0.68,0.51,2.0159
0.56,0.43,2.02495
0.63,0.01,2.97915
0.45,0.24,2.29085
0.52,0.13,2.63055
0.64,0.47,2.02195
0.51,0.91,1.9968
0.78,0.92,2.00225
0.92,0.54,2.01895
0.75,0.83,2.00305
0.72,0.5,2.01705
0.53,0.74,2.0025
0.82,0.88,2.0041
0.63,0.35,2.0743
0.8,0.56,2.01515
0.99,0.8,2.00865
0.69,0.67,2.00505
0.44,0.43,2.02225
0.71,0.62,2.00975
0.63,0.08,2.77975
0.48,0.4,2.02915
0.93,0.51,2.01945
0.65,0.12,2.6551
0.78,0.34,2.07075
0.17,0.41,1.70485
0.59,0.93,1.9968
0.98,0.65,2.0118
0.89,0.49,2.01865
0.09,0.48,1.39235
0.98,0.94,2.00565
0.6,0.72,2.0072
0.74,0.48,2.01785
0.48,0.19,2.44365
0.15,0.11,2.6748
0.86,0.55,2.0132
0.97,0.56,2.0162
1.0,0.64,2.01135
0.43,0.66,2.0006
0.85,0.2,2.416
0.02,0.64,1.0888
0.26,0.02,2.94965
0.12,0.68,1.467
0.66,0.15,2.54345
0.75,0.58,2.01255
0.04,0.92,0.8597
0.15,0.58,1.5844
0.4,0.84,1.99195
0.94,0.97,2.00505
0.64,0.08,2.76075
0.08,0.63,1.33785
0.81,0.9,2.0048
0.21,0.79,1.78255
0.21,0.13,2.60235
0.82,0.12,2.6764
0.77,0.84,2.00645
0.76,0.89,2.00345
0.06,0.34,1.44795
0.92,0.45,2.02565
0.41,0.87,1.9924
0.11,0.48,1.42435
0.67,0.53,2.013
0.36,0.88,1.9776
0.47,0.6,2.00635
0.34,0.03,2.91685
0.79,0.95,2.0015
0.24,0.56,1.8869
0.17,0.32,1.86055
0.59,0.26,2.2537
0.59,0.68,2.00655
1.0,0.57,2.0154
0.63,0.84,2.0046
0.72,0.58,2.0124
0.84,0.68,2.01105
0.07,0.87,1.11115
0.71,0.48,2.0198
0.27,0.76,1.9273
0.2,0.43,1.8035
0.25,0.83,1.8825
0.74,0.97,2.0022
0.56,0.06,2.8313
0.77,0.18,2.48015
0.61,0.23,2.3165
0.73,0.56,2.0125
0.4,0.67,1.99815
0.93,0.15,2.5519
0.37,0.3,2.1507
0.89,0.6,2.0121
0.32,0.92,1.9378
0.97,0.95,2.00485
0.96,0.12,2.65475
0.74,0.25,2.28915
0.47,0.92,1.9965
0.13,0.43,1.5545
0.8,0.68,2.0101
0.01,0.53,1.0613
0.69,0.03,2.92015
0.73,0.82,2.00645
0.97,0.94,2.0057
0.9,1.0,2.002
0.08,0.23,1.97465
0.82,0.79,2.00365
0.42,0.46,2.00925
0.62,0.93,1.9994
0.71,0.43,2.02455
0.77,0.04,2.88475
0.97,0.53,2.0171
0.73,0.22,2.35495
0.59,0.14,2.5876
0.5,0.81,1.99835
0.4,1.0,1.9611
0.89,0.12,2.65405
0.05,0.83,1.10355
0.19,0.67,1.7324
0.97,0.93,2.00745
0.69,0.2,2.41885
0.72,0.64,2.00835
0.94,0.47,2.01875
0.81,0.73,2.00905
0.5,0.86,1.9968
0.15,0.5,1.61305
0.45,0.28,2.21075
0.48,0.93,1.99435
0.15,0.25,2.05085
0.32,0.14,2.593
0.62,0.38,2.04285
0.48,0.51,2.01145
