x,y,score
0.46,0.76,2.43575
0.54,0.86,2.7953
0.16,0.19,2.042
0.61,0.18,2.81485
0.82,0.41,2.69795
0.72,0.66,2.7961
0.63,0.37,2.81935
0.41,0.28,2.579
0.16,0.44,1.73025
0.8,0.33,2.7403
0.84,0.23,2.7892
0.25,0.48,1.92805
0.62,0.7,3.0409
0.78,0.28,2.74495
0.03,0.68,1.12915
0.57,0.0,3.0126
0.69,0.37,2.70345
0.46,0.05,2.88075
0.65,0.03,2.96515
0.56,0.8,2.98
0.28,0.44,2.04565
0.65,0.0,3.0126
0.57,0.1,2.8763
0.44,0.29,2.6857
0.63,0.49,2.87485
0.26,0.03,2.84765
0.92,0.27,2.78675
0.69,0.35,2.7407
0.79,0.78,2.77105
0.3,0.26,2.2782
0.98,0.54,2.69245
0.25,0.62,1.7944
0.55,0.43,2.9653
0.19,0.06,2.5369
0.14,0.65,1.4954
0.09,0.65,1.35755
0.92,1.0,2.80185
0.51,0.43,2.90105
0.36,0.66,2.04785
0.33,0.92,1.7329
0.01,0.93,1.01505
0.25,0.81,1.6327
0.9,0.46,2.6942
0.3,0.12,2.50895
0.87,0.59,2.65375
0.8,0.75,2.75365
0.93,0.2,2.82795
0.34,0.41,2.25135
0.05,0.48,1.2767
0.9,0.12,2.88845
0.59,0.65,3.07555
0.72,0.62,2.77105
0.29,0.87,1.66395
0.02,0.72,1.0808
0.8,0.35,2.73345
0.09,0.22,1.7434
0.05,0.61,1.21355
0.49,0.38,2.86525
0.62,0.21,2.76135
0.79,0.55,2.6799
0.64,0.52,2.85145
0.17,0.15,2.11425
0.45,0.81,2.3215
0.48,0.8,2.5373
0.51,0.39,2.9102
0.62,0.39,2.83735
0.58,0.64,3.0875
0.8,0.62,2.7017
0.6,0.07,2.8958
0.35,0.87,1.81105
0.85,0.83,2.7473
0.96,0.89,2.68725
0.68,0.4,2.7479
0.13,0.15,2.022
0.14,0.31,1.8263
0.15,0.88,1.4009
0.72,0.97,2.9817
0.56,0.33,2.87925
0.52,0.26,2.84175
0.99,0.97,2.73655
0.9,0.63,2.64815
0.31,0.47,2.06385
0.98,0.8,2.661
0.31,0.34,2.2258
