x,y,score
0.46,0.76,1.90695
0.54,0.86,1.96125
0.16,0.19,2.16775
0.61,0.18,2.8834
0.82,0.41,2.9855
0.72,0.66,2.536
0.63,0.37,2.7187
0.41,0.28,2.4569
0.16,0.44,1.7343
0.8,0.33,3.0031
0.84,0.23,3.15725
0.25,0.48,1.863
0.62,0.7,2.3078
0.78,0.28,3.02585
0.03,0.68,1.13015
0.57,0.0,3.0953
0.69,0.37,2.8139
0.46,0.05,2.8999
0.65,0.03,3.12315
0.56,0.8,2.07215
0.28,0.44,1.9789
0.65,0.0,3.1524
0.57,0.1,2.9439
0.44,0.29,2.4898
0.63,0.49,2.53355
0.26,0.03,2.7124
0.92,0.27,3.2356
0.69,0.35,2.8196
0.79,0.78,2.5804
0.3,0.26,2.3049
0.98,0.54,3.1631
0.25,0.62,1.68975
0.55,0.43,2.5046
0.19,0.06,2.5388
0.14,0.65,1.40535
0.09,0.65,1.3017
0.92,1.0,2.55305
0.51,0.43,2.4146
0.36,0.66,1.83455
0.33,0.92,1.4226
0.01,0.93,0.76405
0.25,0.81,1.40595
0.9,0.46,3.0799
0.3,0.12,2.5522
0.87,0.59,2.90965
0.8,0.75,2.55985
0.93,0.2,3.31515
0.34,0.41,2.13125
0.05,0.48,1.4551
0.9,0.12,3.31975
0.59,0.65,2.3033
0.72,0.62,2.61255
0.29,0.87,1.43995
0.02,0.72,1.06215
0.8,0.35,2.99695
0.09,0.22,1.9538
0.05,0.61,1.273
0.49,0.38,2.4458
0.62,0.21,2.87225
0.79,0.55,2.7645
0.64,0.52,2.5472
0.17,0.15,2.25695
0.45,0.81,1.86245
0.48,0.8,1.89075
0.51,0.39,2.4654
0.62,0.39,2.66725
0.58,0.64,2.31565
0.8,0.62,2.72695
0.6,0.07,3.0161
0.35,0.87,1.5622
0.85,0.83,2.62795
0.96,0.89,2.77335
0.68,0.4,2.7531
0.13,0.15,2.1712
0.14,0.31,1.9135
0.15,0.88,1.1238
0.72,0.97,2.16395
0.56,0.33,2.62985
0.52,0.26,2.66485
0.99,0.97,2.7788
0.9,0.63,2.92545
0.31,0.47,1.9899
0.98,0.8,2.9029
0.31,0.34,2.1943
0.22,0.4,1.9328
0.87,0.37,3.0945
0.76,0.43,2.85135
0.79,0.76,2.55705
0.83,0.38,3.0257
0.74,0.12,3.1285
0.68,0.51,2.6414
0.56,0.43,2.49925
0.63,0.01,3.12245
0.45,0.24,2.56925
0.52,0.13,2.8368
0.64,0.47,2.5993
0.51,0.91,1.8275
0.78,0.92,2.3607
0.92,0.54,3.04245
0.75,0.83,2.3976
0.72,0.5,2.7029
0.53,0.74,2.0714
0.82,0.88,2.47155
0.63,0.35,2.75495
0.8,0.56,2.7736
0.99,0.8,2.92235
0.69,0.67,2.48895
0.44,0.43,2.28745
0.71,0.62,2.5808
0.63,0.08,3.04645
0.48,0.4,2.4147
0.93,0.51,3.07575
0.65,0.12,3.0233
0.78,0.34,3.0029
0.17,0.41,1.8019
0.59,0.93,1.97985
0.98,0.65,3.0308
0.89,0.49,3.0199
0.09,0.48,1.5392
0.98,0.94,2.76515
0.6,0.72,2.2492
0.74,0.48,2.77515
0.48,0.19,2.70125
0.15,0.11,2.31105
0.86,0.55,2.89405
0.97,0.56,3.1599
1.0,0.64,3.11335
0.43,0.66,2.0074
0.85,0.2,3.1821
0.02,0.64,1.1672
0.26,0.02,2.7435
0.12,0.68,1.33845
0.66,0.15,2.99385
0.75,0.58,2.6617
0.04,0.92,0.8376
0.15,0.58,1.5177
0.4,0.84,1.69595
0.94,0.97,2.6416
0.64,0.08,3.04215
0.08,0.63,1.3132
0.81,0.9,2.4653
0.21,0.79,1.3774
0.21,0.13,2.366
0.82,0.12,3.21455
0.77,0.84,2.428
0.76,0.89,2.37305
0.06,0.34,1.69325
0.92,0.45,3.12055
0.41,0.87,1.66545
0.11,0.48,1.5888
0.67,0.53,2.5749
0.36,0.88,1.55295
0.47,0.6,2.15355
0.34,0.03,2.80405
0.79,0.95,2.3171
0.24,0.56,1.74565
0.17,0.32,1.94635
0.59,0.26,2.7594
0.59,0.68,2.2901
1.0,0.57,3.17945
0.63,0.84,2.13055
0.72,0.58,2.64755
0.84,0.68,2.72095
0.07,0.87,0.968
0.71,0.48,2.68975
0.27,0.76,1.55065
0.2,0.43,1.8476
0.25,0.83,1.3911
0.74,0.97,2.22835
0.56,0.06,2.9967
0.77,0.18,3.1132
0.61,0.23,2.8469
0.73,0.56,2.678
0.4,0.67,1.9082
0.93,0.15,3.3146
0.37,0.3,2.3628
0.89,0.6,2.9221
0.32,0.92,1.4225
0.97,0.95,2.71335
0.96,0.12,3.37035
0.74,0.25,3.0079
0.47,0.92,1.7478
0.13,0.43,1.69
0.8,0.68,2.6981
0.01,0.53,1.29265
0.69,0.03,3.14735
0.73,0.82,2.3893
0.97,0.94,2.74975
0.9,1.0,2.4817
0.08,0.23,1.9128
0.82,0.79,2.5804
0.42,0.46,2.24775
0.62,0.93,2.0615
0.71,0.43,2.76115
0.77,0.04,3.20675
0.97,0.53,3.1341
0.73,0.22,3.03925
0.59,0.14,2.92035
0.5,0.81,1.9138
0.4,1.0,1.52015
0.89,0.12,3.28795
0.05,0.83,0.9771
0.19,0.67,1.4915
0.97,0.93,2.74495
0.69,0.2,2.96835
0.72,0.64,2.5767
0.94,0.47,3.1539
0.81,0.73,2.6762
0.5,0.86,1.87675
0.15,0.5,1.6377
0.45,0.28,2.5207
0.48,0.93,1.76335
0.15,0.25,1.9959
0.32,0.14,2.5352
0.62,0.38,2.67215
0.48,0.51,2.27015
0.61,0.92,1.9992
0.34,0.82,1.5848
0.39,0.43,2.204
0.89,0.11,3.2734
0.67,0.3,2.84215
0.15,0.26,1.99665
0.72,0.21,3.00735
0.57,0.41,2.55095
0.01,0.09,2.08955
0.55,0.84,2.00175
0.85,0.24,3.1508
0.53,0.07,2.93835
0.81,0.85,2.48915
0.65,0.79,2.24915
0.08,0.01,2.49865
0.62,0.24,2.8586
0.28,0.85,1.4329
0.12,0.31,1.86105
0.04,0.88,0.90135
0.25,0.42,1.962
0.29,0.34,2.1618
0.12,0.75,1.23715
0.16,0.7,1.40115
0.9,0.47,3.05405
0.65,0.01,3.1382
0.44,0.94,1.65525
0.38,0.39,2.26775
0.95,0.84,2.81955
0.31,0.48,2.01005
0.45,0.92,1.7021
0.08,0.35,1.7111
0.68,0.89,2.17275
0.99,1.0,2.6719
0.61,0.37,2.6576
0.02,0.96,0.7376
0.94,0.0,3.35155
0.71,0.78,2.3868
0.09,0.02,2.4915
0.46,0.16,2.71305
0.3,0.07,2.66985
0.94,0.83,2.79215
0.25,0.01,2.76345
0.78,0.53,2.7888
0.24,0.45,1.88665
