x,y,score
0.46,0.76,1.6597
0.54,0.86,1.54285
0.16,0.19,2.2032
0.61,0.18,2.9029
0.82,0.41,3.13775
0.72,0.66,2.36525
0.63,0.37,2.69855
0.41,0.28,2.4506
0.16,0.44,1.79245
0.8,0.33,3.1535
0.84,0.23,3.3952
0.25,0.48,1.8709
0.62,0.7,2.0592
0.78,0.28,3.1647
0.03,0.68,1.1701
0.57,0.0,3.0694
0.69,0.37,2.81445
0.46,0.05,2.9054
0.65,0.03,3.1331
0.56,0.8,1.7188
0.28,0.44,1.9866
0.65,0.0,3.13245
0.57,0.1,2.9587
0.44,0.29,2.48355
0.63,0.49,2.4903
0.26,0.03,2.74025
0.92,0.27,3.70975
0.69,0.35,2.8631
0.79,0.78,2.2665
0.3,0.26,2.3191
0.98,0.54,3.9337
0.25,0.62,1.6234
0.55,0.43,2.44905
0.19,0.06,2.55515
0.14,0.65,1.41005
0.09,0.65,1.3246
0.92,1.0,1.71725
0.51,0.43,2.3944
0.36,0.66,1.71825
0.33,0.92,1.08765
0.01,0.93,0.66665
0.25,0.81,1.2271
0.9,0.46,3.4049
0.3,0.12,2.5803
0.87,0.59,3.0475
0.8,0.75,2.3552
0.93,0.2,3.79875
0.34,0.41,2.1547
0.05,0.48,1.51695
0.9,0.12,3.6847
0.59,0.65,2.1111
0.72,0.62,2.5009
0.29,0.87,1.15635
0.02,0.72,1.0804
0.8,0.35,3.13595
0.09,0.22,2.0189
0.05,0.61,1.3396
0.49,0.38,2.41795
0.62,0.21,2.915
0.79,0.55,2.83995
0.64,0.52,2.48585
0.17,0.15,2.3056
0.45,0.81,1.52325
0.48,0.8,1.59525
0.51,0.39,2.4526
0.62,0.39,2.65535
0.58,0.64,2.1269
0.8,0.62,2.7049
0.6,0.07,3.02015
0.35,0.87,1.22735
0.85,0.83,2.31875
0.96,0.89,2.66735
0.68,0.4,2.7679
0.13,0.15,2.2462
0.14,0.31,1.98005
0.15,0.88,0.95865
0.72,0.97,1.42515
0.56,0.33,2.6217
0.52,0.26,2.64275
0.99,0.97,2.42085
0.9,0.63,3.1109
0.31,0.47,2.0023
0.98,0.8,3.29715
0.31,0.34,2.2074
0.22,0.4,1.9509
0.87,0.37,3.38755
0.76,0.43,2.9043
0.79,0.76,2.34195
0.83,0.38,3.21485
0.74,0.12,3.19915
0.68,0.51,2.59965
0.56,0.43,2.47385
0.63,0.01,3.1233
0.45,0.24,2.6003
0.52,0.13,2.86205
0.64,0.47,2.59475
0.51,0.91,1.34195
0.78,0.92,1.7365
0.92,0.54,3.4762
0.75,0.83,1.9936
0.72,0.5,2.71555
0.53,0.74,1.8136
0.82,0.88,2.0474
0.63,0.35,2.69965
0.8,0.56,2.82625
0.99,0.8,3.3975
0.69,0.67,2.3131
0.44,0.43,2.2744
0.71,0.62,2.43205
0.63,0.08,3.0534
0.48,0.4,2.37375
0.93,0.51,3.4705
0.65,0.12,3.0468
0.78,0.34,3.0805
0.17,0.41,1.85185
0.59,0.93,1.40055
0.98,0.65,3.77165
0.89,0.49,3.2959
0.09,0.48,1.6157
0.98,0.94,2.6626
0.6,0.72,1.9793
0.74,0.48,2.75755
0.48,0.19,2.69945
0.15,0.11,2.3393
0.86,0.55,3.0662
0.97,0.56,3.8217
1.0,0.64,3.98295
0.43,0.66,1.8318
0.85,0.2,3.4601
0.02,0.64,1.2264
0.26,0.02,2.76515
0.12,0.68,1.31045
0.66,0.15,3.0515
0.75,0.58,2.6555
0.04,0.92,0.73035
0.15,0.58,1.5186
0.4,0.84,1.3965
0.94,0.97,2.00585
0.64,0.08,3.0587
0.08,0.63,1.34545
0.81,0.9,1.9101
0.21,0.79,1.23335
0.21,0.13,2.4092
0.82,0.12,3.37845
0.77,0.84,2.063
0.76,0.89,1.8253
0.06,0.34,1.7702
0.92,0.45,3.5689
0.41,0.87,1.3196
0.11,0.48,1.6354
0.67,0.53,2.49785
0.36,0.88,1.24265
0.47,0.6,2.00235
0.34,0.03,2.8342
0.79,0.95,1.6418
0.24,0.56,1.694
0.17,0.32,2.00125
0.59,0.26,2.7957
0.59,0.68,2.05055
1.0,0.57,4.12785
0.63,0.84,1.7259
0.72,0.58,2.5938
0.84,0.68,2.6858
0.07,0.87,0.8617
0.71,0.48,2.712
0.27,0.76,1.3855
0.2,0.43,1.8587
0.25,0.83,1.18895
0.74,0.97,1.46285
0.56,0.06,3.0042
0.77,0.18,3.2152
0.61,0.23,2.8518
0.73,0.56,2.6207
0.4,0.67,1.7562
0.93,0.15,3.75935
0.37,0.3,2.37565
0.89,0.6,3.06335
0.32,0.92,1.0639
0.97,0.95,2.39765
0.96,0.12,3.93515
0.74,0.25,3.0904
0.47,0.92,1.2583
0.13,0.43,1.75285
0.8,0.68,2.5301
0.01,0.53,1.37255
0.69,0.03,3.1759
0.73,0.82,1.9715
0.97,0.94,2.4696
0.9,1.0,1.57935
0.08,0.23,2.0013
0.82,0.79,2.32595
0.42,0.46,2.17025
0.62,0.93,1.4256
0.71,0.43,2.7796
0.77,0.04,3.2835
0.97,0.53,3.8508
0.73,0.22,3.10415
0.59,0.14,2.9378
0.5,0.81,1.58995
0.4,1.0,0.96445
0.89,0.12,3.586
0.05,0.83,0.9253
0.19,0.67,1.42935
0.97,0.93,2.5506
0.69,0.2,3.0382
0.72,0.64,2.4106
0.94,0.47,3.66725
0.81,0.73,2.4339
0.5,0.86,1.4721
0.15,0.5,1.67255
0.45,0.28,2.5032
0.48,0.93,1.22985
0.15,0.25,2.0711
0.32,0.14,2.5859
0.62,0.38,2.64135
0.48,0.51,2.1757
