x,y,score
0.46,0.76,1.98445
0.54,0.86,2.00865
0.16,0.19,2.14295
0.61,0.18,2.7252
0.82,0.41,2.5583
0.72,0.66,2.29475
0.63,0.37,2.50955
0.41,0.28,2.44425
0.16,0.44,1.7257
0.8,0.33,2.62945
0.84,0.23,2.745
0.25,0.48,1.9081
0.62,0.7,2.1866
0.78,0.28,2.66865
0.03,0.68,1.13355
0.57,0.0,3.0073
0.69,0.37,2.5443
0.46,0.05,2.89925
0.65,0.03,2.95875
0.56,0.8,2.0653
0.28,0.44,2.0273
0.65,0.0,3.0072
0.57,0.1,2.8328
0.44,0.29,2.45305
0.63,0.49,2.37845
0.26,0.03,2.8716
0.92,0.27,2.72675
0.69,0.35,2.5642
0.79,0.78,2.26195
0.3,0.26,2.32465
0.98,0.54,2.52585
0.25,0.62,1.79305
0.55,0.43,2.37995
0.19,0.06,2.7005
0.14,0.65,1.4931
0.09,0.65,1.3651
0.92,1.0,2.21395
0.51,0.43,2.33485
0.36,0.66,1.9404
0.33,0.92,1.7266
0.01,0.93,1.0326
0.25,0.81,1.6358
0.9,0.46,2.55745
0.3,0.12,2.6399
0.87,0.59,2.4437
0.8,0.75,2.2793
0.93,0.2,2.7996
0.34,0.41,2.1733
0.05,0.48,1.282
0.9,0.12,2.87855
0.59,0.65,2.20115
0.72,0.62,2.32785
0.29,0.87,1.6912
0.02,0.72,1.08455
0.8,0.35,2.6157
0.09,0.22,1.80285
0.05,0.61,1.2367
0.49,0.38,2.37995
0.62,0.21,2.6963
0.79,0.55,2.4245
0.64,0.52,2.34055
0.17,0.15,2.305
0.45,0.81,1.9488
0.48,0.8,1.9757
0.51,0.39,2.38435
0.62,0.39,2.4716
0.58,0.64,2.20605
0.8,0.62,2.37665
0.6,0.07,2.89295
0.35,0.87,1.77935
0.85,0.83,2.26465
0.96,0.89,2.28915
0.68,0.4,2.49505
0.13,0.15,2.2072
0.14,0.31,1.83845
0.15,0.88,1.4152
0.72,0.97,2.09215
0.56,0.33,2.4942
0.52,0.26,2.5626
0.99,0.97,2.2648
0.9,0.63,2.4235
0.31,0.47,2.04995
0.98,0.8,2.35635
0.31,0.34,2.2248
0.22,0.4,1.94045
0.87,0.37,2.62105
0.76,0.43,2.51225
0.79,0.76,2.2771
0.83,0.38,2.5972
0.74,0.12,2.85105
0.68,0.51,2.3857
0.56,0.43,2.3841
0.63,0.01,2.98965
0.45,0.24,2.5401
0.52,0.13,2.7715
0.64,0.47,2.39395
0.51,0.91,1.95715
0.78,0.92,2.168
0.92,0.54,2.49705
0.75,0.83,2.2046
0.72,0.5,2.42385
0.53,0.74,2.0828
0.82,0.88,2.21705
0.63,0.35,2.52205
0.8,0.56,2.42415
0.99,0.8,2.35885
0.69,0.67,2.2663
0.44,0.43,2.26625
0.71,0.62,2.3268
0.63,0.08,2.8838
0.48,0.4,2.351
0.93,0.51,2.52585
0.65,0.12,2.82655
0.78,0.34,2.60435
0.17,0.41,1.79435
0.59,0.93,2.00995
0.98,0.65,2.447
0.89,0.49,2.51925
0.09,0.48,1.46705
0.98,0.94,2.2745
0.6,0.72,2.15925
0.74,0.48,2.4506
0.48,0.19,2.6514
0.15,0.11,2.4373
0.86,0.55,2.4636
0.97,0.56,2.5082
1.0,0.64,2.462
0.43,0.66,2.02955
0.85,0.2,2.78715
0.02,0.64,1.09925
0.26,0.02,2.908
0.12,0.68,1.4266
0.66,0.15,2.78495
0.75,0.58,2.37555
0.04,0.92,1.1282
0.15,0.58,1.5767
0.4,0.84,1.8534
0.94,0.97,2.23505
0.64,0.08,2.87985
0.08,0.63,1.3201
0.81,0.9,2.19825
0.21,0.79,1.5877
0.21,0.13,2.47975
0.82,0.12,2.8661
0.77,0.84,2.21345
0.76,0.89,2.1644
0.06,0.34,1.4344
0.92,0.45,2.5743
0.41,0.87,1.86505
0.11,0.48,1.54565
0.67,0.53,2.36925
0.36,0.88,1.78755
0.47,0.6,2.11675
0.34,0.03,2.90685
0.79,0.95,2.15865
0.24,0.56,1.82165
0.17,0.32,1.9186
0.59,0.26,2.6156
0.59,0.68,2.17855
1.0,0.57,2.5082
0.63,0.84,2.10885
0.72,0.58,2.35695
0.84,0.68,2.35585
0.07,0.87,1.21885
0.71,0.48,2.44305
0.27,0.76,1.71935
0.2,0.43,1.85765
0.25,0.83,1.63955
0.74,0.97,2.1124
0.56,0.06,2.8949
0.77,0.18,2.7801
0.61,0.23,2.6642
0.73,0.56,2.38095
0.4,0.67,1.9946
0.93,0.15,2.85105
0.37,0.3,2.34795
0.89,0.6,2.44295
0.32,0.92,1.70785
0.97,0.95,2.2643
0.96,0.12,2.88055
0.74,0.25,2.6988
0.47,0.92,1.90405
0.13,0.43,1.64715
0.8,0.68,2.33035
0.01,0.53,1.071
0.69,0.03,2.95715
0.73,0.82,2.1971
0.97,0.94,2.26855
0.9,1.0,2.1996
0.08,0.23,1.7437
0.82,0.79,2.2697
0.42,0.46,2.2072
0.62,0.93,2.03175
0.71,0.43,2.48495
0.77,0.04,2.95665
0.97,0.53,2.52135
0.73,0.22,2.7284
0.59,0.14,2.77665
0.5,0.81,2.01215
0.4,1.0,1.76825
0.89,0.12,2.87485
0.05,0.83,1.1702
0.19,0.67,1.6148
0.97,0.93,2.2778
0.69,0.2,2.72375
0.72,0.64,2.32075
0.94,0.47,2.5658
0.81,0.73,2.30155
0.5,0.86,1.9703
0.15,0.5,1.6499
0.45,0.28,2.4733
0.48,0.93,1.89815
0.15,0.25,1.99095
0.32,0.14,2.61545
0.62,0.38,2.48705
0.48,0.51,2.21385
0.61,0.92,2.03975
0.34,0.82,1.78335
0.39,0.43,2.1898
0.89,0.11,2.8941
0.67,0.3,2.58485
0.15,0.26,1.973
0.72,0.21,2.71945
0.57,0.41,2.41025
0.01,0.09,1.40985
0.55,0.84,2.03355
0.85,0.24,2.7465
0.53,0.07,2.87575
0.81,0.85,2.2221
0.65,0.79,2.1561
0.08,0.01,2.83465
0.62,0.24,2.65045
0.28,0.85,1.6872
0.12,0.31,1.76535
0.04,0.88,1.1334
0.25,0.42,1.9733
0.29,0.34,2.15565
0.12,0.75,1.3915
0.16,0.7,1.5272
0.9,0.47,2.5473
0.65,0.01,2.9942
0.44,0.94,1.8479
0.38,0.39,2.24715
0.95,0.84,2.32075
0.31,0.48,2.0418
0.45,0.92,1.8725
0.08,0.35,1.53505
0.68,0.89,2.1122
0.99,1.0,2.2466
0.61,0.37,2.48075
0.02,0.96,1.0618
0.94,0.0,3.00975
0.71,0.78,2.2089
0.09,0.02,2.7601
0.46,0.16,2.682
0.3,0.07,2.7722
0.94,0.83,2.3149
0.25,0.01,2.95615
0.78,0.53,2.44
0.24,0.45,1.93625
0.1,0.82,1.31
0.27,0.33,2.16405
0.89,0.17,2.81855
0.5,0.19,2.6586
0.12,0.89,1.35395
0.57,0.07,2.87945
0.85,0.58,2.4396
0.03,0.67,1.1364
0.79,0.05,2.9446
0.18,0.3,1.9948
0.66,0.43,2.4515
0.41,0.6,2.0616
0.52,0.47,2.30465
0.53,0.05,2.92245
0.51,0.93,1.9418
0.8,0.32,2.6384
0.91,0.77,2.33705
0.57,0.84,2.04805
0.65,0.7,2.2201
0.6,0.23,2.6582
0.11,0.82,1.34
0.46,1.0,1.845
0.71,0.57,2.36845
0.28,0.08,2.74415
0.2,0.19,2.29665
