x,y,score
0.46,0.76,2.821
0.54,0.86,3.1256
0.16,0.19,1.6832
0.61,0.18,3.43315
0.82,0.41,4.20215
0.72,0.66,3.82715
0.63,0.37,3.46635
0.41,0.28,2.63565
0.16,0.44,1.64025
0.8,0.33,4.13085
0.84,0.23,4.27705
0.25,0.48,2.0048
0.62,0.7,3.41445
0.78,0.28,4.03875
0.03,0.68,1.12965
0.57,0.0,3.0
0.69,0.37,3.71215
0.46,0.05,2.8614
0.65,0.03,3.42845
0.56,0.8,3.213
0.28,0.44,2.1055
0.65,0.0,3.0
0.57,0.1,3.2415
0.44,0.29,2.75355
0.63,0.49,3.46505
0.26,0.03,2.20945
0.92,0.27,4.59695
0.69,0.35,3.71015
0.79,0.78,4.0991
0.3,0.26,2.20005
0.98,0.54,4.8448
0.25,0.62,1.9956
0.55,0.43,3.1637
0.19,0.06,1.8873
0.14,0.65,1.5558
0.09,0.65,1.3684
0.92,1.0,4.6206
0.51,0.43,3.01505
0.36,0.66,2.41305
0.33,0.92,2.28885
0.01,0.93,1.0338
0.25,0.81,1.9772
0.9,0.46,4.5335
0.3,0.12,2.2484
0.87,0.59,4.41955
0.8,0.75,4.13525
0.93,0.2,4.61615
0.34,0.41,2.35475
0.05,0.48,1.2272
0.9,0.12,4.46505
0.59,0.65,3.3152
0.72,0.62,3.834
0.29,0.87,2.1324
0.02,0.72,1.08095
0.8,0.35,4.1303
0.09,0.22,1.40105
0.05,0.61,1.2188
0.49,0.38,2.93985
0.62,0.21,3.456
0.79,0.55,4.0877
0.64,0.52,3.5159
0.17,0.15,1.73835
0.45,0.81,2.768
0.48,0.8,2.88055
0.51,0.39,3.0191
0.62,0.39,3.44135
0.58,0.64,3.2934
0.8,0.62,4.11485
0.6,0.07,3.34415
0.35,0.87,2.3628
0.85,0.83,4.34415
0.96,0.89,4.7733
0.68,0.4,3.68
0.13,0.15,1.578
0.14,0.31,1.59515
0.15,0.88,1.57925
0.72,0.97,3.83795
0.56,0.33,3.1932
0.52,0.26,3.04525
0.99,0.97,4.88765
0.9,0.63,4.53215
0.31,0.47,2.2265
0.98,0.8,4.8575
0.31,0.34,2.23485
0.22,0.4,1.90275
0.87,0.37,4.432
0.76,0.43,3.9919
0.79,0.76,4.0998
0.83,0.38,4.24325
0.74,0.12,3.88235
0.68,0.51,3.69665
0.56,0.43,3.20815
0.63,0.01,3.26935
0.45,0.24,2.7857
0.52,0.13,3.06595
0.64,0.47,3.49675
0.51,0.91,3.0169
0.78,0.92,4.04825
0.92,0.54,4.60695
0.75,0.83,3.9318
0.72,0.5,3.8099
0.53,0.74,3.09205
0.82,0.88,4.21385
0.63,0.35,3.4599
0.8,0.56,4.13915
0.99,0.8,4.89615
0.69,0.67,3.70575
0.44,0.43,2.73625
0.71,0.62,3.77555
0.63,0.08,3.47935
0.48,0.4,2.9021
0.93,0.51,4.6378
0.65,0.12,3.55755
0.78,0.34,4.04105
0.17,0.41,1.69935
0.59,0.93,3.3041
0.98,0.65,4.8477
0.89,0.49,4.48105
0.09,0.48,1.3817
0.98,0.94,4.85345
0.6,0.72,3.36855
0.74,0.48,3.89005
0.48,0.19,2.88945
0.15,0.11,1.69235
0.86,0.55,4.3626
0.97,0.56,4.8024
1.0,0.64,4.92425
0.43,0.66,2.6887
0.85,0.2,4.2951
0.02,0.64,1.0846
0.26,0.02,2.29105
0.12,0.68,1.4821
0.66,0.15,3.58485
0.75,0.58,3.9404
0.04,0.92,1.15375
0.15,0.58,1.61275
0.4,0.84,2.53285
0.94,0.97,4.68505
0.64,0.08,3.4983
0.08,0.63,1.31245
0.81,0.9,4.19225
0.21,0.79,1.81805
0.21,0.13,1.8935
0.82,0.12,4.164
0.77,0.84,4.0133
0.76,0.89,3.9851
0.06,0.34,1.2705
0.92,0.45,4.6057
0.41,0.87,2.59115
0.11,0.48,1.46565
0.67,0.53,3.6266
0.36,0.88,2.40715
0.47,0.6,2.8613
0.34,0.03,2.48515
0.79,0.95,4.09845
0.24,0.56,1.96025
0.17,0.32,1.7015
0.59,0.26,3.32225
0.59,0.68,3.3056
1.0,0.57,4.9206
0.63,0.84,3.47885
0.72,0.58,3.82525
0.84,0.68,4.30405
0.07,0.87,1.2582
0.71,0.48,3.78335
0.27,0.76,2.06305
0.2,0.43,1.8323
0.25,0.83,1.9799
0.74,0.97,3.92015
0.56,0.06,3.195
0.77,0.18,4.0155
0.61,0.23,3.37465
0.73,0.56,3.88235
0.4,0.67,2.568
0.93,0.15,4.5744
0.37,0.3,2.46345
0.89,0.6,4.48545
0.32,0.92,2.26215
0.97,0.95,4.8117
0.96,0.12,4.6677
0.74,0.25,3.91085
0.47,0.92,2.8564
0.13,0.43,1.52055
0.8,0.68,4.1334
0.01,0.53,1.06025
0.69,0.03,3.5955
0.73,0.82,3.8558
0.97,0.94,4.8073
0.9,1.0,4.5434
0.08,0.23,1.36135
0.82,0.79,4.22295
0.42,0.46,2.6885
0.62,0.93,3.44805
0.71,0.43,3.78345
0.77,0.04,3.91405
0.97,0.53,4.8001
0.73,0.22,3.8473
0.59,0.14,3.30815
0.5,0.81,2.96715
0.4,1.0,2.5314
0.89,0.12,4.41185
0.05,0.83,1.19195
0.19,0.67,1.74295
0.97,0.93,4.81235
0.69,0.2,3.69255
0.72,0.64,3.82735
0.94,0.47,4.6818
0.81,0.73,4.19785
0.5,0.86,2.98525
0.15,0.5,1.6193
0.45,0.28,2.7857
0.48,0.93,2.8804
0.15,0.25,1.65185
0.32,0.14,2.32425
0.62,0.38,3.4412
0.48,0.51,2.8942
0.61,0.92,3.39655
0.34,0.82,2.2989
0.39,0.43,2.5445
0.89,0.11,4.4084
0.67,0.3,3.61535
0.15,0.26,1.6328
0.72,0.21,3.82545
0.57,0.41,3.2453
0.01,0.09,1.17435
0.55,0.84,3.15145
0.85,0.24,4.3168
0.53,0.07,3.09345
0.81,0.85,4.17085
0.65,0.79,3.5631
0.08,0.01,2.06535
0.62,0.24,3.43035
0.28,0.85,2.08445
0.12,0.31,1.5139
0.04,0.88,1.1555
0.25,0.42,2.02155
0.29,0.34,2.17025
0.12,0.75,1.4787
0.16,0.7,1.63095
0.9,0.47,4.51795
0.65,0.01,3.3214
0.44,0.94,2.7403
0.38,0.39,2.5152
0.95,0.84,4.7295
0.31,0.48,2.226
0.45,0.92,2.7545
0.08,0.35,1.34235
0.68,0.89,3.66745
