x,y,score
0.46,0.76,1.9867
0.54,0.86,1.99385
0.16,0.19,2.1683
0.61,0.18,2.7302
0.82,0.41,2.5579
0.72,0.66,2.2943
0.63,0.37,2.49555
0.41,0.28,2.42005
0.16,0.44,1.7323
0.8,0.33,2.6338
0.84,0.23,2.74005
0.25,0.48,1.9161
0.62,0.7,2.1804
0.78,0.28,2.66415
0.03,0.68,1.13315
0.57,0.0,3.0109
0.69,0.37,2.51515
0.46,0.05,2.89585
0.65,0.03,2.9673
0.56,0.8,2.0563
0.28,0.44,2.012
0.65,0.0,3.0128
0.57,0.1,2.83825
0.44,0.29,2.43625
0.63,0.49,2.36755
0.26,0.03,2.884
0.92,0.27,2.7357
0.69,0.35,2.53675
0.79,0.78,2.24655
0.3,0.26,2.3202
0.98,0.54,2.5139
0.25,0.62,1.78985
0.55,0.43,2.3754
0.19,0.06,2.711
0.14,0.65,1.49565
0.09,0.65,1.3438
0.92,1.0,2.19595
0.51,0.43,2.32695
0.36,0.66,1.9261
0.33,0.92,1.7199
0.01,0.93,1.02875
0.25,0.81,1.63085
0.9,0.46,2.55125
0.3,0.12,2.6327
0.87,0.59,2.42985
0.8,0.75,2.27105
0.93,0.2,2.8095
0.34,0.41,2.13875
0.05,0.48,1.2916
0.9,0.12,2.89835
0.59,0.65,2.18295
0.72,0.62,2.3207
0.29,0.87,1.67095
0.02,0.72,1.08115
0.8,0.35,2.6092
0.09,0.22,1.80865
0.05,0.61,1.2302
0.49,0.38,2.3879
0.62,0.21,2.6829
0.79,0.55,2.4118
0.64,0.52,2.3404
0.17,0.15,2.3217
0.45,0.81,1.93495
0.48,0.8,1.96995
0.51,0.39,2.3749
0.62,0.39,2.46275
0.58,0.64,2.20715
0.8,0.62,2.3639
0.6,0.07,2.89575
0.35,0.87,1.76845
0.85,0.83,2.25065
0.96,0.89,2.2813
0.68,0.4,2.492
0.13,0.15,2.20755
0.14,0.31,1.86795
0.15,0.88,1.40765
0.72,0.97,2.0821
0.56,0.33,2.47135
0.52,0.26,2.5627
0.99,0.97,2.25095
0.9,0.63,2.41795
0.31,0.47,2.01545
0.98,0.8,2.3447
0.31,0.34,2.18765
0.22,0.4,1.9518
0.87,0.37,2.6175
0.76,0.43,2.50725
0.79,0.76,2.252
0.83,0.38,2.5859
0.74,0.12,2.85935
0.68,0.51,2.3966
0.56,0.43,2.37125
0.63,0.01,2.9936
0.45,0.24,2.52675
0.52,0.13,2.7657
0.64,0.47,2.3925
0.51,0.91,1.93845
0.78,0.92,2.1548
0.92,0.54,2.4814
0.75,0.83,2.1937
0.72,0.5,2.41665
0.53,0.74,2.06925
0.82,0.88,2.2034
0.63,0.35,2.5158
0.8,0.56,2.41455
0.99,0.8,2.3448
0.69,0.67,2.2505
0.44,0.43,2.24755
0.71,0.62,2.3096
0.63,0.08,2.8872
0.48,0.4,2.34475
0.93,0.51,2.5219
0.65,0.12,2.82745
0.78,0.34,2.61325
0.17,0.41,1.7796
0.59,0.93,2.0
0.98,0.65,2.43655
0.89,0.49,2.50835
0.09,0.48,1.45545
0.98,0.94,2.2605
0.6,0.72,2.15245
0.74,0.48,2.4441
0.48,0.19,2.6421
0.15,0.11,2.43155
0.86,0.55,2.4546
0.97,0.56,2.4968
1.0,0.64,2.4521
0.43,0.66,2.02365
0.85,0.2,2.7655
