x,y,score
0.46,0.76,1.7006
0.54,0.86,1.67075
0.16,0.19,2.252
0.61,0.18,3.03035
0.82,0.41,2.938
0.72,0.66,2.3396
0.63,0.37,2.7115
0.41,0.28,2.50555
0.16,0.44,1.80455
0.8,0.33,3.0485
0.84,0.23,3.30515
0.25,0.48,1.8555
0.62,0.7,2.10425
0.78,0.28,3.11985
0.03,0.68,1.1432
0.57,0.0,3.28005
0.69,0.37,2.815
0.46,0.05,2.9995
0.65,0.03,3.3768
0.56,0.8,1.8059
0.28,0.44,1.98765
0.65,0.0,3.41235
0.57,0.1,3.1033
0.44,0.29,2.53405
0.63,0.49,2.46
0.26,0.03,2.7119
0.92,0.27,3.36635
0.69,0.35,2.85445
0.79,0.78,2.21035
0.3,0.26,2.3721
0.98,0.54,2.9797
0.25,0.62,1.60495
0.55,0.43,2.4679
0.19,0.06,2.53235
0.14,0.65,1.38215
0.09,0.65,1.29885
0.92,1.0,2.0426
0.51,0.43,2.3837
0.36,0.66,1.72765
0.33,0.92,1.19195
0.01,0.93,0.64775
0.25,0.81,1.237
0.9,0.46,3.0021
0.3,0.12,2.62995
0.87,0.59,2.6871
0.8,0.75,2.2879
0.93,0.2,3.52605
0.34,0.41,2.13655
0.05,0.48,1.53305
0.9,0.12,3.62295
0.59,0.65,2.13525
0.72,0.62,2.39185
0.29,0.87,1.21465
0.02,0.72,1.03905
0.8,0.35,3.0162
0.09,0.22,2.07795
0.05,0.61,1.2953
0.49,0.38,2.46055
0.62,0.21,2.9821
0.79,0.55,2.6264
0.64,0.52,2.4451
0.17,0.15,2.32285
0.45,0.81,1.58245
0.48,0.8,1.6606
0.51,0.39,2.448
0.62,0.39,2.6626
0.58,0.64,2.10455
0.8,0.62,2.5267
0.6,0.07,3.2113
0.35,0.87,1.3227
0.85,0.83,2.2367
0.96,0.89,2.3139
0.68,0.4,2.73035
0.13,0.15,2.27115
0.14,0.31,1.9976
0.15,0.88,0.97175
0.72,0.97,1.7576
0.56,0.33,2.66955
0.52,0.26,2.7104
0.99,0.97,2.2082
0.9,0.63,2.66905
0.31,0.47,2.0062
0.98,0.8,2.49695
0.31,0.34,2.2062
0.22,0.4,1.9392
0.87,0.37,3.1179
0.76,0.43,2.7992
0.79,0.76,2.2478
0.83,0.38,3.0051
0.74,0.12,3.3613
0.68,0.51,2.5456
0.56,0.43,2.4945
0.63,0.01,3.3626
0.45,0.24,2.6451
0.52,0.13,2.976
0.64,0.47,2.5338
0.51,0.91,1.5046
0.78,0.92,1.94215
0.92,0.54,2.8412
0.75,0.83,2.06275
0.72,0.5,2.60895
0.53,0.74,1.86815
0.82,0.88,2.08755
0.63,0.35,2.73805
0.8,0.56,2.6425
0.99,0.8,2.5025
0.69,0.67,2.2627
0.44,0.43,2.2803
0.71,0.62,2.3768
0.63,0.08,3.22305
0.48,0.4,2.425
0.93,0.51,2.9492
0.65,0.12,3.1946
0.78,0.34,3.02325
0.17,0.41,1.85745
0.59,0.93,1.6022
0.98,0.65,2.76695
0.89,0.49,2.913
0.09,0.48,1.6262
0.98,0.94,2.24745
0.6,0.72,2.01655
0.74,0.48,2.6919
0.48,0.19,2.7972
0.15,0.11,2.4018
0.86,0.55,2.7481
0.97,0.56,2.9265
1.0,0.64,2.8209
0.43,0.66,1.8491
0.85,0.2,3.3854
0.02,0.64,1.18995
0.26,0.02,2.72065
0.12,0.68,1.31765
0.66,0.15,3.1511
0.75,0.58,2.51205
0.04,0.92,0.71895
0.15,0.58,1.52095
0.4,0.84,1.4704
0.94,0.97,2.12175
0.64,0.08,3.25415
