x,y,score
0.46,0.76,2.2251
0.54,0.86,2.2385
0.16,0.19,1.8098
0.61,0.18,2.8925
0.82,0.41,2.84435
0.72,0.66,2.56575
0.63,0.37,2.7487
0.41,0.28,2.5074
0.16,0.44,1.67265
0.8,0.33,2.9067
0.84,0.23,2.9824
0.25,0.48,1.9516
0.62,0.7,2.4448
0.78,0.28,2.9345
0.03,0.68,1.125
0.57,0.0,3.0
0.69,0.37,2.81775
0.46,0.05,2.88855
0.65,0.03,3.0078
0.56,0.8,2.30155
0.28,0.44,2.0505
0.65,0.0,3.0
0.57,0.1,2.92565
0.44,0.29,2.5608
0.63,0.49,2.647
0.26,0.03,2.6069
0.92,0.27,2.984
0.69,0.35,2.82435
0.79,0.78,2.47235
0.3,0.26,2.27255
0.98,0.54,2.7499
0.25,0.62,1.88
0.55,0.43,2.62975
0.19,0.06,2.1734
0.14,0.65,1.53155
0.09,0.65,1.34675
0.92,1.0,2.2524
0.51,0.43,2.56055
0.36,0.66,2.11815
0.33,0.92,1.877
0.01,0.93,1.0328
0.25,0.81,1.7704
0.9,0.46,2.8041
0.3,0.12,2.4431
0.87,0.59,2.6773
0.8,0.75,2.5113
0.93,0.2,3.01735
0.34,0.41,2.23615
0.05,0.48,1.23095
0.9,0.12,3.04515
0.59,0.65,2.47035
0.72,0.62,2.60405
0.29,0.87,1.8451
0.02,0.72,1.08065
0.8,0.35,2.89555
0.09,0.22,1.47045
0.05,0.61,1.20355
0.49,0.38,2.58935
0.62,0.21,2.8904
0.79,0.55,2.7128
0.64,0.52,2.63715
0.17,0.15,1.90285
0.45,0.81,2.17395
0.48,0.8,2.22465
0.51,0.39,2.59495
0.62,0.39,2.74365
0.58,0.64,2.48995
0.8,0.62,2.6421
0.6,0.07,2.9696
0.35,0.87,1.9649
0.85,0.83,2.43995
0.96,0.89,2.3723
0.68,0.4,2.7857
0.13,0.15,1.7144
0.14,0.31,1.6633
0.15,0.88,1.49395
0.72,0.97,2.2619
0.56,0.33,2.72585
0.52,0.26,2.7385
0.99,0.97,2.2733
0.9,0.63,2.6597
0.31,0.47,2.15165
0.98,0.8,2.48025
0.31,0.34,2.19945
0.22,0.4,1.91195
0.87,0.37,2.89685
0.76,0.43,2.7941
0.79,0.76,2.49525
0.83,0.38,2.8741
0.74,0.12,3.0086
0.68,0.51,2.6805
0.56,0.43,2.62185
0.63,0.01,2.9998
0.45,0.24,2.64085
0.52,0.13,2.8491
0.64,0.47,2.6985
0.51,0.91,2.1572
0.78,0.92,2.33175
0.92,0.54,2.74545
0.75,0.83,2.41605
0.72,0.5,2.71835
0.53,0.74,2.33535
0.82,0.88,2.38235
0.63,0.35,2.7838
0.8,0.56,2.6967
0.99,0.8,2.46635
0.69,0.67,2.55175
0.44,0.43,2.43765
0.71,0.62,2.60135
0.63,0.08,2.9902
0.48,0.4,2.5574
0.93,0.51,2.77395
0.65,0.12,2.97175
0.78,0.34,2.89505
0.17,0.41,1.73985
0.59,0.93,2.21945
0.98,0.65,2.6413
0.89,0.49,2.7933
0.09,0.48,1.3903
0.98,0.94,2.31415
0.6,0.72,2.42535
0.74,0.48,2.7507
0.48,0.19,2.7376
0.15,0.11,1.8302
0.86,0.55,2.7353
0.97,0.56,2.74905
1.0,0.64,2.65255
0.43,0.66,2.25765
0.85,0.2,3.00625
0.02,0.64,1.09435
0.26,0.02,2.6773
0.12,0.68,1.4525
0.66,0.15,2.9684
0.75,0.58,2.6688
0.04,0.92,1.13775
0.15,0.58,1.58265
0.4,0.84,2.06795
0.94,0.97,2.285
0.64,0.08,2.99015
0.08,0.63,1.329
0.81,0.9,2.35305
0.21,0.79,1.69725
0.21,0.13,2.10835
0.82,0.12,3.033
0.77,0.84,2.42095
0.76,0.89,2.36105
0.06,0.34,1.2996
0.92,0.45,2.8347
0.41,0.87,2.0711
0.11,0.48,1.47285
0.67,0.53,2.6498
0.36,0.88,1.9826
0.47,0.6,2.3524
0.34,0.03,2.777
0.79,0.95,2.30245
0.24,0.56,1.8893
0.17,0.32,1.7661
0.59,0.26,2.82245
0.59,0.68,2.435
1.0,0.57,2.7273
0.63,0.84,2.3383
0.72,0.58,2.63955
0.84,0.68,2.5988
0.07,0.87,1.24785
0.71,0.48,2.7322
